,Demand1
20191218T11-05,13790
20191218T10-05,14574
20191218T09-05,15379
20191218T08-05,15651
20191218T07-05,14834
20191218T06-05,13190
20191218T05-05,12038
20191218T04-05,11435
20191218T03-05,11071
20191218T02-05,10881
20191218T01-05,10859
20191218T00-05,11122
20191217T23-05,11610
20191217T22-05,12122
20191217T21-05,12356
20191217T20-05,12406
20191217T19-05,12351
20191217T18-05,12076
20191217T17-05,11412
20191217T16-05,11213
20191217T15-05,11270
20191217T14-05,11341
20191217T13-05,11329
20191217T12-05,11425
20191217T11-05,11432
20191217T10-05,11384
20191217T09-05,11325
20191217T08-05,11334
20191217T07-05,10683
20191217T06-05,9530
20191217T05-05,8831
20191217T04-05,8595
20191217T03-05,8617
20191217T02-05,8753
20191217T01-05,9098
20191217T00-05,9649
20191216T23-05,10454
20191216T22-05,11281
20191216T21-05,11798
20191216T20-05,12038
20191216T19-05,12141
20191216T18-05,11806
20191216T17-05,11032
20191216T16-05,10842
20191216T15-05,10907
20191216T14-05,11026
20191216T13-05,11243
20191216T12-05,11551
20191216T11-05,11954
20191216T10-05,12456
20191216T09-05,12910
20191216T08-05,13177
20191216T07-05,12694
20191216T06-05,11417
20191216T05-05,10576
20191216T04-05,10187
20191216T03-05,10077
20191216T02-05,10156
20191216T01-05,10374
20191216T00-05,10767
20191215T23-05,11333
20191215T22-05,11828
20191215T21-05,12117
20191215T20-05,12090
20191215T19-05,11904
20191215T18-05,11238
20191215T17-05,10311
20191215T16-05,9977
20191215T15-05,10007
20191215T14-05,10210
20191215T13-05,10541
20191215T12-05,10910
20191215T11-05,11671
20191215T10-05,12683
20191215T09-05,13448
20191215T08-05,13163
20191215T07-05,12553
20191215T06-05,11913
20191215T05-05,11461
20191215T04-05,11142
20191215T03-05,10950
20191215T02-05,10901
20191215T01-05,10985
20191215T00-05,11268
20191214T23-05,11637
20191214T22-05,11920
20191214T21-05,12027
20191214T20-05,12028
20191214T19-05,12031
20191214T18-05,11711
20191214T17-05,10921
20191214T16-05,10574
20191214T15-05,10545
20191214T14-05,10764
20191214T13-05,11166
20191214T12-05,11672
20191214T11-05,12038
20191214T10-05,12194
20191214T09-05,12012
20191214T08-05,11610
20191214T07-05,11170
20191214T06-05,10783
20191214T05-05,10593
20191214T04-05,10526
20191214T03-05,10684
20191214T02-05,10893
20191214T01-05,11288
20191214T00-05,12056
20191213T23-05,12602
20191213T22-05,13321
20191213T21-05,13813
20191213T20-05,14234
20191213T19-05,14618
20191213T18-05,14831
20191213T17-05,14514
20191213T16-05,14272
20191213T15-05,14627
20191213T14-05,14828
20191213T13-05,14991
20191213T12-05,15245
20191213T11-05,15401
20191213T10-05,15502
20191213T09-05,15535
20191213T08-05,15490
20191213T07-05,14838
20191213T06-05,13679
20191213T05-05,12848
20191213T04-05,12444
20191213T03-05,12275
20191213T02-05,12189
20191213T01-05,12281
20191213T00-05,12709
20191212T23-05,13437
20191212T22-05,14206
20191212T21-05,14637
20191212T20-05,14698
20191212T19-05,14569
20191212T18-05,13985
20191212T17-05,12813
20191212T16-05,12257
20191212T15-05,12260
20191212T14-05,12533
20191212T13-05,12893
20191212T12-05,13527
20191212T11-05,14341
20191212T10-05,15278
20191212T09-05,16263
20191212T08-05,16857
20191212T07-05,16548
20191212T06-05,15147
20191212T05-05,14189
20191212T04-05,13751
20191212T03-05,13512
20191212T02-05,13408
20191212T01-05,13444
20191212T00-05,13663
20191211T23-05,14174
20191211T22-05,14701
