,Demand1
20191114T11-05,23221
20191114T10-05,22310
20191114T09-05,21242
20191114T08-05,20293
20191114T07-05,19136
20191114T06-05,17004
20191114T05-05,16250
20191114T04-05,15968
20191114T03-05,16157
20191114T02-05,16654
20191114T01-05,17581
20191114T00-05,19286
20191113T23-05,21148
20191113T22-05,22974
20191113T21-05,24450
20191113T20-05,25370
20191113T19-05,25898
20191113T18-05,25080
20191113T17-05,24262
20191113T16-05,24260
20191113T15-05,24500
20191113T14-05,24787
20191113T13-05,24680
20191113T12-05,24267
20191113T11-05,23624
20191113T10-05,22826
20191113T09-05,21891
20191113T08-05,20918
20191113T07-05,19757
20191113T06-05,17491
20191113T05-05,16161
20191113T04-05,15917
20191113T03-05,16239
20191113T02-05,17064
20191113T01-05,18379
20191113T00-05,20362
20191112T23-05,22747
20191112T22-05,25053
20191112T21-05,27030
20191112T20-05,28626
20191112T19-05,29932
20191112T18-05,29830
20191112T17-05,30447
20191112T16-05,31005
20191112T15-05,30921
20191112T14-05,30279
20191112T13-05,29043
20191112T12-05,27539
20191112T11-05,25762
20191112T10-05,23953
20191112T09-05,22126
20191112T08-05,20623
20191112T07-05,19299
20191112T06-05,17230
20191112T05-05,16014
20191112T04-05,15781
20191112T03-05,16073
20191112T02-05,16758
20191112T01-05,17978
20191112T00-05,19732
20191111T23-05,21926
20191111T22-05,24103
20191111T21-05,26033
20191111T20-05,27600
20191111T19-05,28798
20191111T18-05,28570
20191111T17-05,29042
20191111T16-05,29532
20191111T15-05,29308
20191111T14-05,28578
20191111T13-05,27570
20191111T12-05,26360
20191111T11-05,24881
20191111T10-05,23268
20191111T09-05,21545
20191111T08-05,19624
20191111T07-05,18051
20191111T06-05,16464
20191111T05-05,15365
20191111T04-05,15107
20191111T03-05,15287
20191111T02-05,15783
20191111T01-05,16752
20191111T00-05,18213
20191110T23-05,20049
20191110T22-05,21733
20191110T21-05,23166
20191110T20-05,24290
20191110T19-05,25352
20191110T18-05,25057
20191110T17-05,25503
20191110T16-05,25934
20191110T15-05,25858
20191110T14-05,25344
20191110T13-05,24575
20191110T12-05,23509
20191110T11-05,22473
20191110T10-05,21211
20191110T09-05,19318
20191110T08-05,16982
20191110T07-05,15550
20191110T06-05,14901
20191110T05-05,14587
20191110T04-05,14715
20191110T03-05,15039
20191110T02-05,15637
20191110T01-05,16573
20191110T00-05,17821
20191109T23-05,19252
20191109T22-05,20535
20191109T21-05,21643
20191109T20-05,22654
20191109T19-05,23618
20191109T18-05,23356
20191109T17-05,23431
20191109T16-05,23879
20191109T15-05,24078
20191109T14-05,24069
20191109T13-05,23944
20191109T12-05,23684
20191109T11-05,23233
20191109T10-05,22427
20191109T09-05,20972
20191109T08-05,19168
20191109T07-05,17983
20191109T06-05,17273
20191109T05-05,17020
20191109T04-05,17178
20191109T03-05,17696
20191109T02-05,18550
20191109T01-05,19775
20191109T00-05,21473
20191108T23-05,23252
20191108T22-05,25081
20191108T21-05,26633
20191108T20-05,28075
20191108T19-05,29462
20191108T18-05,29709
20191108T17-05,30216
20191108T16-05,31133
20191108T15-05,31699
20191108T14-05,31963
20191108T13-05,31820
20191108T12-05,31033
20191108T11-05,29275
20191108T10-05,27130
20191108T09-05,24917
20191108T08-05,22860
20191108T07-05,21334
20191108T06-05,19392
20191108T05-05,18273
