,Demand
20191114T13Z,1664
20191114T12Z,1574
20191114T11Z,1389
20191114T10Z,1261
20191114T09Z,1222
20191114T08Z,1239
20191114T07Z,1263
20191114T06Z,1327
20191114T05Z,1459
20191114T04Z,1584
20191114T03Z,1731
20191114T02Z,1847
20191114T01Z,1927
20191114T00Z,1970
20191113T23Z,1894
20191113T22Z,1860
20191113T21Z,1882
20191113T20Z,1842
20191113T19Z,1823
20191113T18Z,1836
20191113T17Z,1829
20191113T16Z,1802
20191113T15Z,1762
20191113T14Z,1703
20191113T13Z,1658
20191113T12Z,1575
20191113T11Z,1377
20191113T10Z,1250
20191113T09Z,1221
20191113T08Z,1251
20191113T07Z,1304
20191113T06Z,1414
20191113T05Z,1594
20191113T04Z,1771
20191113T03Z,1963
20191113T02Z,2106
20191113T01Z,2231
20191113T00Z,2320
20191112T23Z,2323
20191112T22Z,2372
20191112T21Z,2415
20191112T20Z,2412
20191112T19Z,2371
20191112T18Z,2270
20191112T17Z,2134
20191112T16Z,2031
20191112T15Z,1964
20191112T14Z,1820
20191112T13Z,1730
20191112T12Z,1609
20191112T11Z,1452
20191112T10Z,1318
20191112T09Z,1294
20191112T08Z,1317
20191112T07Z,1364
20191112T06Z,1451
20191112T05Z,1584
20191112T04Z,1747
20191112T03Z,1919
20191112T02Z,2068
20191112T01Z,2193
20191112T00Z,2278
20191111T23Z,2238
20191111T22Z,2279
20191111T21Z,2315
20191111T20Z,2295
20191111T19Z,2217
20191111T18Z,2132
20191111T17Z,2043
20191111T16Z,1923
20191111T15Z,1803
20191111T14Z,1689
20191111T13Z,1572
20191111T12Z,1467
20191111T11Z,1329
20191111T10Z,1222
20191111T09Z,1185
20191111T08Z,1205
20191111T07Z,1237
20191111T06Z,1306
20191111T05Z,1423
20191111T04Z,1557
20191111T03Z,1689
20191111T02Z,1790
20191111T01Z,1883
20191111T00Z,1972
20191110T23Z,1940
20191110T22Z,1967
20191110T21Z,1990
20191110T20Z,1987
20191110T19Z,1928
20191110T18Z,1865
20191110T17Z,1786
20191110T16Z,1718
20191110T15Z,1652
20191110T14Z,1507
20191110T13Z,1350
20191110T12Z,1271
20191110T11Z,1219
20191110T10Z,1175
20191110T09Z,1179
20191110T08Z,1201
20191110T07Z,1246
20191110T06Z,1321
20191110T05Z,1403
20191110T04Z,1511
20191110T03Z,1610
20191110T02Z,1714
20191110T01Z,1797
20191110T00Z,1863
20191109T23Z,1839
20191109T22Z,1871
20191109T21Z,1928
20191109T20Z,1967
20191109T19Z,1961
20191109T18Z,1917
20191109T17Z,1865
20191109T16Z,1788
20191109T15Z,1701
20191109T14Z,1580
20191109T13Z,1477
20191109T12Z,1403
20191109T11Z,1321
20191109T10Z,1286
20191109T09Z,1303
20191109T08Z,1331
20191109T07Z,1392
20191109T06Z,1480
20191109T05Z,1593
20191109T04Z,1739
20191109T03Z,1845
20191109T02Z,1974
20191109T01Z,2059
20191109T00Z,2155
20191108T23Z,2170
20191108T22Z,2188
20191108T21Z,2249
20191108T20Z,2335
20191108T19Z,2390
20191108T18Z,2420
20191108T17Z,2397
20191108T16Z,2300
20191108T15Z,2141
20191108T14Z,2002
20191108T13Z,1890
20191108T12Z,1773
20191108T11Z,1604
20191108T10Z,1502
20191108T09Z,1490
20191108T08Z,1513
20191108T07Z,1579
20191108T06Z,1691
20191108T05Z,1851
20191108T04Z,2044
20191108T03Z,2245
20191108T02Z,2423
20191108T01Z,2563
20191108T00Z,2650
20191107T23Z,2661
20191107T22Z,2779
20191107T21Z,2823
20191107T20Z,2806
20191107T19Z,2777
20191107T18Z,2675
20191107T17Z,2539
20191107T16Z,2383
20191107T15Z,2193
20191107T14Z,2015
20191107T13Z,1878
20191107T12Z,1768
20191107T11Z,1584
20191107T10Z,1469
20191107T09Z,1447
20191107T08Z,1473
20191107T07Z,1530
20191107T06Z,1612
20191107T05Z,1761
20191107T04Z,1938
20191107T03Z,2122
20191107T02Z,2265
20191107T01Z,2383
20191107T00Z,2473
20191106T23Z,2439
20191106T22Z,2485
20191106T21Z,2558
20191106T20Z,2601
20191106T19Z,2585
20191106T18Z,2504
20191106T17Z,2385
20191106T16Z,2261
20191106T15Z,2117
20191106T14Z,2011
20191106T13Z,1919
20191106T12Z,1824
20191106T11Z,1627
20191106T10Z,1497
20191106T09Z,1483
20191106T08Z,1498
20191106T07Z,1549
20191106T06Z,1638
20191106T05Z,1780
20191106T04Z,1980
20191106T03Z,2167
20191106T02Z,2333
20191106T01Z,2457
20191106T00Z,2544
20191105T23Z,2549
20191105T22Z,2551
20191105T21Z,2592
20191105T20Z,2648
20191105T19Z,2643
20191105T18Z,2578
20191105T17Z,2482
20191105T16Z,2350
20191105T15Z,2190
20191105T14Z,2012
20191105T13Z,1864
20191105T12Z,1740
20191105T11Z,1559
20191105T10Z,1455
20191105T09Z,1431
20191105T08Z,1465
20191105T07Z,1517
20191105T06Z,1610
20191105T05Z,1691
20191105T04Z,1931
20191105T03Z,2123
20191105T02Z,2271
20191105T01Z,2378
20191105T00Z,2451
20191104T23Z,2400
20191104T22Z,2410
20191104T21Z,2444
20191104T20Z,2458
20191104T19Z,2440
20191104T18Z,2362
20191104T17Z,2278
20191104T16Z,2173
20191104T15Z,2015
20191104T14Z,1883
20191104T13Z,1779
20191104T12Z,1659
20191104T11Z,1471
20191104T10Z,1348
20191104T09Z,1308
20191104T08Z,1317
20191104T07Z,1344
20191104T06Z,1413
20191103T04Z,
20191103T03Z,
20191103T02Z,
20191103T01Z,
20191103T00Z,
20191102T23Z,
20191102T22Z,
20191102T21Z,
20191102T20Z,
20191102T19Z,
20191102T18Z,
20191102T17Z,
20191102T16Z,
20191102T15Z,
20191102T14Z,
20191102T13Z,
20191102T12Z,
20191102T11Z,
20191102T10Z,
20191102T09Z,
20191102T08Z,
20191102T07Z,
20191102T06Z,
20191102T05Z,
20191102T04Z,1687
20191102T03Z,1841
20191102T02Z,1979
20191102T01Z,2111
20191102T00Z,2219
20191101T23Z,2242
20191101T22Z,2321
20191101T21Z,2402
20191101T20Z,2424
20191101T19Z,2367
20191101T18Z,2272
20191101T17Z,2158
20191101T16Z,2062
20191101T15Z,1994
20191101T14Z,1902
20191101T13Z,1856
20191101T12Z,1868
20191101T11Z,1787
20191101T10Z,1664
20191101T09Z,1588
20191101T08Z,1605
20191101T07Z,1662
20191101T06Z,1751
20191101T05Z,1863
20191101T04Z,216
20191101T03Z,2272
20191101T02Z,2845
20191101T01Z,2206
20191101T00Z,2709
20191031T23Z,2868
20191031T22Z,3036
