,Demand
20191114T13Z,4232
20191114T12Z,3990
20191114T11Z,3492
20191114T10Z,3731
20191114T09Z,3631
20191114T08Z,3651
20191114T07Z,3728
20191114T06Z,3900
20191114T05Z,3576
20191114T04Z,4009
20191114T03Z,4449
20191114T02Z,5431
20191114T01Z,5636
20191114T00Z,5756
20191113T23Z,5531
20191113T22Z,5245
20191113T21Z,5150
20191113T20Z,5125
20191113T19Z,5168
20191113T18Z,5150
20191113T17Z,5126
20191113T16Z,5123
20191113T15Z,5111
20191113T14Z,5054
20191113T13Z,4968
20191113T12Z,4677
20191113T11Z,4091
20191113T10Z,3720
20191113T09Z,3612
20191113T08Z,3651
20191113T07Z,3815
20191113T06Z,4098
20191113T05Z,4556
20191113T04Z,5182
20191113T03Z,5763
20191113T02Z,6248
20191113T01Z,6604
20191113T00Z,6931
20191112T23Z,6902
20191112T22Z,7007
20191112T21Z,7081
20191112T20Z,7035
20191112T19Z,6873
20191112T18Z,6552
20191112T17Z,6181
20191112T16Z,5750
20191112T15Z,5360
20191112T14Z,5013
20191112T13Z,4747
20191112T12Z,4447
20191112T11Z,3904
20191112T10Z,3610
20191112T09Z,3528
20191112T08Z,3572
20191112T07Z,3720
20191112T06Z,3977
20191112T05Z,4391
20191112T04Z,4943
20191112T03Z,5520
20191112T02Z,5995
20191112T01Z,6407
20191112T00Z,6702
20191111T23Z,6612
20191111T22Z,6656
20191111T21Z,6673
20191111T20Z,6558
20191111T19Z,6323
20191111T18Z,6051
20191111T17Z,5744
20191111T16Z,5444
20191111T15Z,5152
20191111T14Z,4914
20191111T13Z,4636
20191111T12Z,4290
20191111T11Z,3792
20191111T10Z,3494
20191111T09Z,3399
20191111T08Z,3414
20191111T07Z,3515
20191111T06Z,3735
20191111T05Z,4076
20191111T04Z,4552
20191111T03Z,5012
20191111T02Z,5413
20191111T01Z,5734
20191111T00Z,6009
20191110T23Z,5913
20191110T22Z,5952
20191110T21Z,5941
20191110T20Z,5823
20191110T19Z,5627
20191110T18Z,5418
20191110T17Z,5184
20191110T16Z,5049
20191110T15Z,4880
20191110T14Z,4576
20191110T13Z,4086
20191110T12Z,3712
20191110T11Z,3505
20191110T10Z,3416
20191110T09Z,3410
20191110T08Z,3453
20191110T07Z,3561
20191110T06Z,3764
20191110T05Z,4057
20191110T04Z,4419
20191110T03Z,4774
20191110T02Z,5067
20191110T01Z,5348
20191110T00Z,5615
20191109T23Z,5540
20191109T22Z,5628
20191109T21Z,5725
20191109T20Z,5781
20191109T19Z,5725
20191109T18Z,5599
20191109T17Z,5443
20191109T16Z,5270
20191109T15Z,5058
20191109T14Z,4732
20191109T13Z,4281
20191109T12Z,3935
20191109T11Z,3704
20191109T10Z,3618
20191109T09Z,3616
20191109T08Z,3725
20191109T07Z,3894
20191109T06Z,4152
