,Demand
20191114T13Z,11697
20191114T12Z,10972
20191114T11Z,9806
20191114T10Z,9150
20191114T09Z,9059
20191114T08Z,9205
20191114T07Z,9547
20191114T06Z,10122
20191114T05Z,10983
20191114T04Z,12073
20191114T03Z,13010
20191114T02Z,13774
20191114T01Z,14333
20191114T00Z,14685
20191113T23Z,14302
20191113T22Z,14029
20191113T21Z,14228
20191113T20Z,14501
20191113T19Z,14749
20191113T18Z,14669
20191113T17Z,14259
20191113T16Z,13680
20191113T15Z,12922
20191113T14Z,12067
20191113T13Z,11393
20191113T12Z,10695
20191113T11Z,9602
20191113T10Z,9014
20191113T09Z,8981
20191113T08Z,9196
20191113T07Z,9633
20191113T06Z,10338
20191113T05Z,11671
20191113T04Z,12991
20191113T03Z,14262
20191113T02Z,15383
20191113T01Z,16345
20191113T00Z,17114
20191112T23Z,17071
20191112T22Z,17533
20191112T21Z,17940
20191112T20Z,17923
20191112T19Z,17566
20191112T18Z,16829
20191112T17Z,16013
20191112T16Z,15009
20191112T15Z,13837
20191112T14Z,12657
20191112T13Z,11636
20191112T12Z,10853
20191112T11Z,9725
20191112T10Z,9103
20191112T09Z,9015
20191112T08Z,9189
20191112T07Z,9596
20191112T06Z,10345
20191112T05Z,11400
20191112T04Z,12623
20191112T03Z,13782
20191112T02Z,14843
20191112T01Z,15712
20191112T00Z,16413
20191111T23Z,16363
20191111T22Z,16746
20191111T21Z,17168
20191111T20Z,17131
20191111T19Z,16818
20191111T18Z,16283
20191111T17Z,15611
20191111T16Z,14708
20191111T15Z,13684
20191111T14Z,12494
20191111T13Z,11165
20191111T12Z,10176
20191111T11Z,9395
20191111T10Z,8802
20191111T09Z,8721
20191111T08Z,8854
20191111T07Z,9149
20191111T06Z,9720
20191111T05Z,10567
20191111T04Z,11596
20191111T03Z,12496
20191111T02Z,13254
20191111T01Z,13848
20191111T00Z,14412
20191110T23Z,14278
20191110T22Z,14619
20191110T21Z,15031
20191110T20Z,15135
20191110T19Z,14971
20191110T18Z,14584
20191110T17Z,13949
20191110T16Z,13222
20191110T15Z,12324
20191110T14Z,11055
20191110T13Z,9586
20191110T12Z,8741
20191110T11Z,8433
20191110T10Z,8291
20191110T09Z,8373
20191110T08Z,8593
20191110T07Z,8948
20191110T06Z,9499
20191110T05Z,10222
20191110T04Z,11043
20191110T03Z,11711
20191110T02Z,12282
20191110T01Z,12801
20191110T00Z,13290
20191109T23Z,13144
20191109T22Z,13048
20191109T21Z,13289
20191109T20Z,13407
20191109T19Z,13505
20191109T18Z,13626
20191109T17Z,13656
20191109T16Z,13546
20191109T15Z,13159
20191109T14Z,12313
20191109T13Z,11242
20191109T12Z,10588
20191109T11Z,10282
20191109T10Z,10181
20191109T09Z,10310
20191109T08Z,10642
20191109T07Z,11185
20191109T06Z,11949
20191109T05Z,12977
20191109T04Z,13975
20191109T03Z,15013
20191109T02Z,15936
20191109T01Z,16834
20191109T00Z,17697
20191108T23Z,17865
20191108T22Z,18345
20191108T21Z,19019
20191108T20Z,19289
20191108T19Z,19262
20191108T18Z,18960
20191108T17Z,18234
20191108T16Z,17085
20191108T15Z,15783
20191108T14Z,14323
20191108T13Z,12883
20191108T12Z,11975
20191108T11Z,10935
20191108T10Z,10363
20191108T09Z,10395
20191108T08Z,10702
20191108T07Z,11269
20191108T06Z,12138
20191108T05Z,13297
20191108T04Z,14620
20191108T03Z,15925
20191108T02Z,17112
20191108T01Z,17875
20191108T00Z,18736
20191107T23Z,18958
20191107T22Z,19672
20191107T21Z,20169
20191107T20Z,20267
20191107T19Z,19981
20191107T18Z,19538
20191107T17Z,18640
20191107T16Z,17573
20191107T15Z,16282
20191107T14Z,14887
20191107T13Z,13472
20191107T12Z,12560
20191107T11Z,11487
20191107T10Z,10878
20191107T09Z,10885
20191107T08Z,11190
20191107T07Z,11690
20191107T06Z,12469
20191107T05Z,13487
20191107T04Z,14709
20191107T03Z,15925
20191107T02Z,16989
20191107T01Z,17710
20191107T00Z,18340
20191106T23Z,18272
20191106T22Z,18655
20191106T21Z,19141
20191106T20Z,19198
20191106T19Z,19050
20191106T18Z,18754
20191106T17Z,18003
20191106T16Z,16887
20191106T15Z,15574
20191106T14Z,14256
20191106T13Z,12939
20191106T12Z,12390
20191106T11Z,11316
20191106T10Z,10657
20191106T09Z,10602
20191106T08Z,10823
20191106T07Z,11308
20191106T06Z,12030
20191106T05Z,13116
20191106T04Z,14433
20191106T03Z,15784
20191106T02Z,16885
20191106T01Z,17695
20191106T00Z,18454
20191105T23Z,18405
20191105T22Z,18734
20191105T21Z,19267
20191105T20Z,19356
20191105T19Z,19164
20191105T18Z,18838
20191105T17Z,18149
20191105T16Z,17282
20191105T15Z,16036
20191105T14Z,14621
20191105T13Z,13260
20191105T12Z,12395
20191105T11Z,11351
20191105T10Z,10672
20191105T09Z,10595
20191105T08Z,10823
20191105T07Z,11277
20191105T06Z,12099
20191105T05Z,13121
20191105T04Z,14386
20191105T03Z,15643
20191105T02Z,16693
20191105T01Z,17470
20191105T00Z,18069
20191104T23Z,17875
20191104T22Z,17894
20191104T21Z,18375
20191104T20Z,18656
20191104T19Z,18565
20191104T18Z,18197
20191104T17Z,17432
20191104T16Z,16534
20191104T15Z,15436
20191104T14Z,14177
20191104T13Z,13022
20191104T12Z,12109
20191104T11Z,10966
20191104T10Z,10164
20191104T09Z,9974
20191104T08Z,10071
20191104T07Z,10336
20191104T06Z,10873
20191104T05Z,
20191104T04Z,11691
20191104T03Z,12639
20191104T02Z,13550
20191104T01Z,14388
20191104T00Z,15063
20191103T23Z,15563
20191103T22Z,15402
20191103T21Z,15396
20191103T20Z,15804
20191103T19Z,16329
20191103T18Z,16619
20191103T17Z,16459
20191103T16Z,15999
20191103T15Z,15276
20191103T14Z,14445
20191103T13Z,13326
20191103T12Z,11840
20191103T11Z,10859
20191103T10Z,10552
20191103T09Z,10496
20191103T08Z,10683
20191103T07Z,10951
20191103T06Z,11341
20191103T05Z,
20191103T04Z,14621
20191103T03Z,14851
20191103T02Z,15769
20191103T01Z,16738
20191103T00Z,17618
20191102T23Z,18073
20191102T22Z,19007
20191102T21Z,19669
20191102T20Z,19873
20191102T19Z,19643
20191102T18Z,19141
20191102T17Z,18303
20191102T16Z,17198
20191102T15Z,15909
20191102T14Z,14404
20191102T13Z,12728
20191102T12Z,11667
20191102T11Z,11244
20191102T10Z,10942
20191102T09Z,10905
20191102T08Z,11145
20191102T07Z,11522
20191102T06Z,12209
20191102T05Z,13057
20191102T04Z,8186
20191102T03Z,8108
20191102T02Z,13090
20191102T01Z,17265
20191102T00Z,18138
20191101T23Z,18516
20191101T22Z,19269
20191101T21Z,19891
20191101T20Z,19964
20191101T19Z,19664
20191101T18Z,19085
20191101T17Z,18323
20191101T16Z,17427
20191101T15Z,16378
20191101T14Z,15133
20191101T13Z,13835
20191101T12Z,13176
20191101T11Z,12695
20191101T10Z,11799
20191101T09Z,11389
20191101T08Z,11497
20191101T07Z,11927
20191101T06Z,12578
20191101T05Z,13478
20191101T04Z,14819
20191101T03Z,16292
20191101T02Z,17557
20191101T01Z,18224
20191101T00Z,19080
20191031T23Z,19956
20191031T22Z,21301
20191031T21Z,21944
20191031T20Z,21907
20191031T19Z,21410
20191031T18Z,20716
20191031T17Z,19719
20191031T16Z,18609
20191031T15Z,17295
20191031T14Z,15863
20191031T13Z,14343
20191031T12Z,13694
20191031T11Z,13290
20191031T10Z,12289
20191031T09Z,11810
20191031T08Z,11870
20191031T07Z,12263
20191031T06Z,12932
20191031T05Z,13837
20191031T04Z,15039
20191031T03Z,16591
20191031T02Z,18010
20191031T01Z,19021
20191031T00Z,19916
20191030T23Z,20187
20191030T22Z,21061
20191030T21Z,21640
20191030T20Z,21616
20191030T19Z,21204
20191030T18Z,20573
20191030T17Z,19709
20191030T16Z,18719
20191030T15Z,17485
20191030T14Z,16174
20191030T13Z,14743
20191030T12Z,14123
20191030T11Z,13707
20191030T10Z,12729
20191030T09Z,12205
20191030T08Z,12260
20191030T07Z,12619
20191030T06Z,13126
20191030T05Z,13989
20191030T04Z,15125
20191030T03Z,16607
20191030T02Z,18051
20191030T01Z,19205
20191030T00Z,20099
20191029T23Z,20379
20191029T22Z,21217
20191029T21Z,21810
20191029T20Z,21809
20191029T19Z,21486
20191029T18Z,20916
20191029T17Z,20066
20191029T16Z,19004
20191029T15Z,17764
20191029T14Z,16294
20191029T13Z,14761
20191029T12Z,14124
20191029T11Z,13662
20191029T10Z,12582
20191029T09Z,12069
20191029T08Z,12111
20191029T07Z,12454
20191029T06Z,13048
20191029T05Z,13930
20191029T04Z,15085
20191029T03Z,16598
20191029T02Z,17999
20191029T01Z,19101
20191029T00Z,20237
20191028T23Z,20588
20191028T22Z,21381
20191028T21Z,21844
20191028T20Z,21853
20191028T19Z,21508
20191028T18Z,20927
20191028T17Z,20099
20191028T16Z,18936
20191028T15Z,17609
20191028T14Z,16040
20191028T13Z,14432
20191028T12Z,13730
20191028T11Z,13251
20191028T10Z,12275
20191028T09Z,11700
20191028T08Z,11657
20191028T07Z,11980
20191028T06Z,12486
20191028T05Z,13307
20191028T04Z,14825
20191028T03Z,15917
20191028T02Z,17278
20191028T01Z,18259
20191028T00Z,19232
20191027T23Z,19530
20191027T22Z,20422
20191027T21Z,21042
20191027T20Z,21146
20191027T19Z,20883
20191027T18Z,20319
20191027T17Z,19526
20191027T16Z,18295
20191027T15Z,16736
20191027T14Z,14969
20191027T13Z,12959
20191027T12Z,11758
20191027T11Z,11477
20191027T10Z,11291
20191027T09Z,11230
20191027T08Z,11451
20191027T07Z,11821
20191027T06Z,12377
20191027T05Z,13091
20191027T04Z,14005
20191027T03Z,14945
20191027T02Z,15820
20191027T01Z,16451
20191027T00Z,17092
20191026T23Z,17340
20191026T22Z,17904
20191026T21Z,18355
20191026T20Z,18712
20191026T19Z,18906
20191026T18Z,18897
20191026T17Z,18786
20191026T16Z,18159
20191026T15Z,16981
20191026T14Z,15400
20191026T13Z,13650
20191026T12Z,12579
20191026T11Z,12072
20191026T10Z,11740
20191026T09Z,11669
20191026T08Z,11935
20191026T07Z,12346
20191026T06Z,12902
20191026T05Z,13740
20191026T04Z,14706
20191026T03Z,15844
20191026T02Z,16880
20191026T01Z,17737
20191026T00Z,18414
20191025T23Z,18756
20191025T22Z,19730
20191025T21Z,20396
20191025T20Z,20500
20191025T19Z,20481
20191025T18Z,20181
20191025T17Z,19665
20191025T16Z,19018
20191025T15Z,18013
20191025T14Z,16687
20191025T13Z,15218
20191025T12Z,14451
20191025T11Z,14004
20191025T10Z,12970
20191025T09Z,12349
20191025T08Z,12372
20191025T07Z,12724
20191025T06Z,13290
20191025T05Z,14152
20191025T04Z,15251
20191025T03Z,16679
20191025T02Z,18039
20191025T01Z,19083
20191025T00Z,19888
20191024T23Z,20045
20191024T22Z,20787
20191024T21Z,21237
20191024T20Z,21235
20191024T19Z,20893
20191024T18Z,20456
20191024T17Z,19724
20191024T16Z,18853
20191024T15Z,17720
20191024T14Z,16361
20191024T13Z,14834
20191024T12Z,14141
20191024T11Z,13709
20191024T10Z,12604
20191024T09Z,11968
20191024T08Z,11958
20191024T07Z,12253
20191024T06Z,12774
20191024T05Z,13642
20191024T04Z,14967
20191024T03Z,16250
20191024T02Z,17661
20191024T01Z,18886
20191024T00Z,19715
20191023T23Z,19961
20191023T22Z,20729
20191023T21Z,21159
20191023T20Z,20936
20191023T19Z,20425
20191023T18Z,19751
20191023T17Z,18785
20191023T16Z,17685
20191023T15Z,16512
20191023T14Z,15310
20191023T13Z,14113
20191023T12Z,13597
20191023T11Z,13241
20191023T10Z,12218
20191023T09Z,11706
20191023T08Z,11793
20191023T07Z,12233
20191023T06Z,12915
20191023T05Z,13963
20191023T04Z,15316
20191023T03Z,16921
20191023T02Z,18405
20191023T01Z,19664
20191023T00Z,20729
20191022T23Z,21081
20191022T22Z,21856
20191022T21Z,22271
20191022T20Z,22296
20191022T19Z,21886
20191022T18Z,21145
20191022T17Z,19968
20191022T16Z,18542
