,Demand1
20191114T11-05,65
20191114T10-05,61
20191114T09-05,54
20191114T08-05,53
20191114T07-05,55
20191114T06-05,52
20191114T05-05,47
20191114T04-05,46
20191114T03-05,47
20191114T02-05,50
20191114T01-05,53
20191114T00-05,58
20191113T23-05,65
20191113T22-05,71
20191113T21-05,77
20191113T20-05,80
20191113T19-05,83
20191113T18-05,80
20191113T17-05,76
20191113T16-05,75
20191113T15-05,74
20191113T14-05,72
20191113T13-05,71
20191113T12-05,67
20191113T11-05,62
20191113T10-05,56
20191113T09-05,51
20191113T08-05,49
20191113T07-05,50
20191113T06-05,47
20191113T05-05,44
20191113T04-05,43
20191113T03-05,45
20191113T02-05,48
20191113T01-05,53
20191113T00-05,60
20191112T23-05,68
20191112T22-05,76
20191112T21-05,82
20191112T20-05,87
20191112T19-05,89
20191112T18-05,85
20191112T17-05,84
20191112T16-05,82
20191112T15-05,80
20191112T14-05,76
20191112T13-05,72
20191112T12-05,68
20191112T11-05,62
20191112T10-05,58
20191112T09-05,53
20191112T08-05,50
20191112T07-05,50
20191112T06-05,47
20191112T05-05,44
20191112T04-05,43
20191112T03-05,43
20191112T02-05,46
20191112T01-05,50
20191112T00-05,56
20191111T23-05,63
20191111T22-05,70
20191111T21-05,76
20191111T20-05,81
20191111T19-05,84
20191111T18-05,80
20191111T17-05,80
20191111T16-05,79
20191111T15-05,78
20191111T14-05,77
20191111T13-05,74
20191111T12-05,69
20191111T11-05,64
20191111T10-05,59
20191111T09-05,53
20191111T08-05,46
20191111T07-05,45
20191111T06-05,44
20191111T05-05,41
20191111T04-05,40
20191111T03-05,42
20191111T02-05,45
20191111T01-05,49
20191111T00-05,55
20191110T23-05,61
20191110T22-05,65
20191110T21-05,68
20191110T20-05,70
20191110T19-05,73
20191110T18-05,72
20191110T17-05,74
20191110T16-05,75
20191110T15-05,75
20191110T14-05,73
20191110T13-05,71
20191110T12-05,69
20191110T11-05,65
20191110T10-05,59
20191110T09-05,51
20191110T08-05,41
20191110T07-05,38
20191110T06-05,38
20191110T05-05,38
20191110T04-05,40
20191110T03-05,42
20191110T02-05,45
20191110T01-05,48
20191110T00-05,52
20191109T23-05,56
20191109T22-05,59
20191109T21-05,62
20191109T20-05,65
20191109T19-05,68
20191109T18-05,65
20191109T17-05,62
20191109T16-05,61
20191109T15-05,62
20191109T14-05,63
20191109T13-05,64
20191109T12-05,66
20191109T11-05,66
20191109T10-05,62
20191109T09-05,57
20191109T08-05,53
20191109T07-05,53
20191109T06-05,52
20191109T05-05,51
20191109T04-05,52
20191109T03-05,54
20191109T02-05,57
20191109T01-05,61
20191109T00-05,68
20191108T23-05,74
20191108T22-05,80
20191108T21-05,85
20191108T20-05,89
20191108T19-05,92
20191108T18-05,90
20191108T17-05,89
20191108T16-05,87
20191108T15-05,90
20191108T14-05,89
20191108T13-05,86
20191108T12-05,81
20191108T11-05,74
20191108T10-05,68
20191108T09-05,60
20191108T08-05,55
20191108T07-05,56
20191108T06-05,53
20191108T05-05,50
20191108T04-05,49
20191108T03-05,51
20191108T02-05,54
20191108T01-05,59
20191108T00-05,65
20191107T23-05,73
20191107T22-05,81
20191107T21-05,89
20191107T20-05,93
20191107T19-05,95
20191107T18-05,92
20191107T17-05,92
20191107T16-05,91
20191107T15-05,90
20191107T14-05,87
20191107T13-05,85
20191107T12-05,86
20191107T11-05,107
20191107T10-05,74
20191107T09-05,67
20191107T08-05,61
20191107T07-05,62
20191107T06-05,60
20191107T05-05,55
20191107T04-05,57
20191107T03-05,58
20191107T02-05,61
20191107T01-05,64
20191107T00-05,69
20191106T23-05,77
20191106T22-05,83
20191106T21-05,90
20191106T20-05,94
20191106T19-05,96
20191106T18-05,89
20191106T17-05,85
20191106T16-05,85
20191106T15-05,85
20191106T14-05,85
20191106T13-05,83
20191106T12-05,74
20191106T11-05,68
20191106T10-05,66
20191106T09-05,60
20191106T08-05,55
20191106T07-05,56
20191106T06-05,54
20191106T05-05,50
20191106T04-05,50
20191106T03-05,52
20191106T02-05,55
20191106T01-05,60
20191106T00-05,68
20191105T23-05,76
20191105T22-05,85
20191105T21-05,93
20191105T20-05,98
20191105T19-05,101
20191105T18-05,96
20191105T17-05,94
20191105T16-05,93
20191105T15-05,93
20191105T14-05,90
20191105T13-05,87
20191105T12-05,82
20191105T11-05,77
20191105T10-05,71
20191105T09-05,64
20191105T08-05,59
20191105T07-05,60
20191105T06-05,58
20191105T05-05,54
20191105T04-05,53
20191105T03-05,55
20191105T02-05,58
20191105T01-05,63
20191105T00-05,70
