,Demand1
20200105T05-05,
20200105T04-05,
20200105T03-05,
20200105T02-05,
20200105T01-05,
20200104T06-05,
20200104T05-05,
20200104T04-05,
20200104T03-05,
20200104T02-05,
20200104T01-05,
20200104T00-05,
20200103T23-05,
20200103T22-05,
20200103T21-05,
20200103T20-05,
20200103T19-05,
20200103T18-05,
20200103T17-05,
20200103T16-05,
20200103T15-05,
20200103T14-05,
20200103T13-05,
20200103T12-05,
20200103T11-05,
20200103T10-05,
20200103T09-05,
20200103T08-05,
20200103T07-05,
20200103T06-05,
20200103T05-05,
20200103T04-05,
20200103T03-05,
20200103T02-05,
20200103T01-05,
20200103T00-05,1135
20200102T23-05,1221
20200102T22-05,1306
20200102T21-05,1365
20200102T20-05,1405
20200102T19-05,1428
20200102T18-05,1356
20200102T17-05,1313
20200102T16-05,1307
20200102T15-05,1318
20200102T14-05,1290
20200102T13-05,1311
20200102T12-05,1311
20200102T11-05,1337
20200102T10-05,1387
20200102T09-05,1430
20200102T08-05,1428
20200102T07-05,1343
20200102T06-05,1209
20200102T05-05,1110
20200102T04-05,1070
20200102T03-05,1071
20200102T02-05,1091
20200102T01-05,1110
20200102T00-05,1165
20200101T23-05,1241
20200101T22-05,1295
20200101T21-05,1320
20200101T20-05,1336
20200101T19-05,1335
20200101T18-05,1262
20200101T17-05,1193
20200101T16-05,1179
20200101T15-05,1195
20200101T14-05,1235
20200101T13-05,1291
20200101T12-05,1339
20200101T11-05,1383
20200101T10-05,1417
20200101T09-05,1416
20200101T08-05,1374
20200101T07-05,1322
20200101T06-05,1261
20200101T05-05,1213
20200101T04-05,1191
20200101T03-05,1188
20200101T02-05,1196
20200101T01-05,1191
20200101T00-05,
20191231T23-05,
20191231T22-05,
20191231T21-05,
20191231T20-05,
20191231T19-05,
20191231T18-05,
20191231T17-05,
20191231T16-05,
20191231T15-05,
20191231T14-05,
20191231T13-05,
20191231T12-05,
20191231T11-05,
20191231T10-05,
20191231T09-05,
20191231T08-05,
20191231T07-05,
20191231T06-05,
20191231T05-05,
20191231T04-05,
20191231T03-05,
20191231T02-05,
20191231T01-05,
20191231T00-05,1105
20191230T23-05,1214
20191230T22-05,1312
20191230T21-05,1401
20191230T20-05,1487
20191230T19-05,1535
20191230T18-05,1490
20191230T17-05,1433
20191230T16-05,1433
20191230T15-05,1447
20191230T14-05,1457
20191230T13-05,1465
20191230T12-05,1450
20191230T11-05,1410
20191230T10-05,1319
20191230T09-05,1264
20191230T08-05,1203
20191230T07-05,1121
20191230T06-05,1047
20191230T05-05,999
20191230T04-05,975
20191230T03-05,982
20191230T02-05,1016
20191230T01-05,1074
20191230T00-05,1149
20191229T23-05,1231
20191229T22-05,1314
20191229T21-05,1371
20191229T20-05,1405
20191229T19-05,1431
20191229T18-05,1368
20191229T17-05,1332
20191229T16-05,1321
20191229T15-05,1306
20191229T14-05,1300
20191229T13-05,1308
20191229T12-05,1288
20191229T11-05,1259
20191229T10-05,1191
20191229T09-05,1102
20191229T08-05,1033
20191229T07-05,987
20191229T06-05,947
20191229T05-05,933
20191229T04-05,934
20191229T03-05,957
20191229T02-05,991
20191229T01-05,1052
20191229T00-05,1123
20191228T23-05,1201
20191228T22-05,1259
20191228T21-05,1327
20191228T20-05,1357
20191228T19-05,1383
20191228T18-05,1346
20191228T17-05,1264
20191228T16-05,1264
20191228T15-05,1308
20191228T14-05,1319
20191228T13-05,1313
20191228T12-05,1290
20191228T11-05,1266
20191228T10-05,1207
20191228T09-05,1117
20191228T08-05,1039
20191228T07-05,990
20191228T06-05,946
20191228T05-05,929
20191228T04-05,921
20191228T03-05,938
20191228T02-05,981
20191228T01-05,1027
20191031T00-04,
20191030T23-04,
20191030T22-04,
20191030T21-04,
20191030T20-04,
20191030T19-04,
20191030T18-04,
20191030T17-04,
20191030T16-04,
20191030T15-04,
20191030T14-04,
20191030T13-04,
20191030T12-04,
20191030T11-04,
20191030T10-04,
20191030T09-04,
20191030T08-04,
20191030T07-04,
20191030T06-04,
20191030T05-04,
20191030T04-04,
20191030T03-04,
20191030T02-04,
20191030T01-04,
20191030T00-04,1368
20191029T23-04,1518
20191029T22-04,1674
20191029T21-04,1823
20191029T20-04,1954
20191029T19-04,1991
20191029T18-04,2017
20191029T17-04,2029
20191029T16-04,1938
20191029T15-04,1641
20191029T14-04,1974
20191029T13-04,1919
20191029T12-04,1809
20191029T11-04,1687
20191029T10-04,1584
20191029T09-04,1524
20191029T08-04,1512
20191029T07-04,1434
20191029T06-04,1286
20191029T05-04,1184
20191029T04-04,1172
20191029T03-04,1184
20191029T02-04,1228
20191029T01-04,1305
20191029T00-04,1427
20191028T23-04,1561
20191028T22-04,1720
20191028T21-04,1820
20191028T20-04,1928
20191028T19-04,1943
20191028T18-04,2001
20191028T17-04,2023
20191028T16-04,2004
20191028T15-04,1963
20191028T14-04,1849
20191028T13-04,1700
20191028T12-04,1591
20191028T11-04,1524
20191028T10-04,1449
20191028T09-04,1377
20191028T08-04,1375
20191028T07-04,1310
20191028T06-04,1182
20191028T05-04,1098
20191028T04-04,1078
20191028T03-04,1092
20191028T02-04,1136
20191028T01-04,1216
20191028T00-04,1319
20191027T23-04,1456
20191027T22-04,1589
20191027T21-04,1702
