,Demand
20191114T13Z,2196
20191114T12Z,2155
20191114T11Z,2183
20191114T10Z,2253
20191114T09Z,2363
20191114T08Z,2546
20191114T07Z,2763
20191114T06Z,3005
20191114T05Z,3168
20191114T04Z,3259
20191114T03Z,3367
20191114T02Z,3495
20191114T01Z,3443
20191114T00Z,3464
20191113T23Z,3469
20191113T22Z,3420
20191113T21Z,3316
20191113T20Z,3223
20191113T19Z,3111
20191113T18Z,2992
20191113T17Z,2881
20191113T16Z,2750
20191113T15Z,2585
20191113T14Z,2353
20191113T13Z,2193
20191113T12Z,2150
20191113T11Z,2180
20191113T10Z,2251
20191113T09Z,2356
20191113T08Z,2546
20191113T07Z,2763
20191113T06Z,3005
20191113T05Z,3168
20191113T04Z,3259
20191113T03Z,3367
20191113T02Z,3495
20191113T01Z,3443
20191113T00Z,3464
20191112T23Z,3469
20191112T22Z,3420
20191112T21Z,3316
20191112T20Z,3223
20191112T19Z,3111
20191112T18Z,2992
20191112T17Z,2881
20191112T16Z,2750
20191112T15Z,2585
20191112T14Z,2353
20191112T13Z,2193
20191112T12Z,2150
20191112T11Z,2180
20191112T10Z,2251
20191112T09Z,2356
20191112T08Z,2512
20191112T07Z,2718
20191112T06Z,2939
20191112T05Z,3112
20191112T04Z,3226
20191112T03Z,3343
20191112T02Z,3412
20191112T01Z,3315
20191112T00Z,3338
20191111T23Z,3327
20191111T22Z,3261
20191111T21Z,3175
20191111T20Z,3105
20191111T19Z,3020
20191111T18Z,2911
20191111T17Z,2788
20191111T16Z,2638
20191111T15Z,2500
20191111T14Z,2337
20191111T13Z,2192
20191111T12Z,2144
20191111T11Z,2163
20191111T10Z,2212
20191111T09Z,2301
20191111T08Z,2433
20191111T07Z,2611
20191111T06Z,2786
20191111T05Z,2917
20191111T04Z,3003
20191111T03Z,3065
20191111T02Z,3066
20191111T01Z,2907
20191111T00Z,2861
20191110T23Z,2813
20191110T22Z,2730
20191110T21Z,2651
20191110T20Z,2792
20191110T19Z,2740
20191110T18Z,2643
20191110T17Z,2512
20191110T16Z,2193
20191110T15Z,2139
20191110T14Z,2132
20191110T13Z,2111
20191110T12Z,2125
20191110T11Z,2181
20191110T10Z,2263
20191110T09Z,2373
20191110T08Z,2526
20191110T07Z,2702
20191110T06Z,2872
20191110T05Z,3014
20191110T04Z,3141
20191110T03Z,3260
20191110T02Z,3334
20191110T01Z,3294
20191110T00Z,3340
20191109T23Z,3339
20191109T22Z,3258
20191109T21Z,3170
20191109T20Z,3050
20191109T19Z,2916
20191109T18Z,2763
20191109T17Z,2576
20191109T16Z,2390
20191109T15Z,2292
20191109T14Z,2240
20191109T13Z,2189
20191109T12Z,2195
20191109T11Z,2254
20191109T10Z,2349
20191109T09Z,2467
20191109T08Z,2640
20191109T07Z,2845
20191109T06Z,3065
20191109T05Z,3223
20191109T04Z,3347
20191109T03Z,3514
20191109T02Z,3663
20191109T01Z,3649
20191109T00Z,3694
20191108T23Z,3660
20191108T22Z,3567
20191108T21Z,3455
20191108T20Z,3344
20191108T19Z,3218
20191108T18Z,3076
20191108T17Z,2926
20191108T16Z,2783
20191108T15Z,2623
20191108T14Z,2401
20191108T13Z,2237
20191108T12Z,2198
20191108T11Z,2229
20191108T10Z,2304
20191108T09Z,2419
20191108T08Z,2594
20191108T07Z,2823
20191108T06Z,3061
20191108T05Z,3228
20191108T04Z,3329
20191108T03Z,3436
20191108T02Z,3525
20191108T01Z,3442
20191108T00Z,3476
20191107T23Z,3458
20191107T22Z,3385
20191107T21Z,3296
20191107T20Z,3250
20191107T19Z,3148
20191107T18Z,3032
20191107T17Z,2905
20191107T16Z,2795
20191107T15Z,2641
20191107T14Z,2399
20191107T13Z,2240
20191107T12Z,2192
20191107T11Z,2225
20191107T10Z,2303
20191107T09Z,2419
20191107T08Z,2595
20191107T07Z,2809
20191107T06Z,3029
20191107T05Z,3177
20191107T04Z,3272
20191107T03Z,3362
20191107T02Z,3423
20191107T01Z,3325
20191107T00Z,3320
20191106T23Z,3323
20191106T22Z,3291
20191106T21Z,3232
20191106T20Z,3199
