,Demand
20191114T13Z,4958
20191114T12Z,4817
20191114T11Z,4554
20191114T10Z,4365
20191114T09Z,4376
20191114T08Z,4416
20191114T07Z,4424
20191114T06Z,4438
20191114T05Z,4562
20191114T04Z,4722
20191114T03Z,4851
20191114T02Z,4932
20191114T01Z,4924
20191114T00Z,4909
20191113T23Z,4645
20191113T22Z,4521
20191113T21Z,4500
20191113T20Z,4583
20191113T19Z,4699
20191113T18Z,4878
20191113T17Z,5025
20191113T16Z,5237
20191113T15Z,5455
20191113T14Z,5657
20191113T13Z,5784
20191113T12Z,5668
20191113T11Z,5326
20191113T10Z,5109
20191113T09Z,4984
20191113T08Z,4968
20191113T07Z,4981
20191113T06Z,4992
20191113T05Z,4831
20191113T04Z,4947
20191113T03Z,5084
20191113T02Z,5176
20191113T01Z,5184
20191113T00Z,5203
20191112T23Z,5018
20191112T22Z,4834
20191112T21Z,4846
20191112T20Z,4830
20191112T19Z,4792
20191112T18Z,4823
20191112T17Z,4856
20191112T16Z,4904
20191112T15Z,4888
20191112T14Z,4877
20191112T13Z,4773
20191112T12Z,4553
20191112T11Z,4180
20191112T10Z,3971
20191112T09Z,3853
20191112T08Z,3777
20191112T07Z,3778
20191112T06Z,3778
20191112T05Z,3783
20191112T04Z,3859
20191112T03Z,3983
20191112T02Z,4069
20191112T01Z,4039
20191112T00Z,3983
20191111T23Z,3879
20191111T22Z,3683
20191111T21Z,3646
20191111T20Z,3594
20191111T19Z,3571
20191111T18Z,3608
20191111T17Z,3600
20191111T16Z,3684
20191111T15Z,3746
20191111T14Z,3775
20191111T13Z,3743
20191111T12Z,3519
20191111T11Z,3236
20191111T10Z,3001
20191111T09Z,2953
20191111T08Z,2916
20191111T07Z,2892
20191111T06Z,2915
20191111T05Z,2971
20191111T04Z,3125
20191111T03Z,3254
20191111T02Z,3347
20191111T01Z,3332
20191111T00Z,3399
20191110T23Z,3154
20191110T22Z,3033
20191110T21Z,3019
20191110T20Z,3067
20191110T19Z,3037
20191110T18Z,3134
20191110T17Z,3217
20191110T16Z,3297
20191110T15Z,3389
20191110T14Z,3432
20191110T13Z,3365
20191110T12Z,3340
20191110T11Z,3222
20191110T10Z,3142
20191110T09Z,3140
20191110T08Z,3139
20191110T07Z,3155
20191110T06Z,3261
20191110T05Z,3322
20191110T04Z,3424
20191110T03Z,3593
20191110T02Z,3625
20191110T01Z,3660
20191110T00Z,3658
20191109T23Z,3479
20191109T22Z,3311
20191109T21Z,3252
20191109T20Z,3352
20191109T19Z,3419
20191109T18Z,3551
20191109T17Z,3702
20191109T16Z,3902
20191109T15Z,4017
20191109T14Z,4045
20191109T13Z,4106
20191109T12Z,4034
20191109T11Z,3926
20191109T10Z,3907
20191109T09Z,3874
20191109T08Z,3967
20191109T07Z,3968
20191109T06Z,4007
20191109T05Z,4080
20191109T04Z,4213
20191109T03Z,4245
20191109T02Z,4329
20191109T01Z,4295
20191109T00Z,4278
20191108T23Z,4111
20191108T22Z,3952
20191108T21Z,3901
20191108T20Z,3946
20191108T19Z,3967
20191108T18Z,4086
20191108T17Z,4136
20191108T16Z,4404
20191108T15Z,4510
20191108T14Z,4627
20191108T13Z,4606
20191108T12Z,4431
20191108T11Z,4043
20191108T10Z,3822
20191108T09Z,3689
20191108T08Z,3693
20191108T07Z,3677
20191108T06Z,3698
20191108T05Z,3783
20191108T04Z,3915
20191108T03Z,4032
20191108T02Z,4118
20191108T01Z,4167
20191108T00Z,4141
20191107T23Z,4035
20191107T22Z,3942
20191107T21Z,3957
20191107T20Z,3895
20191107T19Z,3905
20191107T18Z,3944
20191107T17Z,3871
20191107T16Z,3849
20191107T15Z,3787
20191107T14Z,3722
20191107T13Z,3687
20191107T12Z,3454
20191107T11Z,3152
20191107T10Z,2952
20191107T09Z,2930
20191107T08Z,2992
20191107T07Z,2972
20191107T06Z,3099
20191107T05Z,3231
20191107T04Z,3369
20191107T03Z,3595
20191107T02Z,3671
20191107T01Z,3765
20191107T00Z,3804
20191106T23Z,3680
20191106T22Z,3532
20191106T21Z,3592
20191106T20Z,3637
20191106T19Z,3643
20191106T18Z,3727
20191106T17Z,3814
20191106T16Z,3905
20191106T15Z,4042
20191106T14Z,4196
20191106T13Z,4260
20191106T12Z,4100
20191106T11Z,3737
20191106T10Z,3487
20191106T09Z,3416
20191106T08Z,3406
20191106T07Z,3423
20191106T06Z,3386
20191106T05Z,3527
20191106T04Z,3582
20191106T03Z,3714
20191106T02Z,3776
20191106T01Z,3825
20191106T00Z,3767
20191105T23Z,3603
20191105T22Z,3459
20191105T21Z,3552
20191105T20Z,3618
20191105T19Z,3651
20191105T18Z,3670
20191105T17Z,3751
20191105T16Z,3840
20191105T15Z,3812
20191105T14Z,3764
20191105T13Z,3724
20191105T12Z,3499
20191105T11Z,3243
20191105T10Z,3052
20191105T09Z,3005
20191105T08Z,3062
20191105T07Z,3040
20191105T06Z,3129
20191105T05Z,3203
20191105T04Z,3393
20191105T03Z,3528
20191105T02Z,3600
20191105T01Z,3754
20191105T00Z,3628
20191104T23Z,3456
20191104T22Z,3473
20191104T21Z,3435
20191104T20Z,3544
20191104T19Z,3585
20191104T18Z,3678
20191104T17Z,3672
20191104T16Z,3790
20191104T15Z,3897
20191104T14Z,3956
20191104T13Z,4036
20191104T12Z,3848
20191104T11Z,3509
20191104T10Z,3288
20191104T09Z,3137
20191104T08Z,3135
20191104T07Z,3124
20191104T06Z,3118
20191104T05Z,3177
20191104T04Z,3224
20191104T03Z,3316
20191104T02Z,3421
20191104T01Z,3384
20191104T00Z,3374
20191103T23Z,3175
20191103T22Z,2983
20191103T21Z,2953
20191103T20Z,3006
20191103T19Z,3003
20191103T18Z,3122
20191103T17Z,3178
20191103T16Z,3275
20191103T15Z,3543
20191103T14Z,3599
20191103T13Z,3550
20191103T12Z,3484
20191103T11Z,3340
20191103T10Z,3224
20191103T09Z,3141
20191103T08Z,3136
20191103T07Z,3079
20191103T06Z,3112
20191103T05Z,3071
20191103T04Z,3185
20191103T03Z,3235
20191103T02Z,3283
20191103T01Z,3381
20191103T00Z,3330
20191102T23Z,3208
20191102T22Z,3049
20191102T21Z,3072
20191102T20Z,3089
20191102T19Z,3170
20191102T18Z,3323
20191102T17Z,3361
20191102T16Z,3587
20191102T15Z,3703
20191102T14Z,3859
20191102T13Z,3903
20191102T12Z,3845
20191102T11Z,3669
20191102T10Z,3476
20191102T09Z,3445
20191102T08Z,3403
20191102T07Z,3396
20191102T06Z,3424
20191102T05Z,3507
20191102T04Z,3573
20191102T03Z,3675
20191102T02Z,3719
20191102T01Z,3802
20191102T00Z,3756
20191101T23Z,3559
20191101T22Z,3444
20191101T21Z,3467
20191101T20Z,3520
20191101T19Z,3638
20191101T18Z,3710
20191101T17Z,3892
20191101T16Z,4012
20191101T15Z,4172
20191101T14Z,4263
20191101T13Z,4345
20191101T12Z,4275
20191101T11Z,3996
20191101T10Z,3662
20191101T09Z,3479
20191101T08Z,3451
20191101T07Z,3422
20191101T06Z,3479
20191101T05Z,3527
20191101T04Z,3715
20191101T03Z,3860
20191101T02Z,4028
20191101T01Z,4043
20191101T00Z,4048
20191031T23Z,3961
20191031T22Z,3869
20191031T21Z,3846
20191031T20Z,3803
20191031T19Z,3768
20191031T18Z,3776
20191031T17Z,3720
20191031T16Z,3680
20191031T15Z,3631
20191031T14Z,3592
20191031T13Z,3536
20191031T12Z,3454
20191031T11Z,3147
20191031T10Z,2849
20191031T09Z,2646
20191031T08Z,2616
20191031T07Z,2674
20191031T06Z,2745
20191031T05Z,2876
20191031T04Z,3011
20191031T03Z,3207
20191031T02Z,3380
20191031T01Z,3513
20191031T00Z,3572
20191030T23Z,3491
20191030T22Z,3423
20191030T21Z,3439
20191030T20Z,3488
20191030T19Z,3517
20191030T18Z,3517
20191030T17Z,3509
20191030T16Z,3519
20191030T15Z,3500
20191030T14Z,3473
20191030T13Z,3428
20191030T12Z,3329
20191030T11Z,3106
20191030T10Z,2779
20191030T09Z,2621
20191030T08Z,2599
20191030T07Z,2656
20191030T06Z,2712
20191030T05Z,2793
20191030T04Z,2941
20191030T03Z,3119
20191030T02Z,3285
20191030T01Z,3432
20191030T00Z,3457
20191029T23Z,3323
20191029T22Z,3300
20191029T21Z,3318
20191029T20Z,3370
20191029T19Z,3392
20191029T18Z,3428
20191029T17Z,3433
20191029T16Z,3441
20191029T15Z,3443
20191029T14Z,3418
20191029T13Z,3383
20191029T12Z,3345
20191029T11Z,3085
20191029T10Z,2751
20191029T09Z,2618
20191029T08Z,2587
20191029T07Z,2624
20191029T06Z,2677
20191029T05Z,2778
20191029T04Z,2910
20191029T03Z,3120
20191029T02Z,3307
20191029T01Z,3447
20191029T00Z,3518
20191028T23Z,3396
20191028T22Z,3393
20191028T21Z,3405
20191028T20Z,3438
20191028T19Z,3456
20191028T18Z,3461
20191028T17Z,3460
20191028T16Z,3462
20191028T15Z,3455
20191028T14Z,3466
20191028T13Z,3437
20191028T12Z,3398
20191028T11Z,3129
20191028T10Z,2770
20191028T09Z,2568
20191028T08Z,2497
20191028T07Z,2478
20191028T06Z,2525
20191028T05Z,2550
20191028T04Z,2673
20191028T03Z,2832
20191028T02Z,2972
20191028T01Z,3104
20191028T00Z,3106
20191027T23Z,2938
20191027T22Z,2934
20191027T21Z,2909
20191027T20Z,2875
20191027T19Z,2860
20191027T18Z,2839
20191027T17Z,2838
20191027T16Z,2822
20191027T15Z,2810
20191027T14Z,2728
20191027T13Z,2605
20191027T12Z,2517
20191027T11Z,2386
20191027T10Z,2326
20191027T09Z,2307
20191027T08Z,2333
20191027T07Z,2351
20191027T06Z,2449
20191027T05Z,2528
20191027T04Z,2680
20191027T03Z,2839
20191027T02Z,2943
20191027T01Z,3017
20191027T00Z,3075
20191026T23Z,2966
20191026T22Z,2964
20191026T21Z,2973
20191026T20Z,2992
20191026T19Z,3018
20191026T18Z,3054
20191026T17Z,3078
20191026T16Z,3106
20191026T15Z,3071
20191026T14Z,2997
20191026T13Z,2883
20191026T12Z,2769
20191026T11Z,2647
20191026T10Z,2547
20191026T09Z,2491
20191026T08Z,2535
20191026T07Z,2585
20191026T06Z,2647
20191026T05Z,2782
20191026T04Z,2895
20191026T03Z,3029
20191026T02Z,3183
20191026T01Z,3262
20191026T00Z,3331
20191025T23Z,3289
20191025T22Z,3233
20191025T21Z,3244
20191025T20Z,3289
20191025T19Z,3349
20191025T18Z,3376
20191025T17Z,3412
20191025T16Z,3430
20191025T15Z,3471
20191025T14Z,3452
20191025T13Z,3415
20191025T12Z,3378
20191025T11Z,3139
20191025T10Z,2825
20191025T09Z,2659
20191025T08Z,2630
20191025T07Z,2668
20191025T06Z,2711
20191025T05Z,2802
20191025T04Z,2937
20191025T03Z,3111
20191025T02Z,3300
20191025T01Z,3405
20191025T00Z,3515
20191024T23Z,3431
20191024T22Z,3453
20191024T21Z,3461
20191024T20Z,3450
20191024T19Z,3437
20191024T18Z,3451
20191024T17Z,3494
20191024T16Z,3541
20191024T15Z,3600
20191024T14Z,3672
20191024T13Z,3675
20191024T12Z,3619
20191024T11Z,3354
20191024T10Z,3041
20191024T09Z,2878
20191024T08Z,2824
20191024T07Z,2872
20191024T06Z,2903
20191024T05Z,2974
20191024T04Z,3082
20191024T03Z,3268
20191024T02Z,3441
20191024T01Z,3501
20191024T00Z,3523
20191023T23Z,3411
20191023T22Z,3316
20191023T21Z,3335
20191023T20Z,3385
20191023T19Z,3537
20191023T18Z,3555
20191023T17Z,3565
20191023T16Z,3593
20191023T15Z,3618
20191023T14Z,3646
20191023T13Z,3685
20191023T12Z,3619
20191023T11Z,3382
20191023T10Z,3003
20191023T09Z,2833
20191023T08Z,2775
20191023T07Z,2802
20191023T06Z,2852
20191023T05Z,2934
20191023T04Z,3048
20191023T03Z,3200
20191023T02Z,3386
20191023T01Z,3493
20191023T00Z,3522
20191022T23Z,3419
20191022T22Z,3425
20191022T21Z,3453
20191022T20Z,3524
20191022T19Z,3540
20191022T18Z,3510
20191022T17Z,3562
20191022T16Z,3531
20191022T15Z,3505
20191022T14Z,3412
20191022T13Z,3400
20191022T12Z,3295
20191022T11Z,3139
20191022T10Z,2835
20191022T09Z,2615
20191022T08Z,2729
20191022T07Z,2739
20191022T06Z,2827
20191022T05Z,2933
20191022T04Z,3104
20191022T03Z,3285
20191022T02Z,3480
20191022T01Z,3638
20191022T00Z,3653
20191021T23Z,3610
20191021T22Z,3573
20191021T21Z,3575
20191021T20Z,3703
20191021T19Z,3688
20191021T18Z,3680
20191021T17Z,3644
20191021T16Z,3616
20191021T15Z,3531
20191021T14Z,3474
20191021T13Z,3383
20191021T12Z,3365
20191021T11Z,3102
20191021T10Z,2768
20191021T09Z,2607
20191021T08Z,2542
20191021T07Z,2539
20191021T06Z,2593
20191021T05Z,2706
20191021T04Z,2856
20191021T03Z,3020
20191021T02Z,3189
20191021T01Z,3359
20191021T00Z,3380
20191020T23Z,3264
20191020T22Z,3269
20191020T21Z,3223
20191020T20Z,3157
20191020T19Z,3158
20191020T18Z,3066
20191020T17Z,3026
20191020T16Z,2939
20191020T15Z,2919
20191020T14Z,2876
20191020T13Z,2717
20191020T12Z,2649
20191020T11Z,2534
20191020T10Z,2449
20191020T09Z,2417
20191020T08Z,2408
20191020T07Z,2500
20191020T06Z,2553
20191020T05Z,2610
20191020T04Z,2742
20191020T03Z,2910
20191020T02Z,3010
20191020T01Z,3089
20191020T00Z,3094
20191019T23Z,2997
20191019T22Z,2960
20191019T21Z,2989
20191019T20Z,2972
20191019T19Z,2997
20191019T18Z,3036
20191019T17Z,3067
20191019T16Z,3138
20191019T15Z,3214
20191019T14Z,3176
20191019T13Z,3121
20191019T12Z,3049
20191019T11Z,2955
20191019T10Z,2799
20191019T09Z,2763
20191019T08Z,2798
20191019T07Z,2811
20191019T06Z,2858
20191019T05Z,2912
20191019T04Z,3024
20191019T03Z,3199
20191019T02Z,3280
20191019T01Z,3336
20191019T00Z,3300
20191018T23Z,3294
20191018T22Z,3260
20191018T21Z,3319
20191018T20Z,3361
20191018T19Z,3398
20191018T18Z,3488
20191018T17Z,3511
20191018T16Z,3575
20191018T15Z,3649
20191018T14Z,3713
20191018T13Z,3722
20191018T12Z,3702
20191018T11Z,3465
20191018T10Z,3195
20191018T09Z,2948
20191018T08Z,2925
20191018T07Z,2979
20191018T06Z,3014
20191018T05Z,3083
20191018T04Z,3179
20191018T03Z,3343
20191018T02Z,3411
20191018T01Z,3488
20191018T00Z,3506
20191017T23Z,3391
20191017T22Z,3345
20191017T21Z,3420
20191017T20Z,3484
20191017T19Z,3547
20191017T18Z,3587
20191017T17Z,3599
20191017T16Z,3597
20191017T15Z,3694
20191017T14Z,3740
20191017T13Z,3719
20191017T12Z,3688
20191017T11Z,3457
20191017T10Z,3087
20191017T09Z,3029
20191017T08Z,2929
20191017T07Z,2953
20191017T06Z,2989
20191017T05Z,3054
20191017T04Z,3181
20191017T03Z,3340
20191017T02Z,3496
20191017T01Z,3611
20191017T00Z,3597
20191016T23Z,3501
20191016T22Z,3460
20191016T21Z,3450
20191016T20Z,3474
20191016T19Z,3500
20191016T18Z,3520
20191016T17Z,3527
20191016T16Z,3531
20191016T15Z,3510
20191016T14Z,3455
20191016T13Z,3376
20191016T12Z,3293
20191016T11Z,3114
20191016T10Z,2836
20191016T09Z,2701
20191016T08Z,2746
20191016T07Z,2768
20191016T06Z,2875
20191016T05Z,2982
20191016T04Z,3092
20191016T03Z,3328
20191016T02Z,3484
20191016T01Z,3652
20191016T00Z,3684
20191015T23Z,3592
20191015T22Z,3587
20191015T21Z,3637
20191015T20Z,3597
20191015T19Z,3623
20191015T18Z,3589
20191015T17Z,3575
20191015T16Z,3546
20191015T15Z,3580
20191015T14Z,3520
20191015T13Z,3521
20191015T12Z,3497
20191015T11Z,3297
20191015T10Z,2947
20191015T09Z,2766
20191015T08Z,2749
20191015T07Z,2767
20191015T06Z,2832
20191015T05Z,2922
20191015T04Z,3042
20191015T03Z,3227
20191015T02Z,3418
20191015T01Z,3570
20191015T00Z,3611
20191014T23Z,3477
20191014T22Z,3472
20191014T21Z,3540
20191014T20Z,3524
20191014T19Z,3553
20191014T18Z,3550
20191014T17Z,3549
20191014T16Z,3539
20191014T15Z,3554
20191014T14Z,3570
20191014T13Z,3497
20191014T12Z,3411
20191014T11Z,3228
20191014T10Z,2843
20191014T09Z,2633
20191014T08Z,2626
20191014T07Z,2606
20191014T06Z,2610
20191014T05Z,2676
20191014T04Z,2761
20191014T03Z,2909
20191014T02Z,3102
20191014T01Z,3194
20191014T00Z,3210
20191013T23Z,3035
20191013T22Z,3045
20191013T21Z,2982
20191013T20Z,2906
20191013T19Z,2952
20191013T18Z,2958
20191013T17Z,3003
20191013T16Z,3051
20191013T15Z,3060
20191013T14Z,3067
20191013T13Z,2982
20191013T12Z,2854
20191013T11Z,2735
20191013T10Z,2622
20191013T09Z,2557
20191013T08Z,2542
20191013T07Z,2592
20191013T06Z,2626
20191013T05Z,2655
20191013T04Z,2788
20191013T03Z,2933
20191013T02Z,2972
20191013T01Z,3070
20191013T00Z,3015
20191012T23Z,2943
20191012T22Z,2946
20191012T21Z,2967
20191012T20Z,2932
20191012T19Z,2944
20191012T18Z,3015
20191012T17Z,3011
20191012T16Z,3069
20191012T15Z,3053
20191012T14Z,2950
20191012T13Z,2839
20191012T12Z,2712
20191012T11Z,2657
20191012T10Z,2583
20191012T09Z,2521
20191012T08Z,2571
20191012T07Z,2695
20191012T06Z,2777
20191012T05Z,2896
20191012T04Z,3104
20191012T03Z,3304
20191012T02Z,3469
20191012T01Z,3634
20191012T00Z,3697
20191011T23Z,3713
20191011T22Z,3759
20191011T21Z,3859
20191011T20Z,3820
20191011T19Z,3874
20191011T18Z,3843
20191011T17Z,3807
20191011T16Z,3717
20191011T15Z,3746
20191011T14Z,3587
20191011T13Z,3488
20191011T12Z,3405
20191011T11Z,3224
20191011T10Z,2928
20191011T09Z,2768
20191011T08Z,2832
20191011T07Z,2914
20191011T06Z,3014
20191011T05Z,3153
20191011T04Z,3368
20191011T03Z,3598
20191011T02Z,3893
20191011T01Z,4038
20191011T00Z,4108
20191010T23Z,4129
20191010T22Z,4177
20191010T21Z,4209
20191010T20Z,4209
20191010T19Z,4103
20191010T18Z,4022
20191010T17Z,3817
20191010T16Z,3710
20191010T15Z,3619
20191010T14Z,3483
20191010T13Z,3395
20191010T12Z,3343
20191010T11Z,3134
20191010T10Z,2838
20191010T09Z,2722
20191010T08Z,2733
20191010T07Z,2747
20191010T06Z,2803
20191010T05Z,2925
20191010T04Z,3044
20191010T03Z,3297
20191010T02Z,3502
20191010T01Z,3643
20191010T00Z,3621
20191009T23Z,3605
20191009T22Z,3604
20191009T21Z,3558
20191009T20Z,3633
20191009T19Z,3615
20191009T18Z,3616
20191009T17Z,3584
20191009T16Z,3501
20191009T15Z,3528
20191009T14Z,3429
20191009T13Z,3370
20191009T12Z,3301
20191009T11Z,3108
20191009T10Z,2784
20191009T09Z,2700
20191009T08Z,2693
20191009T07Z,2715
20191009T06Z,2794
20191009T05Z,2931
20191009T04Z,3082
20191009T03Z,3277
20191009T02Z,3492
20191009T01Z,3663
20191009T00Z,3640
20191008T23Z,3645
20191008T22Z,3650
20191008T21Z,3686
20191008T20Z,3657
20191008T19Z,3692
20191008T18Z,3601
20191008T17Z,3592
20191008T16Z,3527
20191008T15Z,3475
20191008T14Z,3452
20191008T13Z,3323
20191008T12Z,3278
20191008T11Z,3063
20191008T10Z,2809
20191008T09Z,2693
20191008T08Z,2687
20191008T07Z,2693
20191008T06Z,2781
20191008T05Z,2892
20191008T04Z,3045
20191008T03Z,3238
20191008T02Z,3430
20191008T01Z,3553
20191008T00Z,3538
20191007T23Z,3499
20191007T22Z,3484
20191007T21Z,3508
20191007T20Z,3549
20191007T19Z,3568
20191007T18Z,3549
20191007T17Z,3595
20191007T16Z,3532
20191007T15Z,3491
20191007T14Z,3434
20191007T13Z,3345
20191007T12Z,3231
20191007T11Z,3104
20191007T10Z,2851
20191007T09Z,2709
20191007T08Z,2700
20191007T07Z,2736
20191007T06Z,2806
20191007T05Z,2870
20191007T04Z,2959
20191007T03Z,3180
20191007T02Z,3384
20191007T01Z,3582
20191007T00Z,3665
20191006T23Z,3625
20191006T22Z,3595
20191006T21Z,3626
20191006T20Z,3633
20191006T19Z,3653
20191006T18Z,3586
20191006T17Z,3596
20191006T16Z,3506
20191006T15Z,3384
20191006T14Z,3211
20191006T13Z,3018
20191006T12Z,2849
20191006T11Z,2771
20191006T10Z,2766
20191006T09Z,2720
20191006T08Z,2679
20191006T07Z,2771
20191006T06Z,2847
20191006T05Z,2988
20191006T04Z,3136
20191006T03Z,3351
20191006T02Z,3568
20191006T01Z,3751
20191006T00Z,3887
20191005T23Z,4011
20191005T22Z,4042
20191005T21Z,3971
20191005T20Z,3758
20191005T19Z,3578
20191005T18Z,3440
20191005T17Z,3236
20191005T16Z,3144
20191005T15Z,3060
20191005T14Z,2929
20191005T13Z,2812
20191005T12Z,2735
20191005T11Z,2606
20191005T10Z,2575
20191005T09Z,2608
20191005T08Z,2656
20191005T07Z,2739
20191005T06Z,2846
20191005T05Z,2973
20191005T04Z,3122
20191005T03Z,3378
20191005T02Z,3627
20191005T01Z,3789
20191005T00Z,3881
20191004T23Z,3998
20191004T22Z,4132
20191004T21Z,4238
20191004T20Z,4185
20191004T19Z,4173
20191004T18Z,4110
20191004T17Z,3956
20191004T16Z,3891
20191004T15Z,3750
20191004T14Z,3655
20191004T13Z,3561
20191004T12Z,3426
20191004T11Z,3378
20191004T10Z,3169
20191004T09Z,3099
20191004T08Z,3154
20191004T07Z,3354
20191004T06Z,3602
20191004T05Z,3870
20191004T04Z,4236
20191004T03Z,4733
20191004T02Z,5053
20191004T01Z,5403
20191004T00Z,5588
20191003T23Z,5772
20191003T22Z,5998
20191003T21Z,6056
20191003T20Z,6057
20191003T19Z,5977
20191003T18Z,5708
20191003T17Z,5378
20191003T16Z,4985
20191003T15Z,4631
20191003T14Z,4234
20191003T13Z,3992
20191003T12Z,3863
20191003T11Z,3715
20191003T10Z,3464
20191003T09Z,3368
20191003T08Z,3438
20191003T07Z,3578
20191003T06Z,3806
20191003T05Z,3981
20191003T04Z,4346
20191003T03Z,4696
20191003T02Z,5100
20191003T01Z,5524
20191003T00Z,5742
20191002T23Z,5995
20191002T22Z,6192
20191002T21Z,6241
20191002T20Z,6185
20191002T19Z,6091
20191002T18Z,5800
20191002T17Z,5557
20191002T16Z,5149
20191002T15Z,4739
20191002T14Z,4314
20191002T13Z,4083
20191002T12Z,3959
20191002T11Z,3786
20191002T10Z,3441
20191002T09Z,3408
20191002T08Z,3505
20191002T07Z,3578
20191002T06Z,3829
20191002T05Z,4060
20191002T04Z,4326
20191002T03Z,4729
20191002T02Z,5176
20191002T01Z,5532
20191002T00Z,5711
20191001T23Z,5991
20191001T22Z,6103
20191001T21Z,6149
20191001T20Z,6135
20191001T19Z,6049
20191001T18Z,5824
20191001T17Z,5571
20191001T16Z,5174
20191001T15Z,4730
20191001T14Z,4320
20191001T13Z,4048
20191001T12Z,3976
20191001T11Z,3830
20191001T10Z,3555
20191001T09Z,3416
20191001T08Z,3546
20191001T07Z,3691
20191001T06Z,3894
20191001T05Z,4126
20191001T04Z,4443
20191001T03Z,4864
20191001T02Z,5227
20191001T01Z,5607
20191001T00Z,5790
20190930T23Z,6003
20190930T22Z,6106
20190930T21Z,6214
20190930T20Z,6207
20190930T19Z,6080
20190930T18Z,5840
20190930T17Z,5588
20190930T16Z,5134
20190930T15Z,4671
20190930T14Z,4281
