,Demand1
20200106T07-05,82249
20200106T06-05,76106
20200106T05-05,72817
20200106T04-05,71581
20200106T03-05,71117
20200106T02-05,71407
20200106T01-05,72664
20200106T00-05,73432
20200105T23-05,75717
20200105T22-05,78125
20200105T21-05,79350
20200105T20-05,79664
20200105T19-05,78534
20200105T18-05,74433
20200105T17-05,71362
20200105T16-05,70902
20200105T15-05,71656
20200105T14-05,72916
20200105T13-05,74017
20200105T12-05,75267
20200105T11-05,76930
20200105T10-05,77917
20200105T09-05,77242
20200105T08-05,75131
20200105T07-05,72819
20200105T06-05,71255
20200105T05-05,70522
20200105T04-05,70376
20200105T03-05,71089
20200105T02-05,72448
20200105T01-05,73954
20200105T00-05,76182
20200104T23-05,78565
20200104T22-05,80302
20200104T21-05,81312
20200104T20-05,81584
20200104T19-05,81081
20200104T18-05,77665
20200104T17-05,75660
20200104T16-05,75275
20200104T15-05,75963
20200104T14-05,77031
20200104T13-05,78039
20200104T12-05,78573
20200104T11-05,78503
20200104T10-05,77173
20200104T09-05,75018
20200104T08-05,72282
20200104T07-05,69894
20200104T06-05,68401
20200104T05-05,68444
20200104T04-05,68190
20200104T03-05,68821
20200104T02-05,69692
20200104T01-05,71425
20200104T00-05,74389
20200103T23-05,76851
20200103T22-05,78957
20200103T21-05,80533
20200103T20-05,81662
20200103T19-05,81698
20200103T18-05,79727
20200103T17-05,78770
20200103T16-05,78941
20200103T15-05,79590
20200103T14-05,79811
20200103T13-05,79904
20200103T12-05,80054
20200103T11-05,79618
20200103T10-05,78932
20200103T09-05,78000
20200103T08-05,74747
20200103T07-05,70337
20200103T06-05,66768
20200103T05-05,65344
20200103T04-05,66031
20200103T03-05,67299
20200103T02-05,68536
20200103T01-05,70400
20200103T00-05,72627
20200102T23-05,75854
20200102T22-05,78968
20200102T21-05,80951
20200102T20-05,82373
20200102T19-05,82453
20200102T18-05,80140
20200102T17-05,78412
20200102T16-05,78427
20200102T15-05,78873
20200102T14-05,79217
20200102T13-05,79553
20200102T12-05,79693
20200102T11-05,79773
20200102T10-05,79555
20200102T09-05,78931
20200102T08-05,75968
20200102T07-05,70962
20200102T06-05,67146
20200102T05-05,65941
20200102T04-05,66488
20200102T03-05,66796
20200102T02-05,67829
20200102T01-05,69317
20200102T00-05,71268
20200101T23-05,73717
20200101T22-05,76208
20200101T21-05,77595
20200101T20-05,78682
20200101T19-05,78365
20200101T18-05,73990
20200101T17-05,71060
20200101T16-05,70330
20200101T15-05,71036
20200101T14-05,72338
20200101T13-05,73506
20200101T12-05,74146
20200101T11-05,74651
20200101T10-05,74667
20200101T09-05,74212
20200101T08-05,73236
20200101T07-05,71652
20200101T06-05,70607
20200101T05-05,70531
20200101T04-05,71326
20200101T03-05,71885
20200101T02-05,72527
20200101T01-05,73367
20200101T00-05,75685
20191231T23-05,77755
20191231T22-05,79420
20191231T21-05,80947
20191231T20-05,82791
20191231T19-05,83059
20191231T18-05,79856
20191231T17-05,77961
20191231T16-05,78259
20191231T15-05,79345
20191231T14-05,80516
20191231T13-05,82165
20191231T12-05,83639
20191231T11-05,84547
20191231T10-05,84713
20191231T09-05,83950
20191231T08-05,81085
20191231T07-05,77072
20191231T06-05,73935
20191231T05-05,72971
20191231T04-05,73066
20191231T03-05,73628
20191231T02-05,74475
20191231T01-05,76064
20191231T00-05,78243
20191230T23-05,81231
20191230T22-05,83739
20191230T21-05,85436
20191230T20-05,86156
20191230T19-05,85697
20191230T18-05,82995
20191230T17-05,81021
20191230T16-05,81123
20191230T15-05,81698
20191230T14-05,82125
20191230T13-05,82372
20191230T12-05,82398
20191230T11-05,82021
20191230T10-05,81320
20191230T09-05,79575
20191230T08-05,75869
20191230T07-05,70774
20191230T06-05,66883
20191230T05-05,65475
20191230T04-05,64844
20191230T03-05,64975
20191230T02-05,65425
20191230T01-05,66500
20191230T00-05,68741
20191229T23-05,71635
20191229T22-05,73644
20191229T21-05,75076
20191229T20-05,76139
20191229T19-05,75876
20191229T18-05,73121
20191229T17-05,70715
20191229T16-05,70212
20191229T15-05,70169
20191229T14-05,70307
