,Demand1
20200106T06-06,74672
20200106T05-06,69188
20200106T04-06,66265
20200106T03-06,65240
20200106T02-06,64892
20200106T01-06,65240
20200106T00-06,66474
20200105T23-06,67190
20200105T22-06,69216
20200105T21-06,71400
20200105T20-06,72587
20200105T19-06,72992
20200105T18-06,72040
20200105T17-06,68432
20200105T16-06,65638
20200105T15-06,65218
20200105T14-06,65864
20200105T13-06,66962
20200105T12-06,67864
20200105T11-06,68850
20200105T10-06,70152
20200105T09-06,70810
20200105T08-06,70078
20200105T07-06,68144
20200105T06-06,66030
20200105T05-06,64710
20200105T04-06,64065
20200105T03-06,64013
20200105T02-06,64687
20200105T01-06,66039
20200105T00-06,67380
20200104T23-06,69363
20200104T22-06,71585
20200104T21-06,73181
20200104T20-06,74096
20200104T19-06,74407
20200104T18-06,73987
20200104T17-06,71009
20200104T16-06,69309
20200104T15-06,69004
20200104T14-06,69615
20200104T13-06,70515
20200104T12-06,71351
20200104T11-06,71746
20200104T10-06,71635
20200104T09-06,70402
20200104T08-06,68478
20200104T07-06,66024
20200104T06-06,63829
20200104T05-06,62521
20200104T04-06,62658
20200104T03-06,62541
20200104T02-06,63019
20200104T01-06,63827
20200104T00-06,65446
20200103T23-06,68173
20200103T22-06,70433
20200103T21-06,72369
20200103T20-06,73894
20200103T19-06,74967
20200103T18-06,75046
20200103T17-06,73354
20200103T16-06,72548
20200103T15-06,72669
20200103T14-06,73229
20200103T13-06,73380
20200103T12-06,73488
20200103T11-06,73551
20200103T10-06,73140
20200103T09-06,72453
20200103T08-06,71613
20200103T07-06,68559
20200103T06-06,64500
20200103T05-06,61282
20200103T04-06,60064
20200103T03-06,60804
20200103T02-06,62044
20200103T01-06,63178
20200103T00-06,64857
20200102T23-06,66851
20200102T22-06,69747
20200102T21-06,72566
20200102T20-06,74383
20200102T19-06,75676
20200102T18-06,75762
20200102T17-06,73627
20200102T16-06,72072
20200102T15-06,72068
20200102T14-06,72370
20200102T13-06,72628
20200102T12-06,72871
20200102T11-06,72966
20200102T10-06,72949
20200102T09-06,72627
20200102T08-06,72070
20200102T07-06,69236
20200102T06-06,64658
20200102T05-06,61164
20200102T04-06,60224
20200102T03-06,60803
20200102T02-06,61126
20200102T01-06,62169
20200102T00-06,63521
20200101T23-06,65246
20200101T22-06,67448
20200101T21-06,69700
20200101T20-06,70997
20200101T19-06,72023
20200101T18-06,71823
20200101T17-06,67937
20200101T16-06,65392
20200101T15-06,64724
20200101T14-06,65304
20200101T13-06,66407
20200101T12-06,67445
20200101T11-06,67906
20200101T10-06,68263
20200101T09-06,68068
20200101T08-06,67539
20200101T07-06,66650
20200101T06-06,65214
20200101T05-06,64322
20200101T04-06,64334
20200101T03-06,65143
20200101T02-06,65719
20200101T01-06,66235
20200101T00-06,67076
20191231T23-06,68672
20191231T22-06,70477
20191231T21-06,72010
20191231T20-06,73470
20191231T19-06,75241
20191231T18-06,75561
20191231T17-06,72821
20191231T16-06,71131
20191231T15-06,71452
20191231T14-06,72409
20191231T13-06,73384
20191231T12-06,74783
20191231T11-06,76079
20191231T10-06,76755
20191231T09-06,76844
20191231T08-06,76047
20191231T07-06,73339
20191231T06-06,69740
20191231T05-06,67054
20191231T04-06,66335
20191231T03-06,66542
20191231T02-06,67139
20191231T01-06,68008
20191231T00-06,69446
20191230T23-06,71620
20191230T22-06,74272
20191230T21-06,76585
20191230T20-06,78112
20191230T19-06,78830
20191230T18-06,78417
20191230T17-06,75936
20191230T16-06,74186
20191230T15-06,74288
20191230T14-06,74811
20191230T13-06,75138
20191230T12-06,75392
20191230T11-06,75413
20191230T10-06,75019
20191230T09-06,74428
20191230T08-06,72845
20191230T07-06,69376
20191230T06-06,64739
20191230T05-06,61255
20191230T04-06,60067
20191230T03-06,59578
20191230T02-06,59709
20191230T01-06,60099
20191230T00-06,61060
20191229T23-06,63102
20191229T22-06,65772
20191229T21-06,67600
20191229T20-06,68939
20191229T19-06,69962
20191229T18-06,69726
20191229T17-06,67224
20191229T16-06,65070
20191229T15-06,64668
20191229T14-06,64672
20191229T13-06,64786
