,Demand
20191114T13Z,3250
20191114T12Z,3185
20191114T11Z,3163
20191114T10Z,3221
20191114T09Z,3261
20191114T08Z,3378
20191114T07Z,3541
20191114T06Z,3730
20191114T05Z,3900
20191114T04Z,3983
20191114T03Z,4040
20191114T02Z,4100
20191114T01Z,3934
20191114T00Z,3774
20191113T23Z,3740
20191113T22Z,3652
20191113T21Z,3591
20191113T20Z,3536
20191113T19Z,3503
20191113T18Z,3522
20191113T17Z,3591
20191113T16Z,3535
20191113T15Z,3550
20191113T14Z,3397
20191113T13Z,3240
20191113T12Z,3183
20191113T11Z,3149
20191113T10Z,3214
20191113T09Z,3266
20191113T08Z,3374
20191113T07Z,3545
20191113T06Z,3722
20191113T05Z,3883
20191113T04Z,4000
20191113T03Z,4040
20191113T02Z,4091
20191113T01Z,3922
20191113T00Z,3788
20191112T23Z,3731
20191112T22Z,3669
20191112T21Z,3606
20191112T20Z,3575
20191112T19Z,3584
20191112T18Z,3538
20191112T17Z,3569
20191112T16Z,3568
20191112T15Z,3546
20191112T14Z,3401
20191112T13Z,3262
20191112T12Z,3170
20191112T11Z,3168
20191112T10Z,3200
20191112T09Z,3272
20191112T08Z,3374
20191112T07Z,3552
20191112T06Z,3730
20191112T05Z,3898
20191112T04Z,3985
20191112T03Z,4051
20191112T02Z,4106
20191112T01Z,3958
20191112T00Z,3835
20191111T23Z,3751
20191111T22Z,3680
20191111T21Z,3616
20191111T20Z,3570
20191111T19Z,3528
20191111T18Z,3508
20191111T17Z,3464
20191111T16Z,3439
20191111T15Z,3411
20191111T14Z,3348
20191111T13Z,3211
20191111T12Z,3141
20191111T11Z,3129
20191111T10Z,3168
20191111T09Z,3210
20191111T08Z,3312
20191111T07Z,3454
20191111T06Z,3588
20191111T05Z,3696
20191111T04Z,3788
20191111T03Z,3861
20191111T02Z,3922
20191111T01Z,3767
20191111T00Z,3604
20191110T23Z,3541
20191110T22Z,3449
20191110T21Z,3425
20191110T20Z,3336
20191110T19Z,3319
20191110T18Z,3278
20191110T17Z,3236
20191110T16Z,3213
20191110T15Z,3212
20191110T14Z,3231
20191110T13Z,3173
20191110T12Z,3146
20191110T11Z,3168
20191110T10Z,3203
20191110T09Z,3270
20191110T08Z,3365
20191110T07Z,3499
20191110T06Z,3611
20191110T05Z,3712
20191110T04Z,3821
20191110T03Z,3903
20191110T02Z,3954
20191110T01Z,3823
20191110T00Z,3686
20191109T23Z,3602
20191109T22Z,3536
20191109T21Z,3470
20191109T20Z,3435
20191109T19Z,3367
20191109T18Z,3358
20191109T17Z,3361
20191109T16Z,3306
20191109T15Z,3295
20191109T14Z,3305
20191109T13Z,3205
20191109T12Z,3182
20191109T11Z,3212
20191109T10Z,3244
20191109T09Z,3309
20191109T08Z,3410
20191109T07Z,3579
20191109T06Z,3711
20191109T05Z,3833
20191109T04Z,3944
20191109T03Z,4040
20191109T02Z,4085
20191109T01Z,3948
20191109T00Z,3865
20191108T23Z,3797
20191108T22Z,3712
20191108T21Z,3666
20191108T20Z,3608
20191108T19Z,3571
20191108T18Z,3587
20191108T17Z,3583
20191108T16Z,3587
20191108T15Z,3582
20191108T14Z,3450
20191108T13Z,3288
20191108T12Z,3203
20191108T11Z,3184
20191108T10Z,3238
20191108T09Z,3295
20191108T08Z,3404
20191108T07Z,3556
20191108T06Z,3736
20191108T05Z,3919
20191108T04Z,4003
20191108T03Z,4081
20191108T02Z,4135
20191108T01Z,3973
20191108T00Z,3861
20191107T23Z,3787
20191107T22Z,3706
20191107T21Z,3463
20191107T20Z,3626
20191107T19Z,3602
20191107T18Z,3568
20191107T17Z,3557
20191107T16Z,3579
20191107T15Z,3597
20191107T14Z,3441
20191107T13Z,3268
20191107T12Z,3202
20191107T11Z,3177
20191107T10Z,3233
20191107T09Z,3266
20191107T08Z,3387
20191107T07Z,3535
20191107T06Z,3756
20191107T05Z,3881
20191107T04Z,4008
20191107T03Z,4068
20191107T02Z,4121
20191107T01Z,3944
20191107T00Z,3842
20191106T23Z,3750
20191106T22Z,3722
20191106T21Z,3622
20191106T20Z,3559
20191106T19Z,3552
20191106T18Z,3537
