,Demand1
20200106T05-07,36693
20200106T04-07,36193
20200106T03-07,36216
20200106T02-07,36494
20200106T01-07,37427
20200106T00-07,39187
20200105T23-07,41638
20200105T22-07,43890
20200105T21-07,44757
20200105T20-07,45589
20200105T19-07,45915
20200105T18-07,44359
20200105T17-07,41920
20200105T16-07,40835
20200105T15-07,40911
20200105T14-07,41282
20200105T13-07,41690
20200105T12-07,41999
20200105T11-07,41773
20200105T10-07,41177
20200105T09-07,40116
20200105T08-07,38621
20200105T07-07,37545
20200105T06-07,36336
20200105T05-07,35688
20200105T04-07,35467
20200105T03-07,35668
20200105T02-07,36404
20200105T01-07,37700
20200105T00-07,39304
20200104T23-07,41237
20200104T22-07,42816
20200104T21-07,43882
20200104T20-07,44627
20200104T19-07,44893
20200104T18-07,43413
20200104T17-07,41192
20200104T16-07,40308
20200104T15-07,40430
20200104T14-07,40691
20200104T13-07,41237
20200104T12-07,41870
20200104T11-07,42164
20200104T10-07,41884
20200104T09-07,41143
20200104T08-07,39512
20200104T07-07,37757
20200104T06-07,36407
20200104T05-07,35640
20200104T04-07,35400
20200104T03-07,35622
20200104T02-07,36207
20200104T01-07,37295
20200104T00-07,38927
20200103T23-07,40999
20200103T22-07,42595
20200103T21-07,43736
20200103T20-07,44659
20200103T19-07,45355
20200103T18-07,44328
20200103T17-07,42074
20200103T16-07,41219
20200103T15-07,41292
20200103T14-07,41819
20200103T13-07,42367
20200103T12-07,43201
20200103T11-07,43905
20200103T10-07,44309
20200103T09-07,44163
20200103T08-07,42905
20200103T07-07,40370
20200103T06-07,37824
20200103T05-07,36355
20200103T04-07,35947
20200103T03-07,36086
20200103T02-07,36757
20200103T01-07,38108
20200103T00-07,39941
20200102T23-07,42190
20200102T22-07,44418
20200102T21-07,45930
20200102T20-07,46891
20200102T19-07,47459
20200102T18-07,46455
20200102T17-07,44280
20200102T16-07,43314
20200102T15-07,43187
20200102T14-07,43322
20200102T13-07,43143
20200102T12-07,43916
20200102T11-07,44250
20200102T10-07,44456
20200102T09-07,44209
20200102T08-07,42581
20200102T07-07,39751
20200102T06-07,37012
20200102T05-07,35368
20200102T04-07,34932
20200102T03-07,34951
20200102T02-07,35460
20200102T01-07,36369
20200102T00-07,37933
20200101T23-07,39945
20200101T22-07,41673
20200101T21-07,42851
20200101T20-07,43621
20200101T19-07,44033
20200101T18-07,42989
20200101T17-07,40444
20200101T16-07,39404
20200101T15-07,39423
20200101T14-07,39987
20200101T13-07,40515
20200101T12-07,40516
20200101T11-07,39724
20200101T10-07,38868
20200101T09-07,38143
20200101T08-07,37326
20200101T07-07,36496
20200101T06-07,35557
20200101T05-07,35174
20200101T04-07,35301
20200101T03-07,35726
20200101T02-07,36502
20200101T01-07,37581
20200101T00-07,39022
20191231T23-07,40639
20191231T22-07,42319
20191231T21-07,43889
20191231T20-07,45586
20191231T19-07,47000
20191231T18-07,46563
20191231T17-07,44247
20191231T16-07,43366
20191231T15-07,43401
20191231T14-07,43738
20191231T13-07,44140
20191231T12-07,44736
20191231T11-07,45112
20191231T10-07,45030
20191231T09-07,44730
20191231T08-07,43535
20191231T07-07,41303
20191231T06-07,39152
20191231T05-07,37943
20191231T04-07,37645
20191231T03-07,37738
20191231T02-07,38373
20191231T01-07,39565
20191231T00-07,41376
20191230T23-07,43719
20191230T22-07,45686
20191230T21-07,47086
20191230T20-07,48075
20191230T19-07,48628
20191230T18-07,47545
20191230T17-07,45057
20191230T16-07,44079
20191230T15-07,44173
20191230T14-07,44515
20191230T13-07,44996
20191230T12-07,45644
20191230T11-07,46116
20191230T10-07,46288
20191230T09-07,45976
20191230T08-07,44596
20191230T07-07,41825
20191230T06-07,39311
20191230T05-07,37885
20191230T04-07,37373
20191230T03-07,37316
20191230T02-07,37873
20191230T01-07,38937
20191230T00-07,40720
20191229T23-07,42894
20191229T22-07,44549
20191229T21-07,45760
20191229T20-07,46604
20191229T19-07,47260
20191229T18-07,46214
20191229T17-07,43804
20191229T16-07,42635
20191229T15-07,42645
20191229T14-07,42879
20191229T13-07,43335
20191229T12-07,43700
20191229T11-07,43657
20191229T10-07,43224
20191229T09-07,42283
20191229T08-07,40855
20191229T07-07,39138
20191229T06-07,38052
20191229T05-07,37428
20191229T04-07,37253
20191229T03-07,37615
20191229T02-07,38239
20191229T01-07,39236
20191229T00-07,41033
20191228T23-07,43048
20191228T22-07,44791
20191228T21-07,45927
20191228T20-07,46746
20191228T19-07,47347
20191228T18-07,46465
20191228T17-07,44223
20191228T16-07,43304
20191228T15-07,43330
20191228T14-07,43822
20191228T13-07,44426
20191228T12-07,44920
20191228T11-07,45024
20191228T10-07,44402
20191228T09-07,43154
20191228T08-07,41577
20191228T07-07,39917
20191228T06-07,38499
20191228T05-07,37784
20191228T04-07,37579
20191228T03-07,37778
20191228T02-07,38489
20191228T01-07,39855
20191228T00-07,41345
20191227T23-07,43674
20191227T22-07,45322
20191227T21-07,46593
20191227T20-07,47598
20191227T19-07,48280
20191227T18-07,47586
20191227T17-07,45600
20191227T16-07,44740
20191227T15-07,44555
20191227T14-07,45412
20191227T13-07,46063
20191227T12-07,46709
20191227T11-07,47229
20191227T10-07,47099
20191227T09-07,46536
20191227T08-07,44909
20191227T07-07,42304
20191227T06-07,40072
20191227T05-07,38813
20191227T04-07,38388
20191227T03-07,38531
20191227T02-07,39013
20191227T01-07,40165
20191227T00-07,41962
20191226T23-07,44331
20191226T22-07,46375
20191226T21-07,47784
20191226T20-07,48564
20191226T19-07,48961
20191226T18-07,47900
20191226T17-07,45523
20191226T16-07,44638
20191226T15-07,44739
20191226T14-07,45224
20191226T13-07,46002
20191226T12-07,46765
20191226T11-07,47111
20191226T10-07,46823
20191226T09-07,45935
20191226T08-07,44281
20191226T07-07,41650
20191226T06-07,39160
20191226T05-07,37541
20191226T04-07,36826
20191226T03-07,36766
20191226T02-07,37092
20191226T01-07,37876
20191226T00-07,39408
20191225T23-07,41139
20191225T22-07,42443
20191225T21-07,42976
20191225T20-07,43114
20191225T19-07,43250
20191225T18-07,42571
20191225T17-07,40754
20191225T16-07,40147
20191225T15-07,40284
20191225T14-07,40764
20191225T13-07,41279
20191225T12-07,41815
20191225T11-07,42286
20191225T10-07,42214
20191225T09-07,41226
20191225T08-07,39792
20191225T07-07,38206
20191225T06-07,36983
20191225T05-07,36145
20191225T04-07,35937
20191225T03-07,36141
20191225T02-07,36711
20191225T01-07,37884
20191225T00-07,39453
20191224T23-07,41011
20191224T22-07,42077
20191224T21-07,42936
20191224T20-07,43780
20191224T19-07,44941
