,Demand1
20200106T07-05,17456
20200106T06-05,15797
20200106T05-05,14841
20200106T04-05,14552
20200106T03-05,14607
20200106T02-05,14855
20200106T01-05,15244
20200106T00-05,15937
20200105T23-05,16924
20200105T22-05,17935
20200105T21-05,18669
20200105T20-05,19118
20200105T19-05,19436
20200105T18-05,19519
20200105T17-05,18444
20200105T16-05,17600
20200105T15-05,17226
20200105T14-05,17103
20200105T13-05,17078
20200105T12-05,16957
20200105T11-05,16811
20200105T10-05,16567
20200105T09-05,15958
20200105T08-05,15301
20200105T07-05,14712
20200105T06-05,14252
20200105T05-05,13992
20200105T04-05,13961
20200105T03-05,14073
20200105T02-05,14212
20200105T01-05,14755
20200105T00-05,15696
20200104T23-05,16491
20200104T22-05,17225
20200104T21-05,17735
20200104T20-05,18040
20200104T19-05,18396
20200104T18-05,18489
20200104T17-05,17894
20200104T16-05,17357
20200104T15-05,17306
20200104T14-05,17439
20200104T13-05,17514
20200104T12-05,17504
20200104T11-05,17238
20200104T10-05,16713
20200104T09-05,15930
20200104T08-05,15192
20200104T07-05,14432
20200104T06-05,13860
20200104T05-05,13563
20200104T04-05,13538
20200104T03-05,13701
20200104T02-05,14026
20200104T01-05,14600
20200104T00-05,15387
20200103T23-05,16458
20200103T22-05,17457
20200103T21-05,18224
20200103T20-05,18754
20200103T19-05,19247
20200103T18-05,19572
20200103T17-05,19072
20200103T16-05,18592
20200103T15-05,18594
20200103T14-05,18647
20200103T13-05,18654
20200103T12-05,18732
20200103T11-05,18701
20200103T10-05,18406
20200103T09-05,17981
20200103T08-05,17387
20200103T07-05,16154
20200103T06-05,14742
20200103T05-05,13997
20200103T04-05,13810
20200103T03-05,13922
20200103T02-05,14219
20200103T01-05,14772
20200103T00-05,15636
20200102T23-05,16783
20200102T22-05,17930
20200102T21-05,18766
20200102T20-05,19395
20200102T19-05,19837
20200102T18-05,19989
20200102T17-05,19099
20200102T16-05,18421
20200102T15-05,18219
20200102T14-05,18061
