,Demand1
20181201T00-05,36
20181130T23-05,52
20181130T22-05,45
20181130T21-05,42
20181130T20-05,54
20181130T19-05,52
20181130T18-05,41
20181130T17-05,52
20181130T16-05,47
20181130T15-05,41
20181130T14-05,47
20181130T13-05,49
20181130T12-05,43
20181130T11-05,50
20181130T10-05,47
20181130T09-05,61
20181130T08-05,46
20181130T07-05,54
20181130T06-05,53
20181130T05-05,57
20181130T04-05,58
20181130T03-05,45
20181130T02-05,49
20181130T01-05,45
20181130T00-05,49
20181129T23-05,55
20181129T22-05,55
20181129T21-05,50
20181129T20-05,56
20181129T19-05,57
20181129T18-05,51
20181129T17-05,62
20181129T16-05,56
20181129T15-05,52
20181129T14-05,58
20181129T13-05,55
20181129T12-05,47
20181129T11-05,44
20181129T10-05,51
20181129T09-05,57
20181129T08-05,58
20181129T07-05,62
20181129T06-05,57
20181129T05-05,55
20181129T04-05,49
20181129T03-05,51
20181129T02-05,54
20181129T01-05,53
20181129T00-05,47
20181128T23-05,62
20181128T22-05,46
20181128T21-05,54
20181128T20-05,49
20181128T19-05,58
20181128T18-05,51
20181128T17-05,59
20181128T16-05,58
20181128T15-05,54
20181128T14-05,51
20181128T13-05,56
20181128T12-05,54
20181128T11-05,60
20181128T10-05,60
20181128T09-05,50
20181128T08-05,61
20181128T07-05,51
20181128T06-05,43
20181128T05-05,42
20181128T04-05,52
20181128T03-05,47
20181128T02-05,52
20181128T01-05,45
20181128T00-05,46
20181127T23-05,47
20181127T22-05,51
20181127T21-05,50
20181127T20-05,50
20181127T19-05,49
20181127T18-05,50
20181127T17-05,60
20181127T16-05,51
20181127T15-05,45
20181127T14-05,60
20181127T13-05,54
20181127T12-05,55
20181127T11-05,63
20181127T10-05,60
20181127T09-05,45
20181127T08-05,44
20181127T07-05,43
20181127T06-05,43
20181127T05-05,51
20181127T04-05,44
20181127T03-05,47
20181127T02-05,51
20181127T01-05,48
20181127T00-05,55
20181126T23-05,66
20181126T22-05,59
20181126T21-05,45
20181126T20-05,66
20181126T19-05,59
20181126T18-05,57
20181126T17-05,56
20181126T16-05,53
20181126T15-05,52
20181126T14-05,61
20181126T13-05,55
20181126T12-05,52
20181126T11-05,53
20181126T10-05,53
20181126T09-05,48
20181126T08-05,51
20181126T07-05,58
20181126T06-05,50
20181126T05-05,49
20181126T04-05,45
20181126T03-05,47
20181126T02-05,49
20181126T01-05,50
20181126T00-05,47
20181125T23-05,47
20181125T22-05,48
20181125T21-05,51
20181125T20-05,46
20181125T19-05,52
20181125T18-05,49
20181125T17-05,53
20181125T16-05,44
20181125T15-05,42
