,Demand1
20191218T09-07,6135
20191218T08-07,6187
20191218T07-07,6016
20191218T06-07,5830
20191218T05-07,5674
20191218T04-07,5658
20191218T03-07,5636
20191218T02-07,5651
20191218T01-07,5512
20191218T00-07,5586
20191217T23-07,5886
20191217T22-07,6122
20191217T21-07,6155
20191217T20-07,6337
20191217T19-07,6396
20191217T18-07,6334
20191217T17-07,5951
20191217T16-07,5918
20191217T15-07,6078
20191217T14-07,6137
20191217T13-07,6182
20191217T12-07,6241
20191217T11-07,6178
20191217T10-07,6308
20191217T09-07,6218
20191217T08-07,6207
20191217T07-07,6064
20191217T06-07,5717
20191217T05-07,5507
20191217T04-07,5450
20191217T03-07,5270
20191217T02-07,5376
20191217T01-07,5400
20191217T00-07,5588
20191216T23-07,5944
20191216T22-07,6053
20191216T21-07,6196
20191216T20-07,6324
20191216T19-07,6493
20191216T18-07,6491
20191216T17-07,6231
20191216T16-07,6098
20191216T15-07,6077
20191216T14-07,6098
20191216T13-07,6137
20191216T12-07,6248
20191216T11-07,6295
20191216T10-07,6222
20191216T09-07,6116
20191216T08-07,6076
20191216T07-07,5987
20191216T06-07,5623
20191216T05-07,5395
20191216T04-07,5419
20191216T03-07,5420
20191216T02-07,5447
20191216T01-07,5535
20191216T00-07,5612
20191215T23-07,5775
20191215T22-07,5903
20191215T21-07,6353
20191215T20-07,6526
20191215T19-07,6579
20191215T18-07,6501
20191215T17-07,6186
20191215T16-07,5976
20191215T15-07,5874
20191215T14-07,5882
20191215T13-07,5848
20191215T12-07,5762
20191215T11-07,5867
20191215T10-07,5922
20191215T09-07,5893
20191215T08-07,5762
20191215T07-07,5571
20191215T06-07,5445
20191215T05-07,5358
20191215T04-07,5343
20191215T03-07,5281
20191215T02-07,5379
20191215T01-07,5487
20191215T00-07,5645
20191214T23-07,5878
20191214T22-07,6003
20191214T21-07,6249
20191214T20-07,6321
20191214T19-07,6377
20191214T18-07,6321
20191214T17-07,6025
20191214T16-07,5813
20191214T15-07,5834
20191214T14-07,5865
20191214T13-07,5954
20191214T12-07,6004
20191214T11-07,6001
20191214T10-07,5941
20191214T09-07,5796
20191214T08-07,5652
20191214T07-07,5459
20191214T06-07,5244
20191214T05-07,5185
20191214T04-07,5181
20191214T03-07,5211
20191214T02-07,5289
20191214T01-07,5375
20191214T00-07,5615
20191213T23-07,5898
20191213T22-07,6117
20191213T21-07,6286
20191213T20-07,6357
20191213T19-07,6443
20191213T18-07,6417
20191213T17-07,6156
20191213T16-07,6026
20191213T15-07,6016
20191213T14-07,6012
20191213T13-07,6007
20191213T12-07,6101
20191213T11-07,6064
20191213T10-07,6139
20191213T09-07,6139
20191213T08-07,6020
20191213T07-07,5760
20191213T06-07,5373
20191213T05-07,5143
20191213T04-07,5025
20191213T03-07,5016
20191213T02-07,5066
20191213T01-07,5170
20191213T00-07,5348
20191212T23-07,5654
20191212T22-07,5964
20191212T21-07,6136
20191212T20-07,6275
20191212T19-07,6328
20191212T18-07,6293
20191212T17-07,6155
20191212T16-07,6005
20191212T15-07,5992
20191212T14-07,6016
20191212T13-07,6053
20191212T12-07,6001
20191212T11-07,6072
20191212T10-07,5922
20191212T09-07,5782
20191212T08-07,6021
20191212T07-07,5717
20191212T06-07,5329
20191212T05-07,5152
20191212T04-07,5128
20191212T03-07,5147
20191212T02-07,5161
20191212T01-07,5295
20191212T00-07,5463
20191211T23-07,5760
20191211T22-07,6176
20191211T21-07,6306
20191211T20-07,6462
20191211T19-07,6490
20191211T18-07,6541
20191211T17-07,6289
20191211T16-07,6141
20191211T15-07,6039
20191211T14-07,6090
20191211T13-07,6087
20191211T12-07,6115
20191211T11-07,6099
20191211T10-07,5993
20191211T09-07,5982
20191211T08-07,6110
20191211T07-07,5888
20191211T06-07,5530
20191211T05-07,5334
20191211T04-07,5204
20191211T03-07,5203
20191211T02-07,5189
20191211T01-07,5241
20191211T00-07,5364
20191210T23-07,5619
20191210T22-07,5880
20191210T21-07,6067
20191210T20-07,6182
20191210T19-07,6311
20191210T18-07,6379
20191210T17-07,6097
20191210T16-07,5950
20191210T15-07,6881
20191210T14-07,5466
20191210T13-07,5442
20191210T12-07,5726
20191210T11-07,5842
20191210T10-07,5882
20191210T09-07,5809
20191210T08-07,5919
20191210T07-07,5751
20191210T06-07,5397
20191210T05-07,5131
20191210T04-07,4849
20191210T03-07,4934
20191210T02-07,5130
20191210T01-07,5235
20191210T00-07,5410
20191209T23-07,5723
20191209T22-07,5839
20191209T21-07,6054
20191209T20-07,6201
20191209T19-07,6397
20191209T18-07,6396
20191209T17-07,6162
20191209T16-07,6018
20191209T15-07,5977
20191209T14-07,5994
20191209T13-07,6118
20191209T12-07,6162
20191209T11-07,6174
20191209T10-07,6111
20191209T09-07,6181
20191209T08-07,6231
20191209T07-07,5939
20191209T06-07,5589
20191209T05-07,5457
20191209T04-07,5140
20191209T03-07,5221
20191209T02-07,5237
20191209T01-07,5258
20191209T00-07,5436
20191208T23-07,5666
20191208T22-07,5878
20191208T21-07,5998
20191208T20-07,6209
20191208T19-07,6252
20191208T18-07,6330
20191208T17-07,5901
20191208T16-07,5762
20191208T15-07,5748
20191208T14-07,5728
20191208T13-07,5513
20191208T12-07,5330
20191208T11-07,5406
20191208T10-07,5419
20191208T09-07,5486
20191208T08-07,5329
20191208T07-07,5210
20191208T06-07,5073
20191208T05-07,5005
20191208T04-07,5034
20191208T03-07,5031
20191208T02-07,5103
20191208T01-07,5231
20191208T00-07,5404
20191207T23-07,5687
20191207T22-07,5902
20191207T21-07,5976
20191207T20-07,6029
20191207T19-07,6123
20191207T18-07,6174
20191207T17-07,5816
20191207T16-07,5550
20191207T15-07,5665
20191207T14-07,5684
20191207T13-07,5759
20191207T12-07,5660
20191207T11-07,5501
20191207T10-07,5642
20191207T09-07,5773
20191207T08-07,5692
20191207T07-07,5516
20191207T06-07,5373
20191207T05-07,5337
20191207T04-07,5300
20191207T03-07,5295
20191207T02-07,5339
20191207T01-07,5376
20191207T00-07,5551
20191206T23-07,5807
20191206T22-07,5990
20191206T21-07,6127
20191206T20-07,6217
20191206T19-07,6305
20191206T18-07,6273
20191206T17-07,5961
20191206T16-07,5810
20191206T15-07,5706
20191206T14-07,5752
20191206T13-07,5795
20191206T12-07,5877
20191206T11-07,5953
20191206T10-07,5985
20191206T09-07,5985
20191206T08-07,6004
20191206T07-07,5775
20191206T06-07,5477
20191206T05-07,5251
20191206T04-07,5158
20191206T03-07,5161
20191206T02-07,5167
20191206T01-07,5289
20191206T00-07,5454
20191205T23-07,5790
20191205T22-07,6000
20191205T21-07,6220
20191205T20-07,6251
20191205T19-07,6397
20191205T18-07,6375
20191205T17-07,6197
20191205T16-07,6061
20191205T15-07,6026
20191205T14-07,6084
20191205T13-07,6083
20191205T12-07,6168
20191205T11-07,6206
20191205T10-07,6075
20191205T09-07,5872
20191205T08-07,5810
20191205T07-07,5604
20191205T06-07,5414
20191205T05-07,5242
20191205T04-07,5173
20191205T03-07,5158
20191205T02-07,5139
20191205T01-07,5233
20191205T00-07,5341
20191204T23-07,5704
20191204T22-07,5928
20191204T21-07,6096
20191204T20-07,6145
20191204T19-07,6264
20191204T18-07,6119
20191204T17-07,5718
20191204T16-07,5661
20191204T15-07,5673
20191204T14-07,5596
20191204T13-07,5505
20191204T12-07,5428
20191204T11-07,5588
20191204T10-07,5615
20191204T09-07,5938
20191204T08-07,5866
20191204T07-07,5824
20191204T06-07,5467
20191204T05-07,5234
20191204T04-07,5159
20191204T03-07,5162
20191204T02-07,5221
20191204T01-07,5290
20191204T00-07,5356
20191203T23-07,5617
20191203T22-07,5619
20191203T21-07,5768
20191203T20-07,6069
20191203T19-07,6377
20191203T18-07,6287
20191203T17-07,5854
20191203T16-07,5488
20191203T15-07,5621
20191203T14-07,5705
20191203T13-07,5828
20191203T12-07,5920
20191203T11-07,5801
20191203T10-07,5979
20191203T09-07,6108
20191203T08-07,6049
20191203T07-07,5794
20191203T06-07,5437
20191203T05-07,5259
20191203T04-07,5164
20191203T03-07,5151
20191203T02-07,5160
20191203T01-07,5251
20191203T00-07,5427
20191202T23-07,5471
20191202T22-07,5642
20191202T21-07,5816
20191202T20-07,5938
20191202T19-07,6061
20191202T18-07,6075
20191202T17-07,6019
20191202T16-07,5961
20191202T15-07,5866
20191202T14-07,5779
20191202T13-07,6000
20191202T12-07,6043
20191202T11-07,6028
20191202T10-07,5839
20191202T09-07,5743
20191202T08-07,5823
20191202T07-07,5839
20191202T06-07,5564
20191202T05-07,5359
20191202T04-07,5255
20191202T03-07,5280
20191202T02-07,5255
20191202T01-07,5374
20191202T00-07,5528
20191201T23-07,5736
20191201T22-07,5734
20191201T21-07,5961
20191201T20-07,6244
20191201T19-07,6336
20191201T18-07,6182
20191201T17-07,5874
20191201T16-07,5708
20191201T15-07,5677
20191201T14-07,5543
20191201T13-07,5218
20191201T12-07,5188
20191201T11-07,5558
20191201T10-07,5651
20191201T09-07,5767
20191201T08-07,5643
20191201T07-07,5510
20191201T06-07,5445
20191201T05-07,5381
20191201T04-07,5356
20191201T03-07,5358
20191201T02-07,5344
20191201T01-07,5470
20191201T00-07,5585
20191130T23-07,5783
20191130T22-07,5852
20191130T21-07,5983
20191130T20-07,5894
20191130T19-07,5764
20191130T18-07,5958
20191130T17-07,5710
20191130T16-07,5507
20191130T15-07,5351
20191130T14-07,5553
20191130T13-07,5548
20191130T12-07,5315
20191130T11-07,5397
20191130T10-07,5446
20191130T09-07,5466
20191130T08-07,5164
20191130T07-07,5310
20191130T06-07,5152
20191130T05-07,4924
20191130T04-07,4966
20191130T03-07,5025
20191130T02-07,5165
20191130T01-07,5185
20191130T00-07,5240
20191129T23-07,5417
20191129T22-07,5482
20191129T21-07,5709
20191129T20-07,5864
20191129T19-07,5845
20191129T18-07,5917
20191129T17-07,5909
20191129T16-07,5810
20191129T15-07,5819
20191129T14-07,5808
20191129T13-07,5781
20191129T12-07,5725
20191129T11-07,5670
20191129T10-07,5453
20191129T09-07,5048
20191129T08-07,5039
20191129T07-07,5203
20191129T06-07,5000
20191129T05-07,5049
20191129T04-07,4961
20191129T03-07,4922
20191129T02-07,5014
20191129T01-07,5117
20191129T00-07,5233
20191128T23-07,5432
20191128T22-07,5602
20191128T21-07,5687
20191128T20-07,5670
20191128T19-07,5696
20191128T18-07,5648
20191128T17-07,5412
20191128T16-07,5065
20191128T15-07,5080
20191128T14-07,5253
20191128T13-07,5375
20191128T12-07,5403
20191128T11-07,5370
20191128T10-07,5314
20191128T09-07,5308
20191128T08-07,5391
20191128T07-07,5306
20191128T06-07,5223
20191128T05-07,5150
20191128T04-07,5127
20191128T03-07,5164
20191128T02-07,5236
20191128T01-07,5348
20191128T00-07,5524
20191127T23-07,5780
20191127T22-07,6009
20191127T21-07,6201
20191127T20-07,6314
20191127T19-07,6418
20191127T18-07,6437
20191127T17-07,6291
20191127T16-07,6198
20191127T15-07,6227
20191127T14-07,6300
20191127T13-07,6274
20191127T12-07,6453
20191127T11-07,6295
20191127T10-07,6215
20191127T09-07,6050
20191127T08-07,5592
20191127T07-07,5898
20191127T06-07,5594
20191127T05-07,5406
20191127T04-07,5338
20191127T03-07,5371
20191127T02-07,5419
20191127T01-07,5506
20191127T00-07,5691
20191126T23-07,5913
20191126T22-07,6176
20191126T21-07,6269
20191126T20-07,6484
20191126T19-07,6367
20191126T18-07,6080
20191126T17-07,5737
20191126T16-07,5604
20191126T15-07,5510
20191126T14-07,5772
20191126T13-07,5814
20191126T12-07,5943
20191126T11-07,6120
20191126T10-07,5890
20191126T09-07,5859
20191126T08-07,5863
20191126T07-07,5761
20191126T06-07,5354
20191126T05-07,5261
20191126T04-07,5292
20191126T03-07,5299
20191126T02-07,5367
20191126T01-07,5291
20191126T00-07,5319
20191125T23-07,5460
20191125T22-07,5691
20191125T21-07,5899
20191125T20-07,6090
20191125T19-07,6119
20191125T18-07,6342
20191125T17-07,6241
20191125T16-07,6277
20191125T15-07,6076
20191125T14-07,6262
20191125T13-07,6248
20191125T12-07,6184
20191125T11-07,6159
20191125T10-07,6077
20191125T09-07,5925
20191125T08-07,5984
20191125T07-07,5686
20191125T06-07,5328
20191125T05-07,5094
20191125T04-07,4986
20191125T03-07,4976
20191125T02-07,5016
20191125T01-07,5085
20191125T00-07,5220
20191124T23-07,5464
20191124T22-07,5729
20191124T21-07,5825
20191124T20-07,5880
20191124T19-07,5762
20191124T18-07,5815
20191124T17-07,5510
20191124T16-07,5307
20191124T15-07,5230
20191124T14-07,5276
20191124T13-07,5311
20191124T12-07,5324
20191124T11-07,5327
20191124T10-07,5388
20191124T09-07,5295
20191124T08-07,5343
20191124T07-07,5269
20191124T06-07,5125
20191124T05-07,5030
20191124T04-07,5040
20191124T03-07,5038
20191124T02-07,5063
20191124T01-07,5137
20191124T00-07,5276
20191123T23-07,5442
20191123T22-07,5532
20191123T21-07,5599
20191123T20-07,5818
20191123T19-07,5647
20191123T18-07,5530
20191123T17-07,5362
20191123T16-07,5290
20191123T15-07,5293
20191123T14-07,5276
20191123T13-07,5433
20191123T12-07,5512
20191123T11-07,5456
20191123T10-07,5194
20191123T09-07,5105
20191123T08-07,4983
20191123T07-07,5129
20191123T06-07,4945
20191123T05-07,5028
20191123T04-07,4950
20191123T03-07,4927
20191123T02-07,5034
20191123T01-07,5116
20191123T00-07,5059
20191122T23-07,5236
20191122T22-07,5406
20191122T21-07,5632
20191122T20-07,5579
20191122T19-07,5522
20191122T18-07,5683
20191122T17-07,5756
20191122T16-07,5811
20191122T15-07,5869
20191122T14-07,5914
20191122T13-07,5958
20191122T12-07,6012
20191122T11-07,6046
20191122T10-07,5695
20191122T09-07,5507
20191122T08-07,5536
20191122T07-07,5484
20191122T06-07,5297
20191122T05-07,5126
20191122T04-07,4975
20191122T03-07,4961
20191122T02-07,5030
20191122T01-07,5082
20191122T00-07,4993
20191121T23-07,5175
20191121T22-07,5399
20191121T21-07,5538
20191121T20-07,5691
20191121T19-07,5739
20191121T18-07,5817
20191121T17-07,5832
20191121T16-07,5783
20191121T15-07,5743
20191121T14-07,5743
20191121T13-07,5830
20191121T12-07,5646
20191121T11-07,5929
20191121T10-07,5679
20191121T09-07,5546
20191121T08-07,5498
20191121T07-07,5304
20191121T06-07,5068
20191121T05-07,5029
20191121T04-07,4962
20191121T03-07,4924
20191121T02-07,4929
20191121T01-07,4947
20191121T00-07,5033
20191120T23-07,5325
20191120T22-07,5479
20191120T21-07,5745
20191120T20-07,5578
20191120T19-07,5706
20191120T18-07,5827
20191120T17-07,5651
20191120T16-07,5661
20191120T15-07,5817
20191120T14-07,5718
20191120T13-07,5615
20191120T12-07,5415
20191120T11-07,5461
20191120T10-07,5299
20191120T09-07,5326
20191120T08-07,5512
20191120T07-07,5334
20191120T06-07,5002
20191120T05-07,4841
20191120T04-07,4767
20191120T03-07,4761
20191120T02-07,4782
20191120T01-07,4847
20191120T00-07,5035
20191119T23-07,5282
20191119T22-07,5521
20191119T21-07,5637
20191119T20-07,5735
20191119T19-07,5843
20191119T18-07,5952
20191119T17-07,5731
20191119T16-07,5603
20191119T15-07,5557
20191119T14-07,5636
20191119T13-07,5389
20191119T12-07,5481
20191119T11-07,5655
20191119T10-07,5573
20191119T09-07,5739
20191119T08-07,5715
20191119T07-07,5538
20191119T06-07,5183
20191119T05-07,4897
20191119T04-07,4820
20191119T03-07,4773
20191119T02-07,4793
20191119T01-07,4848
20191119T00-07,5020
20191118T23-07,5242
20191118T22-07,5406
20191118T21-07,5668
20191118T20-07,5781
20191118T19-07,5770
20191118T18-07,5629
20191118T17-07,5587
20191118T16-07,6280
20191118T15-07,4852
20191118T14-07,5534
20191118T13-07,5385
20191118T12-07,5649
20191118T11-07,5738
20191118T10-07,5646
20191118T09-07,5466
20191118T08-07,5572
20191118T07-07,5460
20191118T06-07,5055
20191118T05-07,4821
20191118T04-07,4711
20191118T03-07,4679
20191118T02-07,4668
20191118T01-07,4728
20191118T00-07,4867
20191117T23-07,5092
20191117T22-07,5340
20191117T21-07,5439
20191117T20-07,5601
20191117T19-07,5722
20191117T18-07,5600
20191117T17-07,5282
20191117T16-07,5124
20191117T15-07,5069
20191117T14-07,5000
20191117T13-07,4973
20191117T12-07,5003
20191117T11-07,5018
20191117T10-07,5061
20191117T09-07,5110
20191117T08-07,5041
20191117T07-07,5000
20191117T06-07,4895
20191117T05-07,4830
20191117T04-07,4821
20191117T03-07,4849
20191117T02-07,4846
20191117T01-07,5042
20191117T00-07,5138
20191116T23-07,5303
20191116T22-07,5418
20191116T21-07,5561
20191116T20-07,5551
20191116T19-07,5640
20191116T18-07,5571
20191116T17-07,5298
20191116T16-07,5146
20191116T15-07,5178
20191116T14-07,5182
20191116T13-07,5188
20191116T12-07,5198
20191116T11-07,5277
20191116T10-07,5294
20191116T09-07,5230
20191116T08-07,5129
20191116T07-07,5002
20191116T06-07,4837
20191116T05-07,4724
20191116T04-07,4615
20191116T03-07,4593
20191116T02-07,4676
20191116T01-07,4805
20191116T00-07,4931
20191115T23-07,5187
20191115T22-07,5308
20191115T21-07,5584
20191115T20-07,5657
20191115T19-07,5745
20191115T18-07,5716
20191115T17-07,5470
20191115T16-07,5400
20191115T15-07,5364
20191115T14-07,5361
