,Demand
20191114T13Z,1926
20191114T12Z,1917
20191114T11Z,1908
20191114T10Z,1916
20191114T09Z,1943
20191114T08Z,2112
20191114T07Z,2201
20191114T06Z,2359
20191114T05Z,2540
20191114T04Z,2617
20191114T03Z,2676
20191114T02Z,2664
20191114T01Z,2508
20191114T00Z,2415
20191113T23Z,2404
20191113T22Z,2429
20191113T21Z,2442
20191113T20Z,2502
20191113T19Z,2554
20191113T18Z,2661
20191113T17Z,2727
20191113T16Z,2818
20191113T15Z,2686
20191113T14Z,2340
20191113T13Z,2089
20191113T12Z,1997
20191113T11Z,1951
20191113T10Z,1930
20191113T09Z,1962
20191113T08Z,2064
20191113T07Z,2196
20191113T06Z,2383
20191113T05Z,2522
20191113T04Z,2599
20191113T03Z,2660
20191113T02Z,2655
20191113T01Z,2494
20191113T00Z,2406
20191112T23Z,2402
20191112T22Z,2460
20191112T21Z,2516
20191112T20Z,2577
20191112T19Z,2666
20191112T18Z,2722
20191112T17Z,2750
20191112T16Z,2801
20191112T15Z,2660
20191112T14Z,2318
20191112T13Z,2059
20191112T12Z,1965
20191112T11Z,1943
20191112T10Z,1946
20191112T09Z,1964
20191112T08Z,2051
20191112T07Z,2183
20191112T06Z,2358
20191112T05Z,2466
20191112T04Z,2550
20191112T03Z,2623
20191112T02Z,2639
20191112T01Z,2459
20191112T00Z,2360
20191111T23Z,2345
20191111T22Z,2378
20191111T21Z,2414
20191111T20Z,2476
20191111T19Z,2552
20191111T18Z,2600
20191111T17Z,2614
20191111T16Z,2596
20191111T15Z,2416
20191111T14Z,2150
20191111T13Z,1907
20191111T12Z,1814
20191111T11Z,1782
20191111T10Z,1767
20191111T09Z,1795
20191111T08Z,1838
20191111T07Z,1947
20191111T06Z,2076
20191111T05Z,2177
20191111T04Z,2264
20191111T03Z,2318
20191111T02Z,2343
20191111T01Z,2171
20191111T00Z,2056
20191110T23Z,2027
20191110T22Z,2037
20191110T21Z,2079
20191110T20Z,2134
20191110T19Z,2208
20191110T18Z,2283
20191110T17Z,2307
20191110T16Z,2224
20191110T15Z,2068
20191110T14Z,1915
20191110T13Z,1816
20191110T12Z,1770
20191110T11Z,1761
20191110T10Z,1767
20191110T09Z,1801
20191110T08Z,1883
20191110T07Z,2000
20191110T06Z,2129
20191110T05Z,2229
20191110T04Z,2509
20191110T03Z,2348
20191110T02Z,2386
20191110T01Z,2273
20191110T00Z,2163
20191109T23Z,2155
20191109T22Z,2195
20191109T21Z,2288
20191109T20Z,2361
20191109T19Z,2453
20191109T18Z,2501
20191109T17Z,2508
20191109T16Z,2403
20191109T15Z,2268
20191109T14Z,2110
20191109T13Z,2005
20191109T12Z,1935
20191109T11Z,1928
20191109T10Z,1960
20191109T09Z,1995
20191109T08Z,2077
20191109T07Z,2197
20191109T06Z,2306
20191109T05Z,2392
20191109T04Z,2472
20191109T03Z,2537
20191109T02Z,2554
20191109T01Z,2380
20191109T00Z,2302
20191108T23Z,2293
20191108T22Z,2336
20191108T21Z,2435
20191108T20Z,2488
20191108T19Z,2635
20191108T18Z,2762
20191108T17Z,2885
20191108T16Z,2997
20191108T15Z,2862
20191108T14Z,2508
20191108T13Z,2258
20191108T12Z,2153
20191108T11Z,2101
20191108T10Z,2103
20191108T09Z,2104
20191108T08Z,2172
20191108T07Z,2309
20191108T06Z,2471
20191108T05Z,2590
20191108T04Z,2667
20191108T03Z,2702
20191108T02Z,2658
20191108T01Z,2475
20191108T00Z,2366
20191107T23Z,2364
20191107T22Z,2393
20191107T21Z,2462
20191107T20Z,2537
20191107T19Z,2664
20191107T18Z,2758
20191107T17Z,2868
20191107T16Z,2980
20191107T15Z,2849
20191107T14Z,2471
20191107T13Z,2190
20191107T12Z,2069
20191107T11Z,2040
20191107T10Z,2043
20191107T09Z,2055
20191107T08Z,2114
20191107T07Z,2254
20191107T06Z,2417
20191107T05Z,2554
20191107T04Z,2639
20191107T03Z,2736
20191107T02Z,2965
20191107T01Z,2693
20191107T00Z,2352
20191106T23Z,2364
20191106T22Z,2367
20191106T21Z,2412
20191106T20Z,2462
20191106T19Z,2536
20191106T18Z,2690
20191106T17Z,2772
20191106T16Z,2911
20191106T15Z,2762
20191106T14Z,2378
20191106T13Z,2107
20191106T12Z,1998
20191106T11Z,1962
20191106T10Z,1954
20191106T09Z,1958
20191106T08Z,2037
20191106T07Z,2165
20191106T06Z,2336
20191106T05Z,2475
20191106T04Z,2580
20191106T03Z,2627
20191106T02Z,2606
20191106T01Z,2432
20191106T00Z,2330
20191105T23Z,2365
20191105T22Z,2421
20191105T21Z,2471
20191105T20Z,2526
20191105T19Z,2632
20191105T18Z,2711
20191105T17Z,2847
20191105T16Z,2966
20191105T15Z,2822
20191105T14Z,2443
20191105T13Z,2154
20191105T12Z,2048
20191105T11Z,1987
20191105T10Z,1994
20191105T09Z,1991
20191105T08Z,2059
20191105T07Z,2181
20191105T06Z,2327
20191105T05Z,2475
20191105T04Z,2549
20191105T03Z,2596
20191105T02Z,2573
20191105T01Z,2374
20191105T00Z,2321
20191104T23Z,2472
20191104T22Z,2334
20191104T21Z,2383
20191104T20Z,2379
20191104T19Z,2557
20191104T18Z,2688
20191104T17Z,2845
20191104T16Z,2985
20191104T15Z,2844
20191104T14Z,2438
20191104T13Z,2123
20191104T12Z,2000
20191104T11Z,1923
20191104T10Z,1918
20191104T09Z,1903
20191104T08Z,1936
20191104T07Z,2041
20191104T06Z,2176
20191104T05Z,2304
20191104T04Z,2381
20191104T03Z,2443
20191104T02Z,2419
20191104T01Z,2204
20191104T00Z,2090
20191103T23Z,2094
20191103T22Z,2082
20191103T21Z,2159
20191103T20Z,2248
20191103T19Z,2379
20191103T18Z,2515
20191103T17Z,2607
20191103T16Z,2608
20191103T15Z,2412
20191103T14Z,2207
20191103T13Z,2090
20191103T12Z,1995
20191103T11Z,1945
20191103T10Z,1917
20191103T09Z,1897
20191103T08Z,1984
20191103T07Z,2007
20191103T06Z,2126
20191103T05Z,2232
20191103T04Z,2284
20191103T03Z,2333
20191103T02Z,2317
20191103T01Z,2187
20191103T00Z,2128
