,Demand
20191114T13Z,1814
20191114T12Z,1432
20191114T11Z,1392
20191114T10Z,1384
20191114T09Z,1399
20191114T08Z,1427
20191114T07Z,1469
20191114T06Z,1558
20191114T05Z,1637
20191114T04Z,1701
20191114T03Z,1697
20191114T02Z,1710
20191114T01Z,1680
20191114T00Z,1551
20191113T23Z,1610
20191113T22Z,1488
20191113T21Z,1421
20191113T20Z,1407
20191113T19Z,1428
20191113T18Z,1489
20191113T17Z,1540
20191113T16Z,1623
20191113T15Z,1730
20191113T14Z,1734
20191113T13Z,1615
20191113T12Z,1530
20191113T11Z,1485
20191113T10Z,1485
20191113T09Z,1487
20191113T08Z,1519
20191113T07Z,1557
20191113T06Z,1633
20191113T05Z,1731
20191113T04Z,1796
20191113T03Z,1797
20191113T02Z,1824
20191113T01Z,1770
20191113T00Z,1618
20191112T23Z,1518
20191112T22Z,1485
20191112T21Z,1468
20191112T20Z,1491
20191112T19Z,1501
20191112T18Z,1528
20191112T17Z,1559
20191112T16Z,1624
20191112T15Z,1714
20191112T14Z,1742
20191112T13Z,1615
20191112T12Z,1518
20191112T11Z,1481
20191112T10Z,1466
20191112T09Z,1469
20191112T08Z,1480
20191112T07Z,1532
20191112T06Z,1605
20191112T05Z,1699
20191112T04Z,1768
20191112T03Z,1786
20191112T02Z,1783
20191112T01Z,1744
20191112T00Z,1599
20191111T23Z,1528
20191111T22Z,1494
20191111T21Z,1462
20191111T20Z,1460
20191111T19Z,1464
20191111T18Z,1476
20191111T17Z,1499
20191111T16Z,1510
20191111T15Z,1542
20191111T14Z,1526
20191111T13Z,1444
20191111T12Z,1389
20191111T11Z,1369
20191111T10Z,1375
20191111T09Z,1380
20191111T08Z,1372
20191111T07Z,1392
20191111T06Z,1454
20191111T05Z,1542
20191111T04Z,1605
20191111T03Z,1633
20191111T02Z,1638
20191111T01Z,1609
20191111T00Z,1469
20191110T23Z,1381
20191110T22Z,1340
20191110T21Z,1338
20191110T20Z,1341
20191110T19Z,1368
20191110T18Z,1395
20191110T17Z,1424
20191110T16Z,1445
20191110T15Z,1481
20191110T14Z,1468
20191110T13Z,1410
20191110T12Z,1384
20191110T11Z,1371
20191110T10Z,1371
20191110T09Z,1393
20191110T08Z,1411
20191110T07Z,1451
20191110T06Z,1504
20191110T05Z,1579
20191110T04Z,1624
20191110T03Z,1637
20191110T02Z,1665
20191110T01Z,1641
20191110T00Z,1476
20191109T23Z,1407
20191109T22Z,1355
20191109T21Z,1343
20191109T20Z,1348
20191109T19Z,1360
20191109T18Z,1402
20191109T17Z,1453
20191109T16Z,1478
20191109T15Z,1523
20191109T14Z,1509
20191109T13Z,1432
20191109T12Z,1387
20191109T11Z,1373
20191109T10Z,1361
20191109T09Z,1349
20191109T08Z,1391
20191109T07Z,1441
20191109T06Z,1507
20191109T05Z,1571
20191109T04Z,1623
20191109T03Z,1639
20191109T02Z,1633
20191109T01Z,1583
20191109T00Z,1482
20191108T23Z,1399
20191108T22Z,1375
20191108T21Z,1377
20191108T20Z,1396
20191108T19Z,1411
20191108T18Z,1468
20191108T17Z,1543
20191108T16Z,1601
20191108T15Z,1624
20191108T14Z,1600
20191108T13Z,1495
20191108T12Z,1407
20191108T11Z,1374
20191108T10Z,1362
20191108T09Z,1371
20191108T08Z,1398
20191108T07Z,1449
20191108T06Z,1558
20191108T05Z,1656
20191108T04Z,1716
20191108T03Z,1738
20191108T02Z,1761
20191108T01Z,1729
20191108T00Z,1621
20191107T23Z,1569
20191107T22Z,1565
20191107T21Z,1563
20191107T20Z,1565
20191107T19Z,1589
20191107T18Z,1604
20191107T17Z,1621
20191107T16Z,1618
20191107T15Z,1608
20191107T14Z,1574
20191107T13Z,1458
20191107T12Z,1366
20191107T11Z,1334
20191107T10Z,1333
20191107T09Z,1359
20191107T08Z,1398
20191107T07Z,1431
20191107T06Z,1511
20191107T05Z,1596
20191107T04Z,1674
20191107T03Z,1712
20191107T02Z,1732
20191107T01Z,1724
20191107T00Z,1624
20191106T23Z,1596
20191106T22Z,1613
20191106T21Z,1617
20191106T20Z,1610
20191106T19Z,1636
20191106T18Z,1643
20191106T17Z,1608
20191106T16Z,1581
20191106T15Z,1578
20191106T14Z,1569
20191106T13Z,1460
20191106T12Z,1368
20191106T11Z,1332
20191106T10Z,1346
20191106T09Z,1352
20191106T08Z,1358
20191106T07Z,1397
20191106T06Z,1469
20191106T05Z,1575
20191106T04Z,1648
20191106T03Z,1660
20191106T02Z,1682
20191106T01Z,1639
20191106T00Z,1516
20191105T23Z,1492
20191105T22Z,1470
20191105T21Z,1446
20191105T20Z,1435
20191105T19Z,1446
20191105T18Z,1460
20191105T17Z,1488
20191105T16Z,1541
20191105T15Z,1605
20191105T14Z,1606
20191105T13Z,1493
20191105T12Z,1405
20191105T11Z,1348
20191105T10Z,1354
20191105T09Z,1347
20191105T08Z,1353
20191105T07Z,1402
20191105T06Z,1483
20191105T05Z,1562
20191105T04Z,1650
20191105T03Z,1680
20191105T02Z,1692
20191105T01Z,1653
20191105T00Z,1552
20191104T23Z,1504
20191104T22Z,1473
20191104T21Z,1455
20191104T20Z,1464
20191104T19Z,1460
20191104T18Z,1471
20191104T17Z,1501
20191104T16Z,1548
20191104T15Z,1627
20191104T14Z,1635
20191104T13Z,1574
20191104T12Z,1436
20191104T11Z,1389
20191104T10Z,1377
20191104T09Z,1377
20191104T08Z,1396
20191103T07Z,
20191103T06Z,
20191103T05Z,
20191103T04Z,
20191103T03Z,
20191103T02Z,
20191103T01Z,
20191103T00Z,
20191102T23Z,
20191102T22Z,
20191102T21Z,
20191102T20Z,
20191102T19Z,
20191102T18Z,
20191102T17Z,
20191102T16Z,
20191102T15Z,
20191102T14Z,
20191102T13Z,
20191102T12Z,
20191102T11Z,
20191102T10Z,
20191102T09Z,
20191102T08Z,
20191102T07Z,1469
20191102T06Z,1506
20191102T05Z,1591
20191102T04Z,1660
20191102T03Z,1688
20191102T02Z,1687
20191102T01Z,1645
20191102T00Z,1528
20191101T23Z,1472
20191101T22Z,1454
20191101T21Z,1447
20191101T20Z,1459
20191101T19Z,1482
20191101T18Z,1524
20191101T17Z,1572
20191101T16Z,1650
20191101T15Z,1735
20191101T14Z,1787
20191101T13Z,1719
20191101T12Z,1594
20191101T11Z,1520
20191101T10Z,1490
20191101T09Z,1489
20191101T08Z,1483
20191101T07Z,1529
20191101T06Z,1566
20191101T05Z,1627
20191101T04Z,1700
20191101T03Z,1714
20191101T02Z,1681
20191101T01Z,1633
20191101T00Z,1522
20191031T23Z,1487
20191031T22Z,1468
20191031T21Z,1483
20191031T20Z,1502
20191031T19Z,1532
20191031T18Z,1590
20191031T17Z,1658
20191031T16Z,1707
20191031T15Z,1786
20191031T14Z,1840
20191031T13Z,1786
20191031T12Z,1633
20191031T11Z,1552
20191031T10Z,1514
20191031T09Z,1508
20191031T08Z,1499
20191031T07Z,1533
20191031T06Z,1585
20191031T05Z,1675
20191031T04Z,1770
20191031T03Z,1815
20191031T02Z,1804
20191031T01Z,1725
20191031T00Z,1592
20191030T23Z,1521
20191030T22Z,1497
20191030T21Z,1490
20191030T20Z,1488
20191030T19Z,1520
20191030T18Z,1524
20191030T17Z,1559
20191030T16Z,1610
20191030T15Z,1675
20191030T14Z,1702
20191030T13Z,1647
20191030T12Z,1515
20191030T11Z,1420
20191030T10Z,1374
20191030T09Z,1369
20191030T08Z,1379
20191030T07Z,1389
20191030T06Z,1433
20191030T05Z,1518
20191030T04Z,1613
20191030T03Z,1667
20191030T02Z,1688
20191030T01Z,1634
20191030T00Z,1531
20191029T23Z,1498
20191029T22Z,1472
20191029T21Z,1461
20191029T20Z,1451
20191029T19Z,1464
20191029T18Z,1510
20191029T17Z,1555
20191029T16Z,1612
20191029T15Z,1675
20191029T14Z,1712
20191029T13Z,1656
20191029T12Z,1514
20191029T11Z,1427
20191029T10Z,1399
20191029T09Z,1394
20191029T08Z,1411
20191029T07Z,1433
20191029T06Z,1479
20191029T05Z,1562
20191029T04Z,1661
20191029T03Z,1717
20191029T02Z,1722
20191029T01Z,1670
20191029T00Z,1554
20191028T23Z,1499
