,Demand
20191114T13Z,5233
20191114T12Z,4816
20191114T11Z,4679
20191114T10Z,4614
20191114T09Z,4607
20191114T08Z,4681
20191114T07Z,4833
20191114T06Z,5151
20191114T05Z,5517
20191114T04Z,5802
20191114T03Z,5972
20191114T02Z,6091
20191114T01Z,6126
20191114T00Z,5705
20191113T23Z,5423
20191113T22Z,5306
20191113T21Z,5289
20191113T20Z,5270
20191113T19Z,5336
20191113T18Z,5414
20191113T17Z,5476
20191113T16Z,5546
20191113T15Z,5614
20191113T14Z,5568
20191113T13Z,5083
20191113T12Z,4744
20191113T11Z,4590
20191113T10Z,4569
20191113T09Z,4601
20191113T08Z,4700
20191113T07Z,4894
20191113T06Z,5228
20191113T05Z,5628
20191113T04Z,5943
20191113T03Z,6111
20191113T02Z,6257
20191113T01Z,6278
20191113T00Z,5825
20191112T23Z,5523
20191112T22Z,5434
20191112T21Z,5456
20191112T20Z,5457
20191112T19Z,5555
20191112T18Z,5710
20191112T17Z,5874
20191112T16Z,6061
20191112T15Z,6320
20191112T14Z,6217
20191112T13Z,5732
20191112T12Z,5350
20191112T11Z,5194
20191112T10Z,5216
20191112T09Z,5244
20191112T08Z,5329
20191112T07Z,5392
20191112T06Z,5734
20191112T05Z,6121
20191112T04Z,6437
20191112T03Z,6600
20191112T02Z,6745
20191112T01Z,6821
20191112T00Z,6355
20191111T23Z,6062
20191111T22Z,5956
20191111T21Z,6026
20191111T20Z,6118
20191111T19Z,6205
20191111T18Z,6228
20191111T17Z,6238
20191111T16Z,6178
20191111T15Z,6027
20191111T14Z,5826
20191111T13Z,5370
20191111T12Z,5057
20191111T11Z,4877
20191111T10Z,4799
20191111T09Z,4799
20191111T08Z,4823
20191110T07Z,
20191110T06Z,
20191110T05Z,
20191110T04Z,
20191110T03Z,
20191110T02Z,
20191110T01Z,
20191110T00Z,
20191109T23Z,
20191109T22Z,
20191109T21Z,
20191109T20Z,
20191109T19Z,
20191109T18Z,
20191109T17Z,
20191109T16Z,
20191109T15Z,
20191109T14Z,
20191109T13Z,
20191109T12Z,
20191109T11Z,
20191109T10Z,
20191109T09Z,
20191109T08Z,
20191109T07Z,4938
20191109T06Z,5204
20191109T05Z,5498
20191109T04Z,5643
20191109T03Z,5722
20191109T02Z,5906
20191109T01Z,5983
20191109T00Z,5636
20191108T23Z,5415
20191108T22Z,5373
20191108T21Z,5402
20191108T20Z,5380
20191108T19Z,5422
20191108T18Z,5477
20191108T17Z,5538
20191108T16Z,5655
20191108T15Z,5839
20191108T14Z,5768
20191108T13Z,5346
20191108T12Z,5049
20191108T11Z,4885
20191108T10Z,4836
20191108T09Z,4893
20191108T08Z,4958
20191108T07Z,5107
20191108T06Z,5429
20191108T05Z,5720
20191108T04Z,5956
20191108T03Z,6141
20191108T02Z,6249
20191108T01Z,6268
20191108T00Z,5803
20191107T23Z,5531
20191107T22Z,5454
20191107T21Z,5457
20191107T20Z,5497
20191107T19Z,5569
20191107T18Z,5690
20191107T17Z,5773
20191107T16Z,5908
20191107T15Z,6029
20191107T14Z,5858
20191107T13Z,5389
20191107T12Z,5106
20191107T11Z,4967
20191107T10Z,4946
20191107T09Z,4927
20191107T08Z,4966
20191107T07Z,5164
20191107T06Z,5481
20191107T05Z,5823
20191107T04Z,6183
20191107T03Z,6356
20191107T02Z,6508
20191107T01Z,6559
20191107T00Z,6217
20191106T23Z,5868
20191106T22Z,5866
20191106T21Z,5758
20191106T20Z,5531
20191106T19Z,5464
20191106T18Z,5504
20191106T17Z,5471
20191106T16Z,5594
20191106T15Z,5733
20191106T14Z,5684
20191106T13Z,5215
20191106T12Z,4856
20191106T11Z,4725
20191106T10Z,4688
20191106T09Z,4689
20191106T08Z,4742
20191106T07Z,4887
20191106T06Z,5206
20191106T05Z,5576
20191106T04Z,5857
20191106T03Z,6049
20191106T02Z,6158
20191106T01Z,6181
20191106T00Z,5770
20191105T23Z,5524
20191105T22Z,5365
20191105T21Z,5429
20191105T20Z,5393
20191105T19Z,5417
20191105T18Z,5448
20191105T17Z,5586
20191105T16Z,5696
20191105T15Z,5909
20191105T14Z,5859
20191105T13Z,5402
20191105T12Z,5084
20191105T11Z,4917
20191105T10Z,4891
20191105T09Z,4874
20191105T08Z,4954
20191105T07Z,5091
20191105T06Z,5331
20191105T05Z,5664
20191105T04Z,5988
20191105T03Z,6171
20191105T02Z,6308
20191105T01Z,6275
20191105T00Z,5832
20191104T23Z,5550
20191104T22Z,5461
20191104T21Z,5411
20191104T20Z,5368
20191104T19Z,5424
20191104T18Z,5470
20191104T17Z,5553
20191104T16Z,5686
20191104T15Z,5808
20191104T14Z,5659
20191104T13Z,5197
20191104T12Z,4820
20191104T11Z,4628
20191104T10Z,4596
20191104T09Z,4668
20191104T08Z,4729
20191104T07Z,4763
20191104T06Z,5084
20191104T05Z,5375
20191104T04Z,5677
20191104T03Z,5868
20191104T02Z,6003
20191104T01Z,6015
20191104T00Z,5544
20191103T23Z,5230
20191103T22Z,4518
20191103T21Z,5057
20191103T20Z,5029
20191103T19Z,5182
20191103T18Z,5208
20191103T17Z,5285
20191103T16Z,5319
20191103T15Z,5348
20191103T14Z,5283
20191103T13Z,5124
20191103T12Z,4953
20191103T11Z,4783
20191103T10Z,4755
20191103T09Z,4771
20191103T08Z,4819
20191103T07Z,4909
20191103T06Z,5100
20191103T05Z,5340
20191103T04Z,5606
20191103T03Z,5770
20191103T02Z,5848
20191103T01Z,5855
20191103T00Z,5510
20191102T23Z,5243
20191102T22Z,5121
20191102T21Z,5152
20191102T20Z,5254
20191102T19Z,5329
20191102T18Z,5486
20191102T17Z,5600
20191102T16Z,5697
20191102T15Z,5775
20191102T14Z,5758
20191102T13Z,5562
20191102T12Z,5371
20191102T11Z,5213
20191102T10Z,5187
20191102T09Z,5163
20191102T08Z,5213
20191102T07Z,5300
20191102T06Z,5398
20191102T05Z,5662
20191102T04Z,5995
20191102T03Z,6208
20191102T02Z,6267
20191102T01Z,6322
20191102T00Z,6064
20191101T23Z,5923
20191101T22Z,5829
20191101T21Z,5863
20191101T20Z,5938
20191101T19Z,5952
20191101T18Z,5978
20191101T17Z,6113
20191101T16Z,6107
20191101T15Z,6227
20191101T14Z,6263
20191101T13Z,5998
20191101T12Z,5565
20191101T11Z,5260
20191101T10Z,5081
20191101T09Z,5085
20191101T08Z,5116
20191101T07Z,5158
20191101T06Z,5232
20191101T05Z,5526
20191101T04Z,5877
20191101T03Z,6093
20191101T02Z,6223
20191101T01Z,6238
20191101T00Z,5971
20191031T23Z,5797
20191031T22Z,5774
20191031T21Z,5825
20191031T20Z,5913
20191031T19Z,6052
20191031T18Z,6192
20191031T17Z,6303
20191031T16Z,6448
20191031T15Z,6608
20191031T14Z,6675
20191031T13Z,6402
20191031T12Z,5905
20191031T11Z,5619
20191031T10Z,5539
20191031T09Z,5564
20191031T08Z,5601
20191031T07Z,5683
20191031T06Z,5871
20191031T05Z,6209
20191031T04Z,6537
20191031T03Z,6816
20191031T02Z,6985
20191031T01Z,6902
20191031T00Z,6565
20191030T23Z,6346
20191030T22Z,6301
20191030T21Z,6360
20191030T20Z,6447
20191030T19Z,6554
20191030T18Z,6639
20191030T17Z,6781
20191030T16Z,6803
20191030T15Z,6763
20191030T14Z,6584
20191030T13Z,6344
20191030T12Z,5951
20191030T11Z,5690
20191030T10Z,5541
20191030T09Z,5559
20191030T08Z,5595
20191030T07Z,5672
20191030T06Z,5854
20191030T05Z,6161
20191030T04Z,6542
20191030T03Z,6814
20191030T02Z,6939
20191030T01Z,7149
20191030T00Z,6998
20191029T23Z,6748
20191029T22Z,6603
20191029T21Z,6506
20191029T20Z,6495
20191029T19Z,6550
20191029T18Z,6568
20191029T17Z,6591
20191029T16Z,6556
