,Demand1
20191114T08-08,2638
20191114T07-08,3785
20191114T06-08,3398
20191114T05-08,3030
20191114T04-08,2874
20191114T03-08,2806
20191114T02-08,2867
20191114T01-08,2947
20191114T00-08,3074
20191113T23-08,3284
20191113T22-08,3570
20191113T21-08,3787
20191113T20-08,3897
20191113T19-08,4007
20191113T18-08,4028
20191113T17-08,3828
20191113T16-08,3660
20191113T15-08,3644
20191113T14-08,3643
20191113T13-08,3665
20191113T12-08,3677
20191113T11-08,3763
20191113T10-08,3809
20191113T09-08,3845
20191113T08-08,3882
20191113T07-08,3685
20191113T06-08,3308
20191113T05-08,3002
20191113T04-08,2871
20191113T03-08,2851
20191113T02-08,2884
20191113T01-08,2963
20191113T00-08,3091
20191112T23-08,3329
20191112T22-08,3596
20191112T21-08,3843
20191112T20-08,3998
20191112T19-08,4099
20191112T18-08,4139
20191112T17-08,3979
20191112T16-08,3803
20191112T15-08,3782
20191112T14-08,3802
20191112T13-08,3831
20191112T12-08,3877
20191112T11-08,3917
20191112T10-08,3956
20191112T09-08,3985
20191112T08-08,3987
20191112T07-08,3787
20191112T06-08,3409
20191112T05-08,3119
20191112T04-08,2976
20191112T03-08,2910
20191112T02-08,2940
20191112T01-08,3016
20191112T00-08,3168
20191111T23-08,3423
20191111T22-08,3703
20191111T21-08,3846
20191111T20-08,4000
20191111T19-08,4051
20191111T18-08,4090
20191111T17-08,3898
20191111T16-08,3718
20191111T15-08,3673
20191111T14-08,3695
20191111T13-08,3741
20191111T12-08,3809
20191111T11-08,3913
20191111T10-08,3968
20191111T09-08,3912
20191111T08-08,3795
20191111T07-08,3583
20191111T06-08,3299
20191111T05-08,3027
20191111T04-08,2889
20191111T03-08,2857
20191111T02-08,2909
20191111T01-08,2948
20191111T00-08,
20191110T23-08,
20191110T22-08,
20191110T21-08,
20191110T20-08,
20191110T19-08,
20191110T18-08,
20191110T17-08,
20191110T16-08,
20191110T15-08,
20191110T14-08,
20191110T13-08,
20191110T12-08,
20191110T11-08,
20191110T10-08,
20191110T09-08,
20191110T08-08,
20191110T07-08,
20191110T06-08,
20191110T05-08,
20191110T04-08,
20191110T03-08,
20191110T02-08,
20191110T01-08,
20191110T00-08,3140
20191109T23-08,3307
20191109T22-08,3485
20191109T21-08,3644
20191109T20-08,3748
20191109T19-08,3845
20191109T18-08,3899
20191109T17-08,3799
20191109T16-08,3670
20191109T15-08,3650
20191109T14-08,3691
20191109T13-08,3749
20191109T12-08,3803
20191109T11-08,3828
20191109T10-08,3817
20191109T09-08,3697
20191109T08-08,3522
20191109T07-08,3304
20191109T06-08,3141
20191109T05-08,3032
20191109T04-08,2957
20191109T03-08,2939
20191109T02-08,2992
20191109T01-08,3090
20191109T00-08,3238
20191108T23-08,3458
20191108T22-08,3660
20191108T21-08,3832
20191108T20-08,3916
20191108T19-08,4033
20191108T18-08,4076
20191108T17-08,3835
20191108T16-08,3667
20191108T15-08,3688
20191108T14-08,3757
20191108T13-08,3822
20191108T12-08,3929
20191108T11-08,4070
20191108T10-08,4231
20191108T09-08,4369
20191108T08-08,4412
20191108T07-08,4183
20191108T06-08,3803
20191108T05-08,3487
20191108T04-08,3294
20191108T03-08,3229
20191108T02-08,3227
20191108T01-08,3277
20191108T00-08,3400
20191107T23-08,3606
20191107T22-08,3865
20191107T21-08,4059
20191107T20-08,4166
20191107T19-08,4224
20191107T18-08,4201
20191107T17-08,3919
20191107T16-08,3746
20191107T15-08,3725
20191107T14-08,3765
20191107T13-08,3856
20191107T12-08,3979
20191107T11-08,4077
20191107T10-08,4142
20191107T09-08,4277
20191107T08-08,4368
20191107T07-08,4222
20191107T06-08,3821
20191107T05-08,3501
20191107T04-08,3322
20191107T03-08,3208
20191107T02-08,3224
20191107T01-08,3273
20191107T00-08,3392
20191106T23-08,3632
20191106T22-08,3894
20191106T21-08,4094
20191106T20-08,4205
20191106T19-08,4256
20191106T18-08,4253
20191106T17-08,3934
20191106T16-08,3709
20191106T15-08,3636
20191106T14-08,3686
20191106T13-08,3770
20191106T12-08,3854
20191106T11-08,3975
20191106T10-08,4033
20191106T09-08,4126
20191106T08-08,4211
20191106T07-08,4067
20191106T06-08,3700
20191106T05-08,3384
20191106T04-08,3210
20191106T03-08,3150
20191106T02-08,3150
20191106T01-08,3208
20191106T00-08,3325
20191105T23-08,3549
20191105T22-08,3810
20191105T21-08,4001
20191105T20-08,4126
20191105T19-08,4185
20191105T18-08,4153
20191105T17-08,3846
20191105T16-08,3671
20191105T15-08,3618
20191105T14-08,3664
20191105T13-08,3730
20191105T12-08,3848
20191105T11-08,3962
20191105T10-08,4023
20191105T09-08,4127
20191105T08-08,4231
20191105T07-08,4059
20191105T06-08,3669
20191105T05-08,3315
20191105T04-08,3082
20191105T03-08,3025
20191105T02-08,3020
20191105T01-08,3078
20191105T00-08,3223
20191104T23-08,3451
20191104T22-08,3712
20191104T21-08,3958
20191104T20-08,4074
20191104T19-08,4166
20191104T18-08,4135
20191104T17-08,3833
20191104T16-08,3672
20191104T15-08,3651
20191104T14-08,3693
20191104T13-08,3752
20191104T12-08,3840
20191104T11-08,3973
20191104T10-08,4082
20191104T09-08,4222
20191104T08-08,4285
20191104T07-08,4100
20191104T06-08,3706
20191104T05-08,3396
20191104T04-08,3201
20191104T03-08,3132
20191104T02-08,3089
20191104T01-08,3120
20191104T00-08,3251
20191103T23-08,3436
20191103T22-08,3685
20191103T21-08,3884
20191103T20-08,3998
20191103T19-08,4016
20191103T18-08,3978
20191103T17-08,3661
20191103T16-08,3532
20191103T15-08,3462
20191103T14-08,3556
20191103T13-08,3669
20191103T12-08,3744
20191103T11-08,3856
20191103T10-08,3907
20191103T09-08,3959
20191103T08-08,3838
20191103T07-08,3484
20191103T06-08,3412
20191103T05-08,3128
20191103T04-08,3023
20191103T03-08,2984
20191103T02-08,2991
20191103T01-08,3017
20191103T01-07,3069
20191103T00-07,3244
20191102T23-07,3428
20191102T22-07,3638
20191102T21-07,3696
20191102T20-07,3746
20191102T19-07,3718
20191102T18-07,3608
20191102T17-07,3447
20191102T16-07,3408
20191102T15-07,3435
20191102T14-07,3541
20191102T13-07,3663
20191102T12-07,3824
20191102T11-07,4011
20191102T10-07,4101
20191102T09-07,4092
20191102T08-07,3915
20191102T07-07,3632
20191102T06-07,3389
20191102T05-07,3168
20191102T04-07,3022
20191102T03-07,3019
20191102T02-07,3020
20191102T01-07,3088
20191102T00-07,3324
20191101T23-07,3602
20191101T22-07,3797
20191101T21-07,3934
20191101T20-07,4040
20191101T19-07,4047
20191101T18-07,3877
20191101T17-07,3715
20191101T16-07,3645
20191101T15-07,3625
20191101T14-07,3728
20191101T13-07,3848
20191101T12-07,4000
20191101T11-07,4185
20191101T10-07,4357
20191101T09-07,4534
