,Demand
20191114T13Z,3425
20191114T12Z,3392
20191114T11Z,3195
20191114T10Z,3095
20191114T09Z,3058
20191114T08Z,3055
20191114T07Z,3072
20191114T06Z,3114
20191114T05Z,3101
20191114T04Z,3196
20191114T03Z,3319
20191114T02Z,3400
20191114T01Z,3359
20191114T00Z,3304
20191113T23Z,3011
20191113T22Z,2791
20191113T21Z,2724
20191113T20Z,2734
20191113T19Z,2825
20191113T18Z,2936
20191113T17Z,3104
20191113T16Z,3256
20191113T15Z,3414
20191113T14Z,3546
20191113T13Z,3626
20191113T12Z,3576
20191113T11Z,3387
20191113T10Z,3206
20191113T09Z,3067
20191113T08Z,2981
20191113T07Z,2874
20191113T06Z,2815
20191113T05Z,2884
20191113T04Z,2880
20191113T03Z,2961
20191113T02Z,3002
20191113T01Z,2984
20191113T00Z,2970
20191112T23Z,2824
20191112T22Z,2626
20191112T21Z,2593
20191112T20Z,2552
20191112T19Z,2574
20191112T18Z,2527
20191112T17Z,2514
20191112T16Z,2460
20191112T15Z,2461
20191112T14Z,2515
20191112T13Z,2510
20191112T12Z,2480
20191112T11Z,2234
20191112T10Z,2305
20191112T09Z,2362
20191112T08Z,2379
20191112T07Z,2350
20191112T06Z,2378
20191112T05Z,2305
20191112T04Z,2348
20191112T03Z,2497
20191112T02Z,2602
20191112T01Z,2600
20191112T00Z,2677
20191111T23Z,2536
20191111T22Z,2425
20191111T21Z,2511
20191111T20Z,2567
20191111T19Z,2622
20191111T18Z,2646
20191111T17Z,2613
20191111T16Z,2686
20191111T15Z,2714
20191111T14Z,2861
20191111T13Z,2943
20191111T12Z,2891
20191111T11Z,2604
20191111T10Z,2368
20191111T09Z,2293
20191111T08Z,2249
20191111T07Z,2215
20191111T06Z,2241
20191111T05Z,2325
20191111T04Z,2432
20191111T03Z,2537
20191111T02Z,2578
20191111T01Z,2636
20191111T00Z,2643
20191110T23Z,2498
20191110T22Z,2544
20191110T21Z,2610
20191110T20Z,2611
20191110T19Z,2488
20191110T18Z,2507
20191110T17Z,2501
20191110T16Z,2567
20191110T15Z,2771
20191110T14Z,2961
20191110T13Z,3001
20191110T12Z,2899
20191110T11Z,2796
20191110T10Z,2705
20191110T09Z,2610
20191110T08Z,2581
20191110T07Z,2570
20191110T06Z,2577
20191110T05Z,2594
20191110T04Z,2680
20191110T03Z,2739
20191110T02Z,2780
20191110T01Z,2762
20191110T00Z,2739
20191109T23Z,2594
20191109T22Z,2562
20191109T21Z,2608
20191109T20Z,2575
20191109T19Z,2483
20191109T18Z,2514
20191109T17Z,2599
20191109T16Z,2751
20191109T15Z,2844
20191109T14Z,2915
20191109T13Z,2871
20191109T12Z,2765
20191109T11Z,2612
20191109T10Z,2527
20191109T09Z,2511
20191109T08Z,2516
20191109T07Z,2523
20191109T06Z,2412
20191109T05Z,2412
20191109T04Z,2449
20191109T03Z,2561
20191109T02Z,2607
20191109T01Z,2634
20191109T00Z,2660
20191108T23Z,2567
20191108T22Z,2451
20191108T21Z,2524
20191108T20Z,2607
20191108T19Z,2645
20191108T18Z,2653
20191108T17Z,2668
20191108T16Z,2674
20191108T15Z,2518
20191108T14Z,2417
20191108T13Z,2387
20191108T12Z,2345
20191108T11Z,2194
20191108T10Z,2191
20191108T09Z,2173
20191108T08Z,2095
20191108T07Z,2064
20191108T06Z,2108
20191108T05Z,2150
20191108T04Z,2299
20191108T03Z,2437
20191108T02Z,2599
20191108T01Z,2683
20191108T00Z,2734
20191107T23Z,2657
20191107T22Z,2594
20191107T21Z,2557
20191107T20Z,2512
20191107T19Z,2480
20191107T18Z,2441
20191107T17Z,2441
20191107T16Z,2428
20191107T15Z,2424
20191107T14Z,2425
20191107T13Z,2415
20191107T12Z,2362
20191107T11Z,2139
20191107T10Z,2084
20191107T09Z,2069
20191107T08Z,2321
20191107T07Z,2496
20191107T06Z,2477
20191107T05Z,2392
20191107T04Z,2414
20191107T03Z,2450
20191107T02Z,2518
20191107T01Z,2570
20191107T00Z,2634
20191106T23Z,2541
20191106T22Z,2469
20191106T21Z,2491
20191106T20Z,2444
20191106T19Z,2423
20191106T18Z,2415
20191106T17Z,2438
20191106T16Z,2358
20191106T15Z,2341
20191106T14Z,2354
20191106T13Z,2370
20191106T12Z,2307
20191106T11Z,2054
20191106T10Z,2005
20191106T09Z,1952
20191106T08Z,1956
20191106T07Z,2016
20191106T06Z,2007
20191106T05Z,2093
20191106T04Z,2223
20191106T03Z,2382
20191106T02Z,2521
20191106T01Z,2634
20191106T00Z,2626
20191105T23Z,2553
20191105T22Z,2475
20191105T21Z,2469
20191105T20Z,2470
20191105T19Z,2456
20191105T18Z,2401
20191105T17Z,2382
20191105T16Z,2433
20191105T15Z,2372
20191105T14Z,2404
20191105T13Z,2416
20191105T12Z,2359
20191105T11Z,2145
20191105T10Z,2123
20191105T09Z,2083
20191105T08Z,2062
20191105T07Z,2078
20191105T06Z,2092
20191105T05Z,2157
20191105T04Z,2216
20191105T03Z,2338
20191105T02Z,2515
20191105T01Z,2592
20191105T00Z,2647
20191104T23Z,2525
20191104T22Z,2393
20191104T21Z,2329
20191104T20Z,2352
20191104T19Z,2342
20191104T18Z,2373
20191104T17Z,2438
20191104T16Z,2504
20191104T15Z,2621
20191104T14Z,2718
20191104T13Z,2834
20191104T12Z,2793
20191104T11Z,2508
20191104T10Z,2303
20191104T09Z,2201
20191104T08Z,2155
20191104T07Z,2161
20191104T06Z,2153
20191104T05Z,2202
20191104T04Z,2276
20191104T03Z,2372
20191104T02Z,2458
20191104T01Z,2465
20191104T00Z,2461
20191103T23Z,2371
20191103T22Z,2369
20191103T21Z,2393
20191103T20Z,2326
20191103T19Z,2328
20191103T18Z,2340
20191103T17Z,2304
20191103T16Z,2257
20191103T15Z,2360
20191103T14Z,2421
20191103T13Z,2354
20191103T12Z,2229
20191103T11Z,2128
20191103T10Z,2067
20191103T09Z,2017
20191103T08Z,2026
20191103T07Z,1991
20191103T06Z,2030
20191103T05Z,2046
20191103T04Z,2116
20191103T03Z,2211
20191103T02Z,2287
20191103T01Z,2320
20191103T00Z,2350
20191102T23Z,2254
20191102T22Z,2321
20191102T21Z,2440
20191102T20Z,2466
20191102T19Z,2475
20191102T18Z,2406
20191102T17Z,2394
20191102T16Z,2390
20191102T15Z,2401
20191102T14Z,2478
20191102T13Z,2446
20191102T12Z,2352
20191102T11Z,2256
20191102T10Z,2132
20191102T09Z,2066
20191102T08Z,2042
20191102T07Z,2049
20191102T06Z,2065
20191102T05Z,2117
20191102T04Z,2194
20191102T03Z,2294
20191102T02Z,2374
20191102T01Z,2438
20191102T00Z,2459
20191101T23Z,2365
20191101T22Z,2324
20191101T21Z,2331
20191101T20Z,2438
20191101T19Z,2478
20191101T18Z,2540
20191101T17Z,2427
20191101T16Z,2530
20191101T15Z,2491
20191101T14Z,2390
20191101T13Z,2386
20191101T12Z,2337
20191101T11Z,2409
20191101T10Z,2283
20191101T09Z,2165
20191101T08Z,2095
20191101T07Z,2158
20191101T06Z,2228
20191101T05Z,2272
20191101T04Z,2337
20191101T03Z,2483
20191101T02Z,2750
20191101T01Z,3015
20191101T00Z,3115
20191031T23Z,3242
20191031T22Z,3390
20191031T21Z,3475
20191031T20Z,3497
20191031T19Z,3441
20191031T18Z,3357
20191031T17Z,3259
20191031T16Z,3168
20191031T15Z,3062
20191031T14Z,2943
20191031T13Z,2787
20191031T12Z,2721
20191031T11Z,2626
20191031T10Z,2504
20191031T09Z,2392
20191031T08Z,2351
20191031T07Z,2359
20191031T06Z,2344
20191031T05Z,2394
20191031T04Z,2474
20191031T03Z,2581
20191031T02Z,2761
20191031T01Z,2858
20191031T00Z,2908
20191030T23Z,2862
20191030T22Z,2804
20191030T21Z,2799
20191030T20Z,2811
20191030T19Z,2813
20191030T18Z,2764
20191030T17Z,2677
20191030T16Z,2608
20191030T15Z,2545
20191030T14Z,2474
20191030T13Z,2448
20191030T12Z,2462
20191030T11Z,2547
20191030T10Z,2451
20191030T09Z,2368
20191030T08Z,2364
20191030T07Z,2345
20191030T06Z,2345
20191030T05Z,2379
20191030T04Z,2432
20191030T03Z,2506
20191030T02Z,2640
20191030T01Z,2773
20191030T00Z,2866
20191029T23Z,2861
20191029T22Z,2751
20191029T21Z,2760
20191029T20Z,2739
20191029T19Z,2729
20191029T18Z,2733
20191029T17Z,2704
20191029T16Z,2687
20191029T15Z,2685
20191029T14Z,2666
20191029T13Z,2619
20191029T12Z,2624
20191029T11Z,2578
20191029T10Z,2459
20191029T09Z,2357
20191029T08Z,2323
20191029T07Z,2335
20191029T06Z,2297
20191029T05Z,2271
20191029T04Z,2332
20191029T03Z,2500
20191029T02Z,2689
20191029T01Z,2907
20191029T00Z,3009
20191028T23Z,2995
20191028T22Z,3069
20191028T21Z,3114
20191028T20Z,3085
20191028T19Z,2998
20191028T18Z,2880
20191028T17Z,2771
20191028T16Z,2677
20191028T15Z,2560
20191028T14Z,2460
20191028T13Z,2425
20191028T12Z,2416
20191028T11Z,2401
20191028T10Z,2302
20191028T09Z,2292
20191028T08Z,2312
20191028T07Z,2299
20191028T06Z,2292
20191028T05Z,2327
20191028T04Z,2339
20191028T03Z,2476
20191028T02Z,2722
20191028T01Z,2898
20191028T00Z,3010
20191027T23Z,3004
20191027T22Z,3114
20191027T21Z,3114
20191027T20Z,3050
20191027T19Z,3002
20191027T18Z,2937
20191027T17Z,2838
20191027T16Z,2740
20191027T15Z,2658
20191027T14Z,2568
20191027T13Z,2456
20191027T12Z,2359
20191027T11Z,2347
20191027T10Z,2280
20191027T09Z,2335
20191027T08Z,2396
20191027T07Z,2425
20191027T06Z,2429
20191027T05Z,2503
20191027T04Z,2567
20191027T03Z,2667
20191027T02Z,2710
20191027T01Z,2797
20191027T00Z,2861
20191026T23Z,2850
20191026T22Z,2827
20191026T21Z,2850
20191026T20Z,2846
20191026T19Z,2798
20191026T18Z,2730
20191026T17Z,2641
20191026T16Z,2527
20191026T15Z,2388
20191026T14Z,2304
20191026T13Z,2119
20191026T12Z,2020
20191026T11Z,1992
20191026T10Z,1926
20191026T09Z,1985
20191026T08Z,2091
20191026T07Z,2173
20191026T06Z,2197
20191026T05Z,2274
20191026T04Z,2408
20191026T03Z,2492
20191026T02Z,2548
20191026T01Z,2657
20191026T00Z,2727
20191025T23Z,2726
20191025T22Z,2706
20191025T21Z,2772
20191025T20Z,2772
20191025T19Z,2790
20191025T18Z,2742
20191025T17Z,2663
20191025T16Z,2599
20191025T15Z,2555
20191025T14Z,2490
20191025T13Z,2418
20191025T12Z,2390
20191025T11Z,2422
20191025T10Z,2369
20191025T09Z,2320
20191025T08Z,2329
20191025T07Z,2270
20191025T06Z,2293
20191025T05Z,2248
20191025T04Z,2219
20191025T03Z,2305
20191025T02Z,2480
20191025T01Z,2570
20191025T00Z,2625
20191024T23Z,2543
20191024T22Z,2519
20191024T21Z,2570
20191024T20Z,2546
20191024T19Z,2507
20191024T18Z,2415
20191024T17Z,2484
20191024T16Z,2376
20191024T15Z,2387
20191024T14Z,2418
20191024T13Z,2427
20191024T12Z,2440
20191024T11Z,2333
20191024T10Z,2118
20191024T09Z,2003
20191024T08Z,1955
20191024T07Z,2029
20191024T06Z,1979
20191024T05Z,1997
20191024T04Z,2063
20191024T03Z,2230
20191024T02Z,2378
20191024T01Z,2528
20191024T00Z,2571
20191023T23Z,2472
20191023T22Z,2464
20191023T21Z,2455
20191023T20Z,2399
20191023T19Z,2362
20191023T18Z,2298
20191023T17Z,2293
20191023T16Z,2320
20191023T15Z,2279
20191023T14Z,2278
20191023T13Z,2276
20191023T12Z,2291
20191023T11Z,2266
20191023T10Z,2277
20191023T09Z,2330
20191023T08Z,2314
20191023T07Z,2338
20191023T06Z,2403
20191023T05Z,2358
20191023T04Z,2392
20191023T03Z,2597
20191023T02Z,2718
20191023T01Z,2939
20191023T00Z,3060
20191022T23Z,3069
20191022T22Z,3134
20191022T21Z,3212
20191022T20Z,3212
20191022T19Z,3168
20191022T18Z,3106
20191022T17Z,2972
20191022T16Z,2891
20191022T15Z,2799
20191022T14Z,2680
20191022T13Z,2605
20191022T12Z,2607
20191022T11Z,2499
20191022T10Z,2389
20191022T09Z,2349
20191022T08Z,2382
20191022T07Z,2390
20191022T06Z,2395
20191022T05Z,2410
20191022T04Z,2411
20191022T03Z,2465
20191022T02Z,2621
20191022T01Z,2771
20191022T00Z,2883
20191021T23Z,2815
20191021T22Z,2788
20191021T21Z,2798
20191021T20Z,2772
20191021T19Z,2735
20191021T18Z,2678
20191021T17Z,2606
20191021T16Z,2507
20191021T15Z,2425
20191021T14Z,2384
20191021T13Z,2365
20191021T12Z,2358
20191021T11Z,2266
20191021T10Z,2038
20191021T09Z,1973
20191021T08Z,2014
20191021T07Z,2039
20191021T06Z,2014
20191021T05Z,2041
20191021T04Z,2077
20191021T03Z,2276
20191021T02Z,2432
20191021T01Z,2585
20191021T00Z,2654
20191020T23Z,2566
20191020T22Z,2533
20191020T21Z,2464
20191020T20Z,2402
20191020T19Z,2350
20191020T18Z,2313
20191020T17Z,2315
20191020T16Z,2276
20191020T15Z,2286
20191020T14Z,2246
20191020T13Z,2191
20191020T12Z,2100
20191020T11Z,2036
20191020T10Z,1998
20191020T09Z,1972
20191020T08Z,1993
20191020T07Z,2040
20191020T06Z,2061
20191020T05Z,2134
20191020T04Z,2195
20191020T03Z,2296
20191020T02Z,2400
20191020T01Z,2486
20191020T00Z,2515
20191019T23Z,2464
20191019T22Z,2378
20191019T21Z,2333
20191019T20Z,2312
20191019T19Z,2317
20191019T18Z,2321
20191019T17Z,2328
20191019T16Z,2341
20191019T15Z,2313
20191019T14Z,2239
20191019T13Z,2139
20191019T12Z,2055
20191019T11Z,1964
20191019T10Z,1884
20191019T09Z,1907
20191019T08Z,1930
20191019T07Z,1898
20191019T06Z,1890
20191019T05Z,1961
20191019T04Z,2054
20191019T03Z,2199
20191019T02Z,2291
20191019T01Z,2375
20191019T00Z,2406
20191018T23Z,2366
20191018T22Z,2351
20191018T21Z,2352
20191018T20Z,2360
20191018T19Z,2338
20191018T18Z,2361
20191018T17Z,2407
20191018T16Z,2371
20191018T15Z,2414
20191018T14Z,2404
20191018T13Z,2398
20191018T12Z,2368
20191018T11Z,2299
20191018T10Z,2044
20191018T09Z,1951
20191018T08Z,2050
20191018T07Z,2056
20191018T06Z,2046
20191018T05Z,2064
20191018T04Z,2106
20191018T03Z,2236
20191018T02Z,2399
20191018T01Z,2508
20191018T00Z,2585
20191017T23Z,2500
20191017T22Z,2512
20191017T21Z,2506
20191017T20Z,2468
20191017T19Z,2398
20191017T18Z,2380
20191017T17Z,2341
20191017T16Z,2320
20191017T15Z,2361
20191017T14Z,2405
20191017T13Z,2359
20191017T12Z,2346
20191017T11Z,2297
20191017T10Z,2112
20191017T09Z,2112
20191017T08Z,2122
20191017T07Z,2149
20191017T06Z,2180
20191017T05Z,2276
20191017T04Z,2385
20191017T03Z,2489
20191017T02Z,2644
20191017T01Z,2831
20191017T00Z,2960
20191016T23Z,2955
20191016T22Z,3003
20191016T21Z,2967
20191016T20Z,2995
20191016T19Z,2916
20191016T18Z,2842
20191016T17Z,2771
20191016T16Z,2686
20191016T15Z,2626
20191016T14Z,2593
20191016T13Z,2536
20191016T12Z,2520
20191016T11Z,2396
20191016T10Z,2240
20191016T09Z,2314
20191016T08Z,2373
20191016T07Z,2314
20191016T06Z,2260
20191016T05Z,2237
20191016T04Z,2276
20191016T03Z,2425
20191016T02Z,2619
20191016T01Z,2762
20191016T00Z,2796
20191015T23Z,2729
20191015T22Z,2702
20191015T21Z,2677
20191015T20Z,2671
20191015T19Z,2698
20191015T18Z,2687
20191015T17Z,2624
20191015T16Z,2564
20191015T15Z,2504
20191015T14Z,2465
20191015T13Z,2455
20191015T12Z,2442
20191015T11Z,2385
20191015T10Z,2343
20191015T09Z,2270
20191015T08Z,2239
20191015T07Z,2263
20191015T06Z,2296
20191015T05Z,2276
20191015T04Z,2409
20191015T03Z,2526
20191015T02Z,2774
20191015T01Z,2976
20191015T00Z,3147
20191014T23Z,3150
20191014T22Z,3264
20191014T21Z,3317
20191014T20Z,3294
20191014T19Z,3201
20191014T18Z,3077
20191014T17Z,2954
20191014T16Z,2851
20191014T15Z,2729
20191014T14Z,2616
20191014T13Z,2560
20191014T12Z,2574
20191014T11Z,2503
20191014T10Z,2418
20191014T09Z,2298
20191014T08Z,2236
20191014T07Z,2213
20191014T06Z,2210
20191014T05Z,2324
20191014T04Z,2476
20191014T03Z,2649
20191014T02Z,2848
20191014T01Z,2994
20191014T00Z,3076
20191013T23Z,3062
20191013T22Z,3124
20191013T21Z,3135
20191013T20Z,3141
20191013T19Z,3079
20191013T18Z,2949
20191013T17Z,2805
20191013T16Z,2605
20191013T15Z,2480
20191013T14Z,2436
20191013T13Z,2348
20191013T12Z,2335
20191013T11Z,2287
20191013T10Z,2292
20191013T09Z,2245
20191013T08Z,2220
20191013T07Z,2263
20191013T06Z,2276
20191013T05Z,2274
20191013T04Z,2311
20191013T03Z,2483
20191013T02Z,2627
20191013T01Z,2804
20191013T00Z,2921
20191012T23Z,2955
20191012T22Z,3035
20191012T21Z,3044
20191012T20Z,2950
20191012T19Z,2872
20191012T18Z,2701
20191012T17Z,2570
20191012T16Z,2495
20191012T15Z,2484
20191012T14Z,2334
20191012T13Z,2161
20191012T12Z,2082
20191012T11Z,2083
20191012T10Z,2034
20191012T09Z,2034
20191012T08Z,2038
20191012T07Z,2060
20191012T06Z,2093
20191012T05Z,2145
20191012T04Z,2220
20191012T03Z,2361
20191012T02Z,2518
20191012T01Z,2658
20191012T00Z,2793
20191011T23Z,2841
20191011T22Z,2942
20191011T21Z,2985
20191011T20Z,2906
20191011T19Z,2833
20191011T18Z,2726
20191011T17Z,2637
20191011T16Z,2545
20191011T15Z,2491
20191011T14Z,2413
20191011T13Z,2361
20191011T12Z,2330
20191011T11Z,2282
20191011T10Z,2143
20191011T09Z,2110
20191011T08Z,2067
20191011T07Z,2086
20191011T06Z,2095
20191011T05Z,2124
20191011T04Z,2223
20191011T03Z,2414
20191011T02Z,2647
20191011T01Z,2797
20191011T00Z,2879
20191010T23Z,2897
20191010T22Z,2965
20191010T21Z,2953
20191010T20Z,2909
20191010T19Z,2799
20191010T18Z,2671
20191010T17Z,2602
20191010T16Z,2554
20191010T15Z,2504
20191010T14Z,2466
20191010T13Z,2407
20191010T12Z,2388
20191010T11Z,2308
20191010T10Z,2244
20191010T09Z,2224
20191010T08Z,2190
20191010T07Z,2180
20191010T06Z,2155
20191010T05Z,2164
20191010T04Z,2285
20191010T03Z,2466
20191010T02Z,2634
20191010T01Z,2787
20191010T00Z,2858
20191009T23Z,2825
20191009T22Z,2799
20191009T21Z,2801
20191009T20Z,2731
20191009T19Z,2638
20191009T18Z,2572
20191009T17Z,2516
20191009T16Z,2458
20191009T15Z,2438
20191009T14Z,2407
20191009T13Z,2390
20191009T12Z,2396
20191009T11Z,2483
20191009T10Z,2429
20191009T09Z,2386
20191009T08Z,2348
20191009T07Z,2312
20191009T06Z,2334
20191009T05Z,2302
20191009T04Z,2469
20191009T03Z,2688
20191009T02Z,2914
20191009T01Z,3083
20191009T00Z,3207
20191008T23Z,3261
20191008T22Z,3332
20191008T21Z,3378
20191008T20Z,3392
20191008T19Z,3334
20191008T18Z,3261
20191008T17Z,3191
20191008T16Z,3051
20191008T15Z,2916
20191008T14Z,2762
20191008T13Z,2665
20191008T12Z,2638
20191008T11Z,2660
20191008T10Z,2584
20191008T09Z,2601
20191008T08Z,2591
20191008T07Z,2539
20191008T06Z,2521
20191008T05Z,2474
20191008T04Z,2503
20191008T03Z,2734
20191008T02Z,2917
20191008T01Z,3107
20191008T00Z,3182
20191007T23Z,3146
20191007T22Z,3186
20191007T21Z,3218
20191007T20Z,3212
20191007T19Z,3185
20191007T18Z,3127
20191007T17Z,3050
20191007T16Z,2936
20191007T15Z,2768
20191007T14Z,2687
20191007T13Z,2591
20191007T12Z,2569
20191007T11Z,2578
20191007T10Z,2512
20191007T09Z,2463
20191007T08Z,2424
20191007T07Z,2459
20191007T06Z,2486
20191007T05Z,2420
20191007T04Z,2558
20191007T03Z,2774
20191007T02Z,2922
20191007T01Z,3058
20191007T00Z,3134
20191006T23Z,3164
20191006T22Z,3209
20191006T21Z,3238
20191006T20Z,3209
20191006T19Z,3121
20191006T18Z,3016
20191006T17Z,2904
20191006T16Z,2802
20191006T15Z,2675
20191006T14Z,2633
20191006T13Z,2519
20191006T12Z,2421
20191006T11Z,2418
20191006T10Z,2308
20191006T09Z,2263
20191006T08Z,2285
20191006T07Z,2186
20191006T06Z,2137
20191006T05Z,2160
20191006T04Z,2238
20191006T03Z,2422
20191006T02Z,2555
20191006T01Z,2675
20191006T00Z,2732
20191005T23Z,2674
20191005T22Z,2683
20191005T21Z,2738
20191005T20Z,2753
20191005T19Z,2771
20191005T18Z,2781
20191005T17Z,2754
20191005T16Z,2781
20191005T15Z,2729
20191005T14Z,2675
20191005T13Z,2669
20191005T12Z,2609
20191005T11Z,2633
20191005T10Z,2660
20191005T09Z,2631
20191005T08Z,2623
20191005T07Z,2656
20191005T06Z,2732
20191005T05Z,2867
20191005T04Z,3027
20191005T03Z,3268
20191005T02Z,3508
20191005T01Z,3764
20191005T00Z,3935
20191004T23Z,4132
20191004T22Z,4355
20191004T21Z,4452
20191004T20Z,4425
20191004T19Z,4366
20191004T18Z,4181
20191004T17Z,3929
20191004T16Z,3628
20191004T15Z,3373
20191004T14Z,3233
20191004T13Z,3221
20191004T12Z,3165
20191004T11Z,3152
20191004T10Z,3073
20191004T09Z,2980
20191004T08Z,2935
20191004T07Z,3004
20191004T06Z,3009
20191004T05Z,2997
20191004T04Z,3138
20191004T03Z,3361
20191004T02Z,3599
