,Demand
20191114T13Z,861
20191114T12Z,834
20191114T11Z,831
20191114T10Z,850
20191114T09Z,873
20191114T08Z,929
20191114T07Z,1032
20191114T06Z,1123
20191114T05Z,1188
20191114T04Z,1228
20191114T03Z,1254
20191114T02Z,1260
20191114T01Z,1174
20191114T00Z,1118
20191113T23Z,1121
20191113T22Z,1131
20191113T21Z,1143
20191113T20Z,1160
20191113T19Z,1165
20191113T18Z,1188
20191113T17Z,1214
20191113T16Z,1220
20191113T15Z,1119
20191113T14Z,955
20191113T13Z,849
20191113T12Z,814
20191113T11Z,806
20191113T10Z,827
20191113T09Z,865
20191113T08Z,925
20191113T07Z,1017
20191113T06Z,1117
20191113T05Z,1182
20191113T04Z,1228
20191113T03Z,1268
20191113T02Z,1332
20191113T01Z,1280
20191113T00Z,1228
20191112T23Z,1225
20191112T22Z,1234
20191112T21Z,1236
20191112T20Z,1253
20191112T19Z,1259
20191112T18Z,1265
20191112T17Z,1293
20191112T16Z,1291
20191112T15Z,1181
20191112T14Z,1016
20191112T13Z,903
20191112T12Z,865
20191112T11Z,861
20191112T10Z,876
20191112T09Z,904
20191112T08Z,965
20191112T07Z,1047
20191112T06Z,1144
20191112T05Z,1181
20191112T04Z,1236
20191112T03Z,1265
20191112T02Z,1294
20191112T01Z,1223
20191112T00Z,1175
20191111T23Z,1164
20191111T22Z,1178
20191111T21Z,1182
20191111T20Z,1208
20191111T19Z,1232
20191111T18Z,1257
20191111T17Z,1255
20191111T16Z,1208
20191111T15Z,1142
20191111T14Z,1006
20191111T13Z,916
20191111T12Z,865
20191111T11Z,865
20191111T10Z,883
20191111T09Z,899
20191111T08Z,962
20191111T07Z,1028
20191111T06Z,1103
20191111T05Z,1168
20191111T04Z,1198
20191111T03Z,1217
20191111T02Z,1224
20191111T01Z,1155
20191111T00Z,1113
20191110T23Z,1103
20191110T22Z,1118
20191110T21Z,1121
20191110T20Z,1128
20191110T19Z,1125
20191110T18Z,1089
20191110T17Z,1002
20191110T16Z,966
20191110T15Z,914
20191110T14Z,864
20191110T13Z,843
20191110T12Z,835
20191110T11Z,845
20191110T10Z,866
20191110T09Z,900
20191110T08Z,957
20191110T07Z,1015
20191110T06Z,1082
20191110T05Z,1118
20191110T04Z,1146
20191110T03Z,1193
20191110T02Z,1209
20191110T01Z,1180
20191110T00Z,1145
20191109T23Z,1140
20191109T22Z,1167
20191109T21Z,1189
20191109T20Z,1198
20191109T19Z,1192
20191109T18Z,1178
20191109T17Z,1121
20191109T16Z,1039
20191109T15Z,967
20191109T14Z,905
20191109T13Z,868
20191109T12Z,865
20191109T11Z,860
20191109T10Z,886
20191109T09Z,922
20191109T08Z,977
20191109T07Z,1046
20191109T06Z,1100
20191109T05Z,1166
20191109T04Z,1205
20191109T03Z,1251
20191109T02Z,1279
20191109T01Z,1217
20191109T00Z,1166
20191108T23Z,1171
20191108T22Z,1188
20191108T21Z,1209
20191108T20Z,1240
20191108T19Z,1269
20191108T18Z,1314
20191108T17Z,1368
20191108T16Z,1325
20191108T15Z,1218
20191108T14Z,1071
20191108T13Z,935
20191108T12Z,915
20191108T11Z,868
20191108T10Z,880
20191108T09Z,909
20191108T08Z,959
20191108T07Z,1045
20191108T06Z,1135
20191108T05Z,1193
20191108T04Z,1230
20191108T03Z,1257
20191108T02Z,1258
20191108T01Z,1180
20191108T00Z,1139
20191107T23Z,1132
20191107T22Z,1162
20191107T21Z,1181
20191107T20Z,1211
20191107T19Z,1235
20191107T18Z,1274
20191107T17Z,1307
20191107T16Z,1319
20191107T15Z,1228
20191107T14Z,1046
20191107T13Z,920
20191107T12Z,878
20191107T11Z,863
20191107T10Z,877
20191107T09Z,901
20191107T08Z,956
20191107T07Z,1047
20191107T06Z,1124
20191107T05Z,1197
20191107T04Z,1234
20191107T03Z,1254
20191107T02Z,1266
20191107T01Z,1185
20191107T00Z,1133
20191106T23Z,1133
20191106T22Z,1139
20191106T21Z,1156
20191106T20Z,1175
20191106T19Z,1199
20191106T18Z,1237
20191106T17Z,1259
20191106T16Z,1272
20191106T15Z,1173
20191106T14Z,1005
20191106T13Z,889
20191106T12Z,849
20191106T11Z,837
20191106T10Z,850
20191106T09Z,885
20191106T08Z,950
20191106T07Z,1043
20191106T06Z,1136
20191106T05Z,1200
20191106T04Z,1243
20191106T03Z,1271
20191106T02Z,1308
20191106T01Z,1232
20191106T00Z,1189
20191105T23Z,1174
20191105T22Z,1198
20191105T21Z,1217
20191105T20Z,1249
20191105T19Z,1295
