,Demand1
20191114T10-06,30343
20191114T09-06,30904
20191114T08-06,31371
20191114T07-06,31720
20191114T06-06,30587
20191114T05-06,28420
20191114T04-06,27269
20191114T03-06,26930
20191114T02-06,27011
20191114T01-06,27216
20191114T00-06,27174
20191113T23-06,28018
20191113T22-06,29065
20191113T21-06,28198
20191113T20-06,28872
20191113T19-06,30374
20191113T18-06,30431
20191113T17-06,28277
20191113T16-06,26681
20191113T15-06,26162
20191113T14-06,26583
20191113T13-06,27338
20191113T12-06,27395
20191113T11-06,28367
20191113T10-06,29800
20191113T09-06,32131
20191113T08-06,34327
20191113T07-06,35986
20191113T06-06,34561
20191113T05-06,32114
20191113T04-06,30904
20191113T03-06,30797
20191113T02-06,30558
20191113T01-06,30307
20191113T00-06,30128
20191112T23-06,30539
20191112T22-06,30890
20191112T21-06,31764
20191112T20-06,32327
20191112T19-06,32077
20191112T18-06,31275
20191112T17-06,29021
20191112T16-06,26937
20191112T15-06,25911
20191112T14-06,26064
20191112T13-06,26938
20191112T12-06,27244
20191112T11-06,27488
20191112T10-06,27026
20191112T09-06,26091
20191112T08-06,25083
20191112T07-06,24358
20191112T06-06,22440
20191112T05-06,20040
20191112T04-06,19223
20191112T03-06,18915
20191112T02-06,18845
20191112T01-06,19175
20191112T00-06,19522
20191111T23-06,20241
20191111T22-06,21732
20191111T21-06,22882
20191111T20-06,23599
20191111T19-06,24228
20191111T18-06,24417
20191111T17-06,23200
20191111T16-06,22314
20191111T15-06,21971
20191111T14-06,21943
20191111T13-06,22135
20191111T12-06,22284
20191111T11-06,22776
20191111T10-06,23308
20191111T09-06,23989
20191111T08-06,24802
20191111T07-06,25315
20191111T06-06,24165
20191111T05-06,22065
20191111T04-06,21264
20191111T03-06,20707
20191111T02-06,20409
20191111T01-06,20137
20191111T00-06,20093
20191110T23-06,20640
20191110T22-06,21230
20191110T21-06,21955
20191110T20-06,22510
20191110T19-06,22545
20191110T18-06,22448
20191110T17-06,20958
20191110T16-06,20209
20191110T15-06,19888
20191110T14-06,20259
20191110T13-06,20114
20191110T12-06,20035
20191110T11-06,20690
20191110T10-06,21914
20191110T09-06,23237
20191110T08-06,24256
20191110T07-06,24372
20191110T06-06,23705
20191110T05-06,22683
20191110T04-06,22276
20191110T03-06,22188
20191110T02-06,22119
20191110T01-06,22198
20191110T00-06,22134
20191109T23-06,22086
20191109T22-06,22843
20191109T21-06,23222
20191109T20-06,23467
20191109T19-06,23170
20191109T18-06,22809
20191109T17-06,21467
20191109T16-06,20778
20191109T15-06,20600
20191109T14-06,20727
20191109T13-06,21049
20191109T12-06,21263
20191109T11-06,22086
20191109T10-06,23355
20191109T09-06,24431
20191109T08-06,25019
20191109T07-06,24892
20191109T06-06,23945
20191109T05-06,23084
20191109T04-06,22721
20191109T03-06,22223
20191109T02-06,22187
20191109T01-06,22242
20191109T00-06,22107
20191108T23-06,22301
20191108T22-06,21588
20191108T21-06,22280
20191108T20-06,22463
20191108T19-06,24015
20191108T18-06,24014
20191108T17-06,23053
20191108T16-06,22115
20191108T15-06,21730
20191108T14-06,21695
20191108T13-06,21848
20191108T12-06,21759
20191108T11-06,22208
20191108T10-06,22426
20191108T09-06,22538
20191108T08-06,22611
20191108T07-06,22334
20191108T06-06,20925
20191108T05-06,19320
20191108T04-06,18520
20191108T03-06,18244
20191108T02-06,18415
20191108T01-06,18672
20191108T00-06,19082
20191107T23-06,19989
20191107T22-06,21419
20191107T21-06,21987
20191107T20-06,33319
20191107T19-06,12442
20191107T18-06,24019
20191107T17-06,23272
20191107T16-06,22578
20191107T15-06,22396
20191107T14-06,22459
20191107T13-06,22485
20191107T12-06,22275
20191107T11-06,22093
20191107T10-06,22075
20191107T09-06,22007
20191107T08-06,21882
20191107T07-06,21678
20191107T06-06,20547
20191107T05-06,18956
20191107T04-06,18200
20191107T03-06,18064
20191107T02-06,18131
20191107T01-06,18481
20191107T00-06,20726
20191106T23-06,21494
20191106T22-06,22655
20191106T21-06,24086
20191106T20-06,25130
20191106T19-06,25839
20191106T18-06,25915
20191106T17-06,24787
20191106T16-06,24572
20191106T15-06,24544
20191106T14-06,24539
20191106T13-06,24456
20191106T12-06,24273
20191106T11-06,24204
20191106T10-06,24351
20191106T09-06,24515
20191106T08-06,24759
20191106T07-06,24856
20191106T06-06,23920
20191106T05-06,21979
20191106T04-06,20697
20191106T03-06,20214
20191106T02-06,20095
20191106T01-06,20254
20191106T00-06,20314
20191105T23-06,21414
20191105T22-06,22655
20191105T21-06,24080
20191105T20-06,25172
20191105T19-06,25808
20191105T18-06,25786
20191105T17-06,24585
20191105T16-06,24193
20191105T15-06,24277
20191105T14-06,24651
20191105T13-06,24301
20191105T12-06,24253
20191105T11-06,24178
20191105T10-06,24169
20191105T09-06,24229
20191105T08-06,24387
20191105T07-06,24267
20191105T06-06,23440
20191105T05-06,21716
20191105T04-06,20490
20191105T03-06,20208
20191105T02-06,20195
20191105T01-06,20536
20191105T00-06,20876
20191104T23-06,21607
20191104T22-06,23130
20191104T21-06,24624
20191104T20-06,25726
20191104T19-06,26321
20191104T18-06,26311
20191104T17-06,24951
20191104T16-06,24427
20191104T15-06,24300
20191104T14-06,24486
20191104T13-06,24389
20191104T12-06,24743
20191104T11-06,25289
20191104T10-06,25930
20191104T09-06,26670
20191104T08-06,27301
20191104T07-06,27593
20191104T06-06,26400
20191104T05-06,23870
20191104T04-06,22576
20191104T03-06,21825
20191104T02-06,21515
20191104T01-06,21533
20191104T00-06,431
20191103T23-06,22151
20191103T22-06,22572
20191103T21-06,23273
20191103T20-06,23770
20191103T19-06,24027
20191103T18-06,23830
20191103T17-06,22354
20191103T16-06,22232
20191103T15-06,22123
20191103T14-06,22232
20191103T13-06,22662
20191103T12-06,22972
20191103T11-06,23875
20191103T10-06,25032
20191103T09-06,26060
20191103T08-06,26892
20191103T07-06,26594
20191103T06-06,25504
20191103T05-06,24241
20191103T04-06,23362
20191103T03-06,23392
20191103T02-06,23039
20191103T01-06,22992
20191103T01-05,22145
20191103T00-05,22149
20191102T23-05,22556
20191102T22-05,23239
20191102T21-05,23738
20191102T20-05,23998
20191102T19-05,23807
20191102T18-05,22348
20191102T17-05,22238
20191102T16-05,22114
20191102T15-05,22224
20191102T14-05,22662
20191102T13-05,22977
20191102T12-05,23859
20191102T11-05,25005
20191102T10-05,26042
20191102T09-05,26886
20191102T08-05,26616
20191102T07-05,25540
20191102T06-05,24270
20191102T05-05,23379
20191102T04-05,23419
20191102T03-05,23068
20191102T02-05,23025
20191102T01-05,23177
20191102T00-05,23373
20191101T23-05,23847
20191101T22-05,24651
20191101T21-05,25091
20191101T20-05,25330
20191101T19-05,25042
20191101T18-05,23669
20191101T17-05,23284
20191101T16-05,23549
20191101T15-05,23807
20191101T14-05,24100
20191101T13-05,24867
20191101T12-05,25807
20191101T11-05,26998
20191101T10-05,28139
20191101T09-05,28944
20191101T08-05,29253
20191101T07-05,28786
20191101T06-05,26504
20191101T05-05,23844
20191101T04-05,22624
20191101T03-05,22208
20191101T02-05,22084
20191101T01-05,22330
20191101T00-05,22648
20191031T23-05,23391
20191031T22-05,24371
20191031T21-05,25222
20191031T20-05,25375
20191031T19-05,25182
20191031T18-05,24645
20191031T17-05,24873
20191031T16-05,25194
20191031T15-05,25582
20191031T14-05,26079
20191031T13-05,26601
20191031T12-05,26853
20191031T11-05,26714
20191031T10-05,26198
20191031T09-05,25734
20191031T08-05,25407
20191031T07-05,25141
20191031T06-05,23560
20191031T05-05,21842
20191031T04-05,21000
20191031T03-05,20866
20191031T02-05,21101
20191031T01-05,21679
20191031T00-05,22357
20191030T23-05,23489
20191030T22-05,25050
20191030T21-05,26464
20191030T20-05,27402
20191030T19-05,27685
20191030T18-05,26898
20191030T17-05,26454
20191030T16-05,26185
20191030T15-05,25981
20191030T14-05,25928
20191030T13-05,26020
20191030T12-05,25954
20191030T11-05,25798
20191030T10-05,25401
20191030T09-05,25000
20191030T08-05,24603
20191030T07-05,24210
20191030T06-05,22595
20191030T05-05,20767
20191030T04-05,20116
20191030T03-05,19907
20191030T02-05,20161
20191030T01-05,20398
20191030T00-05,21097
20191029T23-05,22375
20191029T22-05,23644
20191029T21-05,25134
20191029T20-05,26109
20191029T19-05,26383
20191029T18-05,25334
20191029T17-05,24783
20191029T16-05,24775
20191029T15-05,24774
20191029T14-05,24787
20191029T13-05,24754
20191029T12-05,24723
20191029T11-05,24687
20191029T10-05,24544
20191029T09-05,24168
20191029T08-05,24022
20191029T07-05,23948
20191029T06-05,22398
20191029T05-05,20693
20191029T04-05,19956
20191029T03-05,19765
20191029T02-05,19844
20191029T01-05,20155
20191029T00-05,19482
20191028T23-05,20753
20191028T22-05,21604
20191028T21-05,22952
20191028T20-05,24076
20191028T19-05,24478
20191028T18-05,23817
20191028T17-05,23552
20191028T16-05,23181
20191028T15-05,22717
20191028T14-05,22235
20191028T13-05,22014
20191028T12-05,21915
20191028T11-05,21581
20191028T10-05,21396
20191028T09-05,21247
20191028T08-05,21622
20191028T07-05,21757
20191028T06-05,20156
20191028T05-05,18682
20191028T04-05,17822
20191028T03-05,17528
20191028T02-05,17608
20191028T01-05,18060
20191028T00-05,19505
20191027T23-05,20661
20191027T22-05,22021
20191027T21-05,23437
20191027T20-05,24559
20191027T19-05,24879
20191027T18-05,24276
20191027T17-05,24500
20191027T16-05,24434
20191027T15-05,24135
20191027T14-05,23744
20191027T13-05,23262
20191027T12-05,22674
20191027T11-05,22171
20191027T10-05,21855
20191027T09-05,21496
20191027T08-05,20486
20191027T07-05,19957
20191027T06-05,19319
20191027T05-05,19047
20191027T04-05,19106
20191027T03-05,19473
20191027T02-05,19965
20191027T01-05,20475
20191027T00-05,21019
20191026T23-05,22210
20191026T22-05,23450
20191026T21-05,24422
20191026T20-05,25104
20191026T19-05,25317
20191026T18-05,24966
20191026T17-05,24953
20191026T16-05,25096
20191026T15-05,25089
20191026T14-05,25087
20191026T13-05,24997
20191026T12-05,24866
20191026T11-05,24533
20191026T10-05,23976
20191026T09-05,23322
20191026T08-05,22584
20191026T07-05,21978
20191026T06-05,21100
20191026T05-05,20552
20191026T04-05,20317
20191026T03-05,20336
20191026T02-05,20607
20191026T01-05,21157
20191026T00-05,20463
