,Demand1
20191218T10-06,31058
20191218T09-06,32644
20191218T08-06,33961
20191218T07-06,34047
20191218T06-06,31814
20191218T05-06,28954
20191218T04-06,27174
20191218T03-06,26282
20191218T02-06,25853
20191218T01-06,25683
20191218T00-06,25977
20191217T23-06,26282
20191217T22-06,27470
20191217T21-06,27764
20191217T20-06,27465
20191217T19-06,27490
20191217T18-06,28437
20191217T17-06,27005
20191217T16-06,25462
20191217T15-06,24699
20191217T14-06,23847
20191217T13-06,23625
20191217T12-06,24149
20191217T11-06,24063
20191217T10-06,23670
20191217T09-06,22454
20191217T08-06,21887
20191217T07-06,21533
20191217T06-06,20282
20191217T05-06,19110
20191217T04-06,18300
20191217T03-06,17961
20191217T02-06,18234
20191217T01-06,18530
20191217T00-06,19418
20191216T23-06,20227
20191216T22-06,20934
20191216T21-06,21735
20191216T20-06,22589
20191216T19-06,23538
20191216T18-06,24296
20191216T17-06,23296
20191216T16-06,22106
20191216T15-06,21149
20191216T14-06,21644
20191216T13-06,21507
20191216T12-06,21789
20191216T11-06,21883
20191216T10-06,22207
20191216T09-06,22649
20191216T08-06,23319
20191216T07-06,23824
20191216T06-06,22325
20191216T05-06,20235
20191216T04-06,19473
20191216T03-06,19336
20191216T02-06,19604
20191216T01-06,19815
20191216T00-06,20303
20191215T23-06,20981
20191215T22-06,21590
20191215T21-06,22509
20191215T20-06,23818
20191215T19-06,23746
20191215T18-06,23549
20191215T17-06,22150
20191215T16-06,20706
20191215T15-06,20120
20191215T14-06,20201
20191215T13-06,20554
20191215T12-06,20845
20191215T11-06,21632
20191215T10-06,22742
20191215T09-06,23613
20191215T08-06,24117
20191215T07-06,23701
20191215T06-06,22929
20191215T05-06,22713
20191215T04-06,22416
20191215T03-06,22164
20191215T02-06,22169
20191215T01-06,22422
20191215T00-06,4456
20191214T23-06,22928
20191214T22-06,23715
20191214T21-06,24431
20191214T20-06,24627
20191214T19-06,24429
20191214T18-06,24254
20191214T17-06,22753
20191214T16-06,21376
20191214T15-06,20707
20191214T14-06,20931
20191214T13-06,21936
20191214T12-06,23094
20191214T11-06,24172
20191214T10-06,24937
20191214T09-06,25285
20191214T08-06,24661
20191214T07-06,23793
20191214T06-06,22959
20191214T05-06,22359
20191214T04-06,-3020
20191214T03-06,46809
20191214T02-06,-2974
20191214T01-06,47560
20191214T00-06,22827
20191213T23-06,23911
20191213T22-06,89613
20191213T21-06,26158
20191213T20-06,44768
20191213T19-06,9911
20191213T18-06,27137
20191213T17-06,26923
20191213T16-06,26410
20191213T15-06,26178
20191213T14-06,26873
20191213T13-06,26483
20191213T12-06,26603
20191213T11-06,26834
20191213T10-06,27978
20191213T09-06,28023
20191213T08-06,27965
20191213T07-06,27919
20191213T06-06,26407
20191213T05-06,24576
20191213T04-06,24630
20191213T03-06,24382
20191213T02-06,24394
20191213T01-06,24616
20191213T00-06,49921
20191212T23-06,41
20191212T22-06,51189
20191212T21-06,27924
20191212T20-06,28472
20191212T19-06,28754
20191212T18-06,28693
20191212T17-06,45140
20191212T16-06,27183
20191212T15-06,10167
20191212T14-06,26974
20191212T13-06,27153
20191212T12-06,27089
20191212T11-06,27824
20191212T10-06,28328
20191212T09-06,29441
20191212T08-06,30731
20191212T07-06,31439
20191212T06-06,30173
20191212T05-06,27612
20191212T04-06,26831
20191212T03-06,26746
20191212T02-06,26525
20191212T01-06,26663
20191212T00-06,26458
20191211T23-06,27260
20191211T22-06,27517
20191211T21-06,28521
20191211T20-06,28883
20191211T19-06,28855
20191211T18-06,28324
20191211T17-06,662
20191211T16-06,49959
20191211T15-06,24141
20191211T14-06,25150
20191211T13-06,25761
20191211T12-06,26262
20191211T11-06,27075
20191211T10-06,27763
20191211T09-06,28255
20191211T08-06,28208
20191211T07-06,28164
20191211T06-06,26289
20191211T05-06,24293
20191211T04-06,23236
20191211T03-06,22629
20191211T02-06,22466
20191211T01-06,22467
20191211T00-06,24252
20191210T23-06,24722
20191210T22-06,26023
20191210T21-06,27313
20191210T20-06,28023
20191210T19-06,28238
20191210T18-06,27984
20191210T17-06,26882
20191210T16-06,25726
20191210T15-06,25289
20191210T14-06,25293
20191210T13-06,25469
20191210T12-06,25227
20191210T11-06,24788
20191210T10-06,24554
20191210T09-06,24214
20191210T08-06,23893
20191210T07-06,23872
20191210T06-06,22442
20191210T05-06,20995
20191210T04-06,20277
20191210T03-06,20101
20191210T02-06,20325
20191210T01-06,20776
20191210T00-06,21547
20191209T23-06,22494
20191209T22-06,23791
20191209T21-06,25331
20191209T20-06,26368
20191209T19-06,26880
20191209T18-06,26915
20191209T17-06,25730
20191209T16-06,24771
20191209T15-06,24663
20191209T14-06,25264
20191209T13-06,25526
20191209T12-06,25616
20191209T11-06,25393
20191209T10-06,25380
20191209T09-06,25349
20191209T08-06,25240
20191209T07-06,25211
20191209T06-06,23584
20191209T05-06,21841
20191209T04-06,20751
20191209T03-06,20355
20191209T02-06,20407
20191209T01-06,20567
20191209T00-06,20697
20191208T23-06,21431
20191208T22-06,22970
20191208T21-06,24257
20191208T20-06,25071
20191208T19-06,25314
20191208T18-06,25235
20191208T17-06,23782
20191208T16-06,22492
20191208T15-06,22377
20191208T14-06,22204
20191208T13-06,22274
20191208T12-06,22709
20191208T11-06,23062
20191208T10-06,23662
20191208T09-06,23798
20191208T08-06,23253
20191208T07-06,22077
20191208T06-06,21187
20191208T05-06,20705
20191208T04-06,20753
20191208T03-06,20677
20191208T02-06,20792
20191208T01-06,20743
20191208T00-06,20868
20191207T23-06,21939
20191207T22-06,22933
20191207T21-06,23613
20191207T20-06,23951
20191207T19-06,24034
20191207T18-06,24102
20191207T17-06,22864
20191207T16-06,21929
20191207T15-06,21870
20191207T14-06,22184
20191207T13-06,22538
20191207T12-06,23103
20191207T11-06,23677
20191207T10-06,24214
20191207T09-06,24413
20191207T08-06,24104
20191207T07-06,23089
20191207T06-06,22573
20191207T05-06,21963
20191207T04-06,21396
20191207T03-06,21245
20191207T02-06,21414
20191207T01-06,21795
20191207T00-06,22450
20191206T23-06,22908
20191206T22-06,24019
20191206T21-06,24986
20191206T20-06,25677
20191206T19-06,26036
20191206T18-06,26326
20191206T17-06,25505
20191206T16-06,24911
20191206T15-06,24755
20191206T14-06,24982
20191206T13-06,24975
20191206T12-06,25535
20191206T11-06,26137
20191206T10-06,26927
20191206T09-06,27586
20191206T08-06,28252
20191206T07-06,28616
20191206T06-06,27286
20191206T05-06,25144
20191206T04-06,24351
20191206T03-06,24289
20191206T02-06,24261
20191206T01-06,24462
20191206T00-06,24446
20191205T23-06,24972
20191205T22-06,25849
20191205T21-06,26948
20191205T20-06,27390
20191205T19-06,27177
20191205T18-06,26598
20191205T17-06,24876
20191205T16-06,24226
20191205T15-06,24340
20191205T14-06,24612
20191205T13-06,25075
20191205T12-06,25245
20191205T11-06,26121
20191205T10-06,27391
20191205T09-06,29226
20191205T08-06,30849
20191205T07-06,31332
20191205T06-06,29610
20191205T05-06,26821
20191205T04-06,25772
20191205T03-06,25063
20191205T02-06,24722
20191205T01-06,24696
20191205T00-06,25098
20191204T23-06,25628
20191204T22-06,26843
20191204T21-06,28103
20191204T20-06,28403
20191204T19-06,28305
20191204T18-06,27780
20191204T17-06,25839
20191204T16-06,24875
20191204T15-06,24637
20191204T14-06,24926
20191204T13-06,25656
20191204T12-06,26433
20191204T11-06,27323
20191204T10-06,28867
20191204T09-06,30689
20191204T08-06,32817
20191204T07-06,33676
20191204T06-06,32086
20191204T05-06,29527
20191204T04-06,28761
20191204T03-06,28231
20191204T02-06,28330
20191204T01-06,28224
20191204T00-06,27884
20191203T23-06,28661
20191203T22-06,29417
20191203T21-06,30622
20191203T20-06,31165
20191203T19-06,31084
20191203T18-06,30499
20191203T17-06,28371
20191203T16-06,27553
20191203T15-06,27301
20191203T14-06,27430
20191203T13-06,27921
20191203T12-06,28479
20191203T11-06,29470
20191203T10-06,30876
20191203T09-06,32279
20191203T08-06,33742
20191203T07-06,34191
20191203T06-06,32481
20191203T05-06,29883
20191203T04-06,28989
20191203T03-06,28362
20191203T02-06,28061
20191203T01-06,28012
20191203T00-06,28065
20191202T23-06,28250
20191202T22-06,29417
20191202T21-06,30711
20191202T20-06,31501
20191202T19-06,31505
20191202T18-06,30964
20191202T17-06,28845
20191202T16-06,27410
20191202T15-06,26858
20191202T14-06,26882
20191202T13-06,26755
20191202T12-06,26915
20191202T11-06,27335
20191202T10-06,27788
20191202T09-06,28031
20191202T08-06,28096
20191202T07-06,27757
20191202T06-06,25811
20191202T05-06,22986
20191202T04-06,22017
20191202T03-06,21402
20191202T02-06,21079
20191202T01-06,20709
20191202T00-06,20482
20191201T23-06,20952
20191201T22-06,22092
20191201T21-06,23142
20191201T20-06,23688
20191201T19-06,23962
20191201T18-06,23675
20191201T17-06,22045
20191201T16-06,21096
20191201T15-06,20811
20191201T14-06,21061
20191201T13-06,21265
20191201T12-06,21194
20191201T11-06,21018
20191201T10-06,20623
20191201T09-06,19980
20191201T08-06,19150
20191201T07-06,18689
20191201T06-06,18108
20191201T05-06,17632
20191201T04-06,17486
20191201T03-06,17606
20191201T02-06,17926
20191201T01-06,18464
20191201T00-06,18410
20191130T23-06,19394
20191130T22-06,20443
20191130T21-06,21240
20191130T20-06,21767
20191130T19-06,21914
20191130T18-06,22062
20191130T17-06,21164
20191130T16-06,20649
20191130T15-06,20695
20191130T14-06,20813
20191130T13-06,20832
20191130T12-06,21004
20191130T11-06,21090
20191130T10-06,21246
20191130T09-06,21177
20191130T08-06,20830
20191130T07-06,20760
20191130T06-06,20140
20191130T05-06,19536
20191130T04-06,19042
20191130T03-06,18916
20191130T02-06,18598
20191130T01-06,18710
20191130T00-06,18881
20191129T23-06,19730
20191129T22-06,20548
20191129T21-06,21214
20191129T20-06,21641
20191129T19-06,21886
20191129T18-06,22012
20191129T17-06,21057
20191129T16-06,20473
20191129T15-06,20427
20191129T14-06,20309
20191129T13-06,20558
20191129T12-06,20910
20191129T11-06,21330
20191129T10-06,21709
20191129T09-06,21856
20191129T08-06,21607
20191129T07-06,21004
20191129T06-06,20147
20191129T05-06,19316
20191129T04-06,19176
20191129T03-06,18834
20191129T02-06,18895
20191129T01-06,18830
20191129T00-06,19049
20191128T23-06,19610
20191128T22-06,20136
20191128T21-06,20414
20191128T20-06,20374
20191128T19-06,20409
20191128T18-06,20430
20191128T17-06,19943
20191128T16-06,19837
20191128T15-06,20739
20191128T14-06,20992
20191128T13-06,21849
20191128T12-06,22998
20191128T11-06,23692
20191128T10-06,24064
20191128T09-06,23806
20191128T08-06,23103
20191128T07-06,21697
20191128T06-06,20753
20191128T05-06,20029
20191128T04-06,19885
20191128T03-06,19575
20191128T02-06,19687
20191128T01-06,19977
20191128T00-06,20395
20191127T23-06,21172
20191127T22-06,22349
20191127T21-06,23343
20191127T20-06,23711
20191127T19-06,24192
20191127T18-06,24524
20191127T17-06,23698
20191127T16-06,23441
20191127T15-06,23767
20191127T14-06,24184
20191127T13-06,24382
20191127T12-06,24607
20191127T11-06,24275
20191127T10-06,24220
20191127T09-06,23824
20191127T08-06,23230
20191127T07-06,22581
20191127T06-06,21669
20191127T05-06,20749
20191127T04-06,20096
20191127T03-06,19985
20191127T02-06,20098
20191127T01-06,20617
20191127T00-06,21372
20191126T23-06,22585
20191126T22-06,23291
20191126T21-06,24430
20191126T20-06,25089
20191126T19-06,25321
20191126T18-06,25311
20191126T17-06,24141
20191126T16-06,23658
20191126T15-06,23828
20191126T14-06,24043
20191126T13-06,24169
20191126T12-06,24572
20191126T11-06,25365
20191126T10-06,26498
20191126T09-06,27569
20191126T08-06,28737
20191126T07-06,28779
20191126T06-06,27479
20191126T05-06,25752
20191126T04-06,25446
20191126T03-06,25093
20191126T02-06,24800
20191126T01-06,24787
20191126T00-06,24401
20191125T23-06,24617
20191125T22-06,25390
20191125T21-06,26315
20191125T20-06,26679
20191125T19-06,26780
20191125T18-06,26492
20191125T17-06,24785
20191125T16-06,24602
20191125T15-06,24662
20191125T14-06,24618
20191125T13-06,25090
20191125T12-06,25434
20191125T11-06,26504
20191125T10-06,27679
20191125T09-06,29282
20191125T08-06,30545
20191125T07-06,30330
20191125T06-06,28518
20191125T05-06,26128
20191125T04-06,25223
20191125T03-06,24425
20191125T02-06,24064
20191125T01-06,23951
20191125T00-06,23773
20191124T23-06,23778
20191124T22-06,24807
20191124T21-06,25470
20191124T20-06,25781
20191124T19-06,25677
20191124T18-06,25141
20191124T17-06,23192
20191124T16-06,22004
20191124T15-06,21543
20191124T14-06,21649
20191124T13-06,22062
20191124T12-06,22620
20191124T11-06,23423
20191124T10-06,24206
20191124T09-06,24655
20191124T08-06,24049
20191124T07-06,22664
20191124T06-06,21724
20191124T05-06,21320
20191124T04-06,20766
20191124T03-06,20408
20191124T02-06,20405
20191124T01-06,20402
20191124T00-06,20434
20191123T23-06,21162
20191123T22-06,21977
20191123T21-06,22719
20191123T20-06,23202
20191123T19-06,23348
20191123T18-06,23420
20191123T17-06,22583
20191123T16-06,21967
20191123T15-06,21953
20191123T14-06,22234
20191123T13-06,22566
20191123T12-06,22708
20191123T11-06,22796
20191123T10-06,22524
20191123T09-06,21928
20191123T08-06,20906
20191123T07-06,20222
20191123T06-06,19868
20191123T05-06,19272
20191123T04-06,19132
