,Demand1
20191114T09-07,9822
20191114T08-07,10276
20191114T07-07,10399
20191114T06-07,9824
20191114T05-07,8873
20191114T04-07,8587
20191114T03-07,8540
20191114T02-07,8674
20191114T01-07,8900
20191114T00-07,9162
20191113T23-07,9890
20191113T22-07,10583
20191113T21-07,11121
20191113T20-07,11407
20191113T19-07,11658
20191113T18-07,11515
20191113T17-07,10868
20191113T16-07,10315
20191113T15-07,9808
20191113T14-07,9467
20191113T13-07,9276
20191113T12-07,9173
20191113T11-07,9267
20191113T10-07,9368
20191113T09-07,9725
20191113T08-07,10277
20191113T07-07,10430
20191113T06-07,9567
20191113T05-07,8887
20191113T04-07,8589
20191113T03-07,8542
20191113T02-07,8673
20191113T01-07,8963
20191113T00-07,9473
20191112T23-07,10248
20191112T22-07,11015
20191112T21-07,11592
20191112T20-07,11901
20191112T19-07,12211
20191112T18-07,12088
20191112T17-07,11469
20191112T16-07,10876
20191112T15-07,10450
20191112T14-07,10124
20191112T13-07,9869
20191112T12-07,9705
20191112T11-07,9746
20191112T10-07,9808
20191112T09-07,10031
20191112T08-07,10363
20191112T07-07,10449
20191112T06-07,9426
20191112T05-07,8875
20191112T04-07,8581
20191112T03-07,8571
20191112T02-07,8728
20191112T01-07,9047
20191112T00-07,9543
20191111T23-07,10397
20191111T22-07,11241
20191111T21-07,11861
20191111T20-07,12308
20191111T19-07,12657
20191111T18-07,12647
20191111T17-07,12105
20191111T16-07,11672
20191111T15-07,11197
20191111T14-07,10627
20191111T13-07,10456
20191111T12-07,10210
20191111T11-07,9902
20191111T10-07,9679
20191111T09-07,9600
20191111T08-07,9748
20191111T07-07,9512
20191111T06-07,9059
20191111T05-07,8652
20191111T04-07,8441
20191111T03-07,8472
20191111T02-07,8677
20191111T01-07,8940
20191111T00-07,9432
20191110T23-07,7854
20191110T22-07,10881
20191110T21-07,11444
20191110T20-07,11872
20191110T19-07,12313
20191110T18-07,12348
20191110T17-07,11907
20191110T16-07,11394
20191110T15-07,10894
20191110T14-07,10368
20191110T13-07,9836
20191110T12-07,9546
20191110T11-07,9235
20191110T10-07,9117
20191110T09-07,8947
20191110T08-07,8765
20191110T07-07,8704
20191110T06-07,8470
20191110T05-07,8293
20191110T04-07,8213
20191110T03-07,8264
20191110T02-07,8477
20191110T01-07,8807
20191110T00-07,9251
20191109T23-07,9824
20191109T22-07,10395
20191109T21-07,10952
20191109T20-07,11267
20191109T19-07,11642
20191109T18-07,11665
20191109T17-07,11297
20191109T16-07,10853
20191109T15-07,10594
20191109T14-07,10242
20191109T13-07,9820
20191109T12-07,9568
20191109T11-07,9403
20191109T10-07,9320
20191109T09-07,9127
20191109T08-07,9151
20191109T07-07,9120
20191109T06-07,8737
20191109T05-07,8543
20191109T04-07,8476
20191109T03-07,8535
20191109T02-07,8755
20191109T01-07,8782
20191109T00-07,9187
20191108T23-07,9871
20191108T22-07,10492
20191108T21-07,11039
20191108T20-07,11315
20191108T19-07,11630
20191108T18-07,11603
20191108T17-07,11293
20191108T16-07,10821
20191108T15-07,10539
20191108T14-07,10225
20191108T13-07,10028
20191108T12-07,9822
20191108T11-07,9666
20191108T10-07,9683
20191108T09-07,9641
20191108T08-07,9855
20191108T07-07,9807
20191108T06-07,8981
20191108T05-07,8316
20191108T04-07,8031
20191108T03-07,8060
20191108T02-07,8207
20191108T01-07,8473
20191108T00-07,8941
20191107T23-07,9794
20191107T22-07,10650
20191107T21-07,11246
20191107T20-07,11618
20191107T19-07,11985
20191107T18-07,11932
20191107T17-07,11531
20191107T16-07,11070
20191107T15-07,10512
20191107T14-07,10069
20191107T13-07,9717
20191107T12-07,9466
20191107T11-07,9412
20191107T10-07,9322
20191107T09-07,9544
20191107T08-07,9703
20191107T07-07,9793
20191107T06-07,8915
20191107T05-07,8233
20191107T04-07,7974
20191107T03-07,8018
20191107T02-07,8240
20191107T01-07,8595
20191107T00-07,9143
20191106T23-07,9998
20191106T22-07,10899
20191106T21-07,11524
20191106T20-07,11926
20191106T19-07,12312
20191106T18-07,12246
20191106T17-07,11777
20191106T16-07,11289
20191106T15-07,10970
20191106T14-07,10638
20191106T13-07,10192
20191106T12-07,9791
20191106T11-07,9738
20191106T10-07,9522
20191106T09-07,9529
20191106T08-07,9816
20191106T07-07,9818
20191106T06-07,9039
20191106T05-07,8510
20191106T04-07,8270
20191106T03-07,8345
20191106T02-07,8539
20191106T01-07,8854
20191106T00-07,9271
20191105T23-07,10053
20191105T22-07,10944
20191105T21-07,11686
20191105T20-07,12113
20191105T19-07,12487
20191105T18-07,12381
20191105T17-07,11855
20191105T16-07,11355
20191105T15-07,10953
20191105T14-07,10374
20191105T13-07,9845
20191105T12-07,9584
20191105T11-07,9452
20191105T10-07,9378
20191105T09-07,9638
20191105T08-07,9941
20191105T07-07,10108
20191105T06-07,9306
20191105T05-07,8584
20191105T04-07,8172
20191105T03-07,8173
20191105T02-07,8333
20191105T01-07,8600
20191105T00-07,9130
20191104T23-07,10028
20191104T22-07,10916
20191104T21-07,11539
20191104T20-07,11863
20191104T19-07,12202
20191104T18-07,12001
20191104T17-07,11515
20191104T16-07,10943
20191104T15-07,10486
20191104T14-07,10100
20191104T13-07,9775
20191104T12-07,9510
20191104T11-07,9421
20191104T10-07,9369
20191104T09-07,9546
20191104T08-07,9962
20191104T07-07,10009
20191104T06-07,9254
20191104T05-07,8560
20191104T04-07,8338
20191104T03-07,8307
20191104T02-07,8391
20191104T01-07,8613
20191104T00-07,7579
20191103T23-07,8293
20191103T22-07,8942
20191103T21-07,9427
20191103T20-07,9806
20191103T19-07,10082
20191103T18-07,9971
20191103T17-07,9492
20191103T16-07,9002
20191103T15-07,8464
20191103T14-07,8134
20191103T13-07,7924
20191103T12-07,7733
20191103T11-07,7563
20191103T10-07,7457
20191103T09-07,7375
20191103T08-07,7328
20191103T07-07,7324
20191103T06-07,7115
20191103T05-07,6973
20191103T04-07,6973
20191103T03-07,7068
20191103T02-07,7196
20191103T01-07,7429
20191103T00-07,9192
20191102T23-07,9696
20191102T22-07,10280
20191102T21-07,10773
20191102T20-07,11067
20191102T19-07,11310
20191102T18-07,11196
20191102T17-07,10742
20191102T16-07,10078
20191102T15-07,9491
20191102T14-07,9228
20191102T13-07,8999
20191102T12-07,8920
20191102T11-07,8925
20191102T10-07,9097
20191102T09-07,9077
20191102T08-07,9208
20191102T07-07,9214
20191102T06-07,8842
20191102T05-07,8508
20191102T04-07,8382
20191102T03-07,8359
20191102T02-07,8506
20191102T01-07,8668
20191102T00-07,8906
20191101T23-07,9403
20191101T22-07,9912
20191101T21-07,10301
20191101T20-07,10498
20191101T19-07,10633
20191101T18-07,10507
20191101T17-07,9960
20191101T16-07,9409
20191101T15-07,9077
20191101T14-07,8902
20191101T13-07,8810
20191101T12-07,8838
20191101T11-07,8985
20191101T10-07,9267
20191101T09-07,9607
20191101T08-07,10200
20191101T07-07,10548
20191101T06-07,9817
20191101T05-07,8964
20191101T04-07,8621
20191101T03-07,8509
20191101T02-07,8532
20191101T01-07,8684
20191101T00-07,8932
20191031T23-07,9357
20191031T22-07,10017
20191031T21-07,10270
20191031T20-07,10330
20191031T19-07,10465
20191031T18-07,10225
20191031T17-07,9838
20191031T16-07,9471
20191031T15-07,9075
20191031T14-07,8934
20191031T13-07,8879
20191031T12-07,8969
20191031T11-07,9235
20191031T10-07,9562
20191031T09-07,9962
20191031T08-07,10622
20191031T07-07,10904
20191031T06-07,10017
20191031T05-07,9147
20191031T04-07,8700
20191031T03-07,8562
20191031T02-07,8602
20191031T01-07,8786
20191031T00-07,9117
20191030T23-07,9869
20191030T22-07,10534
20191030T21-07,10866
20191030T20-07,11114
20191030T19-07,11075
20191030T18-07,10556
20191030T17-07,9888
20191030T16-07,9502
20191030T15-07,9125
20191030T14-07,9030
20191030T13-07,8981
20191030T12-07,9085
20191030T11-07,9148
20191030T10-07,9509
20191030T09-07,9975
20191030T08-07,10379
20191030T07-07,10511
20191030T06-07,9815
20191030T05-07,9072
20191030T04-07,8707
20191030T03-07,8617
20191030T02-07,8681
20191030T01-07,8851
20191030T00-07,9091
20191029T23-07,9580
