,Demand1
20191114T10-06,
20191114T09-06,33390
20191114T08-06,34006
20191114T07-06,33264
20191114T06-06,30967
20191114T05-06,29480
20191114T04-06,28889
20191114T03-06,28707
20191114T02-06,28704
20191114T01-06,28916
20191114T00-06,29521
20191113T23-06,30595
20191113T22-06,31928
20191113T21-06,32817
20191113T20-06,33184
20191113T19-06,33481
20191113T18-06,32875
20191113T17-06,31682
20191113T16-06,31313
20191113T15-06,31546
20191113T14-06,31990
20191113T13-06,32556
20191113T12-06,33465
20191113T11-06,34386
20191113T10-06,35220
20191113T09-06,36135
20191113T08-06,36977
20191113T07-06,36413
20191113T06-06,34072
20191113T05-06,32710
20191113T04-06,32198
20191113T03-06,31977
20191113T02-06,32067
20191113T01-06,32384
20191113T00-06,33010
20191112T23-06,34109
20191112T22-06,35481
20191112T21-06,36372
20191112T20-06,36638
20191112T19-06,36613
20191112T18-06,35549
20191112T17-06,33677
20191112T16-06,33019
20191112T15-06,33116
20191112T14-06,33682
20191112T13-06,34288
20191112T12-06,35274
20191112T11-06,36158
20191112T10-06,36920
20191112T09-06,37816
20191112T08-06,38468
20191112T07-06,37823
20191112T06-06,35479
20191112T05-06,33963
20191112T04-06,33262
20191112T03-06,33002
20191112T02-06,32927
20191112T01-06,33032
20191112T00-06,33546
20191111T23-06,34597
20191111T22-06,35756
20191111T21-06,36603
20191111T20-06,36970
20191111T19-06,37041
20191111T18-06,36415
20191111T17-06,34983
20191111T16-06,34435
20191111T15-06,34385
20191111T14-06,34368
20191111T13-06,34294
20191111T12-06,34095
20191111T11-06,33788
20191111T10-06,33117
20191111T09-06,32321
20191111T08-06,31424
20191111T07-06,29783
20191111T06-06,27328
20191111T05-06,25844
20191111T04-06,25135
20191111T03-06,24841
20191111T02-06,24835
20191111T01-06,25055
20191111T00-06,25589
20191110T23-06,26432
20191110T22-06,27404
20191110T21-06,28096
20191110T20-06,28600
20191110T19-06,28687
20191110T18-06,28047
20191110T17-06,26806
20191110T16-06,26385
20191110T15-06,26145
20191110T14-06,26133
20191110T13-06,26210
20191110T12-06,26347
20191110T11-06,26512
20191110T10-06,26778
20191110T09-06,26848
20191110T08-06,26466
20191110T07-06,25959
20191110T06-06,25113
20191110T05-06,24570
20191110T04-06,24271
20191110T03-06,24254
20191110T02-06,24387
20191110T01-06,24704
20191110T00-06,25376
20191109T23-06,26104
20191109T22-06,26885
20191109T21-06,27429
20191109T20-06,27721
20191109T19-06,28012
20191109T18-06,27291
20191109T17-06,26319
20191109T16-06,26031
20191109T15-06,26064
20191109T14-06,26412
20191109T13-06,26862
20191109T12-06,27545
20191109T11-06,28294
20191109T10-06,28918
20191109T09-06,29316
20191109T08-06,29374
20191109T07-06,28904
20191109T06-06,28073
20191109T05-06,27435
20191109T04-06,27138
20191109T03-06,27172
20191109T02-06,27340
20191109T01-06,27698
20191109T00-06,28474
20191108T23-06,29398
20191108T22-06,30251
20191108T21-06,30726
20191108T20-06,31023
20191108T19-06,31218
20191108T18-06,30497
20191108T17-06,29468
20191108T16-06,29179
20191108T15-06,29484
20191108T14-06,30129
20191108T13-06,30625
20191108T12-06,31428
20191108T11-06,32157
20191108T10-06,32861
20191108T09-06,33310
20191108T08-06,33675
20191108T07-06,33033
20191108T06-06,30700
20191108T05-06,29361
20191108T04-06,28798
20191108T03-06,28640
20191108T02-06,28651
20191108T01-06,28865
20191108T00-06,29373
20191107T23-06,30384
20191107T22-06,31379
20191107T21-06,32229
20191107T20-06,32585
20191107T19-06,32816
20191107T18-06,32128
20191107T17-06,30903
20191107T16-06,30424
20191107T15-06,30604
20191107T14-06,30928
20191107T13-06,31181
20191107T12-06,31761
20191107T11-06,32025
20191107T10-06,32212
20191107T09-06,32260
20191107T08-06,32134
20191107T07-06,30876
20191107T06-06,28355
20191107T05-06,26821
20191107T04-06,26177
20191107T03-06,25912
20191107T02-06,25876
20191107T01-06,26074
20191107T00-06,26673
20191106T23-06,27722
20191106T22-06,29020
20191106T21-06,29874
20191106T20-06,30289
20191106T19-06,30659
20191106T18-06,30141
20191106T17-06,29237
20191106T16-06,28935
20191106T15-06,29063
20191106T14-06,29253
20191106T13-06,29125
20191106T12-06,29195
20191106T11-06,29244
20191106T10-06,29198
20191106T09-06,29310
20191106T08-06,29369
20191106T07-06,28463
20191106T06-06,26275
20191106T05-06,25014
20191106T04-06,24498
20191106T03-06,24406
20191106T02-06,24716
20191106T01-06,25063
20191106T00-06,25718
20191105T23-06,26861
20191105T22-06,28139
20191105T21-06,28941
20191105T20-06,29390
20191105T19-06,29677
20191105T18-06,29004
20191105T17-06,28204
20191105T16-06,28042
20191105T15-06,28193
20191105T14-06,28400
20191105T13-06,28486
20191105T12-06,28737
20191105T11-06,29057
20191105T10-06,29325
20191105T09-06,29659
20191105T08-06,29814
20191105T07-06,28947
20191105T06-06,26658
20191105T05-06,25229
20191105T04-06,24641
20191105T03-06,24465
20191105T02-06,24531
20191105T01-06,24864
20191105T00-06,25516
20191104T23-06,26704
20191104T22-06,28013
