,Demand1
20200106T07-05,2437
20200106T06-05,2157
20200106T05-05,1959
20200106T04-05,1865
20200106T03-05,1822
20200106T02-05,1798
20200106T01-05,1839
20200106T00-05,1924
20200105T23-05,2036
20200105T22-05,2173
20200105T21-05,2250
20200105T20-05,2272
20200105T19-05,2259
20200105T18-05,2108
20200105T17-05,2027
20200105T16-05,1998
20200105T15-05,2009
20200105T14-05,2032
20200105T13-05,2058
20200105T12-05,2091
20200105T11-05,2129
20200105T10-05,2125
20200105T09-05,2025
20200105T08-05,1829
20200105T07-05,1674
20200105T06-05,1562
20200105T05-05,1507
20200105T04-05,1490
20200105T03-05,1499
20200105T02-05,1534
20200105T01-05,1608
20200105T00-05,1719
20200104T23-05,1841
20200104T22-05,1961
20200104T21-05,2061
20200104T20-05,2112
20200104T19-05,2167
20200104T18-05,2091
20200104T17-05,2084
20200104T16-05,2125
20200104T15-05,2182
20200104T14-05,2248
20200104T13-05,2314
20200104T12-05,2336
20200104T11-05,2345
20200104T10-05,2220
20200104T09-05,2026
20200104T08-05,1837
20200104T07-05,1755
20200104T06-05,1689
20200104T05-05,1658
20200104T04-05,1673
20200104T03-05,1728
20200104T02-05,1792
20200104T01-05,1898
20200104T00-05,2045
20200103T23-05,2206
20200103T22-05,2370
20200103T21-05,2511
20200103T20-05,2629
20200103T19-05,2752
20200103T18-05,2752
20200103T17-05,2823
20200103T16-05,2846
20200103T15-05,2792
20200103T14-05,2707
20200103T13-05,2575
20200103T12-05,2418
20200103T11-05,2295
20200103T10-05,2179
20200103T09-05,2055
20200103T08-05,1916
20200103T07-05,1793
20200103T06-05,1643
20200103T05-05,1532
20200103T04-05,1505
20200103T03-05,1537
20200103T02-05,1605
20200103T01-05,1707
20200103T00-05,1848
20200102T23-05,2014
20200102T22-05,2185
20200102T21-05,2334
20200102T20-05,2464
20200102T19-05,2541
20200102T18-05,2454
20200102T17-05,2429
20200102T16-05,2438
20200102T15-05,2362
20200102T14-05,2260
20200102T13-05,2190
20200102T12-05,2140
20200102T11-05,2085
20200102T10-05,2040
20200102T09-05,2001
20200102T08-05,1942
20200102T07-05,1825
20200102T06-05,1658
20200102T05-05,1543
20200102T04-05,1495
20200102T03-05,1493
20200102T02-05,1517
20200102T01-05,1574
20200102T00-05,1661
20200101T23-05,1780
20200101T22-05,1903
20200101T21-05,2013
20200101T20-05,2095
20200101T19-05,2148
20200101T18-05,2057
20200101T17-05,2009
20200101T16-05,1997
20200101T15-05,1985
20200101T14-05,1983
20200101T13-05,1984
20200101T12-05,1979
20200101T11-05,1977
20200101T10-05,1909
20200101T09-05,1813
20200101T08-05,1712
20200101T07-05,1640
20200101T06-05,1583
20200101T05-05,1555
20200101T04-05,1572
20200101T03-05,1609
20200101T02-05,1659
20200101T01-05,1708
20200101T00-05,1775
