,Demand1
20191218T10-06,22930
20191218T09-06,24090
20191218T08-06,25181
20191218T07-06,25198
20191218T06-06,23785
20191218T05-06,22407
20191218T04-06,21482
20191218T03-06,21312
20191218T02-06,21058
20191218T01-06,21112
20191218T00-06,21391
20191217T23-06,21934
20191217T22-06,22738
20191217T21-06,23310
20191217T20-06,23319
20191217T19-06,23259
20191217T18-06,23108
20191217T17-06,21932
20191217T16-06,21100
20191217T15-06,20890
20191217T14-06,20960
20191217T13-06,20739
20191217T12-06,20717
20191217T11-06,20378
20191217T10-06,20008
20191217T09-06,19756
20191217T08-06,19448
20191217T07-06,18860
20191217T06-06,17175
20191217T05-06,15461
20191217T04-06,14792
20191217T03-06,14707
20191217T02-06,14646
20191217T01-06,14776
20191217T00-06,15230
20191216T23-06,15950
20191216T22-06,16950
20191216T21-06,17792
20191216T20-06,18210
20191216T19-06,18463
20191216T18-06,18648
20191216T17-06,18212
20191216T16-06,17459
20191216T15-06,17257
20191216T14-06,17305
20191216T13-06,17428
20191216T12-06,17534
20191216T11-06,17491
20191216T10-06,17309
20191216T09-06,17344
20191216T08-06,17400
20191216T07-06,17207
20191216T06-06,15796
20191216T05-06,14500
20191216T04-06,14094
20191216T03-06,14004
20191216T02-06,14167
20191216T01-06,14493
20191216T00-06,14962
20191215T23-06,15836
20191215T22-06,16709
20191215T21-06,17297
20191215T20-06,17702
20191215T19-06,17921
20191215T18-06,17957
20191215T17-06,17138
20191215T16-06,16145
20191215T15-06,15785
20191215T14-06,15987
20191215T13-06,16248
20191215T12-06,16525
20191215T11-06,17126
20191215T10-06,17716
20191215T09-06,18078
20191215T08-06,17742
20191215T07-06,17088
20191215T06-06,16413
20191215T05-06,15899
20191215T04-06,15584
20191215T03-06,15509
20191215T02-06,15521
20191215T01-06,15745
20191215T00-06,16128
20191214T23-06,16661
20191214T22-06,17361
20191214T21-06,17726
20191214T20-06,18041
20191214T19-06,18173
20191214T18-06,18259
20191214T17-06,17523
20191214T16-06,16759
20191214T15-06,16516
20191214T14-06,16710
20191214T13-06,17118
20191214T12-06,17642
20191214T11-06,18057
20191214T10-06,18201
20191214T09-06,18040
20191214T08-06,17460
20191214T07-06,16862
20191214T06-06,16059
20191214T05-06,15627
20191214T04-06,15421
20191214T03-06,15297
20191214T02-06,15508
20191214T01-06,15841
20191214T00-06,16991
20191213T23-06,17135
20191213T22-06,17918
20191213T21-06,18677
20191213T20-06,19054
20191213T19-06,19348
20191213T18-06,19609
20191213T17-06,19380
20191213T16-06,18798
20191213T15-06,18727
20191213T14-06,18896
20191213T13-06,19072
20191213T12-06,19109
20191213T11-06,19316
20191213T10-06,19353
20191213T09-06,19443
20191213T08-06,19559
20191213T07-06,19340
20191213T06-06,17936
20191213T05-06,16696
20191213T04-06,16337
20191213T03-06,16279
20191213T02-06,16412
20191213T01-06,16789
20191213T00-06,17220
20191212T23-06,18126
20191212T22-06,19348
20191212T21-06,20067
20191212T20-06,20399
20191212T19-06,20460
20191212T18-06,20308
20191212T17-06,19399
20191212T16-06,18295
20191212T15-06,18005
20191212T14-06,18123
20191212T13-06,18534
20191212T12-06,19266
20191212T11-06,20195
20191212T10-06,21478
20191212T09-06,23235
20191212T08-06,24626
20191212T07-06,24917
20191212T06-06,23555
20191212T05-06,22105
20191212T04-06,21332
20191212T03-06,20884
20191212T02-06,20644
20191212T01-06,20688
20191212T00-06,20858
20191211T23-06,21512
20191211T22-06,22054
20191211T21-06,22376
20191211T20-06,22387
20191211T19-06,22176
20191211T18-06,21567
20191211T17-06,19765
20191211T16-06,18442
20191211T15-06,18329
20191211T14-06,18669
20191211T13-06,19197
20191211T12-06,19875
20191211T11-06,20924
20191211T10-06,21895
20191211T09-06,23429
20191211T08-06,24565
20191211T07-06,24382
20191211T06-06,22875
20191211T05-06,21506
20191211T04-06,20794
20191211T03-06,20146
20191211T02-06,19979
20191211T01-06,19872
20191211T00-06,20084
20191210T23-06,20598
20191210T22-06,21645
20191210T21-06,22501
20191210T20-06,22960
20191210T19-06,22878
20191210T18-06,22872
20191210T17-06,22294
20191210T16-06,21261
20191210T15-06,20721
20191210T14-06,20345
20191210T13-06,19984
20191210T12-06,19690
20191210T11-06,19342
20191210T10-06,18778
20191210T09-06,18360
20191210T08-06,17903
20191210T07-06,17321
20191210T06-06,15582
20191210T05-06,14160
20191210T04-06,13476
20191210T03-06,13275
20191210T02-06,13290
20191210T01-06,13495
20191210T00-06,14155
20191209T23-06,14934
20191209T22-06,16172
20191209T21-06,17010
20191209T20-06,17590
20191209T19-06,17777
20191209T18-06,17922
20191209T17-06,17274
20191209T16-06,16516
20191209T15-06,16409
20191209T14-06,16677
20191209T13-06,16770
20191209T12-06,16846
20191209T11-06,17026
20191209T10-06,16979
20191209T09-06,16865
20191209T08-06,16962
20191209T07-06,16732
20191209T06-06,15373
20191209T05-06,14014
20191209T04-06,13599
20191209T03-06,13440
20191209T02-06,13566
20191209T01-06,13765
20191209T00-06,14292
20191208T23-06,15016
20191208T22-06,15941
20191208T21-06,16711
20191208T20-06,17102
20191208T19-06,17218
20191208T18-06,17210
20191208T17-06,16315
20191208T16-06,15311
20191208T15-06,14998
20191208T14-06,15091
20191208T13-06,15232
20191208T12-06,15619
20191208T11-06,16101
20191208T10-06,16880
20191208T09-06,17468
20191208T08-06,17349
20191208T07-06,16889
20191208T06-06,16394
20191208T05-06,16087
20191208T04-06,15895
20191208T03-06,15861
20191208T02-06,15782
20191208T01-06,15931
20191208T00-06,16177
20191207T23-06,16768
20191207T22-06,17123
20191207T21-06,17218
20191207T20-06,17287
20191207T19-06,17102
20191207T18-06,16901
20191207T17-06,15775
20191207T16-06,15068
20191207T15-06,14889
20191207T14-06,15087
20191207T13-06,15606
20191207T12-06,16318
20191207T11-06,16833
20191207T10-06,17307
20191207T09-06,17540
20191207T08-06,17602
20191207T07-06,16933
20191207T06-06,16028
20191207T05-06,15315
20191207T04-06,14962
20191207T03-06,14909
20191207T02-06,15009
20191207T01-06,15363
20191207T00-06,15698
20191206T23-06,16465
20191206T22-06,17190
20191206T21-06,17615
20191206T20-06,17805
20191206T19-06,18111
20191206T18-06,18317
20191206T17-06,17704
20191206T16-06,16990
20191206T15-06,17003
20191206T14-06,17261
20191206T13-06,17479
20191206T12-06,17773
20191206T11-06,18074
20191206T10-06,18225
20191206T09-06,18254
20191206T08-06,18439
20191206T07-06,18263
20191206T06-06,16952
20191206T05-06,15619
20191206T04-06,15178
20191206T03-06,15250
20191206T02-06,15402
20191206T01-06,15607
20191206T00-06,16092
20191205T23-06,16895
20191205T22-06,17859
20191205T21-06,18541
20191205T20-06,18558
20191205T19-06,18625
20191205T18-06,18416
20191205T17-06,17245
20191205T16-06,16381
20191205T15-06,16324
20191205T14-06,16538
20191205T13-06,16815
20191205T12-06,17244
20191205T11-06,17914
20191205T10-06,18864
20191205T09-06,20171
20191205T08-06,21339
20191205T07-06,21396
20191205T06-06,19915
20191205T05-06,18402
20191205T04-06,17538
20191205T03-06,17133
20191205T02-06,16932
20191205T01-06,16922
20191205T00-06,17159
20191204T23-06,17750
20191204T22-06,18572
20191204T21-06,19145
20191204T20-06,19304
20191204T19-06,19220
20191204T18-06,18886
20191204T17-06,17516
20191204T16-06,16456
20191204T15-06,16319
20191204T14-06,16667
20191204T13-06,16993
20191204T12-06,17497
20191204T11-06,18265
20191204T10-06,19184
20191204T09-06,20611
20191204T08-06,22179
20191204T07-06,22449
20191204T06-06,21225
20191204T05-06,19731
20191204T04-06,19178
20191204T03-06,18960
20191204T02-06,18794
20191204T01-06,18868
20191204T00-06,19083
20191203T23-06,19704
20191203T22-06,20455
20191203T21-06,21118
20191203T20-06,21283
20191203T19-06,21291
20191203T18-06,20956
20191203T17-06,19828
20191203T16-06,18762
20191203T15-06,18431
20191203T14-06,18779
20191203T13-06,19301
20191203T12-06,19708
20191203T11-06,20246
20191203T10-06,20821
20191203T09-06,21534
20191203T08-06,22063
20191203T07-06,22064
20191203T06-06,20654
20191203T05-06,19304
20191203T04-06,18879
20191203T03-06,18644
20191203T02-06,18633
20191203T01-06,18723
20191203T00-06,19090
20191202T23-06,19989
20191202T22-06,20970
20191202T21-06,21717
20191202T20-06,22141
20191202T19-06,22481
20191202T18-06,22380
20191202T17-06,21613
20191202T16-06,20770
20191202T15-06,20478
20191202T14-06,20550
20191202T13-06,20626
20191202T12-06,20825
20191202T11-06,20813
20191202T10-06,20630
20191202T09-06,20675
20191202T08-06,20647
20191202T07-06,20253
20191202T06-06,18697
20191202T05-06,17061
20191202T04-06,16320
20191202T03-06,15827
20191202T02-06,15713
20191202T01-06,15717
20191202T00-06,15940
20191201T23-06,16500
20191201T22-06,17255
20191201T21-06,17754
20191201T20-06,17836
20191201T19-06,17832
20191201T18-06,17591
20191201T17-06,16464
20191201T16-06,15245
20191201T15-06,14783
20191201T14-06,14616
20191201T13-06,14646
20191201T12-06,14692
20191201T11-06,14701
20191201T10-06,14963
20191201T09-06,14693
20191201T08-06,14089
20191201T07-06,13284
20191201T06-06,12603
20191201T05-06,12117
20191201T04-06,11923
20191201T03-06,11926
20191201T02-06,12040
20191201T01-06,12466
20191201T00-06,12899
20191130T23-06,13655
20191130T22-06,14395
20191130T21-06,14929
20191130T20-06,15261
20191130T19-06,15396
20191130T18-06,15580
20191130T17-06,15299
20191130T16-06,14764
20191130T15-06,14784
20191130T14-06,14770
20191130T13-06,14824
20191130T12-06,15084
20191130T11-06,15260
20191130T10-06,15224
20191130T09-06,14912
20191130T08-06,14272
20191130T07-06,13852
20191130T06-06,13327
20191130T05-06,12897
20191130T04-06,12829
20191130T03-06,12818
20191130T02-06,13034
20191130T01-06,13312
20191130T00-06,13796
20191129T23-06,14571
20191129T22-06,14800
20191129T21-06,15526
20191129T20-06,15902
20191129T19-06,16051
20191129T18-06,16154
20191129T17-06,15622
20191129T16-06,15047
20191129T15-06,14900
20191129T14-06,14913
20191129T13-06,15248
20191129T12-06,15612
20191129T11-06,15919
20191129T10-06,16011
20191129T09-06,15838
20191129T08-06,15507
20191129T07-06,15151
20191129T06-06,14594
20191129T05-06,14049
20191129T04-06,13895
20191129T03-06,13836
20191129T02-06,13932
20191129T01-06,14177
20191129T00-06,14554
20191128T23-06,14959
20191128T22-06,15345
20191128T21-06,15621
20191128T20-06,15795
20191128T19-06,15738
20191128T18-06,15730
20191128T17-06,15087
20191128T16-06,14673
20191128T15-06,14613
20191128T14-06,15123
20191128T13-06,15891
20191128T12-06,16849
20191128T11-06,17749
20191128T10-06,18125
20191128T09-06,18197
20191128T08-06,18017
20191128T07-06,17395
20191128T06-06,16684
20191128T05-06,15989
20191128T04-06,15416
20191128T03-06,15179
20191128T02-06,15152
20191128T01-06,15298
20191128T00-06,15693
20191127T23-06,16416
20191127T22-06,17038
20191127T21-06,17514
20191127T20-06,17530
20191127T19-06,17523
20191127T18-06,17368
20191127T17-06,16254
20191127T16-06,15750
20191127T15-06,15817
20191127T14-06,15905
20191127T13-06,16068
20191127T12-06,16302
20191127T11-06,16525
