,Demand1
20200106T04-08,242
20200106T03-08,240
20200106T02-08,239
20200106T01-08,240
20200106T00-08,246
20200105T23-08,255
20200105T22-08,266
20200105T21-08,273
20200105T20-08,277
20200105T19-08,273
20200105T18-08,266
20200105T17-08,255
20200105T16-08,231
20200105T15-08,220
20200105T14-08,219
20200105T13-08,218
20200105T12-08,219
20200105T11-08,222
20200105T10-08,227
20200105T09-08,232
20200105T08-08,231
20200105T07-08,227
20200105T06-08,220
20200105T05-08,216
20200105T04-08,215
20200105T03-08,217
20200105T02-08,222
20200105T01-08,229
20200105T00-08,238
20200104T23-08,250
20200104T22-08,263
20200104T21-08,270
20200104T20-08,274
20200104T19-08,277
20200104T18-08,275
20200104T17-08,253
20200104T16-08,243
20200104T15-08,236
20200104T14-08,234
20200104T13-08,238
20200104T12-08,242
20200104T11-08,249
20200104T10-08,252
20200104T09-08,255
20200104T08-08,257
20200104T07-08,252
20200104T06-08,241
20200104T05-08,234
20200104T04-08,232
20200104T03-08,233
20200104T02-08,237
20200104T01-08,244
20200104T00-08,256
20200103T23-08,270
20200103T22-08,281
20200103T21-08,289
20200103T20-08,294
20200103T19-08,300
20200103T18-08,297
20200103T17-08,279
20200103T16-08,271
20200103T15-08,268
20200103T14-08,272
20200103T13-08,277
20200103T12-08,281
20200103T11-08,286
20200103T10-08,290
20200103T09-08,291
20200103T08-08,286
20200103T07-08,272
20200103T06-08,254
20200103T05-08,240
20200103T04-08,233
20200103T03-08,233
20200103T02-08,237
20200103T01-08,245
20200103T00-08,254
20200102T23-08,267
20200102T22-08,278
20200102T21-08,288
20200102T20-08,293
20200102T19-08,298
20200102T18-08,294
20200102T17-08,271
20200102T16-08,264
20200102T15-08,261
20200102T14-08,262
20200102T13-08,264
20200102T12-08,268
20200102T11-08,276
20200102T10-08,279
20200102T09-08,280
20200102T08-08,274
20200102T07-08,259
20200102T06-08,239
20200102T05-08,226
20200102T04-08,217
20200102T03-08,217
20200102T02-08,218
20200102T01-08,223
20200102T00-08,230
20200101T23-08,241
20200101T22-08,252
20200101T21-08,257
20200101T20-08,260
20200101T19-08,262
20200101T18-08,258
20200101T17-08,236
20200101T16-08,224
20200101T15-08,217
20200101T14-08,212
20200101T13-08,209
20200101T12-08,217
20200101T11-08,212
20200101T10-08,219
20200101T09-08,221
20200101T08-08,223
20200101T07-08,223
20200101T06-08,217
20200101T05-08,213
20200101T04-08,214
20200101T03-08,216
20200101T02-08,221
20200101T01-08,224
20200101T00-08,233
20191231T23-08,240
20191231T22-08,249
20191231T21-08,259
20191231T20-08,269
20191231T19-08,280
20191231T18-08,283
20191231T17-08,264
20191231T16-08,258
20191231T15-08,253
20191231T14-08,251
20191231T13-08,252
20191231T12-08,254
20191231T11-08,261
20191231T10-08,269
20191231T09-08,274
20191231T08-08,274
20191231T07-08,264
20191231T06-08,247
20191231T05-08,237
20191231T04-08,232
20191231T03-08,231
20191231T02-08,234
20191231T01-08,241
20191231T00-08,252
20191230T23-08,265
20191230T22-08,278
20191230T21-08,287
20191230T20-08,291
20191230T19-08,293
20191230T18-08,290
20191230T17-08,269
20191230T16-08,260
20191230T15-08,256
20191230T14-08,255
20191230T13-08,256
20191230T12-08,260
20191230T11-08,269
20191230T10-08,273
20191230T09-08,271
20191230T08-08,260
20191230T07-08,252
20191230T06-08,238
20191230T05-08,225
20191230T04-08,220
20191230T03-08,220
20191230T02-08,223
20191230T01-08,228
20191230T00-08,236
20191229T23-08,248
20191229T22-08,261
20191229T21-08,268
20191229T20-08,273
20191229T19-08,274
20191229T18-08,275
20191229T17-08,259
20191229T16-08,247
20191229T15-08,239
20191229T14-08,239
20191229T13-08,235
20191229T12-08,235
20191229T11-08,237
20191229T10-08,243
20191229T09-08,238
20191229T08-08,235
20191229T07-08,233
20191229T06-08,225
20191229T05-08,221
20191229T04-08,221
20191229T03-08,223
20191229T02-08,228
20191229T01-08,237
20191229T00-08,247
20191228T23-08,260
20191228T22-08,272
20191228T21-08,279
20191228T20-08,281
20191228T19-08,283
20191228T18-08,281
20191228T17-08,258
20191228T16-08,245
20191228T15-08,238
20191228T14-08,239
20191228T13-08,243
20191228T12-08,248
20191228T11-08,254
20191228T10-08,262
20191228T09-08,268
20191228T08-08,267
20191228T07-08,261
20191228T06-08,250
20191228T05-08,244
20191228T04-08,241
20191228T03-08,241
20191228T02-08,245
20191228T01-08,255
20191228T00-08,265
20191227T23-08,278
20191227T22-08,289
20191227T21-08,296
20191227T20-08,300
20191227T19-08,305
20191227T18-08,301
20191227T17-08,279
20191227T16-08,267
20191227T15-08,262
20191227T14-08,264
20191227T13-08,268
20191227T12-08,272
20191227T11-08,279
20191227T10-08,285
20191227T09-08,290
20191227T08-08,289
20191227T07-08,279
20191227T06-08,259
20191227T05-08,247
20191227T04-08,241
20191227T03-08,240
20191227T02-08,244
20191227T01-08,250
20191227T00-08,262
20191226T23-08,275
20191226T22-08,287
20191226T21-08,297
20191226T20-08,300
20191226T19-08,303
20191226T18-08,301
20191226T17-08,279
20191226T16-08,267
20191226T15-08,258
20191226T14-08,257
20191226T13-08,260
20191226T12-08,267
20191226T11-08,274
20191226T10-08,272
20191226T09-08,273
20191226T08-08,268
20191226T07-08,254
20191226T06-08,236
20191226T05-08,224
20191226T04-08,216
20191226T03-08,216
20191226T02-08,219
20191226T01-08,224
20191226T00-08,232
20191225T23-08,242
20191225T22-08,252
20191225T21-08,255
20191225T20-08,256
20191225T19-08,256
20191225T18-08,253
20191225T17-08,237
20191225T16-08,226
20191225T15-08,223
20191225T14-08,222
20191225T13-08,220
20191225T12-08,217
20191225T11-08,220
20191225T10-08,222
20191225T09-08,224
20191225T08-08,223
20191225T07-08,218
20191225T06-08,210
20191225T05-08,207
20191225T04-08,208
20191225T03-08,211
20191225T02-08,217
20191225T01-08,224
20191225T00-08,233
20191224T23-08,242
20191224T22-08,249
20191224T21-08,254
20191224T20-08,260
20191224T19-08,269
20191224T18-08,278
20191224T17-08,267
20191224T16-08,261
20191224T15-08,260
20191224T14-08,255
20191224T13-08,257
20191224T12-08,257
20191224T11-08,262
20191224T10-08,268
20191224T09-08,273
20191224T08-08,272
20191224T07-08,263
20191224T06-08,250
20191224T05-08,243
20191224T04-08,239
20191224T03-08,239
20191224T02-08,243
20191224T01-08,250
20191224T00-08,262
20191223T23-08,274
20191223T22-08,289
20191223T21-08,296
20191223T20-08,300
20191223T19-08,305
20191223T18-08,306
20191223T17-08,288
20191223T16-08,282
20191223T15-08,292
20191223T14-08,295
20191223T13-08,290
20191223T12-08,284
20191223T11-08,291
20191223T10-08,297
20191223T09-08,287
20191223T08-08,277
20191223T07-08,253
20191223T06-08,247
20191223T05-08,229
20191223T04-08,218
20191223T03-08,218
20191223T02-08,224
20191223T01-08,226
20191223T00-08,238
20191222T23-08,257
20191222T22-08,269
20191222T21-08,271
20191222T20-08,268
20191222T19-08,268
20191222T18-08,269
20191222T17-08,266
20191222T16-08,258
20191222T15-08,251
20191222T14-08,242
20191222T13-08,235
20191222T12-08,237
20191222T11-08,252
20191222T10-08,253
20191222T09-08,248
20191222T08-08,238
20191222T07-08,229
20191222T06-08,220
20191222T05-08,215
20191222T04-08,212
20191222T03-08,215
20191222T02-08,220
20191222T01-08,229
20191222T00-08,239
20191221T23-08,255
20191221T22-08,268
20191221T21-08,274
20191221T20-08,276
20191221T19-08,279
20191221T18-08,281
20191221T17-08,268
20191221T16-08,257
20191221T15-08,256
20191221T14-08,256
20191221T13-08,260
20191221T12-08,264
20191221T11-08,266
20191221T10-08,266
20191221T09-08,259
20191221T08-08,252
20191221T07-08,244
20191221T06-08,234
20191221T05-08,228
20191221T04-08,227
20191221T03-08,228
20191221T02-08,231
20191221T01-08,240
20191221T00-08,253
20191220T23-08,269
20191220T22-08,285
20191220T21-08,293
20191220T20-08,296
20191220T19-08,302
20191220T18-08,303
20191220T17-08,285
20191220T16-08,277
20191220T15-08,274
20191220T14-08,271
20191220T13-08,270
20191220T12-08,276
20191220T11-08,284
20191220T10-08,292
20191220T09-08,299
20191220T08-08,298
20191220T07-08,284
20191220T06-08,264
20191220T05-08,249
20191220T04-08,240
20191220T03-08,240
20191220T02-08,242
20191220T01-08,251
20191220T00-08,262
20191219T23-08,276
20191219T22-08,291
20191219T21-08,300
20191219T20-08,303
20191219T19-08,306
20191219T18-08,308
20191219T17-08,286
20191219T16-08,275
20191219T15-08,271
20191219T14-08,267
20191219T13-08,266
20191219T12-08,272
20191219T11-08,283
20191219T10-08,290
20191219T09-08,294
20191219T08-08,298
20191219T07-08,285
20191219T06-08,262
20191219T05-08,247
20191219T04-08,239
20191219T03-08,238
20191219T02-08,243
20191219T01-08,251
20191219T00-08,260
20191218T23-08,277
20191218T22-08,294
20191218T21-08,303
20191218T20-08,309
20191218T19-08,309
20191218T18-08,309
20191218T17-08,290
20191218T16-08,282
20191218T15-08,277
20191218T14-08,274
20191218T13-08,282
20191218T12-08,282
20191218T11-08,282
20191218T10-08,294
20191218T09-08,300
20191218T08-08,304
20191218T07-08,290
20191218T06-08,264
20191218T05-08,248
20191218T04-08,242
20191218T03-08,242
20191218T02-08,248
20191218T01-08,258
20191218T00-08,268
20191217T23-08,285
20191217T22-08,302
20191217T21-08,312
20191217T20-08,317
20191217T19-08,321
20191217T18-08,322
20191217T17-08,303
20191217T16-08,293
20191217T15-08,289
20191217T14-08,285
20191217T13-08,286
20191217T12-08,286
20191217T11-08,291
20191217T10-08,303
20191217T09-08,308
20191217T08-08,311
20191217T07-08,299
20191217T06-08,271
20191217T05-08,255
20191217T04-08,247
20191217T03-08,245
20191217T02-08,247
20191217T01-08,255
20191217T00-08,265
20191216T23-08,284
20191216T22-08,302
20191216T21-08,310
20191216T20-08,314
20191216T19-08,316
20191216T18-08,315
20191216T17-08,292
20191216T16-08,278
20191216T15-08,271
20191216T14-08,270
20191216T13-08,273
20191216T12-08,276
20191216T11-08,281
20191216T10-08,294
20191216T09-08,304
20191216T08-08,307
20191216T07-08,291
20191216T06-08,270
20191216T05-08,256
20191216T04-08,248
20191216T03-08,244
20191216T02-08,241
20191216T01-08,244
20191216T00-08,256
20191215T23-08,272
20191215T22-08,282
20191215T21-08,289
20191215T20-08,285
20191215T19-08,282
20191215T18-08,279
20191215T17-08,251
20191215T16-08,234
20191215T15-08,221
