,Demand1
20200106T07-05,454516
20200106T06-05,421371
20200106T05-05,402455
20200106T04-05,396541
20200106T03-05,396660
20200106T02-05,401839
20200106T01-05,412399
20200106T00-05,424143
20200105T23-05,438844
20200105T22-05,452010
20200105T21-05,459273
20200105T20-05,456561
20200105T19-05,446832
20200105T18-05,429695
20200105T17-05,413100
20200105T16-05,407323
20200105T15-05,409209
20200105T14-05,413491
20200105T13-05,418353
20200105T12-05,424097
20200105T11-05,430324
20200105T10-05,433989
20200105T09-05,430292
20200105T08-05,417304
20200105T07-05,402177
20200105T06-05,392921
20200105T05-05,388690
20200105T04-05,388662
20200105T03-05,391716
20200105T02-05,398100
20200105T01-05,407556
20200105T00-05,415300
20200104T23-05,430304
20200104T22-05,440574
20200104T21-05,443758
20200104T20-05,443121
20200104T19-05,440640
20200104T18-05,428158
20200104T17-05,416894
20200104T16-05,413271
20200104T15-05,416068
20200104T14-05,422581
20200104T13-05,428219
20200104T12-05,431786
20200104T11-05,431021
20200104T10-05,422545
20200104T09-05,407497
20200104T08-05,392624
20200104T07-05,377563
20200104T06-05,369597
20200104T05-05,366844
20200104T04-05,368276
20200104T03-05,373515
20200104T02-05,382465
20200104T01-05,395040
20200104T00-05,412766
20200103T23-05,427177
20200103T22-05,441078
20200103T21-05,451248
20200103T20-05,455384
20200103T19-05,454003
20200103T18-05,448206
20200103T17-05,442130
20200103T16-05,440233
20200103T15-05,443732
20200103T14-05,446497
20200103T13-05,449118
20200103T12-05,451331
20200103T11-05,451286
20200103T10-05,444785
20200103T09-05,434819
20200103T08-05,419376
20200103T07-05,398806
20200103T06-05,379678
20200103T05-05,371606
20200103T04-05,372852
20200103T03-05,378406
20200103T02-05,387393
20200103T01-05,402140
20200103T00-05,419599
20200102T23-05,436441
20200102T22-05,452652
20200102T21-05,465250
20200102T20-05,471182
20200102T19-05,469092
20200102T18-05,461074
20200102T17-05,449765
20200102T16-05,446336
20200102T15-05,445218
20200102T14-05,447554
20200102T13-05,450514
20200102T12-05,454087
20200102T11-05,456638
20200102T10-05,456096
20200102T09-05,451586
20200102T08-05,439456
20200102T07-05,416469
20200102T06-05,394069
20200102T05-05,383498
20200102T04-05,382924
20200102T03-05,385786
20200102T02-05,391270
20200102T01-05,399806
20200102T00-05,413699
20200101T23-05,427112
20200101T22-05,440312
20200101T21-05,447701
20200101T20-05,447009
20200101T19-05,441781
20200101T18-05,425523
20200101T17-05,408397
20200101T16-05,403230
20200101T15-05,404868
20200101T14-05,409106
20200101T13-05,412685
20200101T12-05,415032
20200101T11-05,416676
20200101T10-05,416274
20200101T09-05,413539
20200101T08-05,407207
20200101T07-05,398341
20200101T06-05,391596
20200101T05-05,390129
20200101T04-05,391545
20200101T03-05,395892
20200101T02-05,402463
20200101T01-05,409956
20200101T00-05,421880
20191231T23-05,432371
20191231T22-05,445777
20191231T21-05,456527
20191231T20-05,461778
20191231T19-05,460979
20191231T18-05,472679
20191231T17-05,439773
20191231T16-05,433996
20191231T15-05,437343
20191231T14-05,443064
20191231T13-05,452055
20191231T12-05,484662
20191231T11-05,461236
20191231T10-05,460036
20191231T09-05,452782
20191231T08-05,438301
20191231T07-05,417893
20191231T06-05,399395
20191231T05-05,390720
20191231T04-05,389635
20191231T03-05,392580
20191231T02-05,400293
20191231T01-05,395035
20191231T00-05,430205
20191230T23-05,446807
20191230T22-05,461626
20191230T21-05,470847
20191230T20-05,471403
20191230T19-05,466103
20191230T18-05,453917
20191230T17-05,464990
20191230T16-05,442669
20191230T15-05,444067
20191230T14-05,448471
20191230T13-05,452307
20191230T12-05,454531
20191230T11-05,452990
20191230T10-05,446212
20191230T09-05,432295
20191230T08-05,413796
20191230T07-05,390992
20191230T06-05,372062
20191230T05-05,364067
20191230T04-05,362697
20191230T03-05,366392
20191230T02-05,373337
20191230T01-05,385888
20191230T00-05,401976
20191229T23-05,418476
20191229T22-05,431774
20191229T21-05,441222
20191229T20-05,441932
20191229T19-05,437355
20191229T18-05,426821
20191229T17-05,415282
20191229T16-05,410784
20191229T15-05,410764
20191229T14-05,412120
20191229T13-05,412015
20191229T12-05,408818
20191229T11-05,403875
20191229T10-05,395150
20191229T09-05,381485
20191229T08-05,369500
20191229T07-05,360389
20191229T06-05,356443
20191229T05-05,355113
20191229T04-05,357979
20191229T03-05,363613
20191229T02-05,372970
20191229T01-05,382177
20191229T00-05,398067
20191228T23-05,413597
20191228T22-05,425674
20191228T21-05,434426
20191228T20-05,434633
20191228T19-05,430578
20191228T18-05,420370
20191228T17-05,408135
20191228T16-05,405038
20191228T15-05,406165
20191228T14-05,408769
20191228T13-05,412726
20191228T12-05,414740
20191228T11-05,412399
20191228T10-05,404219
20191228T09-05,392154
20191228T08-05,378776
20191228T07-05,367370
20191228T06-05,359750
20191228T05-05,358133
20191228T04-05,359681
20191228T03-05,365790
20191228T02-05,375448
20191228T01-05,393464
20191228T00-05,406022
20191227T23-05,419293
20191227T22-05,434721
20191227T21-05,447397
20191227T20-05,449662
20191227T19-05,447161
20191227T18-05,437951
20191227T17-05,428374
20191227T16-05,426591
20191227T15-05,429611
20191227T14-05,433359
20191227T13-05,437786
20191227T12-05,441100
20191227T11-05,441068
20191227T10-05,434941
20191227T09-05,423369
20191227T08-05,408135
20191227T07-05,389697
20191227T06-05,373596
20191227T05-05,365976
20191227T04-05,365474
20191227T03-05,371208
20191227T02-05,380464
20191227T01-05,393746
20191227T00-05,409526
20191226T23-05,427256
20191226T22-05,442625
20191226T21-05,452036
20191226T20-05,453727
20191226T19-05,450134
20191226T18-05,439353
20191226T17-05,427448
20191226T16-05,423976
20191226T15-05,425878
20191226T14-05,429006
20191226T13-05,432634
20191226T12-05,436130
20191226T11-05,436594
20191226T10-05,434727
20191226T09-05,426835
20191226T08-05,412054
20191226T07-05,391157
20191226T06-05,371844
20191226T05-05,361313
20191226T04-05,358683
20191226T03-05,361044
20191226T02-05,367240
20191226T01-05,376575
20191226T00-05,388124
20191225T23-05,399063
20191225T22-05,407209
20191225T21-05,410355
20191225T20-05,407651
20191225T19-05,401461
20191225T18-05,391484
20191225T17-05,382392
20191225T16-05,381271
20191225T15-05,384154
20191225T14-05,388222
20191225T13-05,394455
20191225T12-05,401222
20191225T11-05,406224
20191225T10-05,409492
20191225T09-05,406275
20191225T08-05,394516
20191225T07-05,381289
20191225T06-05,371942
20191225T05-05,367678
20191225T04-05,367360
20191225T03-05,370553
20191225T02-05,376900
20191225T01-05,383797
20191225T00-05,396393
20191224T23-05,406905
20191224T22-05,414106
20191224T21-05,420257
20191224T20-05,422289
20191224T19-05,421886
20191224T18-05,415214
20191224T17-05,405784
20191224T16-05,403141
20191224T15-05,405261
20191224T14-05,411030
20191224T13-05,419324
20191224T12-05,428625
20191224T11-05,436141
20191224T10-05,437935
20191224T09-05,431260
20191224T08-05,416867
20191224T07-05,399397
20191224T06-05,384858
20191224T05-05,378394
20191224T04-05,378290
20191224T03-05,382748
20191224T02-05,392628
20191224T01-05,406625
20191224T00-05,423483
20191223T23-05,441111
20191223T22-05,454664
20191223T21-05,462529
20191223T20-05,463167
20191223T19-05,458612
20191223T18-05,447159
20191223T17-05,434885
20191223T16-05,432007
20191223T15-05,435410
20191223T14-05,441358
20191223T13-05,450268
20191223T12-05,460525
20191223T11-05,467914
20191223T10-05,471402
20191223T09-05,465543
20191223T08-05,449631
20191223T07-05,425202
20191223T06-05,404211
20191223T05-05,393816
20191223T04-05,390692
20191223T03-05,393885
20191223T02-05,400872
20191223T01-05,413392
20191223T00-05,429259
20191222T23-05,445897
20191222T22-05,457953
20191222T21-05,464319
20191222T20-05,462523
20191222T19-05,455689
20191222T18-05,442895
20191222T17-05,426518
20191222T16-05,421610
20191222T15-05,423355
20191222T14-05,428347
20191222T13-05,434372
20191222T12-05,441062
20191222T11-05,450926
20191222T10-05,448142
20191222T09-05,448718
20191222T08-05,428753
20191222T07-05,421929
20191222T06-05,405665
20191222T05-05,402636
20191222T04-05,402505
20191222T03-05,411429
20191222T02-05,418009
20191222T01-05,428773
20191222T00-05,443654
20191221T23-05,457611
20191221T22-05,467019
20191221T21-05,472838
20191221T20-05,470928
20191221T19-05,465313
20191221T18-05,457277
20191221T17-05,437858
20191221T16-05,439175
20191221T15-05,437283
20191221T14-05,447963
20191221T13-05,452030
20191221T12-05,464273
20191221T11-05,469845
20191221T10-05,464880
20191221T09-05,454927
20191221T08-05,440215
20191221T07-05,431640
20191221T06-05,415632
20191221T05-05,412524
20191221T04-05,413724
20191221T03-05,419104
20191221T02-05,429634
20191221T01-05,444002
20191221T00-05,461238
20191220T23-05,479314
20191220T22-05,492721
20191220T21-05,500628
20191220T20-05,501023
20191220T19-05,497092
20191220T18-05,484593
20191220T17-05,468172
20191220T16-05,463348
20191220T15-05,464337
20191220T14-05,471139
20191220T13-05,480953
20191220T12-05,494526
20191220T11-05,510490
20191220T10-05,523951
20191220T09-05,530272
20191220T08-05,522775
20191220T07-05,498495
20191220T06-05,471421
20191220T05-05,458925
20191220T04-05,455183
20191220T03-05,458130
20191220T02-05,464664
20191220T01-05,476241
20191220T00-05,492859
20191219T23-05,513152
20191219T22-05,528269
20191219T21-05,505731
20191219T20-05,504667
20191219T19-05,494981
20191219T18-05,501101
20191219T17-05,481238
20191219T16-05,474715
20191219T15-05,478790
20191219T14-05,485365
20191219T13-05,497079
20191219T12-05,513429
20191219T11-05,532656
20191219T10-05,548229
20191219T09-05,556791
20191219T08-05,549582
20191219T07-05,522889
20191219T06-05,491899
20191219T05-05,475276
20191219T04-05,470518
20191219T03-05,470721
20191219T02-05,476672
20191219T01-05,489062
20191219T00-05,505558
20191218T23-05,525642
20191218T22-05,540760
20191218T21-05,546560
20191218T20-05,542598
20191218T19-05,529505
20191218T18-05,507861
20191218T17-05,486823
20191218T16-05,480570
20191218T15-05,483677
20191218T14-05,490908
20191218T13-05,500247
20191218T12-05,512151
20191218T11-05,525504
20191218T10-05,536066
20191218T09-05,539543
20191218T08-05,529101
20191218T07-05,498918
20191218T06-05,467978
20191218T05-05,451206
20191218T04-05,445960
20191218T03-05,447121
20191218T02-05,454247
20191218T01-05,463682
20191218T00-05,480914
20191217T23-05,501442
20191217T22-05,518304
20191217T21-05,526916
20191217T20-05,525940
20191217T19-05,517949
20191217T18-05,503066
20191217T17-05,488332
20191217T16-05,483634
20191217T15-05,486146
20191217T14-05,490758
20191217T13-05,496188
20191217T12-05,502139
20191217T11-05,503383
20191217T10-05,501988
20191217T09-05,492815
20191217T08-05,476834
