,Demand1
20191114T09-07,2151
20191114T08-07,2107
20191114T07-07,2173
20191114T06-07,2332
20191114T05-07,2209
20191114T04-07,2171
20191114T03-07,2157
20191114T02-07,2155
20191114T01-07,2180
20191114T00-07,2203
20191113T23-07,2289
20191113T22-07,2377
20191113T21-07,2451
20191113T20-07,2476
20191113T19-07,2513
20191113T18-07,2499
20191113T17-07,2360
20191113T16-07,2291
20191113T15-07,2254
20191113T14-07,2237
20191113T13-07,2256
20191113T12-07,2276
20191113T11-07,2312
20191113T10-07,2357
20191113T09-07,2388
20191113T08-07,2419
20191113T07-07,2398
20191113T06-07,2260
20191113T05-07,2134
20191113T04-07,2113
20191113T03-07,2141
20191113T02-07,2137
20191113T01-07,2111
20191113T00-07,2160
20191112T23-07,2222
20191112T22-07,2371
20191112T21-07,2121
20191112T20-07,2053
20191112T19-07,2181
20191112T18-07,2032
20191112T17-07,2010
20191112T16-07,1964
20191112T15-07,1934
20191112T14-07,1970
20191112T13-07,2019
20191112T12-07,2009
20191112T11-07,2074
20191112T10-07,2114
20191112T09-07,2031
20191112T08-07,2124
20191112T07-07,2123
20191112T06-07,2053
20191112T05-07,1908
20191112T04-07,1864
20191112T03-07,1873
20191112T02-07,1797
20191112T01-07,1844
20191112T00-07,1910
20191111T23-07,1968
20191111T22-07,2093
20191111T21-07,2179
20191111T20-07,2197
20191111T19-07,2213
20191111T18-07,2238
20191111T17-07,2086
20191111T16-07,1984
20191111T15-07,1958
20191111T14-07,1973
20191111T13-07,1999
20191111T12-07,2027
20191111T11-07,2064
20191111T10-07,2099
20191111T09-07,2116
20191111T08-07,2126
20191111T07-07,2062
20191111T06-07,1933
20191111T05-07,1821
20191111T04-07,1761
20191111T03-07,1727
20191111T02-07,1710
20191111T01-07,1715
20191111T00-07,1736
20191110T23-07,1798
20191110T22-07,1855
20191110T21-07,1936
20191110T20-07,1985
20191110T19-07,1997
20191110T18-07,2030
20191110T17-07,1851
20191110T16-07,1761
20191110T15-07,1733
20191110T14-07,1734
20191110T13-07,1732
20191110T12-07,1733
20191110T11-07,1738
20191110T10-07,1754
20191110T09-07,1711
20191110T08-07,1668
20191110T07-07,1591
20191110T06-07,1526
20191110T05-07,1487
20191110T04-07,1469
20191110T03-07,1493
20191110T02-07,1475
20191110T01-07,1492
20191110T00-07,1545
20191109T23-07,1569
20191109T22-07,1608
20191109T21-07,1703
20191109T20-07,2157
20191109T19-07,2188
20191109T18-07,2219
20191109T17-07,2086
20191109T16-07,2037
20191109T15-07,2023
20191109T14-07,2019
20191109T13-07,2059
20191109T12-07,2095
20191109T11-07,2128
20191109T10-07,2162
20191109T09-07,2184
20191109T08-07,2162
20191109T07-07,2124
20191109T06-07,2049
20191109T05-07,2005
20191109T04-07,1984
20191109T03-07,1980
20191109T02-07,1980
20191109T01-07,1992
20191109T00-07,2040
20191108T23-07,2094
20191108T22-07,2183
20191108T21-07,2230
20191108T20-07,2251
20191108T19-07,2267
20191108T18-07,2329
20191108T17-07,2252
20191108T16-07,2188
20191108T15-07,2170
20191108T14-07,2178
20191108T13-07,2223
20191108T12-07,2258
20191108T11-07,2302
20191108T10-07,2338
20191108T09-07,2400
20191108T08-07,2439
20191108T07-07,2426
20191108T06-07,2287
20191108T05-07,2160
20191108T04-07,2083
20191108T03-07,2145
20191108T02-07,2151
20191108T01-07,2178
20191108T00-07,2209
20191107T23-07,2274
20191107T22-07,2403
20191107T21-07,2458
20191107T20-07,2483
20191107T19-07,2466
20191107T18-07,2469
20191107T17-07,2339
20191107T16-07,2272
20191107T15-07,2267
20191107T14-07,2277
20191107T13-07,2282
20191107T12-07,2344
20191107T11-07,2422
20191107T10-07,2510
20191107T09-07,2566
20191107T08-07,2586
20191107T07-07,2567
20191107T06-07,2430
20191107T05-07,2281
20191107T04-07,2237
20191107T03-07,2223
20191107T02-07,2219
20191107T01-07,2247
20191107T00-07,2270
20191106T23-07,2349
20191106T22-07,2450
20191106T21-07,2535
20191106T20-07,2587
20191106T19-07,2607
20191106T18-07,2612
20191106T17-07,2506
20191106T16-07,2439
20191106T15-07,2414
20191106T14-07,2395
20191106T13-07,2402
20191106T12-07,2414
20191106T11-07,2446
20191106T10-07,2472
20191106T09-07,2492
20191106T08-07,2495
20191106T07-07,2441
20191106T06-07,2298
20191106T05-07,2157
20191106T04-07,2109
20191106T03-07,2095
20191106T02-07,2100
20191106T01-07,2113
20191106T00-07,2148
20191105T23-07,2209
20191105T22-07,2293
20191105T21-07,2359
20191105T20-07,2416
20191105T19-07,2445
20191105T18-07,2425
20191105T17-07,2280
20191105T16-07,2210
20191105T15-07,2165
20191105T14-07,2226
20191105T13-07,2293
20191105T12-07,2305
20191105T11-07,2317
20191105T10-07,2344
20191105T09-07,2390
20191105T08-07,2428
20191105T07-07,2383
20191105T06-07,2258
20191105T05-07,2158
20191105T04-07,2129
20191105T03-07,2110
20191105T02-07,2109
20191105T01-07,2112
20191105T00-07,2160
20191104T23-07,2230
20191104T22-07,2313
20191104T21-07,2408
20191104T20-07,2455
20191104T19-07,2494
20191104T18-07,2516
20191104T17-07,2390
