,coal,natural gas,other,hydro
20191113T06Z,425,568,5,0
20191113T05Z,424,634,5,0
20191113T04Z,427,558,4,0
20191113T03Z,429,563,5,0
20191113T02Z,385,525,5,0
20191113T01Z,378,527,5,0
20191113T00Z,376,515,5,0
20191112T23Z,370,338,5,0
20191112T22Z,351,248,4,0
20191112T21Z,354,116,5,0
20191112T20Z,360,106,5,0
20191112T19Z,365,97,4,0
20191112T18Z,369,98,5,0
20191112T17Z,371,104,5,0
20191112T16Z,362,117,4,0
20191112T15Z,331,102,5,0
20191112T14Z,332,62,5,0
20191112T13Z,326,6,5,0
20191112T12Z,332,-2,4,0
20191112T11Z,291,-3,5,0
20191112T10Z,256,-2,5,0
20191112T09Z,257,-2,5,0
20191112T08Z,260,-2,5,0
20191112T07Z,259,-2,5,0
20191112T06Z,248,-2,5,0
20191112T05Z,243,-2,5,0
20191112T04Z,243,-2,4,0
20191112T03Z,214,-2,5,0
20191112T02Z,216,-2,5,0
20191112T01Z,210,-2,5,0
20191112T00Z,252,-2,5,0
20191111T23Z,316,-2,5,0
20191111T22Z,312,-2,4,0
20191111T21Z,296,-2,5,0
20191111T20Z,244,-2,5,0
20191111T19Z,262,-2,5,0
20191111T18Z,211,50,5,0
20191111T17Z,184,80,5,0
20191111T16Z,187,95,4,0
20191111T15Z,191,96,5,0
20191111T14Z,187,89,5,0
20191111T13Z,199,64,5,0
20191111T12Z,225,22,4,0
20191111T11Z,220,-2,5,0
20191111T10Z,205,-2,5,0
20191111T09Z,180,-2,5,0
20191111T08Z,186,-2,5,0
20191111T07Z,200,51,4,0
20191111T06Z,187,66,5,0
20191111T05Z,210,108,5,0
20191111T04Z,226,130,5,0
20191111T03Z,223,171,5,0
20191111T02Z,215,99,4,0
20191111T01Z,212,99,5,0
20191111T00Z,201,98,5,0
20191110T23Z,142,74,5,0
20191110T22Z,145,74,4,0
20191110T21Z,142,74,5,0
20191110T20Z,144,73,5,0
20191110T19Z,143,74,5,0
20191110T18Z,151,73,4,0
20191110T17Z,205,97,5,0
20191110T16Z,211,164,5,0
20191110T15Z,214,202,5,0
20191110T14Z,214,229,5,0
20191110T13Z,215,231,4,0
20191110T12Z,215,229,5,0
20191110T11Z,213,201,5,0
20191110T10Z,211,139,4,0
20191110T09Z,209,137,5,0
20191110T08Z,157,181,5,0
20191110T07Z,130,254,5,0
20191110T06Z,118,254,5,0
20191110T05Z,83,263,5,0
20191110T04Z,13,291,5,0
20191110T03Z,-13,292,4,0
20191110T02Z,-15,298,5,0
20191110T01Z,-12,308,5,0
20191110T00Z,-14,268,5,0
20191109T23Z,3,89,5,0
20191109T22Z,185,74,4,0
20191109T21Z,181,73,5,0
20191109T20Z,182,74,5,0
20191109T19Z,185,85,5,0
20191109T18Z,197,98,4,0
20191109T17Z,208,130,4,0
20191109T16Z,211,183,4,0
20191109T15Z,213,185,4,0
20191109T14Z,216,201,4,0
20191109T13Z,205,213,4,0
20191109T12Z,189,220,4,0
20191109T11Z,217,154,4,0
20191109T10Z,210,117,4,0
20191109T09Z,183,108,4,0
20191109T08Z,182,107,5,0
20191109T07Z,187,110,5,0
20191109T06Z,202,117,5,0
20191109T05Z,198,116,5,0
20191109T04Z,189,116,4,0
20191109T03Z,215,114,5,0
20191109T02Z,215,114,5,0
20191109T01Z,214,114,5,0
20191109T00Z,215,113,4,0
20191108T23Z,208,111,5,0
20191108T22Z,186,109,5,0
20191108T21Z,174,109,5,0
20191108T20Z,185,104,4,0
20191108T19Z,178,81,5,0
20191108T18Z,184,71,5,0
20191108T17Z,195,69,5,0
20191108T16Z,195,72,5,0
20191108T15Z,197,66,4,0
20191108T14Z,194,68,5,0
20191108T13Z,184,79,5,0
20191108T12Z,177,64,5,0
20191108T11Z,179,64,4,0
20191108T10Z,176,64,5,0
20191108T09Z,178,63,5,0
20191108T08Z,176,64,5,0
20191108T07Z,184,64,4,0
20191108T06Z,186,66,5,0
20191108T05Z,193,70,5,0
20191108T04Z,211,92,5,0
20191108T03Z,215,104,5,0
20191108T02Z,214,103,4,0
20191108T01Z,213,104,5,0
20191108T00Z,214,104,5,0
20191107T23Z,215,81,5,0
20191107T22Z,211,74,4,0
20191107T21Z,215,73,5,0
20191107T20Z,211,74,5,0
20191107T19Z,213,73,5,0
20191107T18Z,214,74,4,0
20191107T17Z,210,74,5,0
20191107T16Z,187,73,5,0
20191107T15Z,186,74,5,0
20191107T14Z,206,73,4,0
20191107T13Z,214,75,5,0
20191107T12Z,207,98,5,0
20191107T11Z,175,64,4,0
20191107T10Z,178,63,5,0
20191107T09Z,176,64,5,0
20191107T08Z,187,64,5,0
20191107T07Z,214,63,5,0
20191107T06Z,214,64,5,0
20191107T05Z,215,64,4,0
20191107T04Z,217,75,5,0
20191107T03Z,211,109,5,0
20191107T02Z,215,109,5,0
20191107T01Z,212,108,5,0
20191107T00Z,216,81,4,0
20191106T23Z,213,73,5,0
20191106T22Z,210,74,5,0
20191106T21Z,213,73,4,0
20191106T20Z,213,74,5,0
20191106T19Z,211,73,5,0
20191106T18Z,210,74,4,0
20191106T17Z,209,73,4,0
20191106T16Z,208,74,4,0
20191106T15Z,208,73,5,0
20191106T14Z,213,74,5,0
20191106T13Z,215,78,4,0
20191106T12Z,193,77,5,0
20191106T11Z,146,64,5,0
20191106T10Z,135,64,5,0
20191106T09Z,136,63,5,0
20191106T08Z,136,64,5,0
20191106T07Z,153,63,4,0
20191106T06Z,186,92,5,0
20191106T05Z,188,129,5,0
20191106T04Z,203,134,5,0
20191106T03Z,212,166,5,0
20191106T02Z,213,165,5,0
20191106T01Z,211,153,4,0
