,coal,natural gas,wind
20191113T06Z,2255,1359.0,330
20191113T05Z,2333,1334.0,336
20191113T04Z,2374,1518.0,363
20191113T03Z,2356,1593.0,302
20191113T02Z,2377,1604.0,295
20191113T01Z,2317,1517.0,284
20191113T00Z,2357,1623.0,153
20191112T23Z,2370,1444.0,105
20191112T22Z,2363,1281.0,98
20191112T21Z,2355,1252.0,57
20191112T20Z,2363,1340.0,33
20191112T19Z,2350,1415.0,19
20191112T18Z,2362,1640.0,4
20191112T17Z,2355,1588.0,1
20191112T16Z,2362,1586.0,3
20191112T15Z,2355,1601.0,11
20191112T14Z,2368,1605.0,23
20191112T13Z,2366,1616.0,26
20191112T12Z,2368,1554.0,38
20191112T11Z,2353,1473.0,62
20191112T10Z,2357,1410.0,92
20191112T09Z,2357,1404.0,110
20191112T08Z,2340,1428.0,118
20191112T07Z,2304,1395.0,188
20191112T06Z,2325,1382.0,212
20191112T05Z,2259,1377.0,213
20191112T04Z,2345,1530.0,198
20191112T03Z,2347,1595.0,239
20191112T02Z,2359,1554.0,315
20191112T01Z,2325,1478.0,352
20191112T00Z,2360,1554.0,323
20191111T23Z,2294,1389.0,383
20191111T22Z,2294,1391.0,402
20191111T21Z,2352,1369.0,403
20191111T20Z,2354,1319.0,406
20191111T19Z,2345,1322.0,406
20191111T18Z,2248,1403.0,418
20191111T17Z,2215,1344.0,406
20191111T16Z,2119,1186.0,383
20191111T15Z,2010,1082.0,378
20191111T14Z,2088,932.0,368
20191111T13Z,1907,768.0,371
20191111T12Z,1558,762.0,386
20191111T11Z,1115,745.0,407
20191111T10Z,982,764.0,406
20191111T09Z,950,746.0,396
20191111T08Z,1083,698.0,351
20191111T07Z,1298,756.0,229
20191111T06Z,1313,799.0,221
20191111T05Z,1395,864.0,234
20191111T04Z,1704,944.0,297
20191111T03Z,2003,933.0,295
20191111T02Z,1976,964.0,336
20191111T01Z,2004,833.0,326
20191111T00Z,1961,925.0,224
20191110T23Z,1854,950.0,163
20191110T22Z,1855,948.0,110
20191110T21Z,1961,951.0,75
20191110T20Z,2050,953.0,61
20191110T19Z,2001,1035.0,67
20191110T18Z,2032,1072.0,50
20191110T17Z,2015,1077.0,68
20191110T16Z,2002,1068.0,124
20191110T15Z,1932,1073.0,158
20191110T14Z,1806,1038.0,180
20191110T13Z,1724,979.0,199
20191110T12Z,1577,836.0,228
20191110T11Z,1448,768.0,178
20191110T10Z,1270,869.0,153
20191110T09Z,1128,810.0,268
20191110T08Z,1126,761.0,317
20191110T07Z,1232,865.0,305
20191110T06Z,1464,839.0,374
20191110T05Z,1543,837.0,393
20191110T04Z,1755,945.0,401
20191110T03Z,1887,959.0,396
20191110T02Z,1905,959.0,364
20191110T01Z,1907,962.0,252
20191110T00Z,2031,974.0,160
20191109T23Z,2069,971.0,97
20191109T22Z,2097,970.0,72
20191109T21Z,2087,973.0,72
20191109T20Z,2146,978.0,45
20191109T19Z,2111,984.0,30
20191109T18Z,2128,988.0,14
20191109T17Z,2097,992.0,11
