,natural gas,other,solar,hydro,wind
20191113T08Z,296,112,0,271,15
20191113T07Z,331,109,0,295,6
20191113T06Z,332,117,0,363,1
20191113T05Z,332,128,0,411,0
20191113T04Z,346,126,0,437,1
20191113T03Z,355,126,0,474,0
20191113T02Z,353,127,0,472,0
20191113T01Z,341,125,0,400,3
20191113T00Z,259,125,1,365,14
20191112T23Z,254,125,8,385,34
20191112T22Z,254,125,8,394,34
20191112T21Z,257,125,3,375,26
20191112T20Z,258,123,2,411,36
20191112T19Z,257,125,1,409,24
20191112T18Z,257,127,1,402,33
20191112T17Z,257,126,0,402,32
20191112T16Z,258,128,1,398,55
20191112T15Z,251,125,0,397,76
20191112T14Z,246,124,0,302,81
20191112T13Z,244,125,0,238,80
20191112T12Z,247,123,0,216,59
20191112T11Z,249,130,0,217,55
20191112T10Z,250,122,0,218,51
20191112T09Z,250,125,0,242,39
20191112T08Z,250,134,0,282,36
20191112T07Z,249,134,0,311,37
20191112T06Z,272,136,0,440,28
20191112T05Z,339,133,0,462,17
20191112T04Z,362,126,0,461,15
20191112T03Z,359,124,0,487,6
20191112T02Z,359,125,0,494,1
20191112T01Z,342,122,0,415,0
20191112T00Z,281,126,2,408,0
20191111T23Z,269,123,8,400,0
20191111T22Z,257,123,7,395,6
20191111T21Z,260,120,8,379,9
20191111T20Z,260,126,7,374,7
20191111T19Z,304,126,14,406,14
20191111T18Z,338,125,13,432,21
20191111T17Z,341,122,6,437,25
20191111T16Z,340,125,1,423,32
20191111T15Z,341,124,0,347,39
20191111T14Z,335,119,0,262,49
20191111T13Z,329,114,0,198,63
20191111T12Z,260,117,0,151,72
20191111T11Z,249,114,0,153,48
20191111T10Z,249,118,0,157,53
20191111T09Z,247,113,0,185,69
20191111T08Z,247,116,0,268,62
20191111T07Z,245,114,0,361,35
20191111T06Z,244,116,0,399,12
20191111T05Z,246,115,0,417,3
20191111T04Z,245,118,0,477,8
20191111T03Z,243,118,0,496,6
20191111T02Z,244,119,0,497,5
20191111T01Z,245,115,0,453,6
20191111T00Z,243,123,5,446,6
20191110T23Z,242,119,13,447,9
20191110T22Z,242,120,4,421,4
20191110T21Z,241,121,3,418,1
20191110T20Z,241,118,3,420,1
20191110T19Z,243,116,2,377,0
20191110T18Z,240,120,2,314,1
20191110T17Z,241,118,1,285,0
20191110T16Z,239,118,1,148,5
20191110T15Z,240,120,0,119,29
20191110T14Z,240,123,0,123,58
20191110T13Z,240,121,0,148,41
20191110T12Z,239,121,0,156,28
20191110T11Z,240,119,0,157,3
20191110T10Z,240,118,0,157,7
20191110T09Z,241,119,0,149,7
20191110T08Z,242,116,0,159,24
20191110T07Z,241,120,0,227,18
20191110T06Z,240,117,0,339,23
20191110T05Z,246,116,0,354,46
20191110T04Z,344,121,0,369,32
20191110T03Z,345,119,0,381,53
20191110T02Z,350,119,0,453,53
20191110T01Z,338,118,0,439,10
20191110T00Z,270,117,2,433,0
20191109T23Z,241,118,1,411,1
20191109T22Z,239,117,3,387,8
20191109T21Z,237,117,4,335,20
20191109T20Z,240,118,5,333,23
20191109T19Z,242,114,3,342,30
20191109T18Z,243,119,3,415,47
20191109T17Z,242,114,0,429,45
20191109T16Z,241,116,0,416,24
20191109T15Z,241,119,0,297,30
20191109T14Z,241,117,0,238,37
20191109T13Z,242,116,0,161,21
20191109T12Z,240,117,0,159,34
20191109T11Z,241,118,0,160,37
20191109T10Z,241,113,0,161,29
20191109T09Z,241,112,0,194,30
20191109T08Z,240,113,0,325,29
20191109T07Z,240,112,0,385,29
20191109T06Z,241,113,0,365,29
20191109T05Z,241,115,0,445,33
20191109T04Z,242,115,0,420,47
20191109T03Z,243,118,0,419,36
20191109T02Z,243,116,0,423,9
20191109T01Z,241,120,0,345,6
20191109T00Z,195,119,2,321,1
20191108T23Z,231,119,4,324,1
20191108T22Z,238,118,8,322,1
20191108T21Z,238,123,10,323,10
20191108T20Z,240,119,10,323,9
20191108T19Z,243,123,7,322,12
20191108T18Z,245,121,9,356,19
20191108T17Z,245,116,7,366,27
20191108T16Z,256,118,5,391,34
20191108T15Z,257,121,0,367,24
20191108T14Z,248,121,0,388,26
20191108T13Z,246,121,0,282,37
20191108T12Z,246,117,0,230,20
20191108T11Z,247,119,0,204,9
20191108T10Z,245,118,0,210,8
20191108T09Z,249,119,0,222,5
20191108T08Z,247,117,0,332,6
20191108T07Z,245,121,0,481,5
20191108T06Z,249,114,0,442,3
20191108T05Z,249,117,0,472,1
20191108T04Z,248,118,0,425,0
20191108T03Z,246,121,0,465,0
20191108T02Z,245,116,0,452,0
20191108T01Z,243,121,0,410,0
20191108T00Z,242,120,3,376,0
20191107T23Z,241,118,5,287,0
20191107T22Z,242,118,6,294,0
20191107T21Z,242,117,8,316,0
20191107T20Z,244,117,9,376,1
20191107T19Z,246,122,11,386,3
20191107T18Z,263,130,13,352,5
20191107T17Z,335,127,12,388,8
20191107T16Z,340,129,4,375,13
20191107T15Z,339,132,0,351,4
20191107T14Z,336,129,0,395,1
20191107T13Z,336,130,0,302,2
20191107T12Z,330,125,0,219,7
20191107T11Z,249,128,0,210,16
20191107T10Z,247,127,0,210,24
20191107T09Z,251,128,0,212,23
20191107T08Z,248,126,0,268,28
20191107T07Z,249,127,0,276,23
20191107T06Z,250,124,0,311,45
20191107T05Z,324,128,0,477,35
20191107T04Z,332,126,0,477,24
20191107T03Z,333,127,0,450,30
20191107T02Z,331,126,0,425,19
20191107T01Z,327,126,1,380,9
20191107T00Z,326,128,6,355,10
20191106T23Z,323,132,15,347,4
20191106T22Z,325,127,14,367,3
20191106T21Z,326,126,13,378,0
20191106T20Z,327,125,13,356,4
20191106T19Z,329,124,14,365,14
20191106T18Z,335,125,15,403,40
20191106T17Z,357,126,16,411,34
20191106T16Z,358,128,5,423,18
20191106T15Z,350,126,1,438,11
20191106T14Z,325,124,0,440,7
20191106T13Z,268,122,0,241,14
20191106T12Z,249,124,0,217,13
20191106T11Z,252,124,0,211,23
20191106T10Z,252,127,0,207,21
20191106T09Z,252,122,0,206,14
20191106T08Z,252,125,0,207,7
20191106T07Z,251,122,0,275,1
20191106T06Z,253,127,0,374,2
20191106T05Z,294,128,0,445,0
20191106T04Z,344,124,0,474,0
20191106T03Z,355,126,0,479,0
20191106T02Z,348,127,0,448,3
20191106T01Z,323,125,0,411,5
20191106T00Z,317,127,6,420,6
20191105T23Z,316,128,15,370,11
20191105T22Z,316,126,14,367,13
20191105T21Z,319,127,13,368,11
20191105T20Z,322,125,12,380,10
20191105T19Z,336,124,14,393,11
20191105T18Z,354,127,16,400,18
20191105T17Z,359,124,13,400,30
20191105T16Z,356,128,4,397,35
20191105T15Z,343,126,0,440,33
20191105T14Z,318,127,0,386,26
20191105T13Z,255,132,0,293,25
20191105T12Z,254,128,0,194,21
20191105T11Z,255,127,0,201,25
20191105T10Z,256,127,0,198,29
20191105T09Z,255,123,0,199,32
20191105T08Z,256,126,0,230,33
20191105T07Z,257,123,0,308,35
20191105T06Z,258,123,0,491,28
20191105T05Z,276,122,0,477,28
20191105T04Z,354,126,0,538,10
20191105T03Z,351,122,0,521,4
20191105T02Z,349,128,0,527,1
20191105T01Z,344,123,0,368,2
20191105T00Z,324,125,7,360,4
20191104T23Z,318,128,12,403,7
20191104T22Z,319,127,13,393,8
20191104T21Z,320,129,12,398,8
20191104T20Z,321,131,11,396,7
20191104T19Z,326,126,14,370,15
20191104T18Z,331,134,12,351,11
20191104T17Z,353,131,9,365,14
20191104T16Z,355,135,3,390,11
20191104T15Z,355,131,0,371,10
20191104T14Z,352,130,0,362,24
20191104T13Z,258,132,0,273,7
20191104T12Z,246,132,0,183,14
20191104T11Z,247,130,0,134,15
20191104T10Z,246,125,0,127,28
20191104T09Z,245,124,0,132,13
20191104T08Z,244,127,0,225,13
20191104T07Z,243,128,0,225,1
20191104T06Z,244,123,0,334,5
20191104T05Z,242,122,0,372,0
20191104T04Z,262,125,0,440,1
20191104T03Z,264,125,0,463,2
20191104T02Z,265,129,0,476,0
20191104T01Z,264,127,0,393,0
20191104T00Z,263,129,4,322,1
20191103T23Z,263,126,10,321,0
20191103T22Z,263,127,12,321,3
20191103T21Z,264,129,9,319,4
20191103T20Z,247,127,11,319,1
20191103T19Z,246,125,11,316,1
20191103T18Z,267,128,12,320,2
20191103T17Z,266,128,10,323,1
20191103T16Z,279,127,3,388,3
20191103T15Z,286,127,0,410,0
20191103T14Z,270,130,0,310,3
20191103T13Z,270,127,0,216,2
20191103T12Z,271,127,0,164,0
20191103T11Z,271,123,0,161,0
20191103T10Z,247,10,0,66,0
20191103T09Z,297,238,0,256,0
20191103T08Z,279,122,0,160,0
20191103T07Z,370,123,0,204,0
20191103T06Z,373,122,0,304,0
20191103T05Z,373,119,0,465,0
20191103T04Z,370,121,0,492,0
20191103T03Z,368,132,0,488,0
20191103T02Z,366,140,0,494,0
20191103T01Z,360,136,0,490,0
20191103T00Z,359,136,7,399,0
20191102T23Z,358,133,14,328,0
20191102T22Z,356,131,14,362,1
20191102T21Z,359,132,13,371,0
20191102T20Z,362,132,11,425,1
20191102T19Z,368,132,14,501,1
20191102T18Z,370,129,7,515,3
20191102T17Z,373,132,6,516,12
20191102T16Z,374,129,4,513,21
20191102T15Z,358,133,0,558,32
20191102T14Z,280,130,0,342,41
