,solar,hydro,wind
20191113T08Z,0,201,10
20191113T07Z,0,250,156
20191113T06Z,0,300,203
20191113T05Z,0,350,416
20191113T04Z,0,304,1134
20191113T03Z,0,432,1010
20191113T02Z,0,270,1738
20191113T01Z,0,341,1476
20191113T00Z,0,600,2158
20191112T23Z,0,651,2128
20191112T22Z,0,584,2055
20191112T21Z,0,658,2752
20191112T20Z,0,588,2873
20191112T19Z,0,616,2754
20191112T18Z,0,702,5263
20191112T17Z,0,950,3300
20191112T16Z,0,1000,1197
20191112T15Z,0,714,968
20191112T14Z,0,330,552
20191112T13Z,0,506,-24
20191112T12Z,0,528,-100
20191112T11Z,0,475,-130
20191112T10Z,0,1092,-81
20191112T09Z,0,1325,-140
20191112T08Z,0,147,-20
20191112T07Z,0,245,-24
20191112T06Z,0,294,-28
20191112T05Z,0,343,-48
20191112T04Z,0,392,-27
20191112T03Z,0,441,-30
20191112T02Z,0,490,33
20191112T01Z,0,550,-12
20191112T00Z,0,600,39
20191111T23Z,0,650,14
20191111T22Z,0,700,-75
20191111T21Z,0,750,-48
20191111T20Z,0,800,-34
20191111T19Z,0,850,0
20191111T18Z,0,900,171
20191111T17Z,0,950,280
20191111T16Z,0,1000,567
20191111T15Z,0,1050,1276
20191111T14Z,0,1078,1587
20191111T13Z,0,1127,1800
20191111T12Z,0,1176,2175
20191111T11Z,0,1250,3198
20191111T10Z,0,1300,3051
20191111T09Z,0,1350,2856
20191111T08Z,0,147,555
20191111T07Z,0,245,534
20191111T06Z,0,294,441
20191111T05Z,0,343,376
20191111T04Z,0,350,756
20191111T03Z,0,441,1130
20191111T02Z,0,490,726
20191111T01Z,0,550,552
20191111T00Z,0,600,325
20191110T23Z,0,650,672
20191110T22Z,0,700,855
20191110T21Z,0,750,304
20191110T20Z,0,800,204
20191110T19Z,0,850,0
20191110T18Z,0,882,361
20191110T17Z,0,931,620
20191110T16Z,0,980,1449
20191110T15Z,0,1029,1870
20191110T14Z,0,1078,3036
20191110T13Z,0,1127,3216
20191110T12Z,0,1176,3250
20191110T11Z,0,950,4056
20191110T10Z,0,1040,4239
20191110T09Z,0,1026,4116
20191110T08Z,0,160,720
20191110T07Z,0,200,648
20191110T06Z,0,240,903
20191110T05Z,0,280,1048
20191110T04Z,0,320,783
20191110T03Z,0,351,560
20191110T02Z,0,410,1067
20191110T01Z,0,550,600
20191110T00Z,0,600,767
20191109T23Z,0,650,1218
20191109T22Z,0,700,1200
20191109T21Z,0,750,1072
20191109T20Z,0,800,1258
20191109T19Z,0,850,1278
20191109T18Z,0,900,4807
20191109T17Z,0,950,5460
20191109T16Z,0,1000,4956
20191109T15Z,0,1050,5368
20191109T14Z,0,1100,5290
20191109T13Z,0,1173,6048
20191109T12Z,0,1176,8775
