,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
20191218T00-07,349,1366,,0,30,5,0,0
20191217T23-07,346,1397,,0,31,4,0,0
20191217T22-07,342,1394,,0,30,62,0,0
20191217T21-07,350,1368,,0,30,128,0,0
20191217T20-07,362,1360,,0,31,142,0,0
20191217T19-07,347,1400,,0,30,146,0,0
20191217T18-07,347,1300,,0,30,166,0,0
20191217T17-07,233,1169,,0,31,264,0,0
20191217T16-07,148,708,,0,31,378,0,0
20191217T15-07,121,722,,0,31,411,0,0
20191217T14-07,98,691,,0,30,387,0,0
20191217T13-07,135,680,,0,30,390,0,0
20191217T12-07,123,672,,0,31,385,0,0
20191217T11-07,156,861,,0,30,384,0,0
20191217T10-07,266,1044,,0,28,309,0,0
20191217T09-07,342,1483,,0,30,152,0,0
20191217T08-07,357,1236,,0,31,76,0,0
20191217T07-07,361,1127,,0,29,76,0,0
20191217T06-07,337,902,,0,31,77,0,0
20191217T05-07,308,795,,0,30,84,0,0
20191217T04-07,296,783,,0,31,82,0,0
20191217T03-07,295,921,,0,31,77,0,0
20191217T02-07,241,1616,,0,30,70,0,0
20191217T01-07,156,1673,,0,31,69,0,0
20191217T00-07,153,1679,,0,30,64,0,0
20191216T23-07,277,1698,,0,28,144,0,0
20191216T22-07,358,1805,,0,30,168,0,0
20191216T21-07,358,1902,,0,31,170,0,0
20191216T20-07,354,1865,,0,31,172,0,0
20191216T19-07,312,1774,,0,30,162,0,0
20191216T18-07,314,1744,,0,31,161,0,0
20191216T17-07,207,1182,,0,30,241,0,0
20191216T16-07,98,812,,0,31,349,0,0
20191216T15-07,97,748,,0,29,355,0,0
20191216T14-07,106,748,,0,31,340,0,0
20191216T13-07,99,745,,0,30,313,0,0
20191216T12-07,68,814,,0,30,316,0,0
20191216T11-07,73,833,,0,31,324,0,0
20191216T10-07,185,1172,,0,30,227,0,0
20191216T09-07,250,1746,,0,31,89,0,0
20191216T08-07,236,1615,,0,31,12,0,0
20191216T07-07,296,1510,,0,32,6,0,0
20191216T06-07,349,1202,,0,30,10,0,0
20191216T05-07,299,923,,0,32,9,0,0
20191216T04-07,286,970,,0,31,9,0,0
20191216T03-07,282,822,,0,31,11,0,0
20191216T02-07,239,810,,0,31,12,0,0
20191216T01-07,1444,1448,,0,32,14,0,0
20191216T00-07,1458,1618,,0,31,14,0,0
20191215T23-07,1519,1641,,0,31,7,0,0
20191215T22-07,1566,1815,,0,31,51,0,0
20191215T21-07,1539,1866,,0,32,103,0,0
20191215T20-07,1506,1860,,0,30,111,0,0
20191215T19-07,1504,1905,,0,32,123,0,0
20191215T18-07,1359,1602,,0,31,145,0,0
20191215T17-07,1230,1128,,0,32,250,0,0
20191215T16-07,1100,742,,0,30,376,0,0
20191215T15-07,1095,706,,0,32,352,0,0
20191215T14-07,1093,714,,0,31,332,0,0
20191215T13-07,1093,684,,0,30,307,0,0
20191215T12-07,1174,703,,0,31,340,0,0
20191215T11-07,1224,752,,0,32,353,0,0
20191215T10-07,1267,872,,0,30,266,0,0
20191215T09-07,1342,1350,,0,30,141,0,0
20191215T08-07,1233,1484,,0,31,62,0,0
20191215T07-07,1164,1480,,0,32,57,0,0
20191215T06-07,1161,1453,,0,30,61,0,0
20191215T05-07,1171,1313,,0,32,46,0,0
20191215T04-07,1163,1169,,0,31,34,0,0
20191215T03-07,1164,1166,,0,32,40,0,0
20191215T02-07,1160,1164,,0,31,38,0,0
20191215T01-07,1163,1201,,0,31,52,0,0
20191215T00-07,1165,1416,,0,32,51,0,0
20191214T23-07,1161,1585,,0,30,61,0,0
20191214T22-07,1257,1541,,0,32,38,0,0
20191214T21-07,1432,1496,,0,31,58,0,0
20191214T20-07,1525,1460,,0,30,125,0,0
20191214T19-07,1509,1351,,0,31,143,0,0
20191214T18-07,1501,1480,,0,31,151,0,0
20191214T17-07,1350,1274,,0,31,213,0,0
