,natural gas,nuclear,other,solar,hydro,wind
20200106T00-08,901,1161,213,0,5756,1628
20200105T23-08,900,1162,210,0,6124,1746
20200105T22-08,903,1161,205,0,6809,1811
20200105T21-08,900,1162,207,0,7133,1938
20200105T20-08,902,1161,207,0,7724,2116
20200105T19-08,902,1162,206,0,7748,2366
20200105T18-08,902,1159,204,0,7588,2538
20200105T17-08,898,1159,203,0,6932,2643
20200105T16-08,898,1156,208,1,6549,2551
20200105T15-08,897,1155,205,1,6535,2472
20200105T14-08,898,1159,205,0,6548,1721
20200105T13-08,898,1163,206,1,6941,1138
20200105T12-08,896,1165,208,1,7173,715
20200105T11-08,898,1164,201,1,7931,282
20200105T10-08,946,1164,205,1,7788,255
20200105T09-08,947,1165,204,0,7377,266
20200105T08-08,947,1164,207,0,6937,231
20200105T07-08,902,1165,204,0,6390,159
20200105T06-08,898,1163,203,0,6045,116
20200105T05-08,900,1165,202,0,5837,130
20200105T04-08,900,1163,207,0,5697,151
20200105T03-08,899,1162,204,0,5632,221
20200105T02-08,900,1162,204,0,5734,315
20200105T01-08,899,1162,209,0,5865,513
20200105T00-08,902,1163,212,0,6812,564
20200104T23-08,902,1162,219,0,7428,544
20200104T22-08,900,1161,227,0,7813,548
20200104T21-08,900,1160,221,0,8260,636
20200104T20-08,900,1159,226,0,8883,793
20200104T19-08,901,1161,227,0,9137,974
20200104T18-08,900,1162,227,0,9143,1035
20200104T17-08,899,1162,224,0,8705,1005
20200104T16-08,896,1159,218,1,7726,1233
20200104T15-08,797,1156,220,2,7137,1658
20200104T14-08,703,1155,224,2,6697,1993
20200104T13-08,695,1158,221,2,7103,1835
20200104T12-08,674,1157,222,2,7709,1719
20200104T11-08,679,1159,221,2,7605,2040
20200104T10-08,708,1162,221,2,8314,2127
20200104T09-08,689,1161,223,0,7863,2527
20200104T08-08,894,1157,226,0,7006,2636
20200104T07-08,897,1154,222,0,6594,2553
20200104T06-08,827,1152,215,0,5938,2596
20200104T05-08,823,1151,213,0,5463,2604
20200104T04-08,822,1155,210,0,5267,2602
20200104T03-08,819,1158,213,0,4930,2430
20200104T02-08,819,1160,211,0,5050,1988
20200104T01-08,819,1159,212,0,5996,1563
20200104T00-08,887,1159,209,0,6281,1033
20200103T23-08,890,1161,217,0,6790,854
20200103T22-08,887,1159,219,0,7840,677
20200103T21-08,880,1161,220,0,8432,561
20200103T20-08,883,1159,220,0,8834,480
20200103T19-08,886,1159,218,0,9197,442
20200103T18-08,887,1160,226,0,9243,376
20200103T17-08,886,1159,226,0,8606,332
20200103T16-08,886,1158,223,0,8003,319
20200103T15-08,888,1158,214,1,7285,338
20200103T14-08,888,1157,218,1,7217,582
20200103T13-08,888,1154,207,1,7267,771
20200103T12-08,891,1155,224,1,7227,937
20200103T11-08,935,1157,219,1,7286,1043
20200103T10-08,942,1160,223,1,7594,1102
20200103T09-08,939,1160,223,0,7819,1095
20200103T08-08,940,1158,222,0,7687,1134
20200103T07-08,892,1160,222,0,7376,1120
20200103T06-08,889,1158,215,0,5775,1136
20200103T05-08,889,1157,206,0,5219,1016
20200103T04-08,888,1159,210,0,5113,882
20200103T03-08,888,1161,207,0,5223,791
20200103T02-08,890,1160,206,0,5206,866
20200103T01-08,889,1161,209,0,5286,896
20200103T00-08,888,1161,210,0,5392,777
20200102T23-08,896,1161,206,0,6256,604
20200102T22-08,996,1160,224,0,7095,478
20200102T21-08,1000,1160,220,0,7953,315
20200102T20-08,999,1160,218,0,8386,230
20200102T19-08,1002,1160,219,0,8779,212
20200102T18-08,1003,1163,218,0,8909,322
20200102T17-08,998,1163,221,0,8329,445
20200102T16-08,900,1162,220,1,7531,399
20200102T15-08,896,1162,223,1,7462,463
20200102T14-08,894,1161,222,1,7090,789
20200102T13-08,895,1162,219,1,7355,924
20200102T12-08,897,1163,223,1,7483,1106
20200102T11-08,896,1165,224,2,7145,1778
20200102T10-08,897,1165,217,1,7026,2024
20200102T09-08,897,1165,213,1,7142,2121
20200102T08-08,900,1166,226,0,6830,2401
20200102T07-08,899,1165,219,0,6446,2396
20200102T06-08,897,1166,203,0,5260,2453
20200102T05-08,899,1165,202,0,4742,2438
