,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
20200106T00-08,656,9712,2276.0,90.0,787,5,207,650
20200105T23-08,656,10008,2274.0,90.0,790,5,254,620
20200105T22-08,656,10519,2275.0,90.0,785,5,519,604
20200105T21-08,655,10532,2277.0,90.0,788,5,626,656
20200105T20-08,656,10635,2274.0,90.0,798,5,715,881
20200105T19-08,657,10380,2274.0,90.0,790,5,992,1161
20200105T18-08,657,9623,2274.0,91.0,793,5,892,2073
20200105T17-08,657,8670,2274.0,91.0,751,1495,332,2696
20200105T16-08,658,6427,2273.0,91.0,742,1859,296,2636
20200105T15-08,659,4690,2274.0,46.0,743,5762,279,2593
20200105T14-08,660,3563,2274.0,47.0,741,7210,280,2360
20200105T13-08,661,3680,2274.0,91.0,740,8450,283,2542
20200105T12-08,662,3922,2273.0,90.0,738,8163,296,2547
20200105T11-08,660,3901,2274.0,90.0,745,8292,304,2546
20200105T10-08,663,4471,2273.0,90.0,749,7449,319,2514
20200105T09-08,664,4155,2274.0,90.0,751,5444,319,2489
20200105T08-08,678,6992,2273.0,91.0,750,2591,326,2851
20200105T07-08,740,7896,2274.0,91.0,756,174,316,2527
20200105T06-08,742,7630,2274.0,91.0,758,4,241,2492
20200105T05-08,741,8478,2273.0,90.0,797,4,232,1416
20200105T04-08,739,7985,2274.0,90.0,796,4,226,1814
20200105T03-08,716,8126,2274.0,90.0,794,4,227,1667
20200105T02-08,657,8448,2274.0,90.0,786,4,229,1829
20200105T01-08,656,8780,2271.0,46.0,794,4,245,1177
20200105T00-08,656,9201,2273.0,90.0,789,6,386,1243
20200104T23-08,657,9758,2273.0,90.0,787,6,426,760
20200104T22-08,656,10353,2271.0,90.0,792,7,782,1032
20200104T21-08,663,10188,2272.0,90.0,792,7,722,1356
20200104T20-08,880,9650,2272.0,90.0,793,7,896,1670
20200104T19-08,913,9320,2271.0,90.0,790,16,1036,1871
20200104T18-08,933,9273,2271.0,90.0,792,16,1091,1974
20200104T17-08,839,8575,2272.0,91.0,755,1611,488,2093
20200104T16-08,664,7470,2272.0,90.0,747,1970,354,1775
20200104T15-08,658,6043,2272.0,90.0,745,6300,329,1809
20200104T14-08,657,4855,2272.0,90.0,742,7427,305,1866
20200104T13-08,660,4769,2272.0,90.0,740,8047,313,1825
20200104T12-08,661,4347,2272.0,90.0,738,8191,319,1514
20200104T11-08,662,4520,2272.0,91.0,747,8278,354,1374
20200104T10-08,662,4283,2272.0,90.0,745,8121,377,1502
20200104T09-08,657,4511,2271.0,90.0,753,7239,357,1569
20200104T08-08,656,6205,2272.0,90.0,753,3418,440,1473
20200104T07-08,659,7592,2271.0,90.0,754,166,436,1465
20200104T06-08,657,7786,2272.0,90.0,751,8,351,986
20200104T05-08,653,7673,2270.0,90.0,747,9,351,675
20200104T04-08,650,7734,2270.0,90.0,742,4,349,494
20200104T03-08,653,7734,2270.0,90.0,744,4,352,383
20200104T02-08,652,8509,2269.0,91.0,740,5,359,405
20200104T01-08,651,9070,2267.0,91.0,731,4,370,362
20200104T00-08,650,10299,2269.0,90.0,763,5,364,194
20200103T23-08,651,11330,2267.0,46.0,761,5,386,178
