,coal,natural gas,nuclear,petroleum,other,solar,hydro
20191113T05Z,8411,8825,9125,0,782,0,1318
20191113T04Z,8225,9247,9118,0,772,0,1549
20191113T03Z,8582,9914,9113,0,804,-2,1717
20191113T02Z,8499,10665,9110,0,810,0,1854
20191113T01Z,8481,10739,9111,0,770,40,1906
20191113T00Z,8541,10485,9111,0,765,34,1810
20191112T23Z,8423,9756,9108,0,774,33,1026
20191112T22Z,8256,8200,9106,0,770,189,183
20191112T21Z,7959,7244,9102,0,761,275,234
20191112T20Z,7917,6785,9110,0,756,390,548
20191112T19Z,7766,6777,9104,0,753,466,679
20191112T18Z,7714,6864,9102,0,759,340,636
20191112T17Z,7626,6638,9102,0,775,428,605
20191112T16Z,7320,6420,9093,0,818,343,574
20191112T15Z,7442,6250,9097,-1,832,324,330
20191112T14Z,7442,5926,9090,-1,896,263,616
20191112T13Z,7545,5656,9110,0,897,110,676
20191112T12Z,7127,5409,9093,-1,900,0,227
20191112T11Z,6373,4776,9104,-1,818,0,-762
20191112T10Z,5527,4813,9104,0,789,0,-1159
20191112T09Z,5173,4872,9100,-1,796,-2,-1200
20191112T08Z,5136,4884,9100,-1,795,-1,-1204
20191112T07Z,5348,4842,9104,-1,785,0,-1161
20191112T06Z,5526,5009,9110,0,823,0,-1087
20191112T05Z,5658,5158,9101,0,833,-1,-682
20191112T04Z,6304,5417,9109,-1,900,0,-281
20191112T03Z,6631,5831,9107,0,939,-1,204
20191112T02Z,6801,6261,9117,-1,1087,-1,531
20191112T01Z,6736,6451,9107,-2,899,108,1011
20191112T00Z,6881,6510,9112,-1,892,40,1146
20191111T23Z,6840,6117,9110,-2,885,39,564
20191111T22Z,6240,5739,9114,0,820,481,-390
20191111T21Z,5866,5402,9105,0,766,1573,-897
20191111T20Z,5466,5369,9103,0,709,2279,-1017
20191111T19Z,5334,5215,9107,-2,711,2701,-988
20191111T18Z,5781,5097,9106,-2,773,2799,-1012
20191111T17Z,6138,5297,9109,-1,804,2588,-988
20191111T16Z,6284,5782,9116,-1,887,2269,-432
20191111T15Z,6437,6307,9114,92,896,1852,361
20191111T14Z,6594,6782,9114,178,903,1239,1260
20191111T13Z,6766,7031,9115,180,904,401,2088
20191111T12Z,6702,6813,9114,174,936,0,1711
20191111T11Z,6685,6435,9120,-1,937,0,80
20191111T10Z,6573,5880,9114,-1,928,0,-878
20191111T09Z,6461,5461,9117,-5,933,-1,-1139
20191111T08Z,6302,5314,9112,0,884,0,-1208
20191111T07Z,6206,5188,9105,0,848,-1,-1189
20191111T06Z,6225,5278,9107,0,827,-1,-1207
20191111T05Z,6284,5372,9115,0,851,-2,-1040
20191111T04Z,6449,5356,9114,0,821,0,-277
20191111T03Z,6499,5499,9109,0,834,0,300
20191111T02Z,6555,5782,9110,0,811,0,547
20191111T01Z,6500,5670,9111,0,703,31,857
20191111T00Z,6473,5570,9114,0,604,37,1085
20191110T23Z,6300,5183,9114,0,597,39,567
20191110T22Z,5873,4795,9112,0,571,509,-384
20191110T21Z,5120,4440,9114,0,520,1719,-853
20191110T20Z,4709,4128,9119,0,493,2480,-872
20191110T19Z,4523,4238,9115,-1,492,2851,-851
20191110T18Z,4928,4248,9113,0,496,3005,-865
20191110T17Z,5525,4193,9116,0,479,3057,-550
20191110T16Z,6264,4107,9112,-4,494,2921,349
20191110T15Z,6673,4225,9120,287,501,2574,860
20191110T14Z,6788,5331,9119,550,678,1675,1980
20191110T13Z,6813,6624,9116,386,736,473,2530
20191110T12Z,6816,6871,9112,174,793,0,2555
20191110T11Z,6814,6939,9120,0,824,0,2018
20191110T10Z,6833,6637,9105,-2,838,-1,1515
20191110T09Z,6801,6460,9099,0,854,0,1383
20191110T08Z,6766,6376,9096,0,852,0,1245
