,hydro,wind
20191113T08Z,959,0
20191113T07Z,986,0
20191113T06Z,999,0
20191113T05Z,1006,0
20191113T04Z,994,0
20191113T03Z,926,1
20191113T02Z,952,1
20191113T01Z,968,1
20191113T00Z,958,1
20191112T23Z,953,1
20191112T22Z,951,2
20191112T21Z,986,2
20191112T20Z,975,0
20191112T19Z,971,0
20191112T18Z,937,0
20191112T17Z,935,0
20191112T16Z,934,0
20191112T15Z,937,0
20191112T14Z,945,0
20191112T13Z,940,0
20191112T12Z,936,0
20191112T11Z,938,0
20191112T10Z,935,0
20191112T09Z,930,0
20191112T08Z,921,0
20191112T07Z,921,0
20191112T06Z,917,0
20191112T05Z,913,0
20191112T04Z,919,0
20191112T03Z,955,0
20191112T02Z,990,0
20191112T01Z,973,0
20191112T00Z,973,1
20191111T23Z,957,0
20191111T22Z,980,1
20191111T21Z,999,0
20191111T20Z,998,1
20191111T19Z,1001,1
20191111T18Z,1003,1
20191111T17Z,943,0
20191111T16Z,933,1
20191111T15Z,929,1
20191111T14Z,915,1
20191111T13Z,911,1
20191111T12Z,893,1
20191111T11Z,931,1
20191111T10Z,960,1
20191111T09Z,996,1
20191111T08Z,1004,0
20191111T07Z,1003,1
20191111T06Z,1004,0
20191111T05Z,1001,0
20191111T04Z,1005,1
20191111T03Z,1003,0
20191111T02Z,989,0
20191111T01Z,968,1
20191111T00Z,935,0
20191110T23Z,922,1
20191110T22Z,919,2
20191110T21Z,912,1
20191110T20Z,917,1
20191110T19Z,913,0
20191110T18Z,949,1
20191110T17Z,905,0
20191110T16Z,737,0
20191110T15Z,763,0
20191110T14Z,802,0
20191110T13Z,786,0
20191110T12Z,832,0
20191110T11Z,964,0
20191110T10Z,997,0
20191110T09Z,991,0
20191110T08Z,953,1
20191110T07Z,952,1
20191110T06Z,997,1
20191110T05Z,1013,0
20191110T04Z,998,0
20191110T03Z,995,0
20191110T02Z,991,0
20191110T01Z,982,0
20191110T00Z,993,0
20191109T23Z,992,0
20191109T22Z,996,0
20191109T21Z,986,0
20191109T20Z,962,0
20191109T19Z,967,0
20191109T18Z,968,0
20191109T17Z,977,2
20191109T16Z,996,2
20191109T15Z,1001,1
20191109T14Z,953,1
20191109T13Z,931,0
20191109T12Z,944,1
20191109T11Z,970,2
20191109T10Z,982,1
20191109T09Z,977,1
20191109T08Z,969,1
20191109T07Z,994,1
20191109T06Z,999,1
20191109T05Z,994,1
20191109T04Z,978,0
20191109T03Z,957,0
20191109T02Z,951,0
20191109T01Z,982,0
20191109T00Z,979,0
20191108T23Z,981,0
20191108T22Z,998,0
20191108T21Z,1008,0
20191108T20Z,1031,0
20191108T19Z,1013,0
20191108T18Z,987,0
20191108T17Z,995,0
20191108T16Z,1004,0
20191108T15Z,992,0
20191108T14Z,954,0
20191108T13Z,934,0
20191108T12Z,936,0
20191108T11Z,949,0
20191108T10Z,986,0
20191108T09Z,995,0
20191108T08Z,984,0
20191108T07Z,960,0
20191108T06Z,967,0
20191108T05Z,982,0
20191108T04Z,996,0
20191108T03Z,997,0
20191108T02Z,977,0
20191108T01Z,977,0
20191108T00Z,923,0
20191107T23Z,854,0
20191107T22Z,869,0
20191107T21Z,981,0
20191107T20Z,979,0
20191107T19Z,917,0
20191107T18Z,950,0
20191107T17Z,945,0
20191107T16Z,1059,0
20191107T15Z,1099,0
20191107T14Z,1010,0
20191107T13Z,849,0
20191107T12Z,754,0
20191107T11Z,975,0
20191107T10Z,1005,0
20191107T09Z,1078,0
20191107T08Z,1110,0
20191107T07Z,1112,0
20191107T06Z,1111,0
20191107T05Z,1112,0
20191107T04Z,1114,0
20191107T03Z,1108,1
20191107T02Z,1106,0
20191107T01Z,1065,0
20191107T00Z,955,0
20191106T23Z,925,0
20191106T22Z,919,0
20191106T21Z,937,0
20191106T20Z,930,0
20191106T19Z,935,0
20191106T18Z,930,0
20191106T17Z,947,0
20191106T16Z,1026,0
20191106T15Z,1105,1
20191106T14Z,1009,0
20191106T13Z,776,1
20191106T12Z,605,0
20191106T11Z,795,1
20191106T10Z,934,1
20191106T09Z,858,1
20191106T08Z,898,1
20191106T07Z,975,1
20191106T06Z,1009,0
20191106T05Z,1060,1
20191106T04Z,1026,0
20191106T03Z,984,0
20191106T02Z,956,1
20191106T01Z,987,0
20191106T00Z,1003,0
20191105T23Z,837,0
20191105T22Z,740,0
20191105T21Z,808,0
20191105T20Z,809,0
20191105T19Z,725,0
20191105T18Z,786,0
20191105T17Z,944,0
20191105T16Z,870,0
20191105T15Z,776,0
20191105T14Z,726,0
20191105T13Z,679,0
20191105T12Z,724,0
20191105T11Z,956,1
20191105T10Z,1031,1
20191105T09Z,1091,1
20191105T08Z,1115,0
20191105T07Z,1111,0
20191105T06Z,1114,1
20191105T05Z,1115,0
20191105T04Z,1116,0
20191105T03Z,1116,0
20191105T02Z,1123,0
20191105T01Z,1123,0
20191105T00Z,1125,0
20191104T23Z,1116,0
20191104T22Z,1122,0
20191104T21Z,1122,0
20191104T20Z,1118,0
20191104T19Z,1118,0
20191104T18Z,1111,0
20191104T17Z,1118,0
20191104T16Z,1057,0
20191104T15Z,1056,0
20191104T14Z,1015,0
20191104T13Z,961,0
20191104T12Z,810,0
20191104T11Z,872,0
20191104T10Z,932,0
20191104T09Z,1035,0
20191103T09Z,531,0
20191103T08Z,577,0
20191103T07Z,508,0
20191103T06Z,475,0
20191103T05Z,728,0
20191103T04Z,820,0
20191103T03Z,801,0
20191103T02Z,671,0
