,coal,natural gas,nuclear,petroleum,other,solar,hydro
20191113T05Z,1338,2891,2687,0.0,693,0,0
20191113T04Z,1336,2971,2681,0.0,700,0,0
20191113T03Z,1342,3034,2677,0.0,725,0,0
20191113T02Z,1345,3094,2677,0.0,734,0,0
20191113T01Z,1301,3026,2676,0.0,701,31,0
20191113T00Z,1334,3080,2678,0.0,699,26,0
20191112T23Z,1325,2961,2676,0.0,703,26,0
20191112T22Z,1296,2802,2672,0.0,703,57,0
20191112T21Z,1312,2630,2671,0.0,693,83,-1
20191112T20Z,1340,2251,2676,0.0,681,117,0
20191112T19Z,1342,2257,2673,0.0,687,224,0
20191112T18Z,1322,2318,2671,0.0,696,195,0
20191112T17Z,1296,2199,2674,0.0,711,319,0
20191112T16Z,1224,1927,2673,0.0,753,231,0
20191112T15Z,1301,1611,2676,-1.0,758,221,0
20191112T14Z,1230,1509,2667,-1.0,822,179,0
20191112T13Z,1316,1327,2685,0.0,821,92,0
20191112T12Z,1299,1335,2669,-1.0,816,0,0
20191112T11Z,1107,1184,2674,-1.0,728,0,-1
20191112T10Z,791,1124,2676,0.0,702,0,0
20191112T09Z,623,1129,2674,-1.0,709,0,0
20191112T08Z,534,1118,2675,-1.0,706,0,0
20191112T07Z,641,1094,2677,0.0,699,0,0
20191112T06Z,801,1145,2684,0.0,736,0,0
20191112T05Z,831,1325,2681,0.0,752,0,0
20191112T04Z,1089,1505,2684,0.0,819,0,0
20191112T03Z,1235,1583,2684,0.0,858,0,0
20191112T02Z,1296,1778,2687,-1.0,1005,0,0
20191112T01Z,1221,1842,2684,-2.0,825,101,-1
20191112T00Z,1221,1884,2688,-1.0,822,32,0
20191111T23Z,1301,1654,2687,-2.0,817,27,0
20191111T22Z,1232,1607,2692,0.0,746,283,0
20191111T21Z,840,1444,2685,0.0,689,1032,0
20191111T20Z,580,1317,2685,0.0,632,1641,0
20191111T19Z,575,1274,2687,-2.0,633,1952,0
20191111T18Z,782,1208,2690,-2.0,694,1992,0
20191111T17Z,1214,1460,2687,-1.0,730,1773,0
20191111T16Z,1339,1770,2692,-1.0,809,1541,0
20191111T15Z,1343,2017,2688,-1.0,818,1244,0
20191111T14Z,1344,2163,2687,-1.0,823,835,-1
20191111T13Z,1347,2200,2687,0.0,824,302,0
20191111T12Z,1345,1999,2689,0.0,850,0,0
20191111T11Z,1348,1927,2688,-1.0,849,0,0
20191111T10Z,1288,1758,2687,-1.0,840,0,0
20191111T09Z,1248,1574,2690,-5.0,847,0,0
20191111T08Z,1274,1473,2683,0.0,797,0,0
20191111T07Z,1287,1393,2680,0.0,759,0,0
20191111T06Z,1348,1458,2684,0.0,740,0,0
20191111T05Z,1359,1508,2687,0.0,764,0,-1
20191111T04Z,1355,1363,2688,0.0,734,0,0
20191111T03Z,1357,1392,2685,0.0,746,0,0
