,coal,natural gas,petroleum,other,solar,hydro
20191218T00-05,59,69.0,,8,0,78
20191217T23-05,70,73.0,,9,0,76
20191217T22-05,69,92.0,,9,0,76
20191217T21-05,70,99.0,,9,0,78
20191217T20-05,70,97.0,,0,9,76
20191217T19-05,69,93.0,,-1,9,76
20191217T18-05,66,72.0,,0,9,78
20191217T17-05,47,68.0,,-1,9,76
20191217T16-05,46,70.0,,0,10,78
20191217T15-05,47,67.0,,-1,9,76
20191217T14-05,48,67.0,,0,9,76
20191217T13-05,45,68.0,,-1,9,78
20191217T12-05,46,68.0,,0,9,76
20191217T11-05,47,66.0,,-1,9,76
20191217T10-05,45,67.0,,0,10,76
20191217T09-05,48,67.0,,0,9,76
20191217T08-05,46,68.0,,-1,9,76
20191217T07-05,46,2.0,,9,0,76
20191217T06-05,46,-1.0,,8,0,76
20191217T05-05,46,-2.0,,10,0,77
20191217T04-05,46,-2.0,,8,0,77
20191217T03-05,46,-2.0,,9,0,76
20191217T02-05,46,-1.0,,8,0,75
20191217T01-05,46,-2.0,,10,0,75
20191217T00-05,52,-1.0,,9,0,76
20191216T23-05,107,68.0,,8,0,76
20191216T22-05,130,125.0,,8,0,76
20191216T21-05,166,120.0,,10,0,76
20191216T20-05,177,134.0,,0,9,76
20191216T19-05,152,160.0,,0,9,76
20191216T18-05,75,82.0,,0,9,76
20191216T17-05,49,67.0,,0,10,76
20191216T16-05,48,68.0,,0,9,76
20191216T15-05,47,68.0,,0,9,77
20191216T14-05,48,68.0,,0,9,76
20191216T13-05,48,68.0,,0,10,77
20191216T12-05,48,68.0,,0,9,76
20191216T11-05,53,81.0,,0,9,76
20191216T10-05,92,89.0,,0,9,76
20191216T09-05,137,135.0,,0,10,76
20191216T08-05,106,77.0,,0,9,76
20191216T07-05,47,140.0,,9,0,76
20191216T06-05,46,68.0,,10,0,76
20191216T05-05,45,68.0,,9,0,77
20191216T04-05,46,70.0,,8,0,76
20191216T03-05,47,69.0,,9,0,76
20191216T02-05,51,88.0,,10,0,75
20191216T01-05,51,99.0,,9,0,76
20191216T00-05,53,103.0,,9,0,76
20191215T23-05,51,131.0,,9,0,76
20191215T22-05,133,154.0,,10,0,76
20191215T21-05,123,172.0,,9,0,76
20191215T20-05,58,169.0,,0,9,76
20191215T19-05,49,135.0,,0,9,77
20191215T18-05,51,116.0,,-1,10,76
20191215T17-05,51,60.0,,0,9,77
20191215T16-05,50,-1.0,,0,9,76
20191215T15-05,52,-2.0,,0,10,76
20191215T14-05,51,-2.0,,0,9,76
20191215T13-05,69,26.0,,0,8,76
20191215T12-05,75,68.0,,0,8,76
20191215T11-05,70,69.0,,0,9,76
20191215T10-05,76,80.0,,0,9,76
20191215T09-05,89,145.0,,-1,9,77
20191215T08-05,85,166.0,,-1,9,76
20191215T07-05,49,128.0,,9,0,76
20191215T06-05,46,111.0,,8,0,76
20191215T05-05,45,84.0,,9,0,77
20191215T04-05,47,80.0,,8,0,77
20191215T03-05,45,74.0,,9,0,77
20191215T02-05,46,72.0,,8,0,75
20191215T01-05,45,70.0,,8,0,76
20191215T00-05,46,79.0,,8,0,77
20191214T23-05,45,103.0,,8,0,77
20191214T22-05,46,112.0,,9,0,77
20191214T21-05,45,114.0,,8,0,76
20191214T20-05,47,111.0,,0,9,77
20191214T19-05,45,110.0,,-1,9,77
20191214T18-05,46,99.0,,0,9,76
20191214T17-05,47,73.0,,-1,9,78
20191214T16-05,45,67.0,,0,9,76
20191214T15-05,46,70.0,,-1,9,77
20191214T14-05,46,70.0,,0,9,77
20191214T13-05,46,70.0,,-1,9,76
20191214T12-05,46,71.0,,0,9,76
20191214T11-05,46,92.0,,-1,8,76
20191214T10-05,45,100.0,,0,9,77
20191214T09-05,46,97.0,,-1,9,76
20191214T08-05,46,71.0,,-1,9,76
20191214T07-05,46,68.0,,9,0,76
20191214T06-05,45,69.0,,8,0,76
20191214T05-05,46,69.0,,10,0,68
20191214T04-05,47,68.0,,8,0,43
20191214T03-05,46,68.0,,9,0,43
20191214T02-05,45,69.0,,8,0,42
20191214T01-05,46,69.0,,8,0,42
20191214T00-05,45,74.0,,9,0,43
20191213T23-05,77,95.0,,8,0,43
20191213T22-05,168,70.0,,9,0,43
20191213T21-05,183,78.0,,8,0,43
20191213T20-05,183,118.0,,-1,9,43
20191213T19-05,179,124.0,,0,9,43
20191213T18-05,179,164.0,,-1,9,74
20191213T17-05,179,167.0,,0,9,76
20191213T16-05,178,141.0,,-1,9,76
20191213T15-05,180,128.0,,0,9,77
20191213T14-05,179,150.0,,-1,9,76
20191213T13-05,178,151.0,,-1,9,77
20191213T12-05,180,144.0,,0,9,76
20191213T11-05,179,152.0,,-1,9,76
20191213T10-05,179,151.0,,0,8,46
20191213T09-05,179,136.0,,-1,9,57
20191213T08-05,179,119.0,,-1,9,76
20191213T07-05,177,75.0,,9,0,76
20191213T06-05,122,70.0,,8,0,76
20191213T05-05,83,68.0,,9,0,77
20191213T04-05,72,67.0,,8,0,77
20191213T03-05,70,67.0,,8,0,76
20191213T02-05,89,67.0,,9,0,76
20191213T01-05,143,67.0,,8,0,76
20191213T00-05,184,68.0,,7,0,77
20191212T23-05,183,78.0,,9,0,77
20191212T22-05,185,73.0,,8,0,76
20191212T21-05,183,110.0,,8,0,77
