,hydro
20191113T08Z,350
20191113T07Z,364
20191113T06Z,491
20191113T05Z,537
20191113T04Z,531
20191113T03Z,532
20191113T02Z,548
20191113T01Z,521
20191113T00Z,504
20191112T23Z,539
20191112T22Z,545
20191112T21Z,569
20191112T20Z,554
20191112T19Z,590
20191112T18Z,599
20191112T17Z,565
20191112T16Z,551
20191112T15Z,565
20191112T14Z,471
20191112T13Z,447
20191112T12Z,433
20191112T11Z,397
20191112T10Z,379
20191112T09Z,321
20191112T08Z,349
20191112T07Z,374
20191112T06Z,379
20191112T05Z,401
20191112T04Z,406
20191112T03Z,394
20191112T02Z,407
20191112T01Z,567
20191112T00Z,560
20191111T23Z,573
20191111T22Z,578
20191111T21Z,579
20191111T20Z,580
20191111T19Z,575
20191111T18Z,541
20191111T17Z,533
20191111T16Z,508
20191111T15Z,543
20191111T14Z,410
20191111T13Z,390
20191111T12Z,382
20191111T11Z,367
20191111T10Z,380
20191111T09Z,372
20191111T08Z,436
20191111T07Z,479
20191111T06Z,559
20191111T05Z,573
20191111T04Z,562
20191111T03Z,593
20191111T02Z,608
20191111T01Z,582
20191111T00Z,575
20191110T23Z,562
20191110T22Z,550
20191110T21Z,562
20191110T20Z,564
20191110T19Z,565
20191110T18Z,521
20191110T17Z,491
20191110T16Z,484
20191110T15Z,321
20191110T14Z,237
20191110T13Z,227
20191110T12Z,218
20191110T11Z,235
20191110T10Z,380
20191110T09Z,483
20191110T08Z,536
20191110T07Z,467
20191110T06Z,555
20191110T05Z,573
20191110T04Z,593
20191110T03Z,553
20191110T02Z,549
20191110T01Z,622
20191110T00Z,607
20191109T23Z,587
20191109T22Z,590
20191109T21Z,612
20191109T20Z,591
20191109T19Z,589
20191109T18Z,555
20191109T17Z,538
20191109T16Z,544
20191109T15Z,561
20191109T14Z,531
20191109T13Z,598
20191109T12Z,572
20191109T11Z,477
20191109T10Z,460
20191109T09Z,496
20191109T08Z,526
20191109T07Z,540
20191109T06Z,550
20191109T05Z,551
20191109T04Z,550
20191109T03Z,576
20191109T02Z,569
20191109T01Z,512
20191109T00Z,455
20191108T23Z,514
20191108T22Z,542
20191108T21Z,568
20191108T20Z,578
20191108T19Z,621
20191108T18Z,639
20191108T17Z,628
20191108T16Z,638
20191108T15Z,555
20191108T14Z,574
20191108T13Z,550
20191108T12Z,529
20191108T11Z,531
20191108T10Z,495
20191108T09Z,442
20191108T08Z,508
20191108T07Z,503
20191108T06Z,565
20191108T05Z,573
20191108T04Z,524
20191108T03Z,545
20191108T02Z,556
20191108T01Z,562
20191108T00Z,559
20191107T23Z,533
20191107T22Z,555
20191107T21Z,565
20191107T20Z,584
20191107T19Z,597
20191107T18Z,538
20191107T17Z,535
20191107T16Z,546
20191107T15Z,561
20191107T14Z,490
20191107T13Z,569
20191107T12Z,443
20191107T11Z,377
20191107T10Z,310
20191107T09Z,320
20191107T08Z,421
20191107T07Z,462
20191107T06Z,566
20191107T05Z,597
20191107T04Z,600
20191107T03Z,577
20191107T02Z,602
20191107T01Z,506
20191107T00Z,460
20191106T23Z,403
20191106T22Z,401
20191106T21Z,428
20191106T20Z,419
20191106T19Z,488
20191106T18Z,455
20191106T17Z,476
20191106T16Z,571
20191106T15Z,603
20191106T14Z,451
20191106T13Z,456
20191106T12Z,415
20191106T11Z,348
20191106T10Z,350
20191106T09Z,353
20191106T08Z,395
20191106T07Z,423
20191106T06Z,489
20191106T05Z,462
20191106T04Z,471
20191106T03Z,464
20191106T02Z,512
20191106T01Z,514
20191106T00Z,506
20191105T23Z,464
20191105T22Z,506
20191105T21Z,484
20191105T20Z,481
20191105T19Z,488
20191105T18Z,479
20191105T17Z,490
20191105T16Z,547
20191105T15Z,552
20191105T14Z,332
20191105T13Z,239
20191105T12Z,226
20191105T11Z,201
20191105T10Z,214
20191105T09Z,242
20191105T08Z,305
20191105T07Z,328
20191105T06Z,445
20191105T05Z,521
20191105T04Z,522
20191105T03Z,571
20191105T02Z,580
20191105T01Z,530
20191105T00Z,426
20191104T23Z,402
20191104T22Z,468
20191104T21Z,506
20191104T20Z,544
20191104T19Z,555
20191104T18Z,539
20191104T17Z,534
20191104T16Z,563
20191104T15Z,552
20191104T14Z,508
20191104T13Z,494
20191104T12Z,445
20191104T11Z,418
20191104T10Z,385
20191104T09Z,428
20191104T08Z,435
20191104T07Z,523
20191104T06Z,523
20191104T05Z,549
20191104T04Z,514
20191104T03Z,507
20191104T02Z,490
20191104T01Z,457
20191104T00Z,347
20191103T23Z,389
20191103T22Z,389
20191103T21Z,414
20191103T20Z,499
20191103T19Z,424
20191103T18Z,477
20191103T17Z,528
20191103T16Z,568
20191103T15Z,463
20191103T14Z,463
20191103T13Z,261
20191103T12Z,237
20191103T11Z,237
20191103T10Z,214
20191103T09Z,194
20191103T08Z,194
20191103T07Z,179
20191103T06Z,385
20191103T05Z,327
20191103T04Z,280
20191103T03Z,238
20191103T02Z,297
20191103T01Z,209
20191103T00Z,200
20191102T23Z,201
20191102T22Z,226
20191102T21Z,277
20191102T20Z,295
20191102T19Z,349
20191102T18Z,350
20191102T17Z,422
20191102T16Z,469
20191102T15Z,374
20191102T14Z,186
20191102T13Z,116
20191102T12Z,108
20191102T11Z,127
20191102T10Z,119
20191102T09Z,103
20191102T08Z,103
20191102T07Z,228
20191102T06Z,311
20191102T05Z,319
20191102T04Z,466
20191102T03Z,437
20191102T02Z,409
20191102T01Z,348
20191102T00Z,285
20191101T23Z,200
20191101T22Z,233
20191101T21Z,258
20191101T20Z,291
20191101T19Z,390
20191101T18Z,435
20191101T17Z,473
20191101T16Z,433
20191101T15Z,406
20191101T14Z,244
20191101T13Z,228
20191101T12Z,161
20191101T11Z,148
20191101T10Z,239
20191101T09Z,266
20191101T08Z,266
20191101T07Z,263
20191101T06Z,343
20191101T05Z,292
20191101T04Z,367
20191101T03Z,407
20191101T02Z,361
20191101T01Z,317
20191101T00Z,268
20191031T23Z,307
20191031T22Z,303
20191031T21Z,323
20191031T20Z,377
20191031T19Z,352
20191031T18Z,377
20191031T17Z,389
20191031T16Z,392
20191031T15Z,404
20191031T14Z,266
20191031T13Z,168
20191031T12Z,155
20191031T11Z,152
20191031T10Z,162
20191031T09Z,151
20191031T08Z,151
20191031T07Z,212
20191031T06Z,316
20191031T05Z,362
20191031T04Z,337
20191031T03Z,372
20191031T02Z,291
20191031T01Z,263
20191031T00Z,269
20191030T23Z,307
20191030T22Z,368
20191030T21Z,418
20191030T20Z,355
20191030T19Z,354
20191030T18Z,319
20191030T17Z,415
20191030T16Z,416
20191030T15Z,391
20191030T14Z,280
20191030T13Z,230
20191030T12Z,222
20191030T11Z,187
20191030T10Z,173
20191030T09Z,223
20191030T08Z,223
20191030T07Z,310
20191030T06Z,357
20191030T05Z,425
20191030T04Z,488
20191030T03Z,561
20191030T02Z,444
20191030T01Z,341
20191030T00Z,294
20191029T23Z,312
20191029T22Z,356
20191029T21Z,320
20191029T20Z,327
20191029T19Z,333
20191029T18Z,369
20191029T17Z,473
20191029T16Z,547
20191029T15Z,409
20191029T14Z,227
20191029T13Z,208
20191029T12Z,173
20191029T11Z,127
20191029T10Z,122
20191029T09Z,137
20191029T08Z,137
20191029T07Z,192
20191029T06Z,322
20191029T05Z,338
20191029T04Z,321
20191029T03Z,438
20191029T02Z,397
20191029T01Z,391
20191029T00Z,307
20191028T23Z,312
20191028T22Z,316
20191028T21Z,409
20191028T20Z,437
20191028T19Z,458
20191028T18Z,503
20191028T17Z,527
20191028T16Z,451
20191028T15Z,458
20191028T14Z,278
20191028T13Z,241
20191028T12Z,182
20191028T11Z,189
20191028T10Z,195
20191028T09Z,261
20191028T08Z,261
20191028T07Z,266
20191028T06Z,308
20191028T05Z,354
20191028T04Z,355
20191028T03Z,336
20191028T02Z,306
20191028T01Z,248
20191028T00Z,243
20191027T23Z,173
20191027T22Z,176
20191027T21Z,172
20191027T20Z,197
20191027T19Z,208
20191027T18Z,254
20191027T17Z,307
20191027T16Z,388
20191027T15Z,356
20191027T14Z,260
20191027T13Z,200
20191027T12Z,197
20191027T11Z,194
20191027T10Z,228
20191027T09Z,215
20191027T08Z,215
20191026T07Z,231
20191026T06Z,458
20191026T05Z,513
20191026T04Z,399
20191026T03Z,236
20191026T02Z,203
20191026T01Z,212
20191026T00Z,231
20191025T23Z,202
20191025T22Z,221
20191025T21Z,264
20191025T20Z,368
20191025T19Z,416
20191025T18Z,429
20191025T17Z,457
20191025T16Z,426
20191025T15Z,341
20191025T14Z,237
20191025T13Z,168
20191025T12Z,162
20191025T11Z,173
20191025T10Z,200
20191025T09Z,192
20191025T08Z,192
20191025T07Z,221
20191025T06Z,452
20191025T05Z,461
20191025T04Z,372
20191025T03Z,332
20191025T02Z,336
20191025T01Z,293
20191025T00Z,334
20191024T23Z,287
20191024T22Z,261
20191024T21Z,248
20191024T20Z,269
20191024T19Z,280
20191024T18Z,311
20191024T17Z,345
20191024T16Z,378
20191024T15Z,431
20191024T14Z,227
20191024T13Z,267
20191024T12Z,215
20191024T11Z,207
20191024T10Z,198
20191024T09Z,222
20191024T08Z,222
20191024T07Z,367
20191024T06Z,412
20191024T05Z,398
20191024T04Z,367
20191024T03Z,335
20191024T02Z,324
20191024T01Z,299
20191024T00Z,246
20191023T23Z,241
20191023T22Z,264
20191023T21Z,242
20191023T20Z,250
20191023T19Z,253
20191023T18Z,266
20191023T17Z,304
20191023T16Z,358
20191023T15Z,330
20191023T14Z,293
20191023T13Z,198
20191023T12Z,117
20191023T11Z,121
20191023T10Z,148
20191023T09Z,137
20191023T08Z,137
20191023T07Z,238
20191023T06Z,276
20191023T05Z,240
20191023T04Z,308
20191023T03Z,253
20191023T02Z,191
20191023T01Z,187
20191023T00Z,146
20191022T23Z,142
20191022T22Z,142
20191022T21Z,190
20191022T20Z,203
20191022T19Z,159
20191022T18Z,168
20191022T17Z,225
20191022T16Z,330
20191022T15Z,357
20191022T14Z,203
20191022T13Z,118
20191022T12Z,113
20191022T11Z,135
20191022T10Z,136
20191022T09Z,133
20191022T08Z,133
20191022T07Z,130
20191022T06Z,147
20191022T05Z,183
20191022T04Z,205
20191022T03Z,304
20191022T02Z,305
20191022T01Z,275
20191022T00Z,329
20191021T23Z,280
20191021T22Z,298
20191021T21Z,294
20191021T20Z,165
20191021T19Z,203
20191021T18Z,224
20191021T17Z,233
20191021T16Z,398
20191021T15Z,460
20191021T14Z,452
20191021T13Z,197
20191021T12Z,152
20191021T11Z,162
20191021T10Z,164
20191021T09Z,154
20191021T08Z,165
20191021T07Z,194
20191021T06Z,293
20191021T05Z,362
20191021T04Z,342
20191021T03Z,318
20191021T02Z,436
20191021T01Z,411
20191021T00Z,315
20191020T23Z,301
20191020T22Z,296
20191020T21Z,325
20191020T20Z,293
20191020T19Z,297
20191020T18Z,287
20191020T17Z,295
20191020T16Z,270
20191020T15Z,260
20191020T14Z,188
20191020T13Z,151
20191020T12Z,142
20191020T11Z,141
20191020T10Z,139
20191020T09Z,179
20191020T08Z,179
20191020T07Z,159
20191020T06Z,215
20191020T05Z,210
20191020T04Z,219
20191020T03Z,252
20191020T02Z,291
20191020T01Z,303
20191020T00Z,278
20191019T23Z,227
20191019T22Z,239
20191019T21Z,289
20191019T20Z,324
20191019T19Z,400
20191019T18Z,450
20191019T17Z,467
20191019T16Z,495
20191019T15Z,439
20191019T14Z,439
20191019T13Z,415
20191019T12Z,423
20191019T11Z,372
20191019T10Z,226
20191019T09Z,262
20191019T08Z,262
20191019T07Z,361
20191019T06Z,469
20191019T05Z,395
20191019T04Z,406
20191019T03Z,464
20191019T02Z,425
20191019T01Z,368
20191019T00Z,371
20191018T23Z,416
20191018T22Z,317
20191018T21Z,402
20191018T20Z,405
20191018T19Z,346
20191018T18Z,305
20191018T17Z,345
20191018T16Z,380
20191018T15Z,292
20191018T14Z,212
20191018T13Z,153
20191018T12Z,113
20191018T11Z,105
20191018T10Z,109
20191018T09Z,122
20191018T08Z,122
20191018T07Z,197
20191018T06Z,343
20191018T05Z,315
20191018T04Z,350
20191018T03Z,418
20191018T02Z,404
20191018T01Z,295
20191018T00Z,240
20191017T23Z,203
20191017T22Z,225
20191017T21Z,225
20191017T20Z,256
20191017T19Z,283
20191017T18Z,332
20191017T17Z,384
20191017T16Z,374
20191017T15Z,291
20191017T14Z,135
20191017T13Z,101
20191017T12Z,102
20191017T11Z,111
20191017T10Z,137
20191017T09Z,120
20191017T08Z,120
20191017T07Z,173
20191017T06Z,352
20191017T05Z,413
20191017T04Z,413
20191017T03Z,433
20191017T02Z,455
20191017T01Z,455
20191017T00Z,440
20191016T23Z,458
20191016T22Z,437
20191016T21Z,422
20191016T20Z,431
20191016T19Z,412
20191016T18Z,486
20191016T17Z,433
20191016T16Z,511
20191016T15Z,450
20191016T14Z,184
20191016T13Z,165
20191016T12Z,175
20191016T11Z,172
20191016T10Z,170
20191016T09Z,180
20191016T08Z,180
20191016T07Z,227
20191016T06Z,330
20191016T05Z,407
20191016T04Z,487
20191016T03Z,510
20191016T02Z,458
20191016T01Z,432
20191016T00Z,475
20191015T23Z,482
20191015T22Z,448
20191015T21Z,429
20191015T20Z,472
20191015T19Z,519
20191015T18Z,538
20191015T17Z,524
20191015T16Z,527
20191015T15Z,442
20191015T14Z,283
20191015T13Z,288
20191015T12Z,224
20191015T11Z,270
20191015T10Z,335
20191015T09Z,312
20191015T08Z,312
20191015T07Z,215
20191015T06Z,348
20191015T05Z,355
20191015T04Z,396
20191015T03Z,379
20191015T02Z,361
20191015T01Z,325
20191015T00Z,313
20191014T23Z,322
20191014T22Z,340
20191014T21Z,364
20191014T20Z,352
20191014T19Z,389
20191014T18Z,416
20191014T17Z,469
20191014T16Z,487
20191014T15Z,433
20191014T14Z,165
20191014T13Z,146
20191014T12Z,119
20191014T11Z,112
20191014T10Z,109
20191014T09Z,119
20191014T08Z,119
20191014T07Z,181
20191014T06Z,212
20191014T05Z,226
20191014T04Z,249
20191014T03Z,224
20191014T02Z,210
20191014T01Z,231
20191014T00Z,199
20191013T23Z,194
20191013T22Z,230
20191013T21Z,265
20191013T20Z,268
20191013T19Z,305
20191013T18Z,305
20191013T17Z,302
20191013T16Z,289
20191013T15Z,289
20191013T14Z,259
20191013T13Z,260
20191013T12Z,255
20191013T11Z,230
20191013T10Z,188
20191013T09Z,180
20191013T08Z,180
20191013T07Z,180
20191013T06Z,219
20191013T05Z,294
20191013T04Z,355
20191013T03Z,279
20191013T02Z,308
20191013T01Z,318
20191013T00Z,287
20191012T23Z,277
20191012T22Z,280
20191012T21Z,270
20191012T20Z,306
20191012T19Z,326
20191012T18Z,337
20191012T17Z,367
20191012T16Z,342
20191012T15Z,366
20191012T14Z,338
20191012T13Z,275
20191012T12Z,225
20191012T11Z,205
20191012T10Z,193
20191012T09Z,168
20191012T08Z,106
20191012T07Z,151
20191012T06Z,241
20191012T05Z,258
20191012T04Z,284
20191012T03Z,315
20191012T02Z,302
20191012T01Z,313
20191012T00Z,276
20191011T23Z,342
20191011T22Z,329
20191011T21Z,346
20191011T20Z,461
20191011T19Z,491
20191011T18Z,532
20191011T17Z,471
20191011T16Z,510
20191011T15Z,383
20191011T14Z,235
20191011T13Z,186
20191011T12Z,154
20191011T11Z,151
20191011T10Z,267
20191011T09Z,272
20191011T08Z,272
20191011T07Z,384
20191011T06Z,421
20191011T05Z,370
20191011T04Z,350
20191011T03Z,369
20191011T02Z,340
20191011T01Z,324
20191011T00Z,306
20191010T23Z,304
20191010T22Z,335
20191010T21Z,370
20191010T20Z,386
20191010T19Z,339
20191010T18Z,377
20191010T17Z,396
20191010T16Z,437
20191010T15Z,422
20191010T14Z,369
20191010T13Z,321
20191010T12Z,276
20191010T11Z,271
20191010T10Z,265
20191010T09Z,237
20191010T08Z,237
20191010T07Z,254
20191010T06Z,302
20191010T05Z,322
20191010T04Z,313
20191010T03Z,285
20191010T02Z,227
20191010T01Z,191
20191010T00Z,187
20191009T23Z,247
20191009T22Z,319
20191009T21Z,335
20191009T20Z,312
20191009T19Z,317
20191009T18Z,370
20191009T17Z,411
20191009T16Z,424
20191009T15Z,413
20191009T14Z,257
20191009T13Z,174
20191009T12Z,153
20191009T11Z,154
20191009T10Z,176
20191009T09Z,233
20191009T08Z,233
20191009T07Z,243
20191009T06Z,267
20191009T05Z,331
20191009T04Z,435
20191009T03Z,389
20191009T02Z,371
