,coal,natural gas,nuclear,other,solar,hydro
20191113T05Z,4735,2596,6438,,0,1132
20191113T04Z,4381,3100,6437,,0,1322
20191113T03Z,4681,3722,6436,,-2,1418
20191113T02Z,4592,4486,6433,,0,1507
20191113T01Z,4510,4673,6435,,0,1562
20191113T00Z,4560,4586,6433,,0,1471
20191112T23Z,4570,4077,6432,,-2,798
20191112T22Z,4551,2907,6434,,115,49
20191112T21Z,4455,2169,6431,,173,107
20191112T20Z,4409,2100,6434,,250,359
20191112T19Z,4338,2025,6431,,205,437
20191112T18Z,4324,1980,6431,,102,429
20191112T17Z,4309,1793,6428,,41,449
20191112T16Z,4286,1756,6420,,39,446
20191112T15Z,4268,1819,6421,,24,190
20191112T14Z,4273,1654,6423,,5,474
20191112T13Z,4255,1580,6425,,0,533
20191112T12Z,4189,1379,6424,,0,81
20191112T11Z,3913,1240,6430,,0,-860
20191112T10Z,3560,1258,6428,,0,-1260
20191112T09Z,3394,1255,6426,,-2,-1301
20191112T08Z,3466,1255,6425,,-1,-1300
20191112T07Z,3575,1260,6427,,0,-1268
20191112T06Z,3597,1396,6426,,0,-1188
20191112T05Z,3632,1393,6420,,-1,-781
20191112T04Z,3893,1465,6425,,0,-381
20191112T03Z,3979,1560,6423,,-1,95
20191112T02Z,3959,1767,6430,,-1,309
20191112T01Z,3843,1891,6423,,-2,764
20191112T00Z,3903,1874,6424,,0,863
20191111T23Z,3960,1828,6423,,2,330
20191111T22Z,3676,1693,6422,,66,-495
20191111T21Z,3696,1572,6420,,243,-998
20191111T20Z,3543,1573,6418,,371,-1116
20191111T19Z,3479,1514,6420,,434,-1137
20191111T18Z,3622,1408,6416,,474,-1150
20191111T17Z,3592,1373,6422,,469,-1153
20191111T16Z,3517,1428,6424,,386,-600
20191111T15Z,3499,1564,6426,,273,150
20191111T14Z,3604,1639,6427,,131,963
20191111T13Z,3778,1681,6428,,27,1625
20191111T12Z,3792,1663,6425,,0,1283
20191111T11Z,3788,1531,6432,,0,-82
20191111T10Z,3778,1507,6427,,0,-976
20191111T09Z,3779,1460,6427,,-1,-1235
20191111T08Z,3726,1453,6429,,0,-1307
20191111T07Z,3691,1453,6425,,-1,-1288
20191111T06Z,3699,1446,6423,,-1,-1302
20191111T05Z,3719,1483,6428,,-2,-1114
20191111T04Z,3737,1440,6426,,0,-359
20191111T03Z,3732,1459,6424,,0,151
20191111T02Z,3793,1538,6423,,0,309
20191111T01Z,3772,1537,6422,,0,594
20191111T00Z,3789,1515,6424,,-1,875
20191110T23Z,3766,1474,6428,,-2,421
20191110T22Z,3677,1404,6422,,77,-460
20191110T21Z,3368,1401,6424,,260,-927
20191110T20Z,2956,1406,6427,,387,-952
20191110T19Z,2743,1384,6428,,448,-929
20191110T18Z,3102,1358,6426,,476,-941
20191110T17Z,3529,1392,6429,,474,-677
20191110T16Z,3770,1334,6425,,442,128
20191110T15Z,3785,1310,6431,,396,640
20191110T14Z,3799,1496,6432,,193,1626
20191110T13Z,3799,1707,6432,,46,2071
20191110T12Z,3800,1796,6430,,0,2151
20191110T11Z,3799,1746,6431,,0,1704
20191110T10Z,3803,1673,6431,,-1,1318
20191110T09Z,3803,1665,6431,,0,1254
20191110T08Z,3780,1661,6425,,0,1147
20191110T07Z,3776,1658,6429,,0,1099
20191110T06Z,3764,1664,6424,,0,1106
20191110T05Z,3797,1667,6418,,-1,1210
20191110T04Z,3781,1626,6415,,0,1510
20191110T03Z,3802,1632,6421,,-1,1718
20191110T02Z,3799,1686,6411,,-1,1767
20191110T01Z,3804,1678,6404,,0,1671
20191110T00Z,3800,1673,6399,,0,1481
20191109T23Z,3790,1637,6376,,1,859
20191109T22Z,3667,1499,6346,,81,-251
20191109T21Z,3515,1454,6317,,272,-833
20191109T20Z,3215,1457,6288,,400,-912
20191109T19Z,3280,1466,6269,,467,-864
20191109T18Z,3236,1473,6251,,492,-260
20191109T17Z,3355,1486,6243,,474,209
20191109T16Z,3318,1538,6239,,423,420
20191109T15Z,3644,1696,6240,,357,658
20191109T14Z,3794,2011,6240,,242,1302
20191109T13Z,3802,2564,6241,,55,1886
20191109T12Z,3797,2533,6256,,0,1588
20191109T11Z,3798,2254,6336,,0,973
20191109T10Z,3799,2124,6406,,-2,715
20191109T09Z,3799,1880,6420,,0,593
20191109T08Z,3785,1862,6405,,0,513
20191109T07Z,3803,1854,6406,,-1,534
20191109T06Z,3802,1825,6407,,-1,516
20191109T05Z,3795,1776,6415,,-2,566
20191109T04Z,3807,1840,6626,,0,563
20191109T03Z,3807,1945,6831,,0,605
20191109T02Z,3802,2177,6881,,-1,940
20191109T01Z,3791,1722,6970,,-1,1412
20191109T00Z,3809,1699,7026,,0,1342
20191108T23Z,3780,1671,7035,,0,1066
20191108T22Z,3629,1665,6999,,57,515
20191108T21Z,3331,1662,6960,,217,-28
20191108T20Z,2661,1667,6927,,380,-408
20191108T19Z,2298,1671,6914,,462,-568
20191108T18Z,2546,1675,6919,,499,-740
20191108T17Z,2640,1685,6916,,503,-759
20191108T16Z,2856,1298,6914,,477,-214
20191108T15Z,3008,1017,6956,,399,233
20191108T14Z,3188,1031,7038,,247,530
20191108T13Z,3254,1489,7094,,43,422
20191108T12Z,3097,1602,7101,,-2,116
20191108T11Z,2872,1547,7097,,0,-863
20191108T10Z,2554,1468,7096,,0,-1209
20191108T09Z,2269,1434,7091,,0,-1231
20191108T08Z,2255,1460,7094,,-1,-1236
20191108T07Z,2410,1482,7091,,0,-1219
20191108T06Z,2628,1490,7093,,0,-1230
20191108T05Z,2762,1495,7090,,0,-1212
20191108T04Z,2898,1509,7089,,0,-814
20191108T03Z,3117,1585,7088,,-1,-72
20191108T02Z,3160,1594,7087,,-1,566
20191108T01Z,3142,1580,7086,,-1,1168
20191108T00Z,3092,1623,7083,,-1,1612
20191107T23Z,3091,1551,7075,,0,1336
20191107T22Z,3083,1463,7043,,18,437
20191107T21Z,2985,1458,7028,,68,286
20191107T20Z,2902,1449,7028,,168,286
20191107T19Z,2587,1453,7029,,334,231
20191107T18Z,2323,1396,7034,,334,95
20191107T17Z,2335,1344,7040,,416,105
20191107T16Z,2715,1468,7068,,354,316
20191107T15Z,2946,1503,7088,,243,394
20191107T14Z,2971,1569,7102,,122,801
20191107T13Z,3074,1646,7105,,37,1343
20191107T12Z,3070,1588,7105,,0,1080
20191107T11Z,3108,1513,7105,,0,-333
20191107T10Z,3143,1507,7109,,-1,-1113
20191107T09Z,3110,1497,7100,,-1,-1232
20191107T08Z,3065,1497,7107,,-1,-1228
20191107T07Z,3065,1497,7105,,0,-1216
20191107T06Z,2957,1558,7102,,-2,-1149
20191107T05Z,2853,1553,7106,,0,-505
20191107T04Z,2800,1547,7104,,0,93
20191107T03Z,2919,1541,7103,,0,205
20191107T02Z,2966,1581,7104,,0,567
20191107T01Z,2954,1615,7102,,0,870
20191107T00Z,2926,1627,7101,,0,1056
20191106T23Z,2974,1576,7100,,2,593
20191106T22Z,2880,1546,7106,,85,266
20191106T21Z,2752,1538,7100,,267,-247
20191106T20Z,2722,1535,7105,,390,-680
20191106T19Z,2596,1537,7100,,454,-711
20191106T18Z,2532,1539,7108,,486,-717
20191106T17Z,2621,1549,7104,,487,-722
20191106T16Z,2651,1569,7110,,539,-693
20191106T15Z,2705,1562,7105,,327,-123
20191106T14Z,2879,1577,7111,,207,423
20191106T13Z,3003,1623,7109,,53,1195
20191106T12Z,2990,1614,7108,,-2,948
20191106T11Z,2887,1572,7106,,-1,-579
20191106T10Z,2925,1515,7106,,-2,-1071
20191106T09Z,2683,1516,7106,,0,-1214
20191106T08Z,2543,1513,7110,,0,-1219
20191106T07Z,2580,1511,7105,,0,-1198
20191106T06Z,2852,1510,7107,,-1,-1224
20191106T05Z,3037,1414,7108,,0,-1072
20191106T04Z,3009,1529,7105,,-2,-349
20191106T03Z,3050,1534,7105,,0,178
20191106T02Z,3109,1566,7106,,0,265
20191106T01Z,3176,1598,7104,,-1,551
20191106T00Z,3170,1635,7103,,-1,872
20191105T23Z,3171,1589,7102,,4,667
20191105T22Z,3142,1500,7104,,66,305
20191105T21Z,3098,1460,7106,,265,-178
20191105T20Z,3099,1457,7112,,254,-299
20191105T19Z,2911,1391,7111,,349,-264
20191105T18Z,2787,1335,7114,,364,-282
20191105T17Z,2842,1446,7117,,328,48
20191105T16Z,3027,1536,7121,,269,278
20191105T15Z,3178,1548,7124,,186,358
20191105T14Z,3425,1582,7121,,85,362
20191105T13Z,3605,1603,7125,,29,373
20191105T12Z,3613,1587,7123,,0,104
20191105T11Z,3413,1444,7124,,0,-666
20191105T10Z,3098,1420,7125,,-1,-966
20191105T09Z,2880,1407,7122,,0,-986
20191105T08Z,2845,1403,7122,,-1,-982
20191105T07Z,2921,1412,7121,,0,-974
20191105T06Z,3081,1406,7124,,0,-923
20191105T05Z,3088,1491,7119,,0,-526
20191105T04Z,3362,1498,7121,,-2,-7
20191105T03Z,3599,1561,7121,,0,206
20191105T02Z,3636,1628,7116,,-1,433
20191105T01Z,3641,1625,7119,,0,536
20191105T00Z,3640,1658,7121,,0,689
20191104T23Z,3652,1646,7120,,0,681
20191104T22Z,3582,1525,7120,,28,338
20191104T21Z,3295,1499,7119,,83,222
20191104T20Z,3198,1510,7124,,155,225
20191104T19Z,3106,1504,7126,,211,250
20191104T18Z,2929,1517,7124,,286,238
20191104T17Z,3034,1531,7124,,408,281
20191104T16Z,3102,1791,7125,,432,354
20191104T15Z,3254,2173,7128,,383,338
20191104T14Z,3526,2395,7131,,259,1029
20191104T13Z,3536,2780,7131,,59,1743
