,natural gas,solar
20191218T00-07,632,0
20191217T23-07,651,0
20191217T22-07,682,0
20191217T21-07,683,0
20191217T20-07,677,0
20191217T19-07,663,0
20191217T18-07,655,0
20191217T17-07,586,25
20191217T16-07,485,77
20191217T15-07,414,89
20191217T14-07,468,87
20191217T13-07,487,84
20191217T12-07,500,84
20191217T11-07,514,86
20191217T10-07,532,87
20191217T09-07,560,71
20191217T08-07,644,18
20191217T07-07,633,0
20191217T06-07,588,0
20191217T05-07,549,0
20191217T04-07,506,0
20191217T03-07,514,0
20191217T02-07,512,0
20191217T01-07,573,0
20191217T00-07,618,0
20191216T23-07,695,0
20191216T22-07,744,0
20191216T21-07,753,0
20191216T20-07,765,0
20191216T19-07,741,0
20191216T18-07,693,0
20191216T17-07,571,23
20191216T16-07,477,75
20191216T15-07,462,84
20191216T14-07,452,83
20191216T13-07,476,87
20191216T12-07,496,81
20191216T11-07,504,77
20191216T10-07,520,73
20191216T09-07,548,58
20191216T08-07,584,13
20191216T07-07,582,0
20191216T06-07,495,0
20191216T05-07,436,0
20191216T04-07,415,0
20191216T03-07,409,0
20191216T02-07,423,0
20191216T01-07,415,0
20191216T00-07,467,0
20191215T23-07,535,0
20191215T22-07,601,0
20191215T21-07,635,0
20191215T20-07,649,0
20191215T19-07,653,0
20191215T18-07,612,0
20191215T17-07,500,20
20191215T16-07,417,65
20191215T15-07,387,75
20191215T14-07,375,81
20191215T13-07,374,78
20191215T12-07,369,78
20191215T11-07,361,79
20191215T10-07,353,81
20191215T09-07,358,68
20191215T08-07,398,17
20191215T07-07,416,0
20191215T06-07,398,0
20191215T05-07,387,0
20191215T04-07,390,0
20191215T03-07,397,0
20191215T02-07,419,0
20191215T01-07,458,0
20191215T00-07,517,1
20191214T23-07,592,1
20191214T22-07,631,1
20191214T21-07,653,1
20191214T20-07,660,1
20191214T19-07,655,1
20191214T18-07,649,1
20191214T17-07,552,21
20191214T16-07,487,69
20191214T15-07,456,81
20191214T14-07,451,82
