,coal,natural gas,nuclear,other,solar,hydro,wind
20191114T00-06,9767,22494,5113,14,0,0,4295
20191113T23-06,9822,24493,5113,12,0,0,4850
20191113T22-06,9771,26472,5113,19,0,2,5493
20191113T21-06,9730,27425,5113,23,0,67,6342
20191113T20-06,9642,27993,5112,23,0,67,6758
20191113T19-06,9716,28161,5113,31,0,67,6854
20191113T18-06,9700,27207,5113,30,51,67,6774
20191113T17-06,9244,24335,5112,29,307,33,8248
20191113T16-06,8261,21483,5112,18,691,25,10568
20191113T15-06,7847,21159,5112,17,966,1,10959
20191113T14-06,8471,21684,5112,19,855,0,10409
20191113T13-06,8778,22446,5112,22,733,28,10682
20191113T12-06,8909,22813,5110,18,842,109,11359
20191113T11-06,9198,23233,5109,19,735,82,12441
20191113T10-06,9820,24664,5109,18,529,74,12225
20191113T09-06,10168,25781,5109,17,345,39,12773
20191113T08-06,10248,26989,5109,16,28,39,13594
20191113T07-06,10205,27474,5109,19,0,39,13172
20191113T06-06,10139,23976,5109,20,0,39,13101
20191113T05-06,9250,22131,5110,17,0,1,12903
20191113T04-06,8135,21834,5109,16,0,0,12961
20191113T03-06,8424,21879,5109,16,0,0,12206
20191113T02-06,9074,23133,5109,17,0,0,10060
20191113T01-06,9456,24518,5109,15,0,0,8452
20191113T00-06,9715,26616,5108,17,0,5,6889
20191112T23-06,10003,29133,5108,15,0,7,5847
20191112T22-06,10263,31047,5108,15,0,81,5745
20191112T21-06,10206,32514,5108,20,0,82,5606
20191112T20-06,10183,32196,5109,19,0,82,5729
20191112T19-06,10087,32233,5109,19,0,81,5296
20191112T18-06,10165,29762,5109,27,43,81,5222
20191112T17-06,10265,26737,5108,21,289,42,5253
20191112T16-06,10259,25148,5108,14,764,5,5256
20191112T15-06,10232,25324,5108,12,1036,5,5015
20191112T14-06,10416,26789,5108,12,1248,6,4427
20191112T13-06,10242,28704,5107,12,1198,14,4291
20191112T12-06,10081,30447,5107,14,1158,82,4446
20191112T11-06,10371,30794,5107,11,1144,146,5077
20191112T10-06,10252,31128,5106,21,1065,138,6083
20191112T09-06,10288,31636,5106,21,541,103,7034
20191112T08-06,10232,31597,5106,14,41,103,8249
20191112T07-06,10156,29168,5106,9,0,103,9587
20191112T06-06,9930,24141,5106,8,0,76,11135
20191112T05-06,8895,21171,5106,9,0,2,12183
20191112T04-06,7696,20269,5106,10,0,0,12690
20191112T03-06,6538,19671,5106,17,0,0,13697
20191112T02-06,5997,18806,5108,12,0,1,14579
20191112T01-06,5787,18123,5107,11,0,24,15468
20191112T00-06,6035,18267,5107,10,0,7,16175
20191111T23-06,6674,17849,5106,11,0,7,17352
20191111T22-06,8202,18035,5104,11,0,7,17559
20191111T21-06,9460,18392,5103,11,0,9,17000
20191111T20-06,9614,18537,5103,12,0,47,16771
20191111T19-06,9720,18260,5102,12,0,47,16523
20191111T18-06,9580,17693,5102,14,3,47,15294
20191111T17-06,9047,16471,5102,13,35,9,14856
20191111T16-06,8640,15426,5103,13,75,7,14735
20191111T15-06,8597,14732,5103,16,123,7,14558
20191111T14-06,7799,14372,5103,12,227,7,14994
20191111T13-06,7501,13531,5103,13,253,15,15314
20191111T12-06,7127,12512,5104,14,333,62,15580
20191111T11-06,6551,11649,5104,14,407,98,15928
20191111T10-06,6481,10878,5103,13,229,62,15763
20191111T09-06,6787,11242,5104,13,103,27,14072
20191111T08-06,6965,11011,5103,15,8,26,13233
20191111T07-06,7533,11569,5104,13,0,26,10587
20191111T06-06,5673,9794,5104,16,0,0,10969
20191111T05-06,4886,7853,5104,13,0,0,11786
20191111T04-06,4050,7418,5104,12,0,0,12396
20191111T03-06,3931,7265,5103,13,0,0,12729
20191111T02-06,4016,7207,5103,15,0,1,13135
20191111T01-06,4222,7255,5103,15,0,24,13760
20191111T00-06,4973,7778,5103,13,0,7,14082
20191110T23-06,5801,8250,5103,15,0,7,14765
20191110T22-06,6279,9915,5103,12,0,7,14413
20191110T21-06,6962,11091,5103,16,0,9,13706
20191110T20-06,7388,12724,5103,13,0,46,12480
20191110T19-06,8311,13969,5103,14,0,46,10712
20191110T18-06,8067,13885,5103,24,59,46,9427
20191110T17-06,7065,13404,5102,21,537,9,9411
20191110T16-06,6408,12580,5101,24,1021,7,10144
20191110T15-06,6472,12684,5102,10,1278,7,9606
20191110T14-06,6913,13336,5103,7,1170,7,8392
20191110T13-06,7408,13724,5105,6,1184,15,7231
20191110T12-06,7383,13716,5106,7,1120,46,7134
20191110T11-06,7243,13558,5105,7,1172,70,7491
20191110T10-06,6928,13366,5105,11,1059,62,8341
20191110T09-06,6361,12573,5105,12,649,27,10233
20191110T08-06,6104,11593,5106,12,66,27,11473
20191110T07-06,5704,10946,5106,12,0,25,11638
20191110T06-06,5614,9484,5107,12,0,0,11793
20191110T05-06,5414,8782,5106,14,0,0,11906
20191110T04-06,5170,8644,5107,11,0,0,11869
20191110T03-06,5210,8589,5107,12,0,0,11945
20191110T02-06,5174,8434,5107,14,0,2,12314
20191110T01-06,5441,8556,5105,12,0,24,12487
20191110T00-06,5830,9227,5098,15,0,41,12401
20191109T23-06,6554,10580,5095,16,0,6,11639
20191109T22-06,7035,12225,5095,14,0,6,10476
20191109T21-06,7571,13759,5094,19,0,6,9125
20191109T20-06,7878,15138,5094,15,0,6,7866
20191109T19-06,9269,16417,5095,22,0,6,5365
20191109T18-06,9884,16859,5096,22,103,6,2901
20191109T17-06,9307,16826,5097,25,956,6,1885
20191109T16-06,8907,17044,5097,14,1404,6,1814
20191109T15-06,8732,17150,5096,17,1567,6,1873
20191109T14-06,8748,17373,5096,14,1573,6,2057
20191109T13-06,9039,18040,5096,14,1540,14,1826
20191109T12-06,9752,18780,5093,15,1531,45,1415
20191109T11-06,9982,19890,5096,14,1527,128,1314
20191109T10-06,10067,20493,5096,17,1447,129,1771
20191109T09-06,10118,20509,5096,17,915,67,3234
20191109T08-06,10176,20332,5096,15,116,67,4100
20191109T07-06,9874,19164,5096,14,0,66,4411
20191109T06-06,9824,17387,5096,14,0,2,4730
20191109T05-06,9709,16243,5096,16,0,0,4841
20191109T04-06,9519,15225,5095,16,0,0,5403
20191109T03-06,9655,14891,5095,14,0,0,5433
20191109T02-06,9587,15273,5094,14,0,1,5281
