,coal,natural gas,nuclear,petroleum,other,solar,hydro
20191218T00-05,1149,13948,3839,0,1317,-1,23.0
20191217T23-05,1211,16185,3840,0,1367,0,24.0
20191217T22-05,1377,17943,3837,0,1435,0,25.0
20191217T21-05,1508,19406,3845,0,1452,0,26.0
20191217T20-05,1666,20639,3839,0,1643,4,26.0
20191217T19-05,1701,20980,3837,0,2066,5,26.0
20191217T18-05,1647,20276,3840,0,2014,15,32.0
20191217T17-05,1582,20149,3841,0,2033,155,29.0
20191217T16-05,1586,20448,3840,0,2024,421,34.0
20191217T15-05,1554,20108,3834,0,1984,672,34.0
20191217T14-05,1526,20032,3840,0,1976,831,36.0
20191217T13-05,1476,19507,3845,0,1931,847,39.0
20191217T12-05,1376,18842,3847,0,1889,832,39.0
20191217T11-05,1310,17832,3842,0,1818,727,39.0
20191217T10-05,1261,16985,3838,0,1754,466,40.0
20191217T09-05,1217,15516,3848,7,1747,223,38.0
20191217T08-05,1234,14641,3844,13,1714,41,39.0
20191217T07-05,1138,13387,3842,0,1631,0,39.0
20191217T06-05,930,11584,3846,0,1140,0,39.0
20191217T05-05,864,10627,3840,0,1067,0,39.0
20191217T04-05,864,10414,3846,0,1064,0,34.0
20191217T03-05,863,10702,3843,0,1066,0,32.0
20191217T02-05,864,11367,3843,0,1056,0,33.0
20191217T01-05,962,12183,3843,0,1256,0,32.0
20191217T00-05,1069,13677,3839,0,1726,-1,32.0
20191216T23-05,1245,15688,3842,0,1663,0,32.0
20191216T22-05,1445,17338,3844,0,1736,0,33.0
20191216T21-05,1516,18628,3841,0,1779,0,33.0
20191216T20-05,1630,19532,3843,1,1787,5,34.0
20191216T19-05,1646,20083,3841,0,1794,5,32.0
20191216T18-05,1626,19217,3842,0,1816,24,37.0
20191216T17-05,1529,18629,3842,0,1805,317,28.0
20191216T16-05,1481,18324,3843,0,1786,782,27.0
20191216T15-05,1443,17842,3845,0,1792,1076,24.0
20191216T14-05,1408,17256,3846,0,1794,1156,24.0
20191216T13-05,1360,16473,3841,0,1772,1264,24.0
20191216T12-05,1275,15859,3849,0,1684,1343,25.0
20191216T11-05,1269,15113,3849,0,1647,1274,24.0
20191216T10-05,1247,14426,3847,0,1753,1115,24.0
20191216T09-05,1234,13827,3851,0,1866,638,23.0
20191216T08-05,1240,13326,3850,0,2165,80,26.0
20191216T07-05,1127,12000,3851,0,2191,-1,26.0
20191216T06-05,886,10452,3844,0,1633,0,27.0
20191216T05-05,809,9374,3847,0,1382,0,28.0
20191216T04-05,804,8786,3851,0,1368,0,28.0
20191216T03-05,804,8779,3846,0,1491,0,29.0
20191216T02-05,805,9058,3846,0,1665,0,30.0
20191216T01-05,836,9942,3846,0,1624,0,24.0
20191216T00-05,945,10882,3841,0,1943,0,23.0
20191215T23-05,1099,12893,3844,0,2008,-1,20.0
20191215T22-05,1193,14439,3838,0,2058,0,21.0
20191215T21-05,1199,15662,3837,0,2067,0,20.0
20191215T20-05,1243,16463,3844,0,2104,5,20.0
20191215T19-05,1275,16875,3839,0,2114,5,20.0
20191215T18-05,1215,16125,3843,0,2002,30,36.0
20191215T17-05,1192,15646,3838,0,1884,461,21.0
20191215T16-05,1192,15123,3841,0,1807,1085,20.0
20191215T15-05,1185,14521,3841,0,1779,1472,22.0
20191215T14-05,1185,14062,3846,0,1774,1561,22.0
20191215T13-05,1184,13609,3845,0,1763,1556,22.0
20191215T12-05,1185,13309,3848,0,1643,1558,23.0
20191215T11-05,1188,13004,3852,0,1624,1485,22.0
20191215T10-05,1196,12635,3848,0,1718,1213,22.0
20191215T09-05,1197,12070,3850,0,1700,679,22.0
20191215T08-05,1076,11110,3852,0,1404,95,22.0
20191215T07-05,896,10026,3849,0,1299,0,21.0
20191215T06-05,809,9164,3850,0,1220,0,20.0
