,coal,natural gas,nuclear,petroleum,other,solar
20191113T05Z,919,757,66,0.0,15,0
20191113T04Z,1010,817,67,0.0,14,0
20191113T03Z,1151,868,66,0.0,14,0
20191113T02Z,1182,981,67,0.0,15,0
20191113T01Z,1276,1004,66,0.0,15,0
20191113T00Z,1294,1081,68,0.0,15,0
20191112T23Z,1296,1082,67,0.0,15,0
20191112T22Z,1298,1132,65,0.0,15,3
20191112T21Z,1295,1166,66,0.0,15,8
20191112T20Z,1291,1160,67,0.0,16,12
20191112T19Z,1286,1124,68,0.0,13,16
20191112T18Z,1291,1020,66,7.0,15,17
20191112T17Z,1207,984,66,0.0,14,21
20191112T16Z,1070,989,67,0.0,21,17
20191112T15Z,974,1007,66,0.0,19,19
20191112T14Z,876,973,68,0.0,18,12
20191112T13Z,877,907,65,0.0,19,2
20191112T12Z,785,912,68,0.0,18,0
20191112T11Z,594,941,66,0.0,16,0
20191112T10Z,500,917,66,0.0,15,0
20191112T09Z,492,887,69,0.0,16,0
20191112T08Z,494,915,65,0.0,16,0
20191112T07Z,538,916,66,0.0,15,0
20191112T06Z,652,885,67,0.0,15,0
20191112T05Z,753,837,66,0.0,17,0
20191112T04Z,852,843,67,0.0,16,0
20191112T03Z,990,872,67,0.0,15,0
20191112T02Z,1120,891,66,0.0,18,0
20191112T01Z,1258,1008,66,0.0,19,0
20191112T00Z,1297,1070,67,0.0,17,0
20191111T23Z,1293,1036,66,0.0,16,0
20191111T22Z,1294,1069,66,0.0,16,4
20191111T21Z,1292,1056,66,0.0,12,10
20191111T20Z,1295,1071,68,0.0,13,13
20191111T19Z,1291,1007,66,0.0,11,16
20191111T18Z,1266,935,66,0.0,16,16
20191111T17Z,1027,938,67,0.0,15,14
20191111T16Z,863,975,65,0.0,15,18
20191111T15Z,771,944,68,0.0,17,18
20191111T14Z,767,836,67,0.0,15,14
20191111T13Z,765,741,65,0.0,13,2
20191111T12Z,716,733,68,0.0,12,0
20191111T11Z,534,773,65,0.0,14,0
20191111T10Z,475,728,67,0.0,13,0
20191111T09Z,487,685,66,0.0,13,0
20191111T08Z,612,572,66,0.0,16,0
20191111T07Z,655,570,67,0.0,15,0
20191111T06Z,734,558,67,0.0,16,0
20191111T05Z,759,651,66,0.0,16,0
20191111T04Z,763,743,65,0.0,14,0
20191111T03Z,835,785,69,0.0,15,0
20191111T02Z,940,804,65,0.0,15,0
20191111T01Z,1047,925,65,0.0,14,0
20191111T00Z,1085,974,66,0.0,14,0
20191110T23Z,1105,922,67,0.0,15,0
20191110T22Z,1110,947,66,0.0,16,6
20191110T21Z,1145,920,65,0.0,16,13
20191110T20Z,1076,973,67,0.0,17,17
20191110T19Z,1030,968,66,0.0,15,20
20191110T18Z,945,984,67,0.0,13,20
20191110T17Z,838,865,67,0.0,14,22
20191110T16Z,819,818,66,0.0,14,20
20191110T15Z,661,908,66,0.0,14,19
20191110T14Z,498,933,66,0.0,14,14
20191110T13Z,464,814,66,0.0,15,2
20191110T12Z,464,783,66,0.0,13,0
20191110T11Z,465,731,66,0.0,14,0
20191110T10Z,465,703,68,0.0,12,0
20191110T09Z,464,705,66,0.0,14,0
20191110T08Z,464,725,65,0.0,18,0
20191110T07Z,464,770,67,0.0,15,0
20191110T06Z,468,838,67,0.0,15,0
20191110T05Z,530,847,65,0.0,16,0
20191110T04Z,634,810,67,0.0,15,0
20191110T03Z,762,785,65,0.0,19,0
20191110T02Z,856,798,66,0.0,16,0
20191110T01Z,911,829,67,0.0,15,0
20191110T00Z,1014,930,67,0.0,16,0
20191109T23Z,1039,896,65,0.0,14,1
20191109T22Z,1045,918,66,0.0,16,3
20191109T21Z,1066,939,68,0.0,13,13
20191109T20Z,1083,960,65,0.0,16,11
20191109T19Z,1066,957,65,0.0,14,17
20191109T18Z,1018,962,67,0.0,14,18
20191109T17Z,988,927,67,0.0,15,18
20191109T16Z,907,825,66,0.0,16,15
20191109T15Z,814,821,66,0.0,14,14
20191109T14Z,766,753,67,0.0,14,4
20191109T13Z,697,720,66,0.0,15,0
20191109T12Z,522,850,67,0.0,15,0
20191109T11Z,487,814,67,0.0,16,0
20191109T10Z,489,797,64,0.0,13,0
20191109T09Z,487,801,66,0.0,15,0
20191109T08Z,492,827,68,0.0,15,0
20191109T07Z,529,852,66,0.0,14,0
20191109T06Z,605,864,65,0.0,15,0
20191109T05Z,661,874,66,0.0,16,0
20191109T04Z,761,917,67,0.0,15,0
20191109T03Z,830,962,67,0.0,15,0
20191109T02Z,961,951,66,0.0,14,0
20191109T01Z,1038,977,66,0.0,15,0
20191109T00Z,1168,939,66,0.0,17,0
20191108T23Z,1167,956,66,0.0,16,0
20191108T22Z,1186,940,67,0.0,17,0
20191108T21Z,1256,935,65,0.0,16,5
20191108T20Z,1295,1000,66,0.0,14,4
20191108T19Z,1281,1053,66,0.0,14,6
20191108T18Z,1273,1087,67,0.0,17,10
20191108T17Z,1279,1043,66,30.0,18,13
20191108T16Z,1241,998,65,2.0,17,15
20191108T15Z,1102,966,67,0.0,21,11
20191108T14Z,974,952,66,0.0,21,7
20191108T13Z,876,950,65,0.0,17,2
20191108T12Z,800,908,68,0.0,16,0
20191108T11Z,677,866,67,0.0,16,0
20191108T10Z,591,866,66,0.0,14,0
20191108T09Z,557,878,66,0.0,16,0
20191108T08Z,577,889,66,0.0,15,0
20191108T07Z,655,869,66,0.0,16,0
20191108T06Z,804,833,66,0.0,14,0
20191108T05Z,856,946,66,0.0,16,0
20191108T04Z,1088,924,66,0.0,14,0
20191108T03Z,1245,952,68,0.0,16,0
20191108T02Z,1290,1182,65,0.0,16,0
20191108T01Z,1288,1321,67,0.0,15,0
20191108T00Z,1290,1444,65,0.0,15,0
20191107T23Z,1285,1462,67,0.0,15,0
20191107T22Z,1288,1550,66,0.0,16,4
20191107T21Z,1289,1583,67,0.0,16,8
20191107T20Z,1290,1554,66,0.0,16,11
20191107T19Z,1294,1427,66,0.0,13,13
20191107T18Z,1292,1324,68,0.0,14,16
20191107T17Z,1288,1296,65,2.0,15,14
20191107T16Z,1201,1113,66,0.0,14,16
20191107T15Z,1066,1067,66,0.0,16,15
20191107T14Z,960,1002,67,0.0,16,13
20191107T13Z,951,883,66,0.0,15,5
20191107T12Z,762,954,66,0.0,16,0
20191107T11Z,577,948,66,0.0,15,0
20191107T10Z,550,855,66,0.0,13,0
20191107T09Z,550,827,69,0.0,15,0
20191107T08Z,552,858,65,0.0,16,0
20191107T07Z,550,916,66,0.0,15,0
20191107T06Z,604,941,66,0.0,15,0
20191107T05Z,783,907,67,0.0,15,0
20191107T04Z,868,1012,66,0.0,13,0
20191107T03Z,969,1093,65,0.0,15,0
20191107T02Z,1172,1045,68,0.0,16,0
20191107T01Z,1201,1130,65,0.0,15,0
20191107T00Z,1251,1169,67,0.0,14,0
20191106T23Z,1249,1156,65,0.0,14,0
20191106T22Z,1279,1168,67,0.0,15,1
20191106T21Z,1232,1270,66,0.0,12,6
20191106T20Z,1291,1255,67,0.0,14,12
20191106T19Z,1294,1239,66,0.0,14,9
20191106T18Z,1273,1178,66,0.0,13,12
20191106T17Z,1222,1106,65,0.0,15,11
20191106T16Z,1153,1040,66,0.0,15,12
20191106T15Z,1072,989,67,2.0,14,9
20191106T14Z,933,1020,66,0.0,15,5
20191106T13Z,928,935,67,0.0,16,0
20191106T12Z,818,959,65,0.0,12,0
20191106T11Z,622,957,66,0.0,15,0
20191106T10Z,550,896,67,0.0,13,0
20191106T09Z,551,874,67,0.0,14,0
20191106T08Z,548,898,66,0.0,12,0
20191106T07Z,556,942,66,0.0,14,0
20191106T06Z,646,930,67,0.0,15,0
20191106T05Z,799,928,67,0.0,13,0
20191106T04Z,940,990,65,0.0,14,0
20191106T03Z,1031,1079,66,0.0,14,0
20191106T02Z,1214,1072,66,0.0,16,0
20191106T01Z,1297,1123,66,0.0,15,0
20191106T00Z,1296,1227,66,0.0,15,0
20191105T23Z,1295,1215,66,0.0,16,0
20191105T22Z,1292,1221,66,0.0,14,1
20191105T21Z,1295,1271,66,0.0,14,2
20191105T20Z,1296,1290,68,0.0,15,5
20191105T19Z,1294,1292,64,0.0,16,8
20191105T18Z,1292,1230,66,1.0,15,15
20191105T17Z,1284,1131,67,0.0,12,14
20191105T16Z,1200,1083,68,0.0,12,15
20191105T15Z,1131,1017,64,0.0,16,18
20191105T14Z,925,1019,66,0.0,14,13
20191105T13Z,853,950,67,0.0,17,2
20191105T12Z,721,962,66,0.0,18,0
20191105T11Z,652,848,67,0.0,16,0
20191105T10Z,649,749,65,0.0,15,0
20191105T09Z,651,719,67,0.0,17,0
20191105T08Z,675,731,66,0.0,16,0
20191105T07Z,697,764,65,0.0,17,0
20191105T06Z,904,639,67,0.0,17,0
20191105T05Z,1052,689,66,0.0,18,0
20191105T04Z,1168,705,66,0.0,15,0
20191105T03Z,1262,805,66,0.0,15,0
20191105T02Z,1287,942,66,0.0,16,0
20191105T01Z,1292,1031,66,0.0,16,0
20191105T00Z,1273,1057,66,0.0,17,0
20191104T23Z,1204,1074,66,0.0,15,0
20191104T22Z,1215,1065,66,0.0,16,1
20191104T21Z,1248,1068,67,0.0,14,4
20191104T20Z,1259,1071,65,0.0,13,6
20191104T19Z,1232,1069,67,0.0,12,9
20191104T18Z,1181,1053,66,2.0,8,12
20191104T17Z,1203,966,66,0.0,7,11
20191104T16Z,1249,865,64,0.0,7,12
20191104T15Z,1210,740,67,0.0,9,14
20191104T14Z,1153,673,67,0.0,9,7
20191104T13Z,1052,672,66,0.0,9,2
20191104T12Z,988,663,66,0.0,11,0
20191104T11Z,832,624,66,0.0,12,0
20191104T10Z,780,549,65,0.0,11,0
20191104T09Z,782,511,66,0.0,7,0
