,natural gas,petroleum,other,solar,hydro
20191113T05Z,2921,0,103,0,18
20191113T04Z,3499,0,105,0,17
20191113T03Z,4115,0,105,0,18
20191113T02Z,4573,0,106,0,18
20191113T01Z,4958,0,105,0,19
20191113T00Z,5269,0,105,0,20
20191112T23Z,5218,0,106,0,37
20191112T22Z,5335,0,102,7,21
20191112T21Z,5378,0,103,7,18
20191112T20Z,5293,0,105,11,19
20191112T19Z,5106,0,104,13,18
20191112T18Z,4739,0,104,18,19
20191112T17Z,4402,0,106,27,19
20191112T16Z,3958,0,104,55,18
20191112T15Z,3560,0,104,59,19
20191112T14Z,3319,0,102,39,18
20191112T13Z,3113,0,101,9,18
20191112T12Z,2768,0,103,0,18
20191112T11Z,2452,0,103,0,18
20191112T10Z,2270,0,103,0,19
20191112T09Z,2234,0,104,0,19
20191112T08Z,2266,0,103,0,18
20191112T07Z,2341,0,106,0,19
20191112T06Z,2492,0,105,0,19
20191112T05Z,2836,0,103,0,18
20191112T04Z,3356,0,101,0,18
20191112T03Z,3745,0,102,0,18
20191112T02Z,4038,0,101,0,17
20191112T01Z,4305,0,99,0,18
20191112T00Z,4411,0,100,0,18
20191111T23Z,4334,0,99,3,36
20191111T22Z,4227,0,97,40,20
20191111T21Z,4193,0,96,42,18
20191111T20Z,4116,14,91,65,18
20191111T19Z,3824,26,88,64,18
20191111T18Z,3745,6,80,68,18
20191111T17Z,3666,0,89,70,18
20191111T16Z,3494,0,86,75,18
20191111T15Z,3265,0,90,75,19
20191111T14Z,3201,0,87,63,20
20191111T13Z,3026,0,92,14,20
20191111T12Z,2625,0,93,0,21
20191111T11Z,2325,0,93,0,20
20191111T10Z,2145,0,95,0,21
20191111T09Z,2115,0,94,0,20
20191111T08Z,2129,0,94,0,21
20191111T07Z,2174,0,96,0,21
20191111T06Z,2275,0,96,0,21
20191111T05Z,2567,0,98,0,20
20191111T04Z,2946,0,95,0,20
20191111T03Z,3228,0,96,0,20
20191111T02Z,3509,0,96,0,20
20191111T01Z,3577,0,97,0,20
20191111T00Z,3740,0,94,0,21
20191110T23Z,3686,0,95,3,36
20191110T22Z,3706,0,95,43,23
20191110T21Z,3608,0,94,73,23
20191110T20Z,3432,0,96,77,22
20191110T19Z,3233,0,97,77,22
20191110T18Z,3067,0,98,76,20
20191110T17Z,3105,0,98,79,20
20191110T16Z,3046,0,98,80,19
20191110T15Z,2923,0,98,82,20
20191110T14Z,2774,0,99,70,19
20191110T13Z,2449,0,94,17,18
20191110T12Z,2149,0,86,0,19
20191110T11Z,2112,0,78,0,19
20191110T10Z,2096,0,80,0,21
20191110T09Z,2123,0,76,0,21
20191110T08Z,2161,0,78,0,21
20191110T07Z,2222,0,81,0,21
20191110T06Z,2322,0,79,0,20
20191110T05Z,2579,0,81,0,21
20191110T04Z,2825,0,80,0,21
20191110T03Z,2969,0,85,0,21
20191110T02Z,3163,0,83,0,21
20191110T01Z,3375,0,71,0,21
20191110T00Z,3347,0,67,0,21
20191109T23Z,3237,0,69,3,38
20191109T22Z,3301,0,66,46,21
20191109T21Z,3341,0,67,76,21
20191109T20Z,3391,0,68,79,21
20191109T19Z,3397,0,65,79,22
20191109T18Z,3287,0,67,77,22
20191109T17Z,3287,0,68,79,21
20191109T16Z,3257,0,66,81,21
20191109T15Z,3151,0,68,80,23
20191109T14Z,3048,0,67,65,25
20191109T13Z,2739,0,68,15,25
20191109T12Z,2461,0,67,0,25
20191109T11Z,2364,0,69,0,25
20191109T10Z,2340,0,67,0,25
20191109T09Z,2366,0,69,0,25
20191109T08Z,2474,0,66,0,25
20191109T07Z,2560,0,69,0,25
20191109T06Z,2729,0,65,0,24
20191109T05Z,2982,0,65,0,25
20191109T04Z,3004,0,67,0,25
20191109T03Z,3200,0,65,0,25
20191109T02Z,3358,0,66,0,24
20191109T01Z,3654,0,65,0,21
20191109T00Z,3954,0,64,0,21
