,natural gas,nuclear,petroleum,other,solar
20191113T05Z,8687.0,2705.0,0,1419.0,0.0
20191113T04Z,10038.0,2698.0,0,1411.0,0.0
20191113T03Z,10969.0,2706.0,0,1401.0,0.0
20191113T02Z,11920.0,2703.0,0,1418.0,0.0
20191113T01Z,12768.0,2706.0,0,1424.0,5.0
20191113T00Z,13323.0,2703.0,0,1424.0,5.0
20191112T23Z,13212.0,2705.0,0,1438.0,19.0
20191112T22Z,13425.0,2705.0,0,1432.0,214.0
20191112T21Z,13461.0,2707.0,0,1412.0,574.0
20191112T20Z,13228.0,2685.0,0,1425.0,815.0
20191112T19Z,12882.0,2707.0,0,1424.0,918.0
20191112T18Z,12118.0,2683.0,0,1407.0,955.0
20191112T17Z,11239.0,2706.0,0,1434.0,1016.0
20191112T16Z,10366.0,2684.0,0,1427.0,961.0
20191112T15Z,9537.0,2688.0,0,1421.0,802.0
20191112T14Z,8604.0,2708.0,0,1428.0,486.0
20191112T13Z,7771.0,2707.0,0,1419.0,140.0
20191112T12Z,7096.0,2701.0,0,1429.0,1.0
20191112T11Z,5801.0,2703.0,0,1349.0,0.0
20191112T10Z,5282.0,2714.0,0,1279.0,0.0
20191112T09Z,5254.0,2713.0,0,1313.0,0.0
20191112T08Z,5380.0,2711.0,0,1361.0,-1.0
20191112T07Z,5710.0,2710.0,0,1413.0,0.0
20191112T06Z,6209.0,2709.0,0,1415.0,0.0
20191112T05Z,7235.0,2705.0,0,1440.0,0.0
20191112T04Z,8790.0,2707.0,0,1389.0,0.0
20191112T03Z,9957.0,2709.0,0,1365.0,0.0
20191112T02Z,10989.0,2711.0,0,1378.0,-1.0
20191112T01Z,11844.0,2694.0,0,1390.0,5.0
20191112T00Z,12841.0,2711.0,0,1367.0,5.0
20191111T23Z,12691.0,2690.0,0,1414.0,26.0
20191111T22Z,12786.0,2710.0,0,1391.0,259.0
20191111T21Z,12762.0,2706.0,0,1423.0,661.0
20191111T20Z,12500.0,2712.0,0,1428.0,874.0
20191111T19Z,12149.0,2713.0,0,1436.0,936.0
20191111T18Z,11477.0,2695.0,0,1439.0,929.0
20191111T17Z,10796.0,2697.0,0,1426.0,943.0
20191111T16Z,9929.0,2696.0,0,1432.0,918.0
20191111T15Z,9013.0,2719.0,0,1419.0,819.0
20191111T14Z,8108.0,2716.0,0,1395.0,533.0
20191111T13Z,7095.0,2717.0,0,1404.0,166.0
20191111T12Z,6084.0,2717.0,0,1383.0,1.0
20191111T11Z,5349.0,2714.0,0,1287.0,0.0
20191111T10Z,4798.0,2715.0,0,1183.0,0.0
20191111T09Z,4647.0,2716.0,0,1163.0,0.0
20191111T08Z,4701.0,2715.0,0,1242.0,0.0
20191111T07Z,4933.0,2716.0,0,1416.0,0.0
20191111T06Z,5518.0,2714.0,0,1455.0,-1.0
20191111T05Z,6415.0,2715.0,0,1440.0,0.0
20191111T04Z,7674.0,2713.0,0,1456.0,0.0
20191111T03Z,8665.0,2714.0,0,1455.0,0.0
20191111T02Z,9541.0,2714.0,0,1449.0,0.0
20191111T01Z,10187.0,2710.0,0,1458.0,5.0
20191111T00Z,10894.0,2710.0,0,1460.0,5.0
20191110T23Z,10629.0,2710.0,0,1477.0,27.0
20191110T22Z,10699.0,2707.0,0,1438.0,277.0
20191110T21Z,10610.0,2709.0,0,1438.0,776.0
20191110T20Z,10564.0,2708.0,0,1431.0,972.0
20191110T19Z,10259.0,2712.0,0,1467.0,1076.0
20191110T18Z,9917.0,2709.0,0,1466.0,1072.0
20191110T17Z,9312.0,2713.0,0,1363.0,1049.0
20191110T16Z,8648.0,2710.0,0,1296.0,1013.0
20191110T15Z,7854.0,2713.0,0,1355.0,862.0
20191110T14Z,6953.0,2710.0,0,1423.0,551.0
20191110T13Z,5943.0,2711.0,0,1405.0,165.0
20191110T12Z,4720.0,2711.0,0,1435.0,2.0
20191110T11Z,4411.0,2710.0,0,1354.0,0.0
20191110T10Z,4429.0,2709.0,0,1257.0,0.0
20191110T09Z,4440.0,2708.0,0,1344.0,0.0
20191110T08Z,4733.0,2706.0,0,1245.0,0.0
20191110T07Z,5037.0,2708.0,0,1273.0,0.0
20191110T06Z,5507.0,2703.0,0,1404.0,0.0
20191110T05Z,6264.0,2705.0,0,1411.0,0.0
20191110T04Z,7135.0,2702.0,0,1484.0,0.0
20191110T03Z,7880.0,2705.0,0,1458.0,-1.0
20191110T02Z,8540.0,2702.0,0,1446.0,0.0
20191110T01Z,9122.0,2702.0,0,1457.0,0.0
20191110T00Z,9603.0,2706.0,0,1469.0,4.0
20191109T23Z,9570.0,2702.0,0,1468.0,26.0
20191109T22Z,9269.0,2704.0,0,1428.0,253.0
20191109T21Z,9197.0,2699.0,0,1409.0,591.0
20191109T20Z,9200.0,2697.0,0,1398.0,751.0
20191109T19Z,9169.0,2699.0,0,1376.0,775.0
20191109T18Z,9335.0,2698.0,0,1417.0,705.0
20191109T17Z,9400.0,2698.0,0,1392.0,641.0
20191109T16Z,9434.0,2698.0,0,1396.0,495.0
20191109T15Z,9278.0,2698.0,0,1432.0,360.0
20191109T14Z,8795.0,2697.0,0,1441.0,169.0
20191109T13Z,7860.0,2695.0,0,1417.0,32.0
20191109T12Z,6729.0,2695.0,0,1357.0,0.0
20191109T11Z,6295.0,2696.0,0,1329.0,0.0
20191109T10Z,6242.0,2696.0,0,1304.0,0.0
20191109T09Z,6340.0,2695.0,0,1365.0,0.0
20191109T08Z,6587.0,2693.0,0,1393.0,0.0
20191109T07Z,7192.0,2695.0,0,1397.0,0.0
20191109T06Z,8044.0,2693.0,0,1384.0,0.0
20191109T05Z,8954.0,2692.0,0,1419.0,0.0
20191109T04Z,9986.0,2691.0,0,1578.0,-1.0
20191109T03Z,10729.0,2691.0,0,1951.0,0.0
20191109T02Z,11643.0,2690.0,0,1949.0,-1.0
20191109T01Z,12498.0,2689.0,0,1974.0,5.0
20191109T00Z,13315.0,2688.0,0,1973.0,5.0
20191108T23Z,13340.0,2692.0,0,1981.0,15.0
20191108T22Z,13577.0,2689.0,0,1972.0,113.0
20191108T21Z,13868.0,2691.0,0,1963.0,346.0
20191108T20Z,13777.0,2692.0,0,1947.0,488.0
20191108T19Z,13634.0,2692.0,0,1956.0,603.0
20191108T18Z,13815.0,2692.0,0,1936.0,730.0
20191108T17Z,13026.0,2695.0,0,1931.0,820.0
20191108T16Z,11807.0,2698.0,0,1953.0,798.0
20191108T15Z,10850.0,2697.0,0,1935.0,652.0
20191108T14Z,9893.0,2699.0,0,1957.0,420.0
20191108T13Z,8588.0,2696.0,0,1963.0,132.0
20191108T12Z,7717.0,2696.0,0,1951.0,1.0
20191108T11Z,6568.0,2696.0,0,1853.0,0.0
20191108T10Z,6250.0,2699.0,0,1485.0,0.0
20191108T09Z,6305.0,2697.0,0,1559.0,0.0
20191108T08Z,6422.0,2696.0,0,1722.0,0.0
20191108T07Z,6796.0,2696.0,0,1951.0,0.0
20191108T06Z,7753.0,2693.0,0,1963.0,0.0
20191108T05Z,8765.0,2694.0,0,1970.0,0.0
20191108T04Z,10134.0,2691.0,0,1953.0,0.0
20191108T03Z,11749.0,2693.0,0,1975.0,0.0
20191108T02Z,12984.0,2692.0,0,2146.0,0.0
20191108T01Z,13819.0,2692.0,0,2273.0,0.0
20191108T00Z,14611.0,2689.0,0,2253.0,4.0
20191107T23Z,14760.0,2691.0,0,2284.0,30.0
20191107T22Z,15250.0,2689.0,0,2280.0,241.0
20191107T21Z,15319.0,2694.0,0,2254.0,658.0
20191107T20Z,15115.0,2692.0,0,2246.0,883.0
20191107T19Z,14891.0,2692.0,0,2133.0,854.0
20191107T18Z,14376.0,2699.0,0,2138.0,912.0
20191107T17Z,13427.0,2689.0,0,1977.0,926.0
20191107T16Z,12745.0,2690.0,0,1982.0,819.0
20191107T15Z,11272.0,2693.0,0,1976.0,670.0
20191107T14Z,10059.0,2699.0,0,1977.0,427.0
20191107T13Z,8882.0,2697.0,0,1975.0,146.0
20191107T12Z,7991.0,2698.0,0,1958.0,1.0
20191107T11Z,6856.0,2697.0,0,1973.0,0.0
20191107T10Z,6340.0,2695.0,0,1845.0,0.0
20191107T09Z,6356.0,2697.0,0,1867.0,0.0
20191107T08Z,6588.0,2696.0,0,1958.0,0.0
20191107T07Z,7043.0,2695.0,0,1971.0,0.0
20191107T06Z,7837.0,2694.0,0,1983.0,0.0
20191107T05Z,8851.0,2693.0,0,1976.0,0.0
20191107T04Z,10098.0,2693.0,0,1925.0,0.0
20191107T03Z,11420.0,2690.0,0,1951.0,0.0
20191107T02Z,12610.0,2690.0,0,1953.0,0.0
20191107T01Z,13568.0,2689.0,0,1945.0,4.0
20191107T00Z,14326.0,2687.0,0,1846.0,5.0
20191106T23Z,14446.0,2688.0,0,1701.0,25.0
20191106T22Z,14424.0,2688.0,0,1908.0,179.0
20191106T21Z,14417.0,2688.0,0,1954.0,567.0
20191106T20Z,14288.0,2694.0,0,1960.0,716.0
20191106T19Z,14134.0,2691.0,0,1962.0,800.0
20191106T18Z,13744.0,2693.0,0,1969.0,781.0
20191106T17Z,12973.0,2696.0,0,1941.0,742.0
20191106T16Z,11758.0,2691.0,0,1936.0,719.0
20191106T15Z,10544.0,2690.0,0,1932.0,601.0
20191106T14Z,9457.0,2692.0,0,1931.0,351.0
20191106T13Z,8429.0,2692.0,0,1938.0,100.0
20191106T12Z,8011.0,2690.0,0,1965.0,2.0
20191106T11Z,6764.0,2692.0,0,1980.0,0.0
20191106T10Z,6248.0,2692.0,0,1753.0,0.0
20191106T09Z,6585.0,2690.0,0,1374.0,0.0
20191106T08Z,6364.0,2691.0,0,1744.0,0.0
20191106T07Z,6751.0,2690.0,0,1956.0,0.0
20191106T06Z,7520.0,2691.0,0,1957.0,0.0
20191106T05Z,8503.0,2689.0,0,1977.0,0.0
20191106T04Z,9961.0,2690.0,0,1963.0,0.0
20191106T03Z,11273.0,2691.0,0,1982.0,0.0
20191106T02Z,12379.0,2689.0,0,1984.0,-1.0
20191106T01Z,13296.0,2689.0,0,1989.0,5.0
20191106T00Z,14319.0,2689.0,0,2009.0,5.0
20191105T23Z,14237.0,2689.0,0,1996.0,20.0
20191105T22Z,14413.0,2687.0,0,1952.0,167.0
20191105T21Z,14835.0,2689.0,0,1961.0,360.0
20191105T20Z,14629.0,2689.0,0,1948.0,588.0
20191105T19Z,14544.0,2688.0,0,1942.0,626.0
20191105T18Z,14223.0,2689.0,0,1926.0,655.0
20191105T17Z,13255.0,2691.0,0,1928.0,697.0
20191105T16Z,12307.0,2691.0,0,1936.0,713.0
20191105T15Z,11010.0,2691.0,0,1958.0,630.0
20191105T14Z,9621.0,2691.0,0,1967.0,433.0
20191105T13Z,8622.0,2692.0,0,1969.0,142.0
20191105T12Z,7773.0,2692.0,0,1940.0,3.0
20191105T11Z,6713.0,2692.0,0,1892.0,0.0
20191105T10Z,6365.0,2690.0,0,1574.0,-1.0
20191105T09Z,6338.0,2692.0,0,1552.0,0.0
20191105T08Z,6493.0,2691.0,0,1585.0,0.0
20191105T07Z,6868.0,2689.0,0,1729.0,0.0
20191105T06Z,7443.0,2689.0,0,1935.0,0.0
20191105T05Z,8681.0,2690.0,0,1925.0,0.0
20191105T04Z,9986.0,2688.0,0,1943.0,0.0
20191105T03Z,11227.0,2689.0,0,1947.0,0.0
20191105T02Z,12429.0,2687.0,0,1954.0,0.0
20191105T01Z,13258.0,2689.0,0,1957.0,2.0
20191105T00Z,13858.0,2693.0,0,1985.0,4.0
20191104T23Z,13644.0,2691.0,0,1994.0,18.0
20191104T22Z,13414.0,2688.0,0,1996.0,131.0
20191104T21Z,13737.0,2688.0,0,1981.0,296.0
20191104T20Z,13869.0,2689.0,0,1972.0,467.0
20191104T19Z,13722.0,2692.0,0,1930.0,553.0
20191104T18Z,13257.0,2690.0,0,1945.0,628.0
20191104T17Z,12461.0,2694.0,0,1958.0,679.0
20191104T16Z,11424.0,2692.0,0,1974.0,739.0
20191104T15Z,10550.0,2693.0,0,1974.0,619.0
20191104T14Z,9705.0,2695.0,0,1915.0,272.0
20191104T13Z,9214.0,2693.0,0,1595.0,89.0
20191104T12Z,8599.0,2692.0,0,1439.0,2.0
20191104T11Z,7223.0,2694.0,0,1433.0,0.0
20191104T10Z,6480.0,2691.0,0,1192.0,0.0
20191104T09Z,6398.0,2690.0,0,1011.0,-1.0
20191104T08Z,6417.0,2690.0,0,1096.0,0.0
20191104T07Z,6593.0,2688.0,0,1241.0,0.0
20191104T06Z,7067.0,2686.0,0,1340.0,0.0
20191104T04Z,7958.0,2682.0,0,1463.0,0.0
20191104T03Z,8767.0,2684.0,0,1733.0,0.0
20191104T02Z,9686.0,2681.0,0,1932.0,0.0
20191104T01Z,10223.0,2681.0,0,1952.0,0.0
20191104T00Z,10977.0,2679.0,0,1967.0,2.0
20191103T23Z,11535.0,2675.0,0,1996.0,5.0
20191103T22Z,11318.0,2674.0,0,2000.0,24.0
20191103T21Z,11157.0,2673.0,0,1974.0,123.0
20191103T20Z,11396.0,2674.0,0,1961.0,296.0
20191103T19Z,11735.0,2677.0,0,1953.0,471.0
20191103T18Z,11928.0,2676.0,0,1976.0,585.0
20191103T17Z,11606.0,2680.0,0,1980.0,726.0
20191103T16Z,11079.0,2676.0,0,1960.0,839.0
20191103T15Z,10503.0,2679.0,0,1894.0,784.0
20191103T14Z,10290.0,2677.0,0,1521.0,606.0
20191103T13Z,9544.0,2676.0,0,1441.0,387.0
20191103T12Z,8177.0,2680.0,0,1454.0,126.0
20191103T11Z,7352.0,2677.0,0,1446.0,2.0
20191103T10Z,6838.0,2677.0,0,1431.0,0.0
20191103T09Z,6680.0,2675.0,0,1440.0,0.0
20191103T08Z,6864.0,2677.0,0,1442.0,0.0
20191103T07Z,7211.0,2674.0,0,1426.0,0.0
20191103T06Z,7614.0,2674.0,0,1411.0,0.0
20191103T04Z,11462.0,1795.0,0,1988.0,0.0
20191103T03Z,10819.0,2666.0,0,1968.0,0.0
20191103T02Z,11953.0,2665.0,0,1974.0,0.0
20191103T01Z,12888.0,2660.0,0,1946.0,0.0
20191103T00Z,13557.0,2662.0,0,1942.0,3.0
20191102T23Z,13855.0,2669.0,0,1968.0,22.0
20191102T22Z,14698.0,2680.0,0,1920.0,183.0
20191102T21Z,14996.0,2677.0,0,1928.0,446.0
20191102T20Z,14705.0,2681.0,0,1946.0,555.0
20191102T19Z,14764.0,2684.0,0,1926.0,615.0
20191102T18Z,14371.0,2684.0,0,1965.0,619.0
20191102T17Z,13367.0,2686.0,0,1966.0,734.0
20191102T16Z,12194.0,2687.0,0,1967.0,802.0
20191102T15Z,11112.0,2687.0,0,1963.0,645.0
20191102T14Z,10095.0,2679.0,0,1706.0,419.0
20191102T13Z,8910.0,2687.0,0,1421.0,128.0
20191102T12Z,8143.0,2685.0,0,1406.0,6.0
20191102T11Z,7797.0,2686.0,0,1412.0,0.0
20191102T10Z,7532.0,2684.0,0,1420.0,0.0
20191102T09Z,7418.0,2684.0,0,1425.0,0.0
20191102T08Z,7414.0,2685.0,0,1434.0,0.0
20191102T07Z,7756.0,2680.0,0,1421.0,0.0
20191102T06Z,8544.0,2680.0,0,1451.0,0.0
20191102T05Z,9386.0,2680.0,0,1443.0,0.0
20191102T04Z,5141.0,1808.0,0,1413.0,-1.0
20191102T03Z,4919.0,1806.0,0,1561.0,0.0
20191102T02Z,9498.0,1806.0,0,1949.0,0.0
20191102T01Z,12819.0,2677.0,0,1955.0,0.0
20191102T00Z,13649.0,2674.0,0,1974.0,3.0
20191101T23Z,13964.0,2677.0,0,1993.0,27.0
20191101T22Z,14521.0,2677.0,0,1984.0,222.0
20191101T21Z,14816.0,2678.0,0,1983.0,502.0
20191101T20Z,14777.0,2671.0,0,1987.0,666.0
20191101T19Z,14461.0,2683.0,0,1991.0,739.0
20191101T18Z,13793.0,2685.0,0,1990.0,796.0
20191101T17Z,13031.0,2685.0,0,2001.0,834.0
20191101T16Z,12375.0,2687.0,0,1988.0,730.0
20191101T15Z,11642.0,2688.0,0,1985.0,549.0
20191101T14Z,10515.0,2688.0,0,1994.0,370.0
20191101T13Z,9408.0,2687.0,0,1994.0,125.0
20191101T12Z,8879.0,2687.0,0,1994.0,4.0
20191101T11Z,8411.0,2685.0,0,1993.0,0.0
20191101T10Z,7455.0,2686.0,0,1935.0,0.0
20191101T09Z,7031.0,2682.0,0,1919.0,0.0
20191101T08Z,7152.0,2687.0,0,1903.0,0.0
20191101T07Z,7559.0,2683.0,0,1920.0,0.0
20191101T06Z,8211.0,2682.0,0,1939.0,0.0
20191101T05Z,9042.0,2681.0,0,1948.0,0.0
20191101T04Z,10131.0,2681.0,0,1977.0,0.0
20191101T03Z,11409.0,2678.0,0,1931.0,0.0
20191101T02Z,12536.0,2683.0,0,1981.0,-1.0
20191101T01Z,13243.0,2677.0,0,1986.0,0.0
20191101T00Z,14139.0,2678.0,0,2103.0,3.0
20191031T23Z,15037.0,2677.0,0,2069.0,37.0
20191031T22Z,16075.0,2681.0,0,2078.0,280.0
20191031T21Z,16299.0,2681.0,0,2127.0,627.0
20191031T20Z,16178.0,2681.0,0,2150.0,729.0
20191031T19Z,15551.0,2683.0,0,2154.0,834.0
20191031T18Z,15018.0,2690.0,0,2147.0,800.0
20191031T17Z,14181.0,2686.0,0,2073.0,856.0
20191031T16Z,13195.0,2687.0,0,1978.0,816.0
20191031T15Z,12224.0,2697.0,0,2000.0,725.0
20191031T14Z,10703.0,2693.0,0,1993.0,510.0
20191031T13Z,9588.0,2694.0,0,1990.0,174.0
20191031T12Z,9171.0,2689.0,0,1968.0,6.0
20191031T11Z,8676.0,2688.0,0,1967.0,0.0
20191031T10Z,7620.0,2685.0,0,1970.0,0.0
20191031T09Z,7176.0,2684.0,0,2005.0,0.0
20191031T08Z,7265.0,2685.0,0,1975.0,0.0
20191031T07Z,7650.0,2686.0,0,1983.0,0.0
20191031T06Z,8279.0,2684.0,0,1970.0,0.0
20191031T05Z,9118.0,2682.0,0,1973.0,0.0
20191031T04Z,10444.0,2679.0,0,1932.0,0.0
20191031T03Z,11899.0,2678.0,0,1991.0,0.0
20191031T02Z,13098.0,2678.0,0,1992.0,0.0
20191031T01Z,14056.0,2678.0,0,2023.0,0.0
20191031T00Z,14959.0,2678.0,0,2129.0,2.0
20191030T23Z,15159.0,2681.0,0,2110.0,36.0
20191030T22Z,15699.0,2679.0,0,2111.0,292.0
20191030T21Z,15919.0,2681.0,0,2099.0,640.0
20191030T20Z,15759.0,2683.0,0,1951.0,854.0
20191030T19Z,15278.0,2682.0,0,1976.0,907.0
20191030T18Z,14617.0,2685.0,0,1975.0,895.0
20191030T17Z,14152.0,2687.0,0,1981.0,866.0
20191030T16Z,13354.0,2689.0,0,1958.0,802.0
20191030T15Z,12392.0,2690.0,0,1960.0,625.0
20191030T14Z,11133.0,2688.0,0,1971.0,455.0
20191030T13Z,9941.0,2688.0,0,1970.0,162.0
20191030T12Z,9475.0,2691.0,0,1959.0,9.0
20191030T11Z,9069.0,2688.0,0,1962.0,0.0
20191030T10Z,8051.0,2686.0,0,2003.0,-1.0
20191030T09Z,7572.0,2686.0,0,1980.0,0.0
20191030T08Z,7661.0,2685.0,0,1973.0,0.0
20191030T07Z,8034.0,2681.0,0,1972.0,0.0
20191030T06Z,8536.0,2682.0,0,1951.0,0.0
20191030T05Z,9062.0,2683.0,0,1956.0,0.0
20191030T04Z,10140.0,2678.0,0,1926.0,0.0
20191030T03Z,11626.0,2678.0,0,1942.0,0.0
20191030T02Z,12994.0,2677.0,0,1978.0,0.0
20191030T01Z,14125.0,2674.0,0,2085.0,0.0
20191030T00Z,15046.0,2676.0,0,2111.0,4.0
20191029T23Z,15286.0,2678.0,0,2110.0,38.0
20191029T22Z,15816.0,2675.0,0,2124.0,295.0
20191029T21Z,15945.0,2678.0,0,2146.0,620.0
20191029T20Z,15821.0,2678.0,0,2138.0,739.0
20191029T19Z,15409.0,2679.0,0,1989.0,842.0
20191029T18Z,15065.0,2678.0,0,2000.0,901.0
20191029T17Z,14457.0,2679.0,0,1991.0,864.0
20191029T16Z,13513.0,2682.0,0,1997.0,787.0
20191029T15Z,12488.0,2680.0,0,1990.0,684.0
20191029T14Z,11223.0,2683.0,0,1994.0,457.0
20191029T13Z,9953.0,2685.0,0,1984.0,158.0
20191029T12Z,9511.0,2686.0,0,1982.0,6.0
20191029T11Z,9056.0,2684.0,0,1973.0,0.0
20191029T10Z,7910.0,2674.0,0,1983.0,0.0
20191029T09Z,7406.0,2682.0,0,1981.0,0.0
20191029T08Z,7475.0,2682.0,0,1950.0,0.0
20191029T07Z,7832.0,2681.0,0,1944.0,0.0
20191029T06Z,8445.0,2681.0,0,1956.0,0.0
20191029T05Z,9339.0,2684.0,0,1957.0,0.0
20191029T04Z,10486.0,2680.0,0,1925.0,0.0
20191029T03Z,11866.0,2680.0,0,1957.0,0.0
20191029T02Z,13320.0,2679.0,0,1959.0,0.0
20191029T01Z,14320.0,2678.0,0,2027.0,0.0
20191029T00Z,15280.0,2679.0,0,2119.0,0.0
20191028T23Z,15548.0,2681.0,0,2124.0,27.0
20191028T22Z,15898.0,2678.0,0,2202.0,239.0
20191028T21Z,15995.0,2681.0,0,2267.0,589.0
20191028T20Z,15808.0,2681.0,0,2259.0,744.0
20191028T19Z,15511.0,2684.0,0,2103.0,749.0
20191028T18Z,14904.0,2687.0,0,1990.0,816.0
20191028T17Z,14164.0,2690.0,0,1992.0,847.0
20191028T16Z,13235.0,2691.0,0,1990.0,788.0
20191028T15Z,12288.0,2692.0,0,1994.0,671.0
20191028T14Z,10937.0,2691.0,0,1991.0,467.0
20191028T13Z,9571.0,2692.0,0,1996.0,170.0
20191028T12Z,9019.0,2693.0,0,1994.0,6.0
20191028T11Z,8660.0,2692.0,0,1995.0,-1.0
20191028T10Z,7605.0,2689.0,0,1998.0,0.0
20191028T09Z,7011.0,2690.0,0,1970.0,0.0
20191028T08Z,7017.0,2689.0,0,1960.0,0.0
20191028T07Z,7355.0,2689.0,0,1958.0,0.0
