,hydro
20191114T00-08,1252
20191113T23-08,1230
20191113T22-08,1260
20191113T21-08,1275
20191113T20-08,1343
20191113T19-08,1359
20191113T18-08,1248
20191113T17-08,1199
20191113T16-08,905
20191113T15-08,920
20191113T14-08,925
20191113T13-08,936
20191113T12-08,919
20191113T11-08,904
20191113T10-08,910
20191113T09-08,927
20191113T08-08,902
20191113T07-08,883
20191113T06-08,836
20191113T05-08,815
20191113T04-08,1061
20191113T03-08,1222
20191113T02-08,1218
20191113T01-08,1171
20191113T00-08,1200
20191112T23-08,1228
20191112T22-08,1269
20191112T21-08,1242
20191112T20-08,1191
20191112T19-08,1307
20191112T18-08,1273
20191112T17-08,1124
20191112T16-08,841
20191112T15-08,783
20191112T14-08,862
20191112T13-08,871
20191112T12-08,834
20191112T11-08,867
20191112T10-08,847
20191112T09-08,867
20191112T08-08,937
20191112T07-08,946
20191112T06-08,914
20191112T05-08,786
20191112T04-08,819
20191112T03-08,1285
20191112T02-08,1340
20191112T01-08,1302
20191112T00-08,1234
20191111T23-08,1263
20191111T22-08,1361
20191111T21-08,1416
20191111T20-08,1411
20191111T19-08,1386
20191111T18-08,1307
20191111T17-08,1100
20191111T16-08,817
20191111T15-08,723
20191111T14-08,635
20191111T13-08,677
20191111T12-08,790
20191111T11-08,899
20191111T10-08,872
20191111T09-08,987
20191111T08-08,956
20191111T07-08,942
20191111T06-08,1000
20191111T05-08,842
20191111T04-08,866
20191111T03-08,1279
20191111T02-08,1283
20191111T01-08,1165
20191111T00-08,1282
20191110T23-08,1254
20191110T22-08,1239
20191110T21-08,1250
20191110T20-08,1268
20191110T19-08,1280
20191110T18-08,1274
20191110T17-08,906
20191110T16-08,825
20191110T15-08,780
20191110T14-08,679
20191110T13-08,659
20191110T12-08,712
20191110T11-08,683
20191110T10-08,680
20191110T09-08,786
20191110T08-08,1066
20191110T07-08,1098
20191110T06-08,1056
20191110T05-08,928
20191110T04-08,870
20191110T03-08,1151
20191110T02-08,1167
20191110T01-08,1191
20191110T00-08,1314
20191109T23-08,1329
20191109T22-08,1272
20191109T21-08,1260
20191109T20-08,1273
20191109T19-08,1315
20191109T18-08,1221
20191109T17-08,960
20191109T16-08,922
20191109T15-08,895
20191109T14-08,876
20191109T13-08,947
20191109T12-08,950
20191109T11-08,981
20191109T10-08,965
20191109T09-08,879
20191109T08-08,849
20191109T07-08,878
20191109T06-08,893
20191109T05-08,770
20191109T04-08,734
20191109T03-08,1230
20191109T02-08,1248
20191109T01-08,1256
20191109T00-08,1319
20191108T23-08,1282
20191108T22-08,1302
20191108T21-08,1317
20191108T20-08,1367
20191108T19-08,1416
20191108T18-08,1409
20191108T17-08,1027
20191108T16-08,927
20191108T15-08,885
20191108T14-08,839
20191108T13-08,773
20191108T12-08,807
20191108T11-08,760
20191108T10-08,777
20191108T09-08,831
20191108T08-08,853
20191108T07-08,856
20191108T06-08,896
20191108T05-08,823
20191108T04-08,859
20191108T03-08,1315
20191108T02-08,1267
20191108T01-08,1262
20191108T00-08,1292
20191107T23-08,1352
20191107T22-08,1390
20191107T21-08,1376
20191107T20-08,1323
20191107T19-08,1273
20191107T18-08,1293
20191107T17-08,958
20191107T16-08,935
20191107T15-08,792
20191107T14-08,974
20191107T13-08,870
20191107T12-08,846
20191107T11-08,812
20191107T10-08,818
20191107T09-08,868
20191107T08-08,796
20191107T07-08,915
20191107T06-08,966
20191107T05-08,992
20191107T04-08,1127
20191107T03-08,1353
20191107T02-08,1351
20191107T01-08,1355
20191107T00-08,1317
20191106T23-08,1206
20191106T22-08,1270
20191106T21-08,1195
20191106T20-08,1231
20191106T19-08,1217
20191106T18-08,1256
20191106T17-08,778
20191106T16-08,902
20191106T15-08,730
20191106T14-08,743
20191106T13-08,685
20191106T12-08,686
20191106T11-08,778
20191106T10-08,701
20191106T09-08,721
20191106T08-08,777
20191106T07-08,670
20191106T06-08,797
20191106T05-08,922
20191106T04-08,1104
20191106T03-08,1297
20191106T02-08,1281
20191106T01-08,1285
20191106T00-08,1264
20191105T23-08,1288
20191105T22-08,1304
20191105T21-08,1280
20191105T20-08,1135
20191105T19-08,1160
20191105T18-08,1138
20191105T17-08,796
20191105T16-08,605
20191105T15-08,733
20191105T14-08,782
20191105T13-08,627
20191105T12-08,661
20191105T11-08,735
20191105T10-08,536
20191105T09-08,572
20191105T08-08,746
20191105T07-08,944
20191105T06-08,1104
20191105T05-08,1111
20191105T04-08,1223
20191105T03-08,1394
20191105T02-08,1364
20191105T01-08,1244
20191105T00-08,1174
20191104T23-08,1163
20191104T22-08,1256
20191104T21-08,1255
20191104T20-08,1309
20191104T19-08,1267
20191104T18-08,1223
20191104T17-08,924
20191104T16-08,872
20191104T15-08,842
20191104T14-08,802
20191104T13-08,854
20191104T12-08,844
20191104T11-08,805
20191104T10-08,763
20191104T09-08,668
20191104T08-08,764
20191104T07-08,891
20191104T06-08,965
20191104T05-08,940
20191104T04-08,1009
20191104T03-08,1076
20191104T02-08,1036
20191104T01-08,985
20191104T00-08,734
20191103T23-08,783
20191103T22-08,831
20191103T21-08,1050
20191103T20-08,902
20191103T19-08,922
20191103T18-08,907
20191103T17-08,864
20191103T16-08,862
20191103T15-08,714
20191103T14-08,610
20191103T13-08,686
20191103T12-08,584
20191103T11-08,507
20191103T10-08,486
20191103T09-08,392
20191103T08-08,428
20191103T07-08,672
20191103T06-08,639
20191103T05-08,778
20191103T04-08,720
20191103T03-08,773
20191103T02-08,792
20191103T01-08,793
20191103T01-07,739
20191103T00-07,733
20191102T23-07,816
20191102T22-07,1140
20191102T21-07,1157
20191102T20-07,1099
20191102T19-07,1133
20191102T18-07,872
20191102T17-07,806
20191102T16-07,730
20191102T15-07,671
20191102T14-07,690
20191102T13-07,685
20191102T12-07,633
20191102T11-07,595
20191102T10-07,554
20191102T09-07,643
20191102T08-07,852
20191102T07-07,889
20191102T06-07,913
20191102T05-07,1066
20191102T04-07,1158
20191102T03-07,1244
20191102T02-07,1209
20191102T01-07,1134
20191102T00-07,1175
20191101T23-07,977
20191101T22-07,1065
