,natural gas
20200106T00-08,583
20200105T23-08,583
20200105T22-08,582
20200105T21-08,580
20200105T20-08,582
20200105T19-08,581
20200105T18-08,580
20200105T17-08,581
20200105T16-08,582
20200105T15-08,584
20200105T14-08,583
20200105T13-08,582
20200105T12-08,581
20200105T11-08,581
20200105T10-08,581
20200105T09-08,580
20200105T08-08,582
20200105T07-08,581
20200105T06-08,583
20200105T05-08,584
20200105T04-08,583
20200105T03-08,583
20200105T02-08,583
20200105T01-08,582
20200105T00-08,582
20200104T23-08,582
20200104T22-08,581
20200104T21-08,582
20200104T20-08,583
20200104T19-08,581
20200104T18-08,581
20200104T17-08,583
20200104T16-08,583
20200104T15-08,582
20200104T14-08,582
20200104T13-08,582
20200104T12-08,582
20200104T11-08,582
20200104T10-08,582
20200104T09-08,579
20200104T08-08,533
20200104T07-08,533
20200104T06-08,534
20200104T05-08,535
20200104T04-08,535
20200104T03-08,583
20200104T02-08,583
20200104T01-08,584
20200104T00-08,583
20200103T23-08,583
20200103T22-08,582
20200103T21-08,582
20200103T20-08,580
20200103T19-08,582
20200103T18-08,581
20200103T17-08,582
20200103T16-08,583
20200103T15-08,582
20200103T14-08,583
20200103T13-08,583
20200103T12-08,583
20200103T11-08,581
20200103T10-08,581
20200103T09-08,582
20200103T08-08,585
20200103T07-08,583
20200103T06-08,583
20200103T05-08,584
20200103T04-08,585
20200103T03-08,583
20200103T02-08,581
20200103T01-08,577
20200103T00-08,508
20200102T23-08,508
20200102T22-08,577
20200102T21-08,581
20200102T20-08,581
20200102T19-08,581
20200102T18-08,581
20200102T17-08,580
20200102T16-08,583
20200102T15-08,583
20200102T14-08,581
20200102T13-08,582
20200102T12-08,583
20200102T11-08,581
20200102T10-08,582
20200102T09-08,582
20200102T08-08,582
20200102T07-08,577
20200102T06-08,488
20200102T05-08,482
20200102T04-08,432
20200102T03-08,425
20200102T02-08,503
20200102T01-08,505
20200102T00-08,461
20200101T23-08,509
20200101T22-08,507
20200101T21-08,507
20200101T20-08,507
20200101T19-08,506
20200101T18-08,508
20200101T17-08,508
20200101T16-08,509
20200101T15-08,507
20200101T14-08,507
20200101T13-08,492
20200101T12-08,493
20200101T11-08,492
20200101T10-08,491
20200101T09-08,477
20200101T08-08,492
20200101T07-08,506
20200101T06-08,490
20200101T05-08,528
20200101T04-08,483
20200101T03-08,484
20200101T02-08,485
20200101T01-08,512
20200101T00-08,584
20191231T23-08,584
20191231T22-08,546
20191231T21-08,566
20191231T20-08,581
20191231T19-08,581
20191231T18-08,589
20191231T17-08,581
20191231T16-08,582
20191231T15-08,581
20191231T14-08,583
20191231T13-08,582
20191231T12-08,591
20191231T11-08,593
20191231T10-08,591
20191231T09-08,591
20191231T08-08,593
20191231T07-08,591
20191231T06-08,588
20191231T05-08,587
20191231T04-08,588
20191231T03-08,587
20191231T02-08,587
20191231T01-08,587
20191231T00-08,590
20191230T23-08,590
20191230T22-08,595
20191230T21-08,596
20191230T20-08,595
20191230T19-08,595
20191230T18-08,596
20191230T17-08,595
20191230T16-08,597
20191230T15-08,596
20191230T14-08,596
20191230T13-08,595
20191230T12-08,596
20191230T11-08,594
20191230T10-08,595
20191230T09-08,597
20191230T08-08,597
20191230T07-08,595
20191230T06-08,591
20191230T05-08,590
20191230T04-08,590
20191230T03-08,589
20191230T02-08,591
20191230T01-08,590
20191230T00-08,591
20191229T23-08,590
20191229T22-08,590
20191229T21-08,588
20191229T20-08,590
20191229T19-08,589
20191229T18-08,589
20191229T17-08,589
20191229T16-08,591
20191229T15-08,591
20191229T14-08,590
20191229T13-08,590
20191229T12-08,590
20191229T11-08,590
20191229T10-08,590
20191229T09-08,590
20191229T08-08,590
20191229T07-08,591
20191229T06-08,591
20191229T05-08,589
20191229T04-08,590
20191229T03-08,589
20191229T02-08,590
20191229T01-08,590
20191229T00-08,589
20191228T23-08,588
20191228T22-08,597
20191228T21-08,596
20191228T20-08,596
20191228T19-08,596
20191228T18-08,597
20191228T17-08,597
20191228T16-08,599
20191228T15-08,598
20191228T14-08,596
20191228T13-08,598
20191228T12-08,598
20191228T11-08,596
20191228T10-08,596
20191228T09-08,598
20191228T08-08,598
20191228T07-08,597
20191228T06-08,591
20191228T05-08,589
20191228T04-08,589
20191228T03-08,589
20191228T02-08,589
20191228T01-08,588
20191228T00-08,588
20191227T23-08,589
20191227T22-08,596
20191227T21-08,597
20191227T20-08,597
20191227T19-08,597
20191227T18-08,598
20191227T17-08,597
20191227T16-08,598
20191227T15-08,598
20191227T14-08,597
20191227T13-08,597
20191227T12-08,599
20191227T11-08,597
20191227T10-08,600
20191227T09-08,601
20191227T08-08,601
20191227T07-08,601
20191227T06-08,591
20191227T05-08,591
20191227T04-08,592
20191227T03-08,593
20191227T02-08,593
20191227T01-08,592
20191227T00-08,593
20191226T23-08,591
20191226T22-08,592
20191226T21-08,592
20191226T20-08,592
20191226T19-08,592
20191226T18-08,592
20191226T17-08,593
20191226T16-08,593
20191226T15-08,592
20191226T14-08,593
20191226T13-08,591
20191226T12-08,603
20191226T11-08,593
20191226T10-08,592
20191226T09-08,593
20191226T08-08,592
20191226T07-08,592
20191226T06-08,588
20191226T05-08,587
20191226T04-08,587
20191226T03-08,587
20191226T02-08,586
20191226T01-08,562
20191226T00-08,515
20191225T23-08,516
20191225T22-08,583
20191225T21-08,585
20191225T20-08,586
20191225T19-08,587
20191225T18-08,585
20191225T17-08,586
20191225T16-08,587
20191225T15-08,585
20191225T14-08,586
20191225T13-08,586
20191225T12-08,586
20191225T11-08,585
20191225T10-08,586
20191225T09-08,586
20191225T08-08,586
20191225T07-08,587
20191225T06-08,587
20191225T05-08,587
20191225T04-08,540
20191225T03-08,538
20191225T02-08,539
20191225T01-08,564
20191225T00-08,586
20191224T23-08,588
20191224T22-08,591
20191224T21-08,592
20191224T20-08,592
20191224T19-08,592
20191224T18-08,590
20191224T17-08,590
20191224T16-08,593
20191224T15-08,593
20191224T14-08,592
20191224T13-08,592
20191224T12-08,591
20191224T11-08,591
20191224T10-08,592
20191224T09-08,593
20191224T08-08,593
20191224T07-08,592
20191224T06-08,589
20191224T05-08,590
20191224T04-08,588
20191224T03-08,590
20191224T02-08,590
20191224T01-08,590
20191224T00-08,585
20191223T23-08,587
20191223T22-08,594
20191223T21-08,597
20191223T20-08,597
20191223T19-08,598
20191223T18-08,597
20191223T17-08,594
20191223T16-08,593
20191223T15-08,593
20191223T14-08,593
20191223T13-08,592
20191223T12-08,593
20191223T11-08,593
20191223T10-08,593
20191223T09-08,593
20191223T08-08,594
20191223T07-08,593
20191223T06-08,583
20191223T05-08,581
20191223T04-08,580
20191223T03-08,583
20191223T02-08,580
20191223T01-08,581
20191223T00-08,583
20191222T23-08,580
20191222T22-08,581
20191222T21-08,582
20191222T20-08,581
20191222T19-08,582
20191222T18-08,581
20191222T17-08,581
20191222T16-08,583
20191222T15-08,581
20191222T14-08,583
20191222T13-08,581
20191222T12-08,581
20191222T11-08,581
20191222T10-08,582
20191222T09-08,581
20191222T08-08,582
20191222T07-08,583
20191222T06-08,582
20191222T05-08,583
20191222T04-08,581
20191222T03-08,582
20191222T02-08,583
20191222T01-08,582
20191222T00-08,590
20191221T23-08,587
20191221T22-08,576
20191221T21-08,576
20191221T20-08,576
20191221T19-08,575
20191221T18-08,576
20191221T17-08,574
20191221T16-08,574
20191221T15-08,575
20191221T14-08,575
20191221T13-08,576
20191221T12-08,576
20191221T11-08,575
20191221T10-08,576
20191221T09-08,577
20191221T08-08,575
20191221T07-08,583
20191221T06-08,589
20191221T05-08,589
20191221T04-08,588
20191221T03-08,586
20191221T02-08,588
20191221T01-08,588
20191221T00-08,579
20191220T23-08,579
20191220T22-08,581
20191220T21-08,580
20191220T20-08,581
20191220T19-08,580
20191220T18-08,579
20191220T17-08,581
20191220T16-08,582
20191220T15-08,581
20191220T14-08,582
20191220T13-08,582
20191220T12-08,584
20191220T11-08,586
20191220T10-08,593
20191220T09-08,593
20191220T08-08,595
20191220T07-08,599
20191220T06-08,601
20191220T05-08,589
20191220T04-08,590
20191220T03-08,589
20191220T02-08,589
20191220T01-08,589
20191220T00-08,590
20191219T23-08,592
20191219T22-08,596
20191219T21-08,595
20191219T20-08,595
20191219T19-08,596
20191219T18-08,595
20191219T17-08,596
20191219T16-08,597
20191219T15-08,597
20191219T14-08,597
20191219T13-08,596
20191219T12-08,597
20191219T11-08,596
20191219T10-08,597
20191219T09-08,596
20191219T08-08,597
20191219T07-08,598
20191219T06-08,593
20191219T05-08,592
20191219T04-08,593
20191219T03-08,592
20191219T02-08,592
20191219T01-08,592
20191219T00-08,587
20191218T23-08,587
20191218T22-08,597
20191218T21-08,597
20191218T20-08,597
20191218T19-08,596
20191218T18-08,598
20191218T17-08,598
20191218T16-08,599
20191218T15-08,598
20191218T14-08,597
20191218T13-08,599
20191218T12-08,597
20191218T11-08,598
20191218T10-08,597
20191218T09-08,597
20191218T08-08,596
20191218T07-08,599
20191218T06-08,590
20191218T05-08,591
20191218T04-08,592
20191218T03-08,592
20191218T02-08,593
20191218T01-08,592
20191218T00-08,589
20191217T23-08,589
20191217T22-08,600
20191217T21-08,600
20191217T20-08,600
20191217T19-08,600
20191217T18-08,600
20191217T17-08,601
20191217T16-08,602
20191217T15-08,604
20191217T14-08,602
20191217T13-08,600
20191217T12-08,600
20191217T11-08,596
20191217T10-08,595
20191217T09-08,595
20191217T08-08,596
20191217T07-08,596
20191217T06-08,586
20191217T05-08,585
20191217T04-08,585
20191217T03-08,583
20191217T02-08,585
20191217T01-08,584
20191217T00-08,586
20191216T23-08,586
20191216T22-08,592
20191216T21-08,593
20191216T20-08,592
20191216T19-08,592
20191216T18-08,593
20191216T17-08,593
20191216T16-08,595
20191216T15-08,593
20191216T14-08,591
20191216T13-08,593
20191216T12-08,591
20191216T11-08,592
20191216T10-08,592
20191216T09-08,590
20191216T08-08,593
20191216T07-08,592
20191216T06-08,588
20191216T05-08,587
20191216T04-08,586
20191216T03-08,588
20191216T02-08,586
20191216T01-08,588
20191216T00-08,586
20191215T23-08,587
20191215T22-08,585
20191215T21-08,586
20191215T20-08,587
20191215T19-08,587
20191215T18-08,586
20191215T17-08,588
20191215T16-08,598
20191215T15-08,597
20191215T14-08,597
20191215T13-08,607
20191215T12-08,605
20191215T11-08,607
20191215T10-08,604
20191215T09-08,588
20191215T08-08,586
20191215T07-08,587
20191215T06-08,587
20191215T05-08,586
20191215T04-08,586
20191215T03-08,588
20191215T02-08,586
20191215T01-08,586
20191215T00-08,588
20191214T23-08,586
