,natural gas
20191113T07Z,544
20191113T06Z,545
20191113T05Z,546
20191113T04Z,547
20191113T03Z,568
20191113T02Z,568
20191113T01Z,547
20191113T00Z,546
20191112T23Z,540
20191112T22Z,457
20191112T21Z,455
20191112T20Z,456
20191112T19Z,456
20191112T18Z,456
20191112T17Z,460
20191112T16Z,544
20191112T15Z,545
20191112T14Z,546
20191112T13Z,547
20191112T12Z,545
20191112T11Z,546
20191112T10Z,545
20191112T09Z,546
20191112T08Z,543
20191112T07Z,545
20191112T06Z,545
20191112T05Z,552
20191112T04Z,547
20191112T03Z,566
20191112T02Z,545
20191112T01Z,570
20191112T00Z,545
20191111T23Z,542
20191111T22Z,458
20191111T21Z,456
20191111T20Z,455
20191111T19Z,455
20191111T18Z,456
20191111T17Z,461
20191111T16Z,542
20191111T15Z,547
20191111T14Z,547
20191111T13Z,545
20191111T12Z,543
20191111T11Z,474
20191111T10Z,476
20191111T09Z,545
20191111T08Z,436
20191111T07Z,426
20191111T06Z,430
20191111T05Z,480
20191111T04Z,481
20191111T03Z,482
20191111T02Z,505
20191111T01Z,452
20191111T00Z,256
20191110T23Z,256
20191110T22Z,255
20191110T21Z,252
20191110T20Z,250
20191110T19Z,212
20191110T18Z,210
20191110T17Z,213
20191110T16Z,254
20191110T15Z,256
20191110T14Z,254
20191110T13Z,254
20191110T12Z,256
20191110T11Z,255
20191110T10Z,255
20191110T09Z,254
20191110T08Z,255
20191110T07Z,255
20191110T06Z,258
20191110T05Z,258
20191110T04Z,257
20191110T03Z,252
20191110T02Z,258
20191110T01Z,257
20191110T00Z,256
20191109T23Z,256
20191109T22Z,255
20191109T21Z,256
20191109T20Z,255
20191109T19Z,253
20191109T18Z,247
20191109T17Z,247
20191109T16Z,255
20191109T15Z,256
20191109T14Z,255
20191109T13Z,256
20191109T12Z,255
20191109T11Z,254
20191109T10Z,255
20191109T09Z,255
20191109T08Z,254
20191109T07Z,256
20191109T06Z,254
20191109T05Z,255
20191109T04Z,254
20191109T03Z,260
20191109T02Z,257
20191109T01Z,260
20191109T00Z,255
20191108T23Z,255
20191108T22Z,253
20191108T21Z,255
20191108T20Z,254
20191108T19Z,257
20191108T18Z,256
20191108T17Z,255
