,wind
20200105T23-07,145
20200105T22-07,118
20200105T21-07,153
20200105T20-07,168
20200105T19-07,139
20200105T18-07,130
20200105T17-07,179
20200105T16-07,142
20200105T15-07,124
20200105T14-07,158
20200105T13-07,186
20200105T12-07,139
20200105T11-07,117
20200105T10-07,104
20200105T09-07,65
20200105T08-07,58
20200105T07-07,70
20200105T06-07,97
20200105T05-07,164
20200105T04-07,193
20200105T03-07,183
20200105T02-07,193
20200105T01-07,198
20200104T23-07,194
20200104T22-07,196
20200104T21-07,196
20200104T20-07,196
20200104T19-07,196
20200104T18-07,197
20200104T17-07,181
20200104T16-07,134
20200104T15-07,162
20200104T14-07,151
20200104T13-07,182
20200104T12-07,193
20200104T11-07,187
20200104T10-07,168
20200104T09-07,141
20200104T08-07,142
20200104T07-07,147
20200104T06-07,127
20200104T05-07,87
20200104T04-07,75
20200104T03-07,103
20200104T02-07,100
20200104T01-07,104
20200103T23-07,82
20200103T22-07,113
20200103T21-07,140
20200103T20-07,141
20200103T19-07,155
20200103T18-07,164
20200103T17-07,187
20200103T16-07,190
20200103T15-07,172
20200103T14-07,175
20200103T13-07,157
20200103T12-07,94
20200103T11-07,34
20200103T10-07,9
20200103T09-07,12
20200103T08-07,7
20200103T07-07,5
20200103T06-07,2
20200103T05-07,11
20200103T04-07,39
20200103T03-07,78
20200103T02-07,80
20200103T01-07,53
20200102T23-07,32
20200102T22-07,13
20200102T21-07,0
20200102T20-07,0
20200102T19-07,0
20200102T18-07,1
20200102T17-07,3
20200102T16-07,31
20200102T15-07,69
20200102T14-07,19
20200102T13-07,78
20200102T12-07,194
20200102T11-07,189
20200102T10-07,196
20200102T09-07,194
20200102T08-07,196
20200102T07-07,196
20200102T06-07,193
20200102T05-07,190
20200102T04-07,177
20200102T03-07,193
20200102T02-07,196
20200102T01-07,193
20200101T23-07,55
20200101T22-07,168
20200101T21-07,102
20200101T20-07,62
20200101T19-07,8
20200101T18-07,9
20200101T17-07,46
20200101T16-07,123
20200101T15-07,136
20200101T14-07,127
20200101T13-07,153
20200101T12-07,140
20200101T11-07,91
20200101T10-07,118
20200101T09-07,102
20200101T08-07,129
20200101T07-07,138
20200101T06-07,155
20200101T05-07,194
20200101T04-07,192
20200101T03-07,196
20200101T02-07,194
20200101T01-07,194
20191231T23-07,177
20191231T22-07,188
20191231T21-07,188
20191231T20-07,187
20191231T19-07,191
20191231T18-07,162
20191231T17-07,178
20191231T16-07,193
20191231T15-07,193
20191231T14-07,196
20191231T13-07,197
20191231T12-07,196
20191231T11-07,196
20191231T10-07,197
20191231T09-07,196
20191231T08-07,194
20191231T07-07,197
20191231T06-07,180
20191231T05-07,118
20191231T04-07,188
20191231T03-07,194
20191231T02-07,189
20191231T01-07,182
20191230T23-07,184
20191230T22-07,154
20191230T21-07,149
20191230T20-07,124
20191230T19-07,132
20191230T17-07,46
20191230T16-07,13
20191230T15-07,9
20191230T14-07,8
20191230T13-07,22
20191230T11-07,18
20191230T09-07,19
20191230T08-07,39
20191230T07-07,36
20191230T06-07,14
20191230T05-07,11
20191230T04-07,3
20191230T03-07,2
20191230T02-07,0
20191230T01-07,0
20191229T23-07,0
20191229T22-07,0
20191229T21-07,0
20191229T20-07,0
20191229T19-07,0
20191229T18-07,0
20191229T17-07,0
20191229T16-07,0
20191229T15-07,0
20191229T14-07,0
20191229T13-07,0
20191229T12-07,0
20191229T11-07,0
20191229T10-07,0
20191229T09-07,0
20191229T08-07,0
20191229T07-07,0
20191229T06-07,0
20191229T05-07,2
20191229T04-07,13
20191229T03-07,25
20191229T02-07,8
20191229T01-07,13
20191228T23-07,18
20191228T22-07,3
20191228T21-07,0
20191228T20-07,0
20191228T19-07,6
20191228T18-07,10
20191228T17-07,2
20191228T16-07,2
20191228T15-07,0
20191228T14-07,0
20191228T13-07,1
20191228T12-07,14
20191228T11-07,36
20191228T10-07,51
20191228T09-07,59
20191228T08-07,65
20191228T07-07,77
20191228T06-07,85
20191228T05-07,119
20191228T04-07,128
20191228T03-07,121
20191228T02-07,123
20191228T01-07,131
20191227T23-07,152
20191227T22-07,122
20191227T21-07,108
20191227T20-07,115
20191227T19-07,160
20191227T18-07,160
20191227T17-07,168
20191227T16-07,183
20191227T15-07,183
20191227T14-07,175
20191227T13-07,159
20191227T12-07,151
20191227T11-07,167
20191227T10-07,145
20191227T06-07,156
20191227T05-07,164
20191227T04-07,187
20191227T03-07,180
20191227T02-07,157
20191227T01-07,146
20191226T23-07,168
20191226T22-07,167
20191226T21-07,131
20191226T20-07,110
20191226T19-07,77
20191226T18-07,51
20191226T17-07,30
20191226T16-07,29
20191226T15-07,25
20191226T14-07,12
20191226T13-07,2
20191226T12-07,5
20191226T11-07,13
20191226T10-07,6
20191226T09-07,1
20191226T08-07,3
20191226T07-07,5
20191226T06-07,13
20191226T05-07,16
20191226T04-07,7
20191226T03-07,2
20191226T02-07,0
20191226T01-07,0
20191225T23-07,0
20191225T22-07,0
20191225T21-07,1
20191225T20-07,6
20191225T19-07,1
20191225T18-07,10
20191225T17-07,4
20191225T16-07,1
20191225T15-07,1
20191225T14-07,14
20191225T13-07,31
20191225T12-07,49
20191225T11-07,30
20191225T10-07,55
20191225T09-07,27
20191225T08-07,34
20191225T07-07,32
20191225T06-07,9
20191225T05-07,13
20191225T04-07,9
20191225T03-07,0
20191225T02-07,0
20191225T01-07,0
20191224T23-07,0
20191224T22-07,0
20191224T21-07,0
20191224T20-07,0
20191224T19-07,0
20191224T18-07,0
20191224T17-07,0
20191224T16-07,0
20191224T15-07,0
20191224T14-07,0
20191224T13-07,0
20191224T12-07,0
20191224T11-07,1
20191224T10-07,2
20191224T09-07,1
