,natural gas,other,solar,hydro
20191113T08Z,61,522,0,19
20191113T07Z,84,518,0,18
20191113T06Z,108,518,0,18
20191113T05Z,139,513,0,17
20191113T04Z,141,515,0,19
20191113T03Z,140,513,0,19
20191113T02Z,139,512,0,22
20191113T01Z,118,512,7,17
20191113T00Z,93,511,60,20
20191112T23Z,91,508,92,20
20191112T22Z,88,507,89,23
20191112T21Z,79,509,86,20
20191112T20Z,75,502,116,19
20191112T19Z,49,509,126,23
20191112T18Z,58,514,121,25
20191112T17Z,56,515,124,22
20191112T16Z,56,520,75,22
20191112T15Z,59,523,8,20
20191112T14Z,57,524,0,20
20191112T13Z,56,528,0,20
20191112T12Z,49,526,0,21
20191112T11Z,52,522,0,20
20191112T10Z,57,523,0,18
20191112T09Z,59,523,0,20
20191112T08Z,59,518,0,19
20191112T07Z,82,517,0,19
20191112T06Z,101,520,0,19
20191112T05Z,102,513,0,21
20191112T04Z,125,514,0,19
20191112T03Z,126,511,0,17
20191112T02Z,126,508,0,17
20191112T01Z,110,509,6,17
20191112T00Z,60,510,59,16
20191111T23Z,47,507,117,17
20191111T22Z,41,505,131,17
20191111T21Z,51,509,131,14
20191111T20Z,58,510,129,18
20191111T19Z,59,509,134,16
20191111T18Z,59,513,135,17
20191111T17Z,57,521,128,21
20191111T16Z,49,523,74,20
20191111T15Z,52,525,8,20
20191111T14Z,42,524,0,21
20191111T13Z,47,522,0,20
20191111T12Z,52,524,0,18
20191111T11Z,50,523,0,15
20191111T10Z,55,518,0,17
20191111T09Z,58,520,0,15
20191111T08Z,60,517,0,12
20191111T07Z,63,521,0,13
20191111T06Z,101,512,0,16
20191111T05Z,129,514,0,14
20191111T04Z,126,507,0,13
20191111T03Z,141,499,0,14
20191111T02Z,141,485,0,16
20191111T01Z,140,482,8,11
20191111T00Z,112,490,61,10
20191110T23Z,59,484,121,15
20191110T22Z,50,479,131,12
20191110T21Z,41,484,118,12
20191110T20Z,52,485,115,14
20191110T19Z,67,486,97,13
20191110T18Z,64,495,108,13
20191110T17Z,58,500,99,12
20191110T16Z,58,500,52,14
