,coal,natural gas,petroleum,other,solar,hydro,wind
20191113T08Z,197,423,0,59,0,404,193
20191113T07Z,191,432,0,62,0,429,202
20191113T06Z,175,425,0,56,0,540,160
20191113T05Z,167,455,0,60,0,608,152
20191113T04Z,154,439,0,55,0,634,163
20191113T03Z,149,462,0,56,0,638,186
20191113T02Z,167,459,0,57,0,613,167
20191113T01Z,150,450,0,54,0,620,97
20191113T00Z,148,428,0,57,14,515,83
20191112T23Z,147,387,0,53,48,516,102
20191112T22Z,148,411,0,59,76,516,111
20191112T21Z,148,423,0,53,84,479,185
20191112T20Z,146,423,0,51,124,519,269
20191112T19Z,146,442,0,55,156,504,273
20191112T18Z,146,429,0,54,148,485,283
20191112T17Z,147,423,0,57,93,481,351
20191112T16Z,231,448,0,54,46,547,396
20191112T15Z,330,465,0,59,4,590,377
20191112T14Z,218,467,0,57,0,593,303
20191112T13Z,174,467,0,62,0,449,307
20191112T12Z,146,464,0,59,0,318,299
20191112T11Z,147,439,0,63,0,315,267
20191112T10Z,146,441,0,61,0,319,229
20191112T09Z,147,429,0,59,0,343,201
20191112T08Z,177,450,0,60,0,371,205
20191112T07Z,265,453,0,61,0,447,159
20191112T06Z,227,458,0,59,0,522,148
20191112T05Z,266,460,0,60,0,652,118
20191112T04Z,155,455,0,59,0,702,101
20191112T03Z,241,449,0,59,0,670,109
20191112T02Z,334,458,0,57,0,681,110
20191112T01Z,167,444,0,59,1,549,125
20191112T00Z,163,434,0,58,60,470,136
20191111T23Z,169,449,0,61,86,419,169
20191111T22Z,167,445,0,58,129,422,232
20191111T21Z,188,441,0,56,158,435,275
20191111T20Z,149,421,0,59,177,451,277
20191111T19Z,148,430,0,57,180,491,254
20191111T18Z,144,426,0,58,201,483,177
20191111T17Z,143,433,0,58,206,573,288
20191111T16Z,162,437,0,63,98,584,361
20191111T15Z,156,464,0,63,4,637,317
20191111T14Z,153,458,0,63,0,635,279
20191111T13Z,155,459,0,60,0,515,258
20191111T12Z,147,453,0,61,0,476,212
20191111T11Z,148,447,0,62,0,417,152
20191111T10Z,152,441,0,59,0,428,216
20191111T09Z,146,435,0,60,0,423,372
20191111T08Z,146,429,0,56,0,386,431
20191111T07Z,182,443,0,58,0,432,443
20191111T06Z,147,316,0,55,0,529,450
20191111T05Z,146,280,0,53,0,590,475
20191111T04Z,147,280,0,57,0,639,564
20191111T03Z,146,279,0,51,0,639,633
20191111T02Z,147,278,0,55,0,565,581
20191111T01Z,156,275,0,52,0,579,572
20191111T00Z,168,272,0,55,57,537,603
20191110T23Z,148,249,0,53,167,445,619
20191110T22Z,154,257,0,49,183,455,538
20191110T21Z,193,256,0,54,149,451,437
20191110T20Z,197,251,0,54,156,484,362
20191110T19Z,195,377,0,55,168,482,218
20191110T18Z,195,391,0,57,160,483,98
20191110T17Z,189,397,0,58,176,573,70
20191110T16Z,215,431,0,60,68,578,58
20191110T15Z,194,420,0,62,2,569,36
20191110T14Z,190,412,0,60,0,563,51
20191110T13Z,189,431,0,60,0,410,55
20191110T12Z,178,424,0,61,0,405,64
20191110T11Z,167,427,0,61,0,400,72
20191110T10Z,155,430,0,60,0,415,48
20191110T09Z,158,439,0,59,0,421,42
20191110T08Z,165,424,0,61,0,430,36
20191110T07Z,221,452,0,59,0,600,29
20191110T06Z,167,449,0,63,0,649,36
20191110T05Z,147,429,0,59,0,634,33
20191110T04Z,146,432,0,59,0,630,42
20191110T03Z,146,434,0,59,0,634,79
20191110T02Z,157,439,0,58,0,626,61
20191110T01Z,179,442,0,58,1,570,82
20191110T00Z,166,425,0,55,60,445,64
20191109T23Z,147,403,0,51,161,416,39
20191109T22Z,147,411,0,56,177,421,14
20191109T21Z,147,435,0,56,152,413,12
20191109T20Z,147,430,0,55,153,441,19
20191109T19Z,148,442,0,60,173,452,14
20191109T18Z,147,427,0,59,178,464,24
20191109T17Z,148,410,0,62,180,600,68
20191109T16Z,181,429,0,62,97,610,96
20191109T15Z,163,454,0,63,8,573,109
20191109T14Z,155,451,0,61,0,476,133
20191109T13Z,170,452,0,64,0,461,124
20191109T12Z,147,442,0,60,0,462,101
20191109T11Z,147,435,0,61,0,458,113
20191109T10Z,149,436,0,63,0,435,94
20191109T09Z,244,452,0,63,0,438,78
20191109T08Z,404,460,0,62,0,475,71
20191109T07Z,363,451,0,62,0,519,95
20191109T06Z,181,430,0,62,0,642,95
20191109T05Z,146,425,0,63,0,654,105
20191109T04Z,147,422,0,60,0,657,117
20191109T03Z,156,424,0,61,0,653,129
20191109T02Z,271,437,0,61,0,645,120
20191109T01Z,229,433,0,59,3,634,56
20191109T00Z,148,411,0,58,82,444,42
20191108T23Z,147,386,0,57,198,438,50
20191108T22Z,147,394,0,56,217,430,61
20191108T21Z,147,401,0,59,189,440,59
20191108T20Z,147,385,0,56,177,479,86
20191108T19Z,146,408,0,56,186,510,85
20191108T18Z,218,406,0,59,207,511,93
20191108T17Z,318,443,0,61,210,581,129
20191108T16Z,474,443,0,63,101,587,169
20191108T15Z,558,444,0,64,6,699,122
20191108T14Z,430,442,0,63,0,609,102
20191108T13Z,367,442,0,64,0,398,108
20191108T12Z,289,417,0,64,0,433,75
20191108T11Z,246,444,0,64,0,369,47
20191108T10Z,243,434,0,63,0,381,34
20191108T09Z,235,345,0,67,0,473,24
20191108T08Z,153,426,0,64,0,446,25
20191108T07Z,149,442,0,65,0,548,18
20191108T06Z,147,429,0,61,0,534,26
20191108T05Z,240,443,0,62,0,555,31
20191108T04Z,433,454,0,64,0,622,34
20191108T03Z,452,459,0,62,0,667,34
20191108T02Z,347,446,0,63,0,615,34
20191108T01Z,394,451,0,57,2,633,21
20191108T00Z,189,429,0,57,37,534,15
20191107T23Z,146,400,0,57,117,498,21
20191107T22Z,147,398,0,56,160,499,34
20191107T21Z,146,402,0,55,175,494,26
20191107T20Z,146,416,0,56,175,510,24
20191107T19Z,146,425,0,58,182,1728,186
20191107T18Z,174,428,0,58,201,451,79
20191107T17Z,319,452,0,64,207,539,138
20191107T16Z,561,458,0,61,105,619,202
20191107T15Z,553,468,0,65,6,584,243
20191107T14Z,330,458,0,63,0,515,211
20191107T13Z,247,464,0,64,0,365,202
20191107T12Z,159,463,0,63,0,346,184
20191107T11Z,150,457,0,63,0,381,168
20191107T10Z,253,451,0,62,0,377,155
20191107T09Z,393,464,0,60,0,384,139
20191107T08Z,429,455,0,63,0,378,136
20191107T07Z,544,454,0,62,0,429,134
20191107T06Z,545,457,0,64,0,580,109
20191107T05Z,476,455,0,60,0,511,90
20191107T04Z,431,455,0,61,0,601,99
20191107T03Z,582,457,0,57,0,616,86
20191107T02Z,533,455,0,53,0,658,172
20191107T01Z,263,441,0,49,1,620,208
20191107T00Z,170,430,0,44,111,485,219
20191106T23Z,146,397,0,49,204,443,201
20191106T22Z,146,405,0,42,208,450,189
20191106T21Z,146,398,0,42,191,447,144
20191106T20Z,146,406,0,45,180,451,105
20191106T19Z,146,407,0,41,190,505,82
20191106T18Z,151,428,0,46,206,502,91
