,coal,natural gas,petroleum,other,solar
20191030T04Z,506,644,0,0,0
20191030T03Z,549,730,0,0,0
20191030T02Z,556,883,0,0,0
20191030T01Z,646,942,0,0,0
20191030T00Z,774,1066,0,0,0
20191029T23Z,731,1070,0,0,0
20191029T22Z,778,1065,0,0,3
20191029T21Z,793,1065,0,0,10
20191029T20Z,691,1068,0,0,14
20191029T19Z,601,884,0,0,18
20191029T18Z,721,1062,0,0,18
20191029T17Z,796,913,0,0,15
20191029T16Z,799,779,3,0,17
20191029T15Z,778,710,3,0,14
20191029T14Z,737,603,36,0,5
20191029T13Z,782,603,44,0,1
20191029T12Z,739,603,0,0,0
20191029T11Z,640,604,0,0,0
20191029T10Z,562,603,0,0,0
20191029T09Z,480,603,0,0,0
20191029T08Z,468,604,0,0,0
20191029T07Z,481,604,0,0,0
20191029T06Z,526,604,0,0,0
20191029T05Z,528,670,0,0,0
20191029T04Z,525,723,0,0,0
20191029T03Z,547,754,0,0,0
20191029T02Z,746,766,0,0,0
20191029T01Z,621,994,0,0,0
20191029T00Z,728,1062,0,0,0
20191028T23Z,736,1068,0,0,1
20191028T22Z,801,1065,0,0,5
20191028T21Z,807,1063,0,0,12
20191028T20Z,802,1063,0,0,12
20191028T19Z,764,1046,0,0,20
20191028T18Z,802,917,0,0,26
20191028T17Z,791,853,0,0,24
20191028T16Z,756,780,0,0,14
20191028T15Z,754,671,0,0,14
20191028T14Z,661,606,0,0,17
20191028T13Z,625,607,0,0,5
20191028T12Z,699,608,0,0,0
20191028T11Z,546,607,0,0,0
20191028T10Z,465,606,0,0,0
20191028T09Z,423,604,0,0,0
20191028T08Z,414,604,0,0,0
20191028T07Z,422,603,0,0,0
20191028T06Z,443,603,0,0,0
20191028T05Z,465,602,0,0,0
20191028T04Z,520,602,0,0,0
20191028T03Z,606,602,0,0,0
20191028T02Z,693,626,0,0,0
20191028T01Z,689,762,0,0,0
20191028T00Z,773,759,0,0,0
20191027T23Z,783,757,0,0,1
20191027T22Z,788,755,0,0,4
20191027T21Z,762,755,0,0,9
20191027T20Z,670,755,0,0,15
20191027T19Z,625,753,9,0,12
20191027T18Z,767,640,18,0,12
20191027T17Z,765,599,0,0,9
20191027T16Z,657,600,0,0,4
20191027T15Z,633,599,0,0,7
20191027T14Z,522,599,0,0,5
20191027T13Z,475,600,0,0,2
20191027T12Z,463,600,0,0,0
20191027T11Z,407,600,0,0,0
20191027T10Z,390,600,0,0,0
20191027T09Z,403,600,0,0,0
20191027T08Z,442,600,0,0,0
20191027T07Z,433,601,0,0,0
20191027T06Z,460,601,0,0,0
20191027T05Z,485,601,0,0,0
20191027T04Z,550,602,0,0,0
20191027T03Z,631,601,0,0,0
20191027T02Z,721,600,0,0,0
20191027T01Z,688,680,0,0,0
20191027T00Z,664,764,0,0,0
20191026T23Z,681,762,0,0,0
20191026T22Z,716,760,0,0,4
20191026T21Z,741,758,0,0,11
20191026T20Z,690,758,0,0,12
20191026T19Z,649,756,0,0,16
20191026T18Z,661,752,0,0,15
20191026T17Z,657,754,0,0,16
20191026T16Z,648,747,0,0,14
20191026T15Z,759,627,0,0,13
20191026T14Z,649,600,0,0,16
20191026T13Z,560,601,0,0,5
20191026T12Z,487,602,0,0,0
20191026T11Z,413,602,0,0,0
20191026T10Z,370,603,0,0,0
20191026T09Z,358,604,0,0,0
20191026T08Z,373,603,0,0,0
20191026T07Z,398,603,0,0,0
20191026T06Z,460,603,0,0,0
20191026T05Z,495,602,0,0,0
20191026T04Z,594,602,0,0,0
20191026T03Z,524,603,0,0,0
20191026T02Z,601,604,0,0,0
20191026T01Z,652,603,0,0,0
20191026T00Z,718,602,0,0,0
20191025T23Z,691,600,0,0,0
20191025T22Z,773,598,0,0,6
20191025T21Z,801,598,0,0,12
20191025T20Z,772,583,0,0,14
20191025T19Z,766,597,0,0,17
20191025T18Z,759,598,0,0,15
20191025T17Z,754,599,0,0,17
20191025T16Z,680,598,0,0,17
20191025T15Z,600,602,0,0,18
20191025T14Z,548,598,0,0,16
20191025T13Z,493,600,0,0,5
20191025T12Z,478,607,0,0,0
20191025T11Z,510,607,0,0,0
20191025T10Z,375,607,0,0,0
20191025T09Z,364,607,0,0,0
20191025T08Z,339,607,0,0,0
20191025T07Z,353,608,0,0,0
20191025T06Z,355,608,0,0,0
20191025T05Z,298,608,0,0,0
20191025T04Z,377,609,0,0,0
20191025T03Z,389,608,0,0,0
20191025T02Z,494,607,0,0,0
20191025T01Z,588,606,0,0,0
20191025T00Z,649,605,0,0,0
20191024T23Z,619,604,0,0,1
20191024T22Z,637,603,0,0,8
20191024T21Z,614,602,0,0,13
20191024T20Z,591,588,0,0,11
20191024T19Z,585,602,0,0,10
20191024T18Z,574,580,0,0,14
20191024T17Z,583,597,0,0,16
20191024T16Z,531,603,8,0,12
20191024T15Z,452,602,2,0,9
20191024T14Z,368,601,0,0,5
20191024T13Z,290,600,0,0,1
20191024T12Z,300,601,0,0,0
20191024T11Z,329,602,0,0,0
20191024T10Z,196,587,0,0,0
20191024T09Z,182,515,0,0,0
20191024T08Z,182,483,0,0,0
20191024T07Z,150,510,0,0,0
20191024T06Z,97,601,0,0,0
20191024T05Z,150,599,0,0,0
20191023T17Z,304,608,0,0,33
20191023T16Z,286,610,0,0,32
20191023T15Z,258,629,0,0,27
20191023T14Z,231,623,0,0,22
20191023T13Z,216,597,0,0,7
20191023T12Z,186,612,0,0,0
20191023T11Z,109,716,0,0,0
20191023T10Z,55,687,0,0,0
20191023T09Z,53,541,0,0,0
20191023T08Z,51,524,0,0,0
20191023T07Z,12,609,0,0,0
20191023T06Z,5,639,0,0,0
20191023T05Z,167,608,0,0,0
20191023T04Z,294,606,0,0,0
20191023T03Z,386,604,0,0,0
20191023T02Z,358,741,0,0,0
20191023T01Z,389,815,0,0,0
20191023T00Z,471,865,0,0,0
20191022T23Z,422,900,0,0,1
20191022T22Z,394,926,0,0,9
20191022T21Z,241,1027,0,0,10
20191022T20Z,242,1059,0,0,7
20191022T19Z,359,1057,0,0,11
20191022T18Z,408,1065,0,0,13
20191022T17Z,458,999,0,0,19
20191022T16Z,446,875,1,0,17
20191022T15Z,416,718,0,0,17
20191022T14Z,433,691,0,0,10
20191022T13Z,442,599,0,0,4
20191022T12Z,435,599,0,0,0
20191022T11Z,442,600,0,0,0
20191022T10Z,383,600,0,0,0
20191022T09Z,286,599,0,0,0
20191022T08Z,227,599,0,0,0
20191022T07Z,271,599,0,0,0
20191022T06Z,325,599,0,0,0
20191022T05Z,352,610,0,0,0
20191022T04Z,373,752,0,0,0
20191022T03Z,407,762,0,0,0
20191022T02Z,392,858,0,0,0
20191022T01Z,431,915,0,0,0
20191022T00Z,489,915,0,0,0
20191021T23Z,469,913,0,0,0
20191021T22Z,431,911,0,0,3
20191021T21Z,435,912,0,0,3
20191021T20Z,433,910,0,0,7
20191021T19Z,451,911,0,0,9
20191021T18Z,447,904,0,0,7
20191021T17Z,483,774,0,0,12
20191021T16Z,462,687,0,0,14
20191021T15Z,425,602,0,0,20
20191021T14Z,353,603,0,0,17
20191021T13Z,334,603,0,0,5
20191021T12Z,326,603,0,0,0
20191021T11Z,314,603,0,0,0
20191021T10Z,184,604,0,0,0
20191021T09Z,87,603,0,0,0
20191021T08Z,72,596,0,0,0
20191021T07Z,110,599,0,0,0
20191021T06Z,157,598,0,0,0
20191021T05Z,237,599,0,0,0
20191021T04Z,239,600,0,0,0
20191021T03Z,243,606,0,0,0
20191021T02Z,347,605,0,0,0
20191021T01Z,318,736,0,0,0
