,coal,natural gas,other,solar,hydro,wind
20191113T08Z,853,1333,253,4,34,1
20191113T07Z,1127,1379,259,4,33,34
20191113T06Z,1575,1483,253,3,33,28
20191113T05Z,1604,1482,253,0,38,0
20191113T04Z,1521,1478,263,2,274,0
20191113T03Z,1526,1477,265,4,272,0
20191113T02Z,1702,1473,280,4,141,2
20191113T01Z,1779,1414,252,38,33,4
20191113T00Z,1524,1369,249,362,32,2
20191112T23Z,1114,1305,219,722,32,5
20191112T22Z,898,1140,219,825,34,6
20191112T21Z,856,981,219,905,34,2
20191112T20Z,811,964,219,927,34,1
20191112T19Z,687,958,219,939,36,0
20191112T18Z,645,919,219,911,47,0
20191112T17Z,664,950,223,796,46,0
20191112T16Z,968,1165,256,401,46,0
20191112T15Z,1242,1171,258,39,46,1
20191112T14Z,1076,1173,253,4,45,0
20191112T13Z,901,1072,249,4,46,0
20191112T12Z,767,1072,249,4,45,0
20191112T11Z,650,1071,248,3,45,0
20191112T10Z,796,1078,254,4,46,0
20191112T09Z,866,1226,254,3,46,0
20191112T08Z,877,1345,257,3,47,0
20191112T07Z,1177,1364,257,3,50,8
20191112T06Z,1525,1486,257,3,50,23
20191112T05Z,1708,1483,261,3,50,41
20191112T04Z,1714,1491,266,3,50,73
20191112T03Z,1783,1493,276,3,56,48
20191112T02Z,1672,1484,280,3,236,33
20191112T01Z,1519,1492,273,36,289,55
20191112T00Z,1232,1490,273,311,212,48
20191111T23Z,799,1280,250,717,57,60
20191111T22Z,667,1219,220,870,57,45
20191111T21Z,647,1067,219,924,56,53
20191111T20Z,736,948,219,944,57,63
20191111T19Z,654,864,219,952,58,57
20191111T18Z,645,822,219,919,57,43
20191111T17Z,649,820,221,807,63,10
20191111T16Z,845,955,256,413,64,6
20191111T15Z,1071,964,257,41,64,7
20191111T14Z,987,964,254,3,64,6
20191111T13Z,725,963,253,3,64,19
20191111T12Z,647,964,253,4,64,20
20191111T11Z,646,979,253,4,64,70
20191111T10Z,659,1160,250,4,64,2
20191111T09Z,736,1148,252,3,64,1
20191111T08Z,739,1196,248,3,64,5
20191111T07Z,951,1260,255,3,64,1
20191111T06Z,1228,1265,254,4,65,4
20191111T05Z,1586,1365,254,3,65,8
20191111T04Z,1698,1365,263,4,65,13
20191111T03Z,1634,1366,263,4,64,10
20191111T02Z,1490,1364,263,4,61,17
20191111T01Z,1371,1363,257,40,61,23
20191111T00Z,930,1181,254,373,65,54
20191110T23Z,657,862,218,745,66,46
20191110T22Z,648,711,217,874,66,15
20191110T21Z,647,578,216,926,65,3
20191110T20Z,644,578,217,946,65,0
20191110T19Z,645,565,216,951,65,0
20191110T18Z,641,482,217,924,65,0
20191110T17Z,645,511,221,803,65,0
20191110T16Z,645,589,248,411,66,0
20191110T15Z,646,938,248,38,66,2
20191110T14Z,647,975,248,3,66,3
20191110T13Z,647,893,247,3,66,10
20191110T12Z,646,939,249,4,66,5
20191110T11Z,643,985,255,4,66,12
20191110T10Z,643,1070,255,4,66,31
20191110T09Z,643,1288,255,4,66,19
20191110T08Z,660,1466,255,4,67,3
20191110T07Z,842,1481,264,4,66,4
20191110T06Z,1061,1476,255,4,66,8
20191110T05Z,1382,1469,255,4,67,4
20191110T04Z,1640,1468,257,3,67,3
20191110T03Z,1784,1550,274,4,96,6
20191110T02Z,1783,1555,275,4,262,5
20191110T01Z,1753,1544,276,40,286,10
20191110T00Z,1496,1442,263,357,70,11
20191109T23Z,1150,1257,224,739,65,0
20191109T22Z,732,1162,216,881,58,0
20191109T21Z,646,1092,215,930,67,0
20191109T20Z,647,965,216,939,68,0
20191109T19Z,647,853,216,952,67,0
20191109T18Z,646,675,216,938,79,0
20191109T17Z,648,631,221,836,57,0
20191109T16Z,723,725,255,440,61,1
20191109T15Z,1047,959,256,47,66,7
20191109T14Z,1033,955,255,4,66,5
20191109T13Z,882,955,255,4,66,6
20191109T12Z,838,955,255,4,66,6
20191109T11Z,922,959,255,4,66,1
20191109T10Z,1142,1011,256,4,66,0
20191109T09Z,1172,1072,258,4,66,0
20191109T08Z,1171,1178,264,4,66,0
20191109T07Z,1259,1278,268,4,67,0
20191109T06Z,1480,1270,260,4,67,0
20191109T05Z,1522,1363,256,4,66,1
20191109T04Z,1542,1435,270,4,66,0
20191109T03Z,1716,1469,294,4,65,3
20191109T02Z,1785,1694,302,4,47,12
20191109T01Z,1782,1504,302,43,36,17
20191109T00Z,1726,1316,286,398,36,36
20191108T23Z,1473,831,277,774,36,37
20191108T22Z,1308,812,234,899,36,19
20191108T21Z,1220,797,222,940,35,9
20191108T20Z,1123,789,222,951,35,5
20191108T19Z,985,782,222,954,35,5
20191108T18Z,875,752,221,935,35,2
20191108T17Z,957,698,227,827,35,0
20191108T16Z,1360,786,255,444,36,0
20191108T15Z,1671,791,255,49,36,0
20191108T14Z,1376,790,256,4,36,0
20191108T13Z,1058,774,256,5,36,1
20191108T12Z,908,773,255,5,36,5
20191108T11Z,943,773,255,5,36,2
20191108T10Z,1035,788,255,5,36,0
20191108T09Z,1312,788,255,5,36,0
20191108T08Z,1556,787,259,5,36,0
20191108T07Z,1729,854,264,5,36,0
20191108T06Z,1771,1010,261,5,36,0
20191108T05Z,1785,1091,262,5,36,1
20191108T04Z,1783,1129,276,5,36,1
20191108T03Z,1783,1263,290,5,36,0
20191108T02Z,1782,1395,285,4,36,4
20191108T01Z,1779,1355,268,46,36,13
20191108T00Z,1734,1068,269,395,36,18
20191107T23Z,1514,674,264,757,36,22
20191107T22Z,1447,535,226,881,35,10
20191107T21Z,1418,452,218,927,36,4
20191107T20Z,1455,328,218,940,36,4
20191107T19Z,1394,354,217,946,36,2
20191107T18Z,1245,223,221,927,103,0
20191107T17Z,1129,464,254,821,36,0
20191107T16Z,1470,749,254,442,36,0
20191107T15Z,1680,800,255,50,36,0
20191107T14Z,1378,800,255,4,36,0
20191107T13Z,1131,783,256,4,36,0
20191107T12Z,957,775,252,4,36,0
20191107T11Z,989,778,251,4,36,0
20191107T10Z,1076,784,251,4,36,0
20191107T09Z,1273,746,252,4,36,0
20191107T08Z,1614,795,260,4,36,1
20191107T07Z,1731,915,260,4,36,0
20191107T06Z,1777,1301,258,4,36,1
20191107T05Z,1781,1334,265,4,36,4
20191107T04Z,1781,1411,273,4,36,13
20191107T03Z,1782,1399,273,4,36,22
20191107T02Z,1782,1329,287,4,36,35
20191107T01Z,1780,1248,270,48,36,48
20191107T00Z,1659,911,267,400,36,63
20191106T23Z,1493,664,237,751,36,58
20191106T22Z,1472,613,222,862,36,36
20191106T21Z,1468,556,217,909,36,10
20191106T20Z,1439,486,217,955,36,3
20191106T19Z,1309,482,217,954,37,0
20191106T18Z,1262,492,216,929,36,0
20191106T17Z,1130,630,224,821,36,0
20191106T16Z,1195,753,253,449,36,0
20191106T15Z,1505,797,254,53,36,0
20191106T14Z,1393,796,254,3,36,1
20191106T13Z,994,796,254,4,36,0
20191106T12Z,936,797,252,4,36,1
20191106T11Z,943,798,220,4,36,1
20191106T10Z,1077,798,220,4,36,0
20191106T09Z,1216,796,248,4,37,0
20191106T08Z,1279,796,258,4,37,0
20191106T07Z,1569,797,263,4,36,0
20191106T06Z,1753,815,259,4,37,0
20191106T05Z,1786,1033,255,4,36,0
20191106T04Z,1786,1226,270,4,66,0
20191106T03Z,1785,1223,287,4,239,5
20191106T02Z,1784,1220,281,4,264,18
20191106T01Z,1775,1151,281,48,263,17
20191106T00Z,1664,1026,257,405,89,26
20191105T23Z,1481,806,262,761,36,26
20191105T22Z,1166,789,223,882,36,23
20191105T21Z,1000,792,217,929,36,23
20191105T20Z,906,794,217,939,35,12
20191105T19Z,798,796,218,945,35,0
20191105T18Z,741,759,221,931,35,0
20191105T17Z,767,745,252,832,35,0
20191105T16Z,1170,759,227,466,35,0
20191105T15Z,1474,797,253,58,35,0
20191105T14Z,1207,794,254,4,35,0
20191105T13Z,1032,792,254,4,35,0
20191105T12Z,973,791,253,4,36,0
20191105T11Z,973,793,254,3,36,0
20191105T10Z,974,793,253,3,36,0
20191105T09Z,1118,794,263,3,36,0
20191105T08Z,1251,793,263,3,61,0
20191105T07Z,1309,793,263,3,67,1
20191105T06Z,1443,795,260,3,67,2
20191105T05Z,1499,853,260,3,67,5
20191105T04Z,1508,1045,260,3,67,9
20191105T03Z,1602,1163,269,3,158,15
20191105T02Z,1604,1138,269,1,245,14
20191105T01Z,1598,1046,229,51,67,32
20191105T00Z,1409,881,238,418,67,48
20191104T23Z,1148,836,226,766,66,57
20191104T22Z,1049,839,219,889,67,49
20191104T21Z,982,841,219,936,66,38
20191104T20Z,894,843,220,959,66,29
20191104T19Z,811,843,220,972,67,0
20191104T18Z,702,843,222,951,68,0
20191104T17Z,721,838,250,855,68,0
20191104T16Z,856,836,227,485,84,0
20191104T15Z,895,842,260,63,84,0
20191104T14Z,855,843,262,4,85,0
20191104T13Z,729,845,262,4,85,0
20191104T12Z,652,844,248,4,85,0
20191104T11Z,720,844,232,4,85,0
20191104T10Z,820,842,229,4,85,0
20191104T09Z,845,843,261,4,85,0
20191103T07Z,836,1039,264,0,90,0
20191103T06Z,841,1203,264,0,89,0
20191103T05Z,865,1259,254,0,89,0
20191103T04Z,865,1336,251,0,89,0
20191103T03Z,864,1369,261,0,89,4
20191103T02Z,862,1340,261,0,89,23
20191103T01Z,845,1213,258,57,90,22
20191103T00Z,781,959,257,439,89,3
20191102T23Z,694,853,232,793,89,0
20191102T22Z,565,843,231,919,92,2
20191102T21Z,436,806,230,968,93,4
20191102T20Z,433,660,220,976,93,0
20191102T19Z,432,526,220,989,93,0
20191102T18Z,421,526,232,967,94,0
20191102T17Z,509,528,253,870,95,0
20191102T16Z,675,624,253,516,100,0
20191102T15Z,837,847,253,72,100,0
20191102T14Z,858,847,263,3,100,0
20191102T13Z,737,844,255,3,100,0
20191102T12Z,576,846,255,3,101,0
20191102T11Z,571,847,255,4,101,0
20191102T10Z,632,844,255,3,100,0
20191102T09Z,694,885,258,3,100,2
20191102T08Z,821,1042,258,3,100,13
20191102T07Z,848,1092,245,3,102,27
20191102T06Z,856,1243,240,3,102,12
20191102T05Z,866,1414,243,4,102,6
20191102T04Z,870,1595,267,3,102,5
20191102T03Z,880,1654,244,2,101,5
20191102T02Z,878,1719,269,3,101,20
20191102T01Z,876,1617,271,65,101,43
20191102T00Z,833,1148,270,471,100,48
20191101T23Z,792,814,238,824,100,53
20191101T22Z,734,674,225,944,100,52
20191101T21Z,697,598,225,988,98,44
20191101T20Z,696,602,225,998,99,32
20191101T19Z,696,602,225,1012,101,14
20191101T18Z,696,602,225,993,103,1
20191101T17Z,746,616,233,896,105,0
20191101T16Z,840,875,260,544,104,0
20191101T15Z,840,1094,254,97,111,0
20191101T14Z,728,1095,254,22,118,0
20191101T13Z,504,1206,254,22,121,0
20191101T12Z,449,1085,251,22,121,0
20191101T11Z,449,960,223,22,122,0
20191101T10Z,448,943,249,22,122,0
20191101T09Z,528,938,255,22,123,0
20191101T08Z,627,952,256,22,123,0
20191101T07Z,770,1160,265,22,124,0
20191101T06Z,845,1381,270,22,122,0
20191101T05Z,882,1583,270,22,123,0
20191101T04Z,882,1590,270,22,123,0
20191101T03Z,882,1705,281,22,123,0
20191101T02Z,883,1754,270,22,123,2
20191101T01Z,814,1721,270,91,124,10
20191101T00Z,697,1385,266,505,124,1
20191031T23Z,595,1013,235,862,124,0
20191031T22Z,563,897,231,978,124,0
20191031T21Z,563,863,230,1017,127,0
20191031T20Z,612,763,236,1013,127,0
20191031T19Z,631,713,225,1020,121,0
20191031T18Z,574,783,225,1011,124,0
20191031T17Z,775,806,227,916,124,0
20191031T16Z,861,980,279,561,126,0
20191031T15Z,880,1402,298,102,126,0
20191031T14Z,877,1290,288,22,127,0
20191031T13Z,863,1090,260,22,126,0
20191031T12Z,860,954,258,22,125,0
20191031T11Z,841,943,258,22,126,0
20191031T10Z,831,945,258,22,126,0
20191031T09Z,881,943,258,22,125,0
20191031T08Z,1066,941,259,22,125,0
20191031T07Z,1290,946,263,22,125,0
20191031T06Z,1563,1096,264,22,125,0
20191031T05Z,1734,1340,263,22,125,4
20191031T04Z,1712,1345,264,22,125,15
20191031T03Z,1704,1338,268,22,125,24
20191031T02Z,1662,1332,269,22,125,28
20191031T01Z,1471,1279,267,96,125,40
20191031T00Z,1057,1030,264,528,126,42
20191030T23Z,891,802,219,889,127,44
20191030T22Z,889,686,218,1010,127,45
20191030T21Z,889,694,218,1037,133,44
20191030T20Z,885,710,218,1022,134,50
20191030T19Z,859,752,218,1030,144,50
20191030T18Z,775,791,217,1035,147,43
20191030T17Z,901,681,220,928,143,28
20191030T16Z,1281,758,252,559,143,14
20191030T15Z,1601,943,254,103,143,15
20191030T14Z,1490,938,254,22,158,19
20191030T13Z,1172,933,253,22,319,19
20191030T12Z,776,1157,253,22,151,50
20191030T11Z,647,999,252,22,150,66
20191030T10Z,640,1041,252,22,149,39
20191030T09Z,651,1037,252,22,149,36
20191030T08Z,821,1078,257,22,149,29
20191030T07Z,943,1401,264,22,155,17
20191030T06Z,1102,1417,264,22,333,23
20191030T05Z,1104,1423,265,22,453,63
20191030T04Z,1104,1453,265,22,518,129
20191030T03Z,1103,1523,265,22,521,160
20191030T02Z,1091,1480,265,22,521,180
20191030T01Z,898,1311,263,93,524,53
20191030T00Z,744,1056,219,492,241,188
20191029T23Z,732,687,214,822,149,240
20191029T22Z,732,531,214,942,148,225
20191029T21Z,733,698,214,992,148,235
20191029T20Z,734,681,215,996,148,239
20191029T19Z,663,602,214,1010,148,308
20191029T18Z,644,442,214,990,149,312
20191029T17Z,644,431,218,892,149,261
20191029T16Z,778,489,254,546,149,251
20191029T15Z,1328,886,255,105,150,137
20191029T14Z,1204,887,256,22,149,95
20191029T13Z,994,899,256,22,149,97
20191029T12Z,692,901,252,22,150,96
20191029T11Z,641,865,218,22,149,104
20191029T10Z,642,849,216,22,150,132
20191029T09Z,643,853,217,22,150,196
20191029T08Z,657,898,224,22,149,248
20191029T07Z,641,1024,262,22,149,288
20191029T06Z,650,1174,263,22,147,293
20191029T05Z,865,1288,263,22,148,283
20191029T04Z,914,1501,263,22,147,265
20191029T03Z,1098,1538,264,22,147,231
20191029T02Z,903,1540,264,22,147,153
20191029T01Z,879,1533,266,105,146,106
20191029T00Z,665,1206,257,529,145,55
20191028T23Z,643,1085,253,868,149,8
20191028T22Z,643,1035,216,983,149,5
20191028T21Z,643,929,216,1015,148,1
20191028T20Z,644,856,215,1014,150,1
20191028T19Z,645,829,215,1027,150,1
20191028T18Z,645,831,215,1020,151,0
20191028T17Z,643,831,217,921,151,0
20191028T16Z,674,941,252,576,151,1
20191028T15Z,984,1168,253,114,151,0
20191028T14Z,985,1125,254,22,151,0
20191028T13Z,779,1117,250,22,151,5
20191028T12Z,644,930,247,22,151,24
20191028T11Z,642,867,219,22,151,58
20191028T10Z,641,866,220,22,151,68
20191028T09Z,640,866,252,22,151,79
20191028T08Z,640,872,258,22,151,120
20191028T07Z,640,984,257,22,150,228
20191028T06Z,640,1223,256,22,150,218
20191028T05Z,686,1704,265,22,150,127
20191028T04Z,753,1820,266,22,150,83
20191028T03Z,856,1854,266,22,150,101
20191028T02Z,890,1684,267,22,149,112
20191028T01Z,882,1126,262,72,149,199
20191028T00Z,672,939,253,296,149,196
20191027T23Z,642,622,224,765,150,130
20191027T22Z,642,411,222,930,149,143
20191027T21Z,642,357,222,993,150,120
20191027T20Z,643,267,216,993,150,136
20191027T19Z,643,199,216,997,150,157
20191027T18Z,643,195,216,968,150,128
20191027T17Z,644,210,219,848,150,159
20191027T16Z,644,520,217,507,150,108
20191027T15Z,645,812,253,98,150,84
20191027T14Z,645,832,254,22,150,83
20191027T13Z,646,791,251,22,150,118
20191027T12Z,645,775,250,22,150,165
20191027T11Z,645,792,250,22,150,209
20191027T10Z,644,838,250,22,149,240
20191027T09Z,643,992,256,22,149,214
20191027T08Z,643,1111,256,22,150,192
20191027T07Z,643,1274,256,22,146,186
20191027T06Z,647,1260,256,22,146,233
20191027T05Z,640,1384,256,22,146,260
20191027T04Z,742,1959,260,22,146,159
20191027T03Z,816,1984,260,22,145,280
20191027T02Z,956,1977,267,22,146,346
20191027T01Z,913,1890,267,106,146,367
20191027T00Z,646,1401,269,519,146,371
20191026T23Z,642,1113,233,820,146,324
20191026T22Z,642,962,228,919,146,318
20191026T21Z,642,798,215,965,147,252
20191026T20Z,642,608,214,985,146,257
20191026T19Z,642,477,215,993,145,276
20191026T18Z,643,423,215,977,147,244
20191026T17Z,643,424,215,891,150,129
20191026T16Z,644,579,217,569,150,97
20191026T15Z,645,792,246,120,150,79
20191026T14Z,644,863,248,22,150,132
20191026T13Z,645,987,248,22,151,140
20191026T12Z,644,987,249,22,151,87
20191026T11Z,643,984,248,22,151,86
20191026T10Z,643,1021,248,22,151,124
20191026T09Z,654,1218,253,22,150,63
20191026T08Z,746,1324,256,22,150,43
20191026T07Z,869,1322,286,22,150,34
20191026T06Z,1072,1321,302,22,151,16
20191026T05Z,1339,1515,308,22,151,17
20191026T04Z,1417,1781,312,22,151,15
20191026T03Z,1419,1847,313,22,150,7
20191026T02Z,1420,2078,326,22,237,2
20191026T01Z,1413,2079,327,112,346,3
20191026T00Z,1250,2005,319,530,154,1
20191025T23Z,1176,1643,311,835,151,5
20191025T22Z,1093,1524,313,944,150,10
20191025T21Z,824,1526,302,991,151,4
20191025T20Z,688,1499,256,995,178,3
20191025T19Z,644,1375,230,1004,234,3
