,coal,natural gas,solar,hydro
20191113T05Z,3381,1680,0,105
20191113T04Z,3324,1788,0,105
20191113T03Z,3461,1824,0,104
20191113T02Z,3466,1863,0,105
20191113T01Z,3391,1841,0,105
20191113T00Z,3454,1889,0,106
20191112T23Z,3435,1831,0,104
20191112T22Z,3377,1541,0,82
20191112T21Z,3528,1517,0,73
20191112T20Z,3509,1517,0,75
20191112T19Z,3484,1500,0,74
20191112T18Z,3335,1483,0,73
20191112T17Z,3358,1516,0,75
20191112T16Z,3352,1560,0,82
20191112T15Z,3395,1480,0,81
20191112T14Z,3342,1581,0,83
20191112T13Z,3292,1463,0,82
20191112T12Z,3233,1475,0,83
20191112T11Z,2970,1204,0,81
20191112T10Z,2898,1106,0,82
20191112T09Z,2918,956,0,81
20191112T08Z,2910,891,0,83
20191112T07Z,2921,890,0,82
20191112T06Z,2905,900,0,82
20191112T05Z,2908,911,0,82
20191112T04Z,2907,976,0,81
20191112T03Z,2997,969,0,83
20191112T02Z,3172,964,0,81
20191112T01Z,3262,960,0,81
20191112T00Z,3311,964,0,81
20191111T23Z,3063,963,0,79
20191111T22Z,2983,793,0,81
20191111T21Z,2958,662,1,79
20191111T20Z,2937,648,2,79
20191111T19Z,2953,625,2,79
20191111T18Z,2965,656,6,79
20191111T17Z,2996,656,9,77
20191111T16Z,3068,667,8,77
20191111T15Z,3063,718,4,77
20191111T14Z,3103,743,3,78
20191111T13Z,3112,689,0,77
20191111T12Z,2986,602,0,78
20191111T11Z,2661,602,0,77
20191111T10Z,2456,601,0,78
20191111T09Z,2358,600,0,78
20191111T08Z,2289,597,0,78
20191111T07Z,2276,596,0,78
20191111T06Z,2349,600,0,77
20191111T05Z,2465,584,0,78
20191111T04Z,2630,587,0,77
20191111T03Z,2776,596,0,78
20191111T02Z,2849,660,0,79
20191111T01Z,2862,657,0,77
20191111T00Z,2952,704,0,78
20191110T23Z,2913,687,0,78
20191110T22Z,2457,626,1,78
20191110T21Z,2370,661,5,77
20191110T20Z,2348,688,7,76
20191110T19Z,2358,650,8,77
20191110T18Z,2422,701,9,76
20191110T17Z,2466,714,9,77
20191110T16Z,2542,753,8,78
20191110T15Z,2616,821,6,76
20191110T14Z,2713,804,3,77
20191110T13Z,2673,829,0,76
20191110T12Z,2605,800,0,76
20191110T11Z,2548,754,0,77
20191110T10Z,2460,743,0,76
20191110T09Z,2456,739,0,77
20191110T08Z,2489,711,0,76
20191110T07Z,2525,711,0,76
20191110T06Z,2730,609,0,77
20191110T05Z,2714,690,0,76
20191110T04Z,2656,867,0,76
20191110T03Z,2736,953,0,76
20191110T02Z,2707,1039,0,76
20191110T01Z,2741,1157,0,77
20191110T00Z,2764,1166,0,76
20191109T23Z,2620,1030,0,75
20191109T22Z,2396,944,1,90
20191109T21Z,2369,893,5,103
20191109T20Z,2401,945,7,105
20191109T19Z,2475,965,9,103
20191109T18Z,2517,1050,9,104
20191109T17Z,2689,1069,9,102
20191109T16Z,2804,1166,8,102
20191109T15Z,2888,1368,6,103
20191109T14Z,2877,1442,3,103
20191109T13Z,2906,1452,0,103
20191109T12Z,2880,1414,0,103
20191109T11Z,2877,1405,0,103
20191109T10Z,2869,1371,0,103
20191109T09Z,2829,1257,0,104
20191109T08Z,2827,1301,0,80
20191109T07Z,2678,1295,0,76
20191109T06Z,2659,1299,0,76
20191109T05Z,2638,1299,0,76
20191109T04Z,2652,1363,0,77
20191109T03Z,2641,1390,0,76
20191109T02Z,2684,1404,0,78
20191109T01Z,2787,1452,0,76
20191109T00Z,2831,1435,0,77
20191108T23Z,2711,1411,0,76
20191108T22Z,2545,1333,1,78
20191108T21Z,2440,1251,3,77
20191108T20Z,2427,1269,7,78
20191108T19Z,2481,1271,9,78
20191108T18Z,2498,1373,10,78
20191108T17Z,2593,1534,0,78
20191108T16Z,2678,1522,9,78
20191108T15Z,2784,1470,7,80
20191108T14Z,2933,1437,4,78
20191108T13Z,2792,1595,1,105
20191108T12Z,2803,1618,0,110
20191108T11Z,2603,1428,0,109
20191108T10Z,2408,1168,0,110
20191108T09Z,2380,1078,0,110
20191108T08Z,2391,1060,0,111
20191108T07Z,2395,1055,0,109
20191108T06Z,2382,1076,0,110
20191108T05Z,2461,1108,0,109
20191108T04Z,2711,1234,0,109
20191108T03Z,2748,1383,0,110
20191108T02Z,2759,1397,0,108
20191108T01Z,2702,1387,0,108
20191108T00Z,2649,1368,0,104
20191107T23Z,2742,1315,0,76
20191107T22Z,2719,1240,0,76
20191107T21Z,2699,1163,0,75
20191107T20Z,2691,1145,1,76
20191107T19Z,2672,1142,1,74
20191107T18Z,2830,1053,1,76
20191107T17Z,2776,1025,1,76
20191107T16Z,2742,1030,1,75
20191107T15Z,2693,972,0,75
20191107T14Z,2701,1011,0,75
20191107T13Z,2722,958,0,76
20191107T12Z,2632,842,0,75
20191107T11Z,2372,598,0,76
20191107T10Z,2257,530,0,74
20191107T09Z,2249,478,0,74
20191107T08Z,2273,534,0,74
20191107T07Z,2269,513,0,74
20191107T06Z,2359,554,0,75
20191107T05Z,2472,566,0,74
20191107T04Z,2483,700,0,75
20191107T03Z,2550,924,0,75
20191107T02Z,2574,992,0,76
20191107T01Z,2632,999,0,74
20191107T00Z,2666,1007,0,76
20191106T23Z,2546,1005,0,74
20191106T22Z,2466,850,1,74
20191106T21Z,2485,894,2,74
20191106T20Z,2551,877,7,76
20191106T19Z,2551,871,9,74
20191106T18Z,2569,934,9,74
20191106T17Z,2570,1007,9,74
20191106T16Z,2498,1183,8,72
20191106T15Z,2575,1231,6,72
20191106T14Z,2667,1296,4,72
20191106T13Z,2726,1310,0,71
20191106T12Z,2652,1236,0,70
20191106T11Z,2599,927,0,70
20191106T10Z,2440,846,0,70
20191106T09Z,2421,810,0,69
20191106T08Z,2402,819,0,68
20191106T07Z,2384,834,0,69
20191106T06Z,2378,813,0,68
20191106T05Z,2485,845,0,68
20191106T04Z,2558,834,0,68
20191106T03Z,2605,987,0,67
20191106T02Z,2636,1020,0,67
20191106T01Z,2640,1030,0,66
20191106T00Z,2711,1046,0,65
20191105T23Z,2583,1063,0,64
20191105T22Z,2363,883,1,62
20191105T21Z,2392,951,2,62
20191105T20Z,2435,972,2,61
20191105T19Z,2470,962,2,61
20191105T18Z,2519,940,3,61
20191105T17Z,2593,935,4,60
20191105T16Z,2645,967,2,59
20191105T15Z,2561,1075,1,59
20191105T14Z,2552,1134,1,56
20191105T13Z,2552,1130,0,58
20191105T12Z,2615,1097,0,56
20191105T11Z,2495,821,0,54
20191105T10Z,2269,630,0,55
20191105T09Z,2257,613,0,55
