,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
20191113T05Z,18922,26767.0,29708.0,34.0,839.0,8.0,1016.0,5452.0
20191113T04Z,30187,34425.0,29777.0,31.0,925.0,8.0,952.0,2495.0
20191113T03Z,30421,37816.0,29774.0,32.0,1258.0,8.0,1012.0,2009.0
20191113T02Z,30202,41996.0,29777.0,32.0,1252.0,8.0,1903.0,1783.0
20191113T01Z,30329,42928.0,29775.0,55.0,1298.0,8.0,3694.0,1774.0
20191113T00Z,30557,43998.0,29763.0,319.0,1273.0,8.0,4052.0,1638.0
20191112T23Z,30431,43274.0,29767.0,306.0,1243.0,8.0,4189.0,1951.0
20191112T22Z,30272,41272.0,29759.0,35.0,1110.0,8.0,4192.0,1974.0
20191112T21Z,29511,39135.0,29752.0,35.0,1077.0,12.0,1505.0,2183.0
20191112T20Z,29590,36458.0,29758.0,35.0,1069.0,37.0,1196.0,2368.0
20191112T19Z,29616,36202.0,29735.0,37.0,1070.0,43.0,1168.0,2478.0
20191112T18Z,29909,36108.0,29740.0,41.0,1063.0,43.0,1164.0,2630.0
20191112T17Z,29738,36250.0,29749.0,40.0,1204.0,57.0,1160.0,2550.0
20191112T16Z,29794,36201.0,29765.0,38.0,1195.0,52.0,1286.0,2818.0
20191112T15Z,29351,35794.0,29757.0,36.0,1173.0,46.0,1441.0,3186.0
20191112T14Z,28698,35126.0,29757.0,36.0,1228.0,85.0,1734.0,3848.0
20191112T13Z,27494,34379.0,29756.0,45.0,1225.0,43.0,2116.0,4666.0
20191112T12Z,25862,33396.0,29738.0,37.0,1168.0,10.0,1975.0,4964.0
20191112T11Z,23487,30726.0,29755.0,36.0,1210.0,8.0,1704.0,5190.0
20191112T10Z,20106,26374.0,29744.0,34.0,827.0,8.0,1103.0,5733.0
20191112T09Z,18212,25356.0,29729.0,33.0,793.0,8.0,1043.0,5855.0
20191112T08Z,18314,25375.0,29736.0,34.0,752.0,8.0,749.0,5926.0
20191112T07Z,18986,26049.0,29718.0,35.0,807.0,8.0,744.0,5800.0
20191112T06Z,19050,25824.0,29707.0,35.0,774.0,8.0,1021.0,5601.0
20191112T05Z,17908,24118.0,29745.0,34.0,736.0,8.0,1042.0,2206.0
20191112T04Z,19348,27031.0,29693.0,34.0,1050.0,8.0,1102.0,5697.0
20191112T03Z,21012,27747.0,29709.0,36.0,1164.0,8.0,1129.0,5561.0
20191112T02Z,22452,30199.0,29707.0,35.0,1174.0,8.0,1280.0,5344.0
20191112T01Z,24243,31343.0,29694.0,36.0,1158.0,8.0,1995.0,5308.0
20191112T00Z,25498,32662.0,29722.0,37.0,1165.0,8.0,2333.0,5224.0
20191111T23Z,25145,32028.0,29724.0,37.0,1160.0,8.0,3573.0,5250.0
20191111T22Z,24692,31661.0,29733.0,39.0,1156.0,8.0,3521.0,4739.0
20191111T21Z,23125,30731.0,29718.0,39.0,1158.0,84.0,1954.0,4291.0
20191111T20Z,22028,29663.0,29719.0,49.0,1128.0,538.0,826.0,4409.0
20191111T19Z,21608,29371.0,29738.0,41.0,1127.0,819.0,837.0,4596.0
20191111T18Z,22063,29834.0,29754.0,43.0,1170.0,878.0,880.0,4622.0
20191111T17Z,22589,29749.0,29769.0,42.0,1182.0,740.0,807.0,4623.0
20191111T16Z,23185,29790.0,29778.0,43.0,1206.0,710.0,827.0,4714.0
20191111T15Z,23618,29952.0,29796.0,50.0,1210.0,759.0,985.0,4693.0
20191111T14Z,24379,30262.0,29792.0,47.0,875.0,728.0,1574.0,4689.0
20191111T13Z,24382,31734.0,29788.0,38.0,865.0,596.0,1532.0,4558.0
20191111T12Z,23032,31196.0,29791.0,38.0,839.0,126.0,2450.0,4288.0
20191111T11Z,22058,29317.0,29778.0,37.0,837.0,8.0,2106.0,3772.0
20191111T10Z,18528,25891.0,29804.0,38.0,788.0,8.0,1217.0,3104.0
20191111T09Z,16541,24743.0,29798.0,39.0,749.0,8.0,1000.0,2782.0
20191111T08Z,16216,24424.0,29759.0,38.0,745.0,8.0,982.0,2331.0
20191111T07Z,16003,24490.0,29739.0,36.0,733.0,8.0,981.0,2507.0
20191111T06Z,16690,23605.0,29745.0,35.0,752.0,8.0,1034.0,2564.0
20191111T05Z,21486,25956.0,29721.0,36.0,806.0,8.0,792.0,4057.0
20191111T04Z,18960,26523.0,29740.0,34.0,776.0,8.0,1136.0,2249.0
20191111T03Z,19636,26896.0,29761.0,35.0,751.0,8.0,1196.0,2423.0
