,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
20200106T00-05,20894,16193,13149,1333,458,0,1132,14950
20200105T23-05,21541,16274,13129,1448,455,0,1172,15890
20200105T22-05,23676,17059,13112,1567,457,0,1122,15795
20200105T21-05,24881,17469,13100,1644,451,0,1147,15250
20200105T20-05,24879,17745,13099,1570,459,0,1194,15405
20200105T19-05,24812,17817,13092,1469,470,0,1154,14685
20200105T18-05,22496,17476,13081,1358,474,29,1155,14091
20200105T17-05,19909,16340,13052,1298,476,103,1083,14475
20200105T16-05,19647,15874,12970,1285,479,191,1019,14650
20200105T15-05,19742,15894,12907,1369,471,209,1001,14471
20200105T14-05,20112,15883,12787,1491,476,205,1000,14690
20200105T13-05,20326,16408,12775,1563,485,193,986,14612
20200105T12-05,20917,16867,12780,1664,472,173,995,14740
20200105T11-05,21619,17992,12788,1795,496,136,1041,14614
20200105T10-05,21676,18860,12793,1861,502,57,1077,14764
20200105T09-05,21577,18847,12790,1819,496,8,1101,14283
20200105T08-05,20791,18227,12797,1754,485,0,1123,13594
20200105T07-05,20213,17407,12803,1679,478,0,1031,13369
20200105T06-05,19391,16589,12800,1598,474,0,1112,13578
20200105T05-05,18770,16563,12807,1511,475,0,1062,13461
20200105T04-05,18601,16088,12813,1435,491,0,1051,13162
20200105T03-05,19492,16287,12853,1475,496,0,1078,12550
20200105T02-05,20463,16389,12859,1541,519,0,1108,12777
20200105T01-05,21118,17101,12861,1883,532,0,1099,13031
20200105T00-05,22236,18147,12870,2260,525,0,984,13260
20200104T23-05,23325,18761,12859,2469,520,0,1112,13443
20200104T22-05,24219,18897,12849,2608,523,0,1123,13423
20200104T21-05,24860,18963,12836,2788,530,0,1288,13110
20200104T20-05,25342,18933,12854,2888,520,0,1916,12406
20200104T19-05,25798,19494,12845,2827,517,0,1414,11553
20200104T18-05,24505,19244,12813,2904,522,26,1360,9788
20200104T17-05,24040,19092,12806,2876,523,119,1038,8492
20200104T16-05,24308,19733,12788,2909,527,163,1039,6893
20200104T15-05,25352,20195,12779,2974,531,184,1113,5584
20200104T14-05,26713,20745,12764,3054,536,174,1083,4919
20200104T13-05,27944,21430,12749,2969,536,167,1076,4470
20200104T12-05,28248,21418,12718,2870,547,141,1070,4528
20200104T11-05,28787,21555,12708,2795,550,97,1066,3982
20200104T10-05,27780,21331,12696,2688,553,44,1082,3960
20200104T09-05,25810,20374,12680,2594,536,3,1184,4579
20200104T08-05,23393,19540,12669,2495,529,0,1181,5504
20200104T07-05,21159,18761,12645,2349,521,0,1103,6658
20200104T06-05,19743,17868,12629,2301,517,0,1117,7676
20200104T05-05,19130,17491,12609,2302,517,0,1108,8287
20200104T04-05,18893,17272,12586,2287,521,0,1100,8597
20200104T03-05,19121,17439,12573,2282,514,0,1022,8621
20200104T02-05,19860,16992,12567,2273,518,0,1099,8947
20200104T01-05,21600,17687,12539,2479,537,0,1073,9120
20200104T00-05,22677,18874,12598,2631,543,0,1152,9624
20200103T23-05,23782,19770,12721,2772,543,0,1177,9458
20200103T22-05,24850,20292,12795,2997,524,0,1184,9186
20200103T21-05,25725,20747,12807,3160,523,0,1320,9346
20200103T20-05,26153,21122,12797,3150,522,0,2099,9301
20200103T19-05,26496,20980,12758,3105,519,0,2358,8934
20200103T18-05,26476,20614,12725,2798,528,8,2360,8203
20200103T17-05,26173,21014,12818,2907,521,21,1114,7857
20200103T16-05,26180,20656,12819,3145,510,41,1044,7938
20200103T15-05,27324,20907,12836,3137,514,50,1103,7028
20200103T14-05,27756,21306,12891,3106,554,49,1015,6432
20200103T13-05,28704,21941,12931,3066,563,45,1084,5106
20200103T12-05,29209,22060,13122,2997,573,38,1198,4543
20200103T11-05,29095,21604,13330,2870,564,24,1439,3960
20200103T10-05,29710,21840,13328,2825,577,8,1281,3609
20200103T09-05,28607,22074,13323,2666,576,0,1709,3706
20200103T08-05,26879,21073,13325,2471,574,0,1433,3782
20200103T07-05,24676,19454,13326,2389,578,0,1015,3401
20200103T06-05,22432,17681,13323,2325,586,0,1111,3051
20200103T05-05,21668,17070,13323,2325,585,0,1112,3071
20200103T04-05,21545,17266,13325,2290,581,0,1108,3258
20200103T03-05,22102,17390,13318,2270,575,0,1105,3749
20200103T02-05,22430,17836,13316,2360,584,0,1105,4167
20200103T01-05,24460,18664,13315,2523,596,0,1115,4146
20200103T00-05,25440,19844,13311,2662,600,0,1038,4372
20200102T23-05,27134,20623,13307,2923,599,0,1104,4828
20200102T22-05,28819,21744,13304,3288,601,0,1662,4991
20200102T21-05,29092,22217,13297,3284,600,0,2621,5115
20200102T20-05,30034,22572,13296,3391,603,0,2634,5277
20200102T19-05,30442,22695,13290,3420,600,0,2728,5288
20200102T18-05,28777,21969,13297,3320,585,4,2657,5834
20200102T17-05,28017,21212,13295,3220,576,16,1294,6792
20200102T16-05,27396,20981,13298,3187,573,35,1151,7620
20200102T15-05,27269,21029,13301,3139,559,44,1156,8458
20200102T14-05,27481,20989,13313,3164,568,38,1121,8773
20200102T13-05,27587,21090,13317,3180,581,50,1198,8688
20200102T12-05,27349,21073,13322,3120,575,41,1607,8699
20200102T11-05,26832,21086,13321,3022,559,17,1412,9832
20200102T10-05,26820,20763,13326,2957,552,5,1116,10420
20200102T09-05,26707,20739,13331,2704,553,1,1084,10356
20200102T08-05,25063,19836,13335,2290,541,0,979,10376
20200102T07-05,21714,17613,13340,2190,550,0,876,11420
20200102T06-05,19563,15594,13340,1908,550,0,885,11989
20200102T05-05,18798,15464,13343,1907,543,0,895,11656
20200102T04-05,18200,15655,13346,1935,538,0,914,11755
20200102T03-05,17990,15276,13348,1916,525,0,921,11773
20200102T02-05,18372,15508,13347,1962,532,0,944,12281
20200102T01-05,18926,15580,13350,1883,531,0,914,13673
20200102T00-05,19738,16100,13347,1890,529,0,989,14817
20200101T23-05,21208,16819,13341,1944,537,0,1044,15221
20200101T22-05,22435,17366,13340,2026,536,0,1049,15640
20200101T21-05,23165,17590,13334,2114,534,0,1193,15724
20200101T20-05,23767,18022,13331,2144,533,0,1690,15477
20200101T19-05,23351,18247,13330,2138,532,0,2076,14855
20200101T18-05,21043,17771,13336,2082,536,6,1560,13578
20200101T17-05,19810,17037,13345,2072,537,33,1019,13000
20200101T16-05,19174,16382,13344,1980,538,101,1012,13132
20200101T15-05,19899,16732,13346,2004,540,120,1010,12931
20200101T14-05,20738,17155,13342,2136,536,127,1011,13372
20200101T13-05,21368,17609,13348,2253,526,109,1027,13487
20200101T12-05,22114,17632,13348,2237,525,122,987,13195
20200101T11-05,22805,17844,13351,2124,528,86,983,13297
20200101T10-05,22706,17807,13351,2018,526,33,1023,13569
20200101T09-05,22353,17465,13352,1954,533,5,1037,13567
20200101T08-05,21877,17258,13356,1937,535,0,1038,13218
20200101T07-05,19963,17008,13360,1981,533,0,963,13677
20200101T06-05,19089,16190,13362,1842,533,0,968,13832
20200101T05-05,18925,15973,13362,1842,536,0,942,13724
20200101T04-05,20133,16444,13362,1977,528,0,968,13930
20200101T03-05,20425,16818,13360,1972,528,0,1019,13807
20200101T02-05,20822,17056,13359,2202,522,0,982,13317
20200101T01-05,22192,17776,13357,2546,523,0,972,12361
20200101T00-05,23665,18705,13353,2684,529,0,977,11719
20191231T23-05,24347,19252,13355,2728,516,0,1052,11088
20191231T22-05,25566,20079,13352,2834,476,0,1100,10423
20191231T21-05,26301,20414,13346,2863,488,0,1855,9985
20191231T20-05,27483,20681,13343,2864,471,0,2433,9841
20191231T19-05,28026,20948,13343,2894,474,0,2502,9242
20191231T18-05,26643,20463,13344,2786,463,24,2437,8804
20191231T17-05,25838,19925,13346,2715,459,111,1072,9671
20191231T16-05,25746,19827,13345,2695,464,175,952,10134
20191231T15-05,25991,20290,13346,2781,482,184,938,10563
20191231T14-05,26843,20790,13351,2827,470,178,912,10482
20191231T13-05,27578,21195,13349,2778,469,171,944,10767
20191231T12-05,27232,21725,13347,2737,457,160,1125,11922
20191231T11-05,26602,21762,13347,2737,452,113,1338,12821
20191231T10-05,26105,21506,13344,2725,450,54,1315,13534
20191231T09-05,24906,21149,13344,2645,450,7,1126,14286
20191231T08-05,23468,19666,13345,2414,463,0,1104,14908
20191231T07-05,21783,17426,13350,2233,451,0,989,15488
20191231T06-05,19543,16253,13349,2104,457,0,1007,15700
20191231T05-05,18661,15523,13354,1988,465,0,945,15684
20191231T04-05,18486,15536,13356,1982,457,0,980,15695
20191231T03-05,18776,15462,13356,2082,456,0,993,15836
20191231T02-05,19276,15400,13353,2241,462,0,977,16020
20191231T01-05,22052,15892,13351,2398,458,0,1050,16106
20191231T00-05,23235,16898,13344,2444,454,0,1117,16503
20191230T23-05,23987,18085,13336,2487,455,0,1169,16673
20191230T22-05,25441,18941,13337,2493,458,0,1492,16962
20191230T21-05,26180,19505,13337,2492,453,0,2040,16862
20191230T20-05,26439,19615,13331,2468,452,1,2546,16982
20191230T19-05,26069,19593,13332,2500,451,1,2457,17015
20191230T18-05,24918,19239,13328,2485,456,19,1934,16484
20191230T17-05,24259,18488,13330,2425,464,73,1099,16256
20191230T16-05,24324,18474,13320,2468,465,118,1102,16074
20191230T15-05,24205,18444,13318,2485,463,131,1045,16325
20191230T14-05,24714,18687,13326,2524,467,128,1071,16110
20191230T13-05,24747,18952,13331,2542,466,128,1171,16159
20191230T12-05,25101,19164,13336,2535,475,120,1474,15271
20191230T11-05,25079,19115,13335,2438,470,85,1642,14502
20191230T10-05,25075,19296,13335,2335,463,51,1458,13711
20191230T09-05,24218,19128,13329,2261,465,7,1249,13279
20191230T08-05,22363,18414,13334,2163,462,0,1278,12822
20191230T07-05,18888,16350,13338,2073,461,0,1245,12399
20191230T06-05,17493,14387,13345,1912,458,0,1196,12056
20191230T05-05,17068,13447,13347,1979,468,0,1156,11270
20191230T04-05,16718,13148,13346,1948,469,0,1015,11247
20191230T03-05,17108,13345,13340,2039,454,0,946,10835
20191230T02-05,17875,13377,13336,2164,459,0,983,10359
20191230T01-05,19322,14032,13326,2291,458,0,1014,10019
20191230T00-05,20747,15003,13325,2396,449,0,1024,9986
20191229T23-05,22283,16057,13329,2515,448,0,1109,9890
20191229T22-05,23199,16977,13329,2555,456,0,1311,9973
20191229T21-05,24178,17410,13321,2550,467,0,1442,10411
20191229T20-05,24081,17491,13319,2499,466,0,2117,10833
20191229T19-05,23170,17197,13316,2452,469,0,2706,11552
20191229T18-05,22140,16511,13305,2376,473,6,2130,11627
20191229T17-05,21332,15682,13301,2361,469,14,1038,11971
20191229T16-05,21179,14936,13292,2301,465,24,1031,12020
