,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
20191113T05Z,31504,24045,12613,2629,477,0,809,11316
20191113T04Z,32230,26503,12605,2802,496,0,859,11342
20191113T03Z,32570,27164,12593,2843,521,0,1347,11880
20191113T02Z,33047,27273,12592,2859,550,0,1603,12190
20191113T01Z,33293,27342,12588,2766,538,0,1713,12120
20191113T00Z,33167,26613,12587,2647,521,0,1660,11843
20191112T23Z,32566,24431,12595,2321,513,19,1414,11598
20191112T22Z,32080,22753,12605,2107,492,117,1103,11051
20191112T21Z,32212,22750,12603,2137,498,204,866,10235
20191112T20Z,32552,23011,12604,2265,503,224,1025,9531
20191112T19Z,32814,23859,12604,2667,501,216,1052,8709
20191112T18Z,32973,24952,12602,2907,498,234,1102,7804
20191112T17Z,33074,26023,12610,2936,536,223,1396,7087
20191112T16Z,32948,26818,12609,3223,563,176,1621,5901
20191112T15Z,32881,26818,12610,3254,580,101,1625,5584
20191112T14Z,32915,26601,12614,3286,574,17,1718,5489
20191112T13Z,31571,25814,12611,3132,540,1,1633,5352
20191112T12Z,29056,23341,12607,2596,515,0,1415,5487
20191112T11Z,27253,20630,12613,2172,505,0,829,5719
20191112T10Z,26309,19357,12608,1914,500,0,777,5879
20191112T09Z,26071,18793,12611,1750,486,0,791,6226
20191112T08Z,25588,18031,12610,1630,492,0,797,6810
20191112T07Z,26061,17886,12608,1662,493,0,815,7396
20191112T06Z,27806,17991,12612,1716,487,0,859,8184
20191112T05Z,28853,17997,12592,1787,486,0,1003,9374
20191112T04Z,30321,18263,12579,1824,503,0,1049,10196
20191112T03Z,31782,19004,12576,1988,537,0,1170,10479
20191112T02Z,32426,19104,12561,1995,551,0,1573,10920
20191112T01Z,32828,18828,12559,2097,557,0,1623,11265
20191112T00Z,31696,18595,12559,2002,556,0,1680,12437
20191111T23Z,29621,17749,12561,1848,540,11,1663,13509
20191111T22Z,28124,17108,12562,1709,525,70,1177,13922
20191111T21Z,27857,16530,12562,1645,537,87,906,14162
20191111T20Z,28339,16665,12569,1617,576,90,883,13557
20191111T19Z,27787,16386,12570,1575,567,95,893,13492
20191111T18Z,28281,16322,12567,1641,528,107,891,12461
20191111T17Z,28722,16293,12575,1623,514,128,950,11850
20191111T16Z,28299,16030,12577,1394,507,120,1005,12302
