,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
20191113T05Z,0,4260,3320,0,783,0,691,502
20191113T04Z,0,5154,3324,0,789,0,727,476
20191113T03Z,0,5853,3313,219,793,0,803,464
20191113T02Z,6,6471,3315,279,799,0,984,433
20191113T01Z,23,6733,3322,281,797,0,1241,375
20191113T00Z,27,6696,3326,272,793,0,1789,348
20191112T23Z,21,6782,3335,257,804,0,1798,344
20191112T22Z,20,6617,3345,273,807,0,1369,318
20191112T21Z,15,6476,3343,274,793,2,959,271
20191112T20Z,24,6417,3343,276,796,5,866,221
20191112T19Z,29,6219,3332,260,798,8,873,181
20191112T18Z,29,6051,3326,247,796,11,955,177
20191112T17Z,10,6145,3336,243,790,11,988,135
20191112T16Z,1,6055,3321,223,790,10,1035,181
20191112T15Z,2,6143,3346,224,787,10,923,159
20191112T14Z,2,5788,3343,217,791,8,847,128
20191112T13Z,1,5579,3352,157,789,3,768,109
20191112T12Z,1,4406,3382,250,792,0,605,96
20191112T11Z,1,3283,3353,33,773,0,532,123
20191112T10Z,0,2740,3365,0,775,0,516,153
20191112T09Z,0,2556,3313,0,764,0,508,216
20191112T08Z,0,2778,3333,0,765,0,507,280
20191112T07Z,0,2859,3319,0,760,0,504,298
20191112T06Z,0,2724,3359,0,765,0,511,364
20191112T05Z,0,2743,3281,0,754,0,505,379
20191112T04Z,1,3756,3312,0,773,0,555,338
20191112T03Z,6,4647,3278,0,778,0,644,327
20191112T02Z,20,5711,3284,0,790,0,747,294
20191112T01Z,24,6440,3308,0,793,0,896,212
20191112T00Z,27,6888,3313,0,799,0,1162,190
20191111T23Z,34,7091,3334,0,804,0,1421,140
20191111T22Z,31,6763,3371,0,822,1,794,80
20191111T21Z,28,5964,3343,1,802,9,545,71
20191111T20Z,29,5780,3338,7,798,26,531,72
20191111T19Z,28,5792,3329,0,790,32,522,66
20191111T18Z,13,5744,3334,10,784,46,519,67
20191111T17Z,1,5739,3331,20,798,67,539,102
20191111T16Z,0,5864,3326,15,800,69,641,126
20191111T15Z,0,5924,3339,0,798,53,681,152
20191111T14Z,0,5781,3338,0,799,30,797,224
20191111T13Z,0,5556,3348,0,810,9,821,224
20191111T12Z,0,4728,3363,0,813,0,666,294
20191111T11Z,0,3967,3357,0,819,0,729,273
20191111T10Z,0,3486,3366,0,795,0,538,257
20191111T09Z,0,3365,3342,0,772,0,493,259
20191111T08Z,0,3286,3325,0,765,0,489,275
20191111T07Z,0,3277,3339,0,771,0,491,277
20191111T06Z,0,3312,3345,0,767,0,495,307
20191111T05Z,0,3339,3326,0,738,0,521,398
20191111T04Z,0,3719,3293,0,745,0,542,449
20191111T03Z,1,4626,3287,0,759,0,602,526
20191111T02Z,1,5324,3327,0,769,0,741,519
20191111T01Z,0,5426,3301,0,770,0,1029,518
20191111T00Z,3,5448,3331,0,762,0,1323,550
20191110T23Z,1,5723,3347,0,770,0,1302,546
