,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
20191113T08Z,249,2257,0,0,444,0,3,18
20191113T07Z,251,2373,0,0,434,0,3,27
20191113T06Z,248,2526,0,0,428,0,8,71
20191113T05Z,239,2694,0,0,424,0,142,81
20191113T04Z,238,3024,0,0,421,0,151,17
20191113T03Z,236,3171,0,0,414,0,150,5
20191113T02Z,237,3283,0,0,406,0,148,2
20191113T01Z,223,3108,0,0,396,15,102,4
20191113T00Z,221,2604,0,0,387,309,57,27
20191112T23Z,298,2111,0,0,391,604,5,19
20191112T22Z,300,2319,0,0,395,615,3,11
20191112T21Z,301,2214,0,0,404,624,3,12
20191112T20Z,301,2124,0,0,413,617,3,13
20191112T19Z,303,2123,0,0,432,638,3,4
20191112T18Z,336,2130,0,0,444,671,3,0
20191112T17Z,336,2169,0,0,462,653,3,0
20191112T16Z,336,2247,0,0,468,388,5,0
20191112T15Z,310,2440,0,0,471,45,56,1
20191112T14Z,297,2365,0,0,469,0,56,1
20191112T13Z,297,2237,0,0,468,0,6,0
20191112T12Z,298,2119,0,0,465,0,4,0
20191112T11Z,299,2241,0,0,464,0,4,0
20191112T10Z,299,2253,0,0,461,0,4,0
20191112T09Z,307,2283,0,0,457,0,4,0
20191112T08Z,314,2367,0,0,452,0,4,0
20191112T07Z,331,2442,0,0,452,0,4,8
20191112T06Z,336,2685,0,0,444,0,9,27
20191112T05Z,334,2721,0,0,436,0,143,38
20191112T04Z,335,2797,0,0,430,0,152,51
20191112T03Z,334,2869,0,0,424,0,141,61
20191112T02Z,335,2984,0,0,411,0,136,34
20191112T01Z,334,2908,0,0,399,13,101,37
20191112T00Z,327,2559,0,0,389,311,57,52
20191111T23Z,301,2195,0,0,393,640,5,55
20191111T22Z,300,2064,0,0,394,663,4,54
20191111T21Z,300,2071,0,0,398,638,4,57
20191111T20Z,300,2051,0,0,402,627,4,80
20191111T19Z,300,2029,0,0,414,644,4,101
20191111T18Z,299,2006,0,0,431,678,4,94
20191111T17Z,299,2062,0,0,448,655,4,89
20191111T16Z,306,2125,0,0,442,408,6,85
20191111T15Z,336,2327,0,0,444,47,56,61
20191111T14Z,335,2298,0,0,445,0,56,39
20191111T13Z,335,2218,0,0,441,0,6,56
20191111T12Z,334,2122,0,0,427,0,4,66
20191111T11Z,312,2096,0,0,425,0,4,55
20191111T10Z,284,2043,0,0,429,0,4,18
20191111T09Z,244,2049,0,0,426,0,4,22
20191111T08Z,232,2268,0,0,432,0,4,17
20191111T07Z,231,2490,0,0,427,0,4,4
20191111T06Z,231,2541,0,0,425,0,9,2
20191111T05Z,231,2590,0,0,413,0,143,10
20191111T04Z,231,2637,0,0,406,0,151,0
20191111T03Z,231,2888,0,0,402,0,151,0
20191111T02Z,231,2891,0,0,391,0,149,1
20191111T01Z,231,2840,0,0,372,21,100,0
20191111T00Z,231,2599,0,0,370,297,57,19
20191110T23Z,231,2309,0,0,382,626,6,32
20191110T22Z,231,2119,0,0,384,658,4,33
20191110T21Z,230,2035,0,0,390,634,4,16
20191110T20Z,302,1976,0,0,401,622,4,11
20191110T19Z,307,2005,0,0,415,645,4,3
20191110T18Z,299,1999,0,0,429,661,4,0
20191110T17Z,300,1986,0,0,448,630,4,0
20191110T16Z,320,1966,0,0,449,380,6,0
20191110T15Z,335,2002,0,0,453,49,56,0
20191110T14Z,334,1984,0,0,449,0,51,6
20191110T13Z,335,1956,0,0,453,0,4,0
20191110T12Z,333,2006,0,0,453,0,4,0
20191110T11Z,335,2021,0,0,447,0,4,0
20191110T10Z,334,2060,0,0,447,0,4,0
20191110T09Z,325,2125,0,0,447,0,4,0
20191110T08Z,316,2233,0,0,439,0,4,0
20191110T07Z,313,2443,0,0,435,0,4,0
20191110T06Z,313,2607,0,0,429,0,9,0
20191110T05Z,313,2651,0,0,424,0,144,1
20191110T04Z,313,2908,0,0,414,0,151,0
20191110T03Z,314,3155,0,0,403,0,151,0
20191110T02Z,313,3167,0,0,386,0,149,4
20191110T01Z,314,2962,0,0,369,22,102,7
20191110T00Z,318,2424,0,0,367,322,58,3
20191109T23Z,321,2108,0,0,376,615,6,3
20191109T22Z,325,2004,0,0,380,648,4,1
20191109T21Z,325,2049,0,0,388,628,4,0
20191109T20Z,324,2060,0,0,400,615,4,0
20191109T19Z,340,1990,0,0,413,626,4,0
20191109T18Z,357,1955,0,0,423,662,4,0
20191109T17Z,375,1976,0,0,444,650,4,0
20191109T16Z,386,2084,0,0,450,391,6,0
20191109T15Z,390,2115,0,0,449,47,56,0
20191109T14Z,397,2073,0,0,447,0,55,0
20191109T13Z,394,2112,0,0,454,0,4,0
20191109T12Z,413,2082,0,0,455,0,4,0
20191109T11Z,412,2100,0,0,452,0,4,0
20191109T10Z,411,2114,0,0,452,0,4,0
20191109T09Z,418,2105,0,0,448,0,4,0
20191109T08Z,416,2111,0,0,446,0,4,0
20191109T07Z,412,2161,0,0,442,0,4,0
20191109T06Z,414,2359,0,0,438,0,9,0
20191109T05Z,413,2709,0,0,429,0,144,0
20191109T04Z,434,2797,0,0,418,0,152,0
20191109T03Z,485,2896,0,0,408,0,152,1
20191109T02Z,484,3130,0,0,395,0,149,3
20191109T01Z,485,2841,0,0,377,22,90,8
20191109T00Z,455,2390,0,0,374,350,53,12
20191108T23Z,454,2026,0,0,379,656,6,9
20191108T22Z,459,1957,0,0,382,673,4,2
20191108T21Z,459,1985,0,0,386,646,4,0
20191108T20Z,459,2043,0,0,402,634,4,0
20191108T19Z,458,2031,0,0,411,652,4,0
20191108T18Z,459,2017,0,0,428,690,4,0
20191108T17Z,457,1965,0,0,448,672,4,0
20191108T16Z,474,2039,0,0,453,430,6,0
20191108T15Z,476,2263,0,0,457,55,61,0
20191108T14Z,443,2219,0,0,454,0,62,0
20191108T13Z,399,2113,0,0,451,0,6,0
20191108T12Z,387,1946,0,0,454,0,4,0
20191108T11Z,388,1951,0,0,451,0,4,0
20191108T10Z,388,1956,0,0,447,0,4,0
20191108T09Z,387,1982,0,0,447,0,4,0
20191108T08Z,388,2133,0,0,442,0,4,0
20191108T07Z,389,2471,0,0,438,0,4,0
20191108T06Z,388,2838,0,0,433,0,9,0
20191108T05Z,404,2986,0,0,426,0,143,0
20191108T04Z,511,2980,0,0,424,0,151,0
20191108T03Z,624,2972,0,0,409,0,151,0
20191108T02Z,624,2965,0,0,395,0,147,1
20191108T01Z,623,2610,0,0,380,24,86,4
20191108T00Z,623,2279,0,0,370,347,52,6
20191107T23Z,624,2019,0,0,368,649,6,0
20191107T22Z,624,1970,0,0,369,671,4,0
20191107T21Z,447,1960,0,0,377,648,4,0
20191107T20Z,617,1912,0,0,398,635,3,0
20191107T19Z,621,1768,0,0,413,648,3,0
20191107T18Z,584,1707,0,0,432,687,3,0
20191107T17Z,486,1831,0,0,447,671,3,0
20191107T16Z,483,1951,0,0,456,430,6,0
20191107T15Z,482,2210,0,0,456,60,61,0
20191107T14Z,439,2167,0,0,454,0,62,0
20191107T13Z,413,2094,0,0,452,0,7,0
20191107T12Z,397,2011,0,0,457,0,4,0
20191107T11Z,388,1986,0,0,459,0,4,0
20191107T10Z,389,1996,0,0,454,0,4,0
20191107T09Z,388,2065,0,0,454,0,4,0
20191107T08Z,383,2355,0,0,452,0,4,0
20191107T07Z,399,2552,0,0,447,0,4,3
20191107T06Z,393,2795,0,0,440,0,9,7
20191107T05Z,389,2982,0,0,427,0,144,18
20191107T04Z,426,3090,0,0,416,0,152,11
20191107T03Z,483,3111,0,0,398,0,152,10
